我的狼叔
呜呜呜
...
他受了太多伤 他想休息了
X
太强了
长生如咒
一声狼叔 一生狼叔
血肉之躯，金刚之骨!!!!!!!!!!!
这样的传承我能接受
X
类目
金刚狼的死亡 真的太让人伤感了
然后死侍来了
罗根
不要温柔的走进那个良夜
再见狼叔
狼叔
孤独狼叔 终得心愿 死去~
全是刀啊
狼叔555555
哭了我靠
想起来了死侍
然后同人世界 死侍把他拉出来继续挨打
爪子怎么恢复了？
诶，当时看到狼叔死去的消息我真的不相信我的眼睛
终于有人剪狼叔了么，换句话说终于有那么多赞关于狼叔的剪辑了
永远的狼叔和教授
daddy
眼泪憋不住了
光影之主吗？
XXXXXXXXXXXXXX
金刚狼是真的会哭死我
狼3真的不敢看第二遍
x
我再也不想看这个电影第二部了。
我看狼3哭到失声
24能找回来继续拍吗
这一部看的很难受
狼叔很适合演乔尔
类目
是用狼叔的基因在实验室弄出来的吧好像，所以才说是他的孩子
我的青春啊
哭了，我的狼叔
别看狼叔好像打起来很糙 实际上跟美队姥爷这种凡人格斗巅峰放对 不靠自愈都能打得势均力敌
X
、
金刚狼3，现在2022了，还是不想去看
金刚狼3，2022年了，还是不想去看
能让金刚狼死亡的只有他自己
X
暮狼归乡，狼叔已经够累了，永远的X战警！
谁说狼叔寡不敌众
听说要拍小狼女了
这部真是给我看难受了 经典
自古美人叹白发，不许英雄见白头啊！！！！！
·
金刚狼这里强行刀了，设定上狼叔可不会死。
我救了你，但是为了不让你祸害人间，还是让拯救了你的我亲手送本该死的你上路
艾德曼合金会限制狼的自愈因子
他已经连车都无可奈何了
留在日本就好了
我不想让我的狼叔去世
死亡是他最期盼的事，但是3里面，狼叔是真的不想死，毕竟那是她的女儿
我的狼叔，我最爱的超级英雄，没有之一，倒不如说，我的英雄
小狼脚上也有爪子
X
狼叔是我最喜欢的英雄
X
这个双关语太扎了
在狼二里面真理子和金刚狼说的
真的心疼
狼叔呜呜呜
狼叔
x
小狼强得很
只有狼叔一个人，就他一个！
X
小女孩贼猛！
提前泪目
休杰克曼和艾伦佩吉就是乔尔和艾莉
永远的金刚狼
他太累了，太累了
2022年考古，休叔要在奇异博士2和复联5出演狼叔
x
我眼泪
……年纪大了看不了这种
当时喵了几眼 不敢看下去 
眼泪绷不住了
永远的狼叔
真理子是真的好看
有些好的电影，看一遍就足够了，
一生热爱狼叔
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
小狼女
狼3看完真的对全世界都充满恶意
野兽
永生其实是一个诅咒
X
剪的真的好
金刚狼永存
正传琴好好看
然后小贱贱来了
X
007也死了
哭了
太爽了
爷青结
你所经历的磨难已经够多了 罗根
X
前方高能预警
x
泪目
这段一语双关！
前方核能！！
这个镜头绝了
至少傍水了
剪得太好了！！
山谷里再也没有枪声了
最后生还者的乔尔？遇到知音了!
X
X
X
活了哪只一个世纪 罗根是南北战争的老兵
你放屁那是艾德曼合金
火钳刘明
X
X
这句话是哪一部，谁说的呀
你就带了这些人来?
金刚狼和黑寡妇可以说是漫威最惨的英雄了吧
讨厌那个日本人
泪目
X
没人能预料和掌控结局 谁又曾准备好死亡？英雄也会如此
X
X
X
狼是我一生最好的朋友
X
现在明白，金刚狼指的不是无坚不摧的爪，而是钢铁般的意志
爷青回
yeqinghui1
乔尔
向狼叔致敬
向狼叔致敬
X
以后也不会有金刚狼了
bgm  remembrance
always wolverine
X
