好可爱的动画
2333333
是我本人了
我是UP 手滑打错字了 是Adobe！抱歉~
我是UP 手滑打错字了 是Adobe！抱歉~
真实
wow
心动了
为什么没有早点看到这个视频
真的很友好了hhh
是我想要的了233333
好的hhhh
好的我先去认字（滑稽）
和pr很想
自带官中？
快看啊，瑞兹
这是目前对我最有帮助的up主
真实
全都做过..
2019也有
和我2019一样
2019也有这个啊
好了 又该有一大波人逃课了
开头动画好评哈哈哈
好可爱的画风
UP这个动画怎么做的呀
真实
真实
是我本人了
真实
真实
真实23333
是我本人
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哇
我用的18也有这个
突然高逼格起来了哈哈哈
是我想要的！
想起了自己学网课还要找素材的日子
←前面我也是23333
←18版本的好像只有链接到官网的网课，没有引导教学叭
似乎有一些教程不太一样←
哈哈，被戳到萌点
23333
是的 PS好之前的版本就有中文了
不说了我去学PS了
B站启动！PS启动！
这个2019也有啊
(⊙o⊙)哇
2022019
是我
up你肯定是个初学者（滑稽）
我不认识字该怎么学？
是我想要的了
pr也是这样！
AE做的
买
对，的确如此！！！
这说的不就是我嘛？
这怎么像极了当年的CheatEngine
真实
和马壮实口音一样，是不是老乡
是我
这个不是19就有了吗
吃我收藏夹的灰
wdnmd
今天刚刚下好PS2020，素质三连啦
剪视频那个也这样整多好
为什么我的盗版ps欢迎页面是空的
PS touch也有
为什么学习课本知识不能像玩游戏一样爽！！！
不愧是我
我的2019也有啊！
去我收藏夹里吃灰去吧！！
最显著的不应该是试用期还有多少天吗
收藏从未停止，学习从未开始
这不是19就有这个了么
白报班了，哭
真实
真实
抱歉 我cs6
直方图很有用的！！！重点！！！
我打开这里是空的
、
谢谢
要钱这个.
没错，19就有了
习惯2018
滚到我收藏夹里吃灰吧！
真实
下次一定
玩了十几年PS了 当年自己学的时候咋没有
三连三连
我2018也有
官方教程可太强了
我学的时候就是想点哪个点哪个，完全没看过教材
这个视频我就是这么做的
这个功能不是从事2019就有了吗
三分钟热度路过
傻瓜版
话说你这个是正式版吧
8说了，888一年作为一个学生真的买不起
怎么下
也越来越卡
爱了爱了
哈哈哈哈哈哈
舒服啊
+1   长期不使用那些命令，很快就慢慢忘记不会用了
记得cc2019也有？
买的教材其实也只是教你案例做出效果，案例不多水平也不算特别高，导致花钱不太值得了，厚厚一本你也懒得看
我收藏了  学会了
就像是游戏引导啊
心动了
2019也有啊
19也有这个啊
说的是我
PES2020
我cc18也有啊，就是没这个多
进收藏夹，吃灰吧
冲！
我儿子还不会写字嘞
前半段说的是我，后半段不是，因为他们都在收藏夹里吃灰2333
2019-2020都适合新手学习，但设计从业者表示不习惯
真实
进我收藏夹吃灰吧
爱了！
这特喵就是我啊
卧槽
谢谢爸爸！
19有
专业的无损作图，入门随便作图
下次一定
这么多杠精
心动+1
我电脑的硬件带不动
2018版它不香吗
卧槽
马来人
这个动画怎么做啊
这个牛逼啊
╭(°A°`)╮我的18怎么会有
我不服了
我可以了
玩游戏的既视感
ohhhhhhhh
也越来越卡
Skr
学习成本太高了。。。
超级卡。。是我的电脑不行吗
进我的收藏夹吃灰吧
可以
是我是我
我们学校用的就是这个版本
真实
如果这样的话，就没有其他设计软件什么事儿了
收藏夹，再见
哇
！！！太可以了
卧槽
当成游戏玩？？
吃会视频
是我了
想学没关系，没有美术基础 混饭吃吃不饱要有心理准备
去我收藏夹吃灰吧
真实
不一键三连也能白嫖，嘿嘿嘿
钢笔工具还是好玩
直说吧，多少钱…
可以可以
这得变得多大呀
我的妈
1.2G别问我为什么
cs6……入门……
都2020了，我办事还是用……2018
谢谢阿婆！
喜欢喜欢
我打开就是空的啥情况
进我的收藏夹吃灰去吧
来了来了
爱了爱了
马过等于看过
早就有了啊
重来不用最新版，因为不稳定。商用正版很贵
哇塞
前段时间刚做完一张动态的banner
这也太棒了吧
下次一定学习
这么好，一定很贵吧！多少钱呢
我这就去学认字
我感觉我可以了
这是最笨拙的入门
这是19版就有的技巧啊
AMD
谢谢提醒 ↑
然后去吃灰吧
Light room yeyou 
正版要买
这个正版社区就有了，其实教的也是皮毛
吃灰
说吧，多少钱
新手村？
2019也有啊
我现在就去学字
稳当
wdnmd
然而：adobe贵啊
去我收藏夹吃灰吧
进我的收藏夹吃灰吧
好的
哈哈哈
我想学习
hhhh
哈哈哈
然后学习资源在自己收藏夹慢慢落灰
我去学了
所以这个2020版的PS文件很大
下次一定
对，太难了
太难买
试用可以用
初二党路过
ae吧pr合成
.
三连了，谢谢up
就是我
告辞
Adobe爸爸！
我这就去买个手
赞
比如这个视频我就加入了收藏夹
买不起软件
这个2019就有了
我记得当年正版要五千，直接劝退
真实
心动了！
我又感觉我可以了
我可以了
我全都玩过哈哈哈话说这不是早就有的吗
19也有啊
真香
啊逗逼爸爸爱死了
ps
玩游戏
514!!!
。
是我没错了！
是我了
牛啊
我太牛逼了
头像像通行百万
头像像百万通行
19就有了吧，用起来会不习惯
入门级别这样就够了
币不给你给谁
没学过 但是 我会
888一年，还好不贵
所以说这让我有种想买正版的冲动
所以说这让我有买正版的冲动
PS从入门到放弃
打擾了
我也想学
从入门到入土
猴子好好看好好学
2019也有教学的
2019的一样啊
秃子路过
开始学习了
其实手机早几年就已经有ps软件的使用闯关app了
我儿子不会写字r
下次一定
挺好看
下次一定
吃灰吧
非常感谢
吃灰去吧
就是官方教程呗
我擦白学了
玩玩还行
真实
真实
真实
我这就去学认字
我这就去学认字
2019也有这功能
这只是入门
越来越卡。。。
那么6的吗
收藏从未停止
心动
我寻思着我的2019也有教程啊
吃灰吧
cs6哭了
买
pr有没有这功能
俺也一样
2019也有啊
真实
下次一定
是我了
设计师失业准备
入正多少钱
茄子蛋
2020还没有破解。。。。
那他会不会很大哈哈哈哈
人性人性！！！！！终于不再那么死板
爸爸真好
然后吃灰
2019就有啊
野生
说实话，这么学真的不深刻，我开始这么学最后还是循规蹈矩慢慢来
吃灰
显卡要求
真实
监视器放哪儿了，快说！！！
新手村
这类培训机构惨了哈哈哈
主要是很卡
这个之前就有啊
这个教学视频我用过
学习学习
想得美
建议先学图像处理
现在的教程汉化了？
我下载以后没有学习这个选项
..
工资要降低了
我下载以后界面和up主的不一样！！！没有学习交互选项
不，这种方法很不好
← 没有的话点【窗口-学习】打开学习面板，然后就有了~UP他在置顶评论楼中楼写了
19版就有，就是靠这东西入门的
太贵了
从入门到放弃
233333
3
看教程真的多
真实
我可以了
是我本人
799
我卡在了第二课程。。。。
你好懂我啊
记不住
那别学了
上王者之后就来学。
商品质量很好，孩子很喜欢。
好的 我这就去认字
本人无疑
跟2019的一样
真实
滚我收藏夹先
完美
学校老师可以失业了
不是这么学怎么学，真是搞笑
我只想开车不想漂移
6666
然而我们学校教的CS6
这么多爸爸o(^o^)o
18好像也有啊。。。。
只能在Windows10下运行
奥里给
玩游戏？
防呆不防傻
好，就看到这
真实
爱了爱了
我现在用的19版就有啊！不过被我无视了！
说吧多少钱……
加入大量的模板就对了
买不起
6啊
我又可以了
恰adobe的饭，可以啊
我要失业了
哈哈
ae什么时候才有啊
AE快点吧
三连给你
下次，下次一定
2333
看评论里说2019cc也有这个，可是我的2019cc打开之后直接是最近使用的文件，想问一下有没有大佬知道2019的ps这个功能在哪里打开啊
cs6哭泣
电脑带不动
wdnmd
我真的一口气全学了
正版要钱
三连了
哇塞
良心啊
CC2020对内存和显卡要求太高了
UP：大家去康康置顶评论吧，楼中楼里面也有内容，可以解决弹幕里大家很多问题~
UP：大家去康康置顶评论吧，楼中楼里面也有内容，可以解决弹幕里大家很多问题~
我又觉得我行了
在我收藏夹吃灰吧~
有破解么？
确实是
太卡了
电脑带不动了
专业的人事哭了，我还拿什么挣钱
但是我不会认字啊，adobe能出语音教程吗
入门？我电脑怎么入门
下次一定
建议学opencv
以前就有，但是没中文版而已
啊我用的CC2019我要2020！！！
学得人越来越多了
设计师越来越不值钱了，学得人越来越多
卧槽，很好
很好啊
。。。2019真的有。。。
不是早就有了
免费的吗
我想学photoshop不是ps（狗头
-+-
18就有了。。。
2019只有网页版，他这个是“应用内打开”。这个方便多了，还有“交互式”，也是之前没有的吧
18就有了
是我了
ohhhhhhhhhhhh
不一定三连
看来我这一代还是有点幸运的
想起了英雄联盟
关键是没钱
花钱吗
花钱吗
2019cc还没捂热，，，，，，，，，
真实
这不就是我吗
收藏，再见
真好
百万
win7默默关闭了视频
我用cs5
真实
19教学一样的
卧槽想要
设计师不会失业，因为这只是工具。设计师要的是创意
爱了爱了
2019版它不香吗
想到了ue4
yun han
 哈哈哈哈啊哈哈是我
以后市面上ps教程的要凉了哈哈
进我收藏夹里面吃灰吧
真实
又美味克
Yes
三连给了！
买不起告辞
滚滚滚
那么哪里可以买到呢？
我穷的用dao版……
是我
你币有了
想学
233
可耻的收藏量
刚下下来就学的这个
吃灰。。。
电脑会带不动的
从解决问题的路径去主动学习，就会真正掌握
我觉得相比stm32已经算挺好学的了……
打开后页面灰色的，啥东西也没有……
19的好像已经有了学习界面了？而且我觉得20的话更适合真的是简洁，可以省去很多步骤
哇!
我可以了!
2019也有啊
昨天下载新的 还跟着练了。感觉我又可以了
收藏了~
说真的，以前用cs系列的用的特难受，后来有了camera raw之后就很简单了
收藏了等于学了
他用盗版
所以多少钱
pse我觉得轻度使用更好
像游戏
可以
卧槽
pr也有
收藏 关闭
进度条劝退 进收藏夹吃灰吧
唉，想当年我学ps的时候，网上都没个实用的教程，再看现在，分分钟入门到大神。
你币有了
woll哇
买不起
下次，下次
666
已收藏，走了
野生的路人给野生的up主一个野生的三连
可以
2019也有！！！
ohhhhhh
多少钱？
我是因现实需要边用边学的hhh
19版有
去我收藏夹吃灰吧
我就是这样学会的
这个好像我们高中的信息技术的操作啊
想学 吃灰
先收藏
6666
收藏比硬币多一倍～
你不把一些基础学会，之后的很难理解
吃灰系列
双声道好评
废话，2019就有学习了，这误导小白？
看不懂中文
但是是不是占用存储空间
19也有
牛逼
给力
对了，不熟的话，很快就会忘掉的，别问我怎么知道的
收藏数量太真实了
进收藏吃灰吧
抱歉 我文盲
3000一年
哈哈变成游戏了有想法
哦哦不错哎
2019也有啊
从入门到入土
这个之前也有啊
我爱了
真实
已加
880一年
真实
哈哈我已经安装了PS2020了
ps是最简单的软件组里的了
CC2019还没用热乎
我聋了？
没声音啊
pscc
我做完后，也不清楚能具体怎么用
没钱
没事钱买正版怎么办
视觉传达专业路过
可惜……我已经会了
三连了，不白嫖
从入门到放弃
可惜买不起
正版多少钱
是我
干货
从入门到放弃
我现在就去
how much
Ohhhhhh! 
吃灰去吧
从入门到入土
你的币有了
一年800
优秀优秀
how much
去我收藏夹吃灰去吧！
？？？？草，牛逼
已收藏
woc
2018还不会用（
我就喜欢cc，跟我的车一样名字
我的输入法都知道我要说什么(ー_ー)!!
2019版也有，但对于一个从未接触过的人来说，记不清步骤
我天 出2020了吗吗吗吗吗
哈哈哈哈哈
看看
到收藏夹吃灰去吧
你币有了
第一关是密室逃脱？
不管怎么学，坚持才是最重要的
过于真实
真实
我要失业啦
卧槽。。。太友好了吧。。
可以
这个我几十分钟就学完了
像玩游戏
牛逼
从入手到放弃
你好容易满足，，，
←_←刚下完2019的我……
一样
ps要钱吗？
好人
来了～
收藏退出一气呵成
还在用2016的我
吃灰去了
19也是！
嗯！
巢湖南
woc这么6的吗？？？？
真实
2019就有啊
233
skr
是为
是我了，吃灰去吧
天呐在这里学会了直方图。。。之前听课愣是没听明白。
卧槽
哇 爱了
233
我2020版没有呢 
买买买买买买买
说实话，ps 都是黑色的我看着就觉得很复杂眼睛看着不舒服就很不想学
solidworks也有这样的功能，然后并没有什么用
我觉得我行了
是我
梦开始的地方
要钱吗不是
ohhhhhh
是我了
2020了？
等等内置那得多大？
cs4的我哭晕在厕所
下次一定
买不起
额倒闭
额倒闭
那新版的在哪里？
？？？？
都是基本操作，面向的是一点都不知道的小小白
收藏了 白白
下次一定
老早就有了
谢谢
爱逗比
显示发
只用过前三个版本
是我了没错
用CS6的路过
老版本ps汉化也可以啊
下次一定
好用多了
看完后该怎么样还怎么样相信我
耳机党阵亡
我心动了
我还在16。
2020对萌新的电脑可不太友好了
woc
是我
对对对
额
有没有破解版啊
2019就有了
2019也有
我表示cs5无所畏惧
我以为完了准备退了
带不起来啊
我去还在用远古版的
我就需要换个背景色学那么多肯定不愿意
Woc
cs6呢
是我了没毛病
我怎么没有
没找到啊
也就7000多块
哈哈
因为2020才是给人用的
BGM是什么
matlab
从入门到放弃
是我没错了
真实
马上去学
2020比2019少的个文件包，导致没2019的时间轴功能好
ilil
买买买
逐渐茄化
2019也有啊
哈哈哈哈哈
哈哈哈  刚下载好
我依然还在用cs6。。。
是我
我觉得我又行了
下次一定
哇
收藏夹警告
CS6枯了
是我了
是的，在我的收藏夹里吃灰吧
现学现用最有效，偶尔有图需要做的时候再去查资料做，效果更明显
？？？？
正版 才有吗
不愧是我不愧是我
去吃灰？
收藏就会了
去我的收藏夹吃灰吧
电脑带不动，告辞
是我
我就是这么学的！
棒棒的
只是有点兴趣，就喜欢这样能直接上手的还有说那点下载的
17哭了（只敢装17，显卡是疯牛病后代，gt620）
因为教程贼贴心...生怕你不会那种
可以可以
那个大人头是我用的QWQ PSCC
无处不在得二五仔
茄子哈哈哈哈
666666
说起来你们可能不信，我就学会了怎么P图
要钱的。。你以为什么都开源免费啊233
确实。ps老版本略麻烦。一个简单问题都要复杂化。。
win7投来羡慕的眼光
你币有了
哈哈哈哈，是我了
从入门到放弃只要半小时，哈哈哈
首页了！！！
优秀呀！！！
带不动太真实了
下次一定
一次一定
888一年
不过直方图肯定有用。
我记得2019就自带了
从学习到放弃只需五分钟
为啥我的2019没有
为什么我的没有
焦♂互式？
学一半就积灰了
哇哦
我刚下完2019.......
从3、0开始，目前一直用CS6
。。。
下次一定
18的没有哦
PS真的是台电脑都能用，2020优化更好
初学者不要想直接找盗版，几千软妹币一年的正版不是开玩笑的
只有PS和Ae有交互教学
一年几千元，初学者就不要考虑买了，网上很多绿色版下载
摸清工具，然后边做边学最快
2019是工具会提示使用方法，并没有这样的教学
贫穷限制了我的想象力
Ae也要跟上啊
有被冒犯到。。。
卡，闪退
可以
PS是我觉得最好用的绘画软件
pr也有
进我收藏夹吃灰吧
我的就是这一版，我还以为是2019
爽爽爽爽！
是我本人了
好可爱啊
会PS的考虑一下c4d吧，不学就跟不上节奏了
怎么破解呢，搞不定啊
哈哈哈哈哈哈
还在2018的我…
哈哈哈哈哈哈哈哈哈是我吗哈哈哈哈哈哈
花钱吗哈哈哈哈哈哈哈哈
"我决定选择CC,CS6有毒真的啥也看不懂"
哈哈哈哈哈哈
en
放入马场 没有然后
有被冒犯到kkk
888人民币1年，这对一个初学者或者学生真的很不友好
入门到放弃
下次一定
2018也有
真实
真实
莫得钱啊！
这是我第一次生出了想买正版的想法。
真相了！
前面cs6的等等我
ohhhhhhhhhhhhhhhhhh
2019也有 没什么用学习ps还需要靠视频教程和多实操
为什么我的2019没有。。。
pr 和ae有没有。。
厉害
我到现在还在用cs6
我都开始学C4D建模了
我这边是照片没有学习
19也有啊
cc都有
我曾有个朋友，为了省设计费自学一个月搞明白了3D CAD 还学了常用材料价格。。。
从入门到入土
为什么我的PS2020没有这个
ohhhhh
网课挂后台，耶
真实
(⊙o⊙)哇
野生
从入门到放弃
2019有是有but 点不到第二步
2020笑了
下次一定！！！
我今天刚下了，就有教程，真好
啊逗比
天呐，想学了
哈哈哈哈
卧槽
从安装到卸载
我就是这样学习的
就是我
