火钳留名
空灵的感觉
太棒了
awesome！！！
中文好6啊
有感染力啊啊
wowwwww
艺术来源于生活
好厉害…！！！！
太厉害了好有创意
从初中开始看的视频哇啊啊啊啊啊
ohhhhhhhhhhhh
OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
这中文可以的
好听！
瞧不起谁呢，上卡祖笛（误）欢迎新人，
ohhhhhhhhhhhh'
爱了爱了
注入灵魂
宝藏
能双手弹两架琴，厉害
欢迎鸭
好厉害！，！！，！！！！
这个像木鱼诶(*^▽^*)
这就很牛了
好听！！！！！！！
中文好好噢
我才发现 他说的是中文
之前听你唱周杰伦 so cool
哇哇!!!!!
ohhhhhhhhhh
好好听啊
key
好帅
ohhhhhhhhhhh
这就是天才吗
很用心
牛逼啊
宝藏up
ohhhh
好听！！
注入灵魂
震惊。。。。
ohhhhhhhh
哈哈哈哈预订观众席
ohhhhhhhhhhhhhhhhhh
第7382名粉丝
好可爱呀
灯灯灯灯
强啊
好听啊
牛皮
我的妈？？您中文这么好吗
YAMAHA
中文超级好
！！！！！厉害
中文也太好了吧
哇好听啊
哦哦，想起来了！是你啊！
好厉害！
啊啊啊啊啊kurt！
啊啊啊啊啊你來了！！
好好
好厉害好厉害好厉害！！！！
这中文水平说是定居过几年我都信啊
牛！
我特么一直以为雅马哈是做摩托的，想不到呀
嘟嘟嘟
小天使～
欢迎
真的是大神！！
好玩好玩好玩
厉害
哇怎么收音的
现学的中文xswl
NB
ohhhhhhhhhhhhhhhhh
爱了
我实在是太喜欢你圣诞版本的bad guy了！！！
tnbl
好强啊
woc是你！！！
一开始还以为是一个来蹭中国市场的鬼佬…我错了
你会中文的啊！好好先生
ohhhhhhhh
中文太好了
灵魂
中文怎么这么好
中文牛逼
Kurt! ! ! !
好听
中文讲这么好？
有点好听
Kurt！！！！！I love u!!!!
中文说的确实好
ohhhhhhhhh
这我小时候也会，后来被差点被打死
我抄
我币没了
好听
6666
厉害厉害
欢迎！！
cool
cool
妙啊~妙啊~
感觉他真的很开心啊
中文很棒，欢迎欢迎
老番茄？
我惊呆  中文也这么好(✪▽✪)
刷财富密码的笑死我了
大佬
卧槽
雅马哈的琴
哈哈哈哈哈
Ohhhhhhhhhhhhh
建议认识一下方文山老师
diao啊
Ohhhhhh'hhhhhhh'h
这就刷财富密码了？低龄化这么严重？
欢迎
2
妈见打
377
OMG Kurt I've been your fan since 2016
爱了爱了
好听
把你以前的视频搬过来啊兄弟
中文太好了吧
B站需要这样的才华
我觉得你会跟一个弹毛线的，和几个玩笔的很聊得来
66666666
厉害！
好强
为什么他的话音没录进去【狗头】
好听
汉语，21世纪最有前途的语言
这个东西是中国的
神了神了
啊啊啊啊啊啊！！！
看了好几遍才发现字幕是双语的！
这中文好的就离谱
ohhhhhhhhhhhhhhhhhhhhhhhh
好好听
中文好好1!!
中文很好啊
中文这么好的吗？！
中文好好哇
妈妈今天不在家
中文这么好
哇牛
ohhhhhhh
这种木鱼我在花鸟市场看到有人卖，好有趣的
好棒
666
ohhhhhh
雅马哈！哈哈哈
好强！中文也好好！
中文也太好了吧
欢迎
好帅！
财富密码？
好听！
能出混音教学视频吗
求出教学视频
哈哈哈感觉好好玩
中文好好
家里的雅马哈三角
？？？？、
中文太好了吧？不敢相信
好听啊！！！
太强了
现在中国越来越强大，为什么有些外国明星会中文有些人那么惊讶？？？搞得我们配不上那样
原来那个人就是你
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
参见教主！！
好活泼啊
中文这么好的？？？？？
牛批
好厉害
宝藏
ohhhhhhhhhhhhhhhh
4k！
您中文也太好了吧！老早就知道您了
这个好神奇啊
？？？？？
cool
SamTsui
？？？？？？？？？？？？？？？？？？？？？
666666
？？？？！！
我靠啊啊啊啊啊啊啊啊啊
我看过up的车内believer，也很棒
