再见了，狗爷！
泪目
我哭了
永远滴神
从高二开始粉，泪目
没事，辛苦了
泪目
这一场看的直播
你是我坚持的动力
影响反应能力
就差一个
再见uzi，你好简自豪
为什么不早点吃二甲双瓜
你怎么退役了呢……好难过
加油
口香糖
乌兹永远滴神
简自豪自尊心和对自己的要求真的很高
恭送第一adc
哎
辣个男人
你已经做得很好了
细节拉满
泪目加油
全是名场面
诶，还想看s赛上的金色。。。。
s赛啊
皮城警备恭送世界第一ADC
他的水银还差10秒
喂！我还在等你捧杯阿！
会担任教练还是解说呢，还是喜欢赛场上看到你
瘦了好多
你已经做到了
再见伍兹
Uzi进场了！Uzi收割了！
张飞吃豆芽，全是名场面
加油小狗
口香糖有无糖的好吧，不知道别bibi
+1这场才是真经典
uzi 永远的神
西出阳关无故人，天下谁人不识君
在当年这种操作已经超级夸张了  
多想在s10主场再宣布他退役啊
永远滴神
乌兹辛苦啦
去Ig试试这半年都不行吗
辛苦了
恭送世界第一ASC
不我还记得酒桶皇子被秀，拿五杀的那场
乌兹永远地神
就这里一生粉
yyds
狗爷，再见！
名场面太多了
对就是这一场
是啊，狗子啊，
就差一个啊
爷青结
名场面
当时在现场直播看的  太秀了   永远滴神  
你走的够远了
污渍，你很累了，该休息了，永远滴神！
结束了
我心里永远的神，退役也会一直看你直播，你一定要健康
哭了
请把世界第一AD UZI 打在公屏上
唉，小狗再见了
经典口香糖
乌兹，永远滴神
S2看你狂小狗到今天的uzi 我...青结..
爷的青春没了
突然觉得，我喜欢的只是RNG的那几位
辣个男人
一直巅峰，从未落幕
这场的操作就算是现在也是很秀的
打ig
乌兹
那一年梦开始的地方
唉回忆啊
你已经做到了
不想伤感，但眼泪就是止不住
泪目
小明昨天陪他双排，陪他打到了退役
神！！！
乐乐别哭了
uzi！永远的神！
。？？
泪目
这个闪说真的离谱，就当时那个比赛强度这操作太夸张了
就差那么一点点
名场面
边哭边看。
虚空一握通冥府 一声羊来开天门
狗子真的尽力了
八年啊，他承受了太多了，休息吧 神
酒桶技能全空了
遗憾一辈子啊
我的青春真的高中到大学毕业到现在
偶像还是adc的时候
节奏和文森特也分手了 青春结束了
遗憾
泪目，黑子满意了吗？
比尔吉沃特恭送世界第一adc
小狗真得成熟了好多
我的青春结束了
加油!!! Uzi
443嘛哈哈哈
2018年真的是精彩又遗憾的一年
卡萨离队离谱，mata做教练离谱，uzi退役更离谱
再没机会等你三件套了
乌兹，永远滴神
泪目
都退了，以后没什么想看的了
结束了啊
强
哭了
真正的神
zdt，别哭了
再见，乌兹！你已经做得很好了
乌兹永远滴神！！
这一场真的经典
你的卡莎，霞，ez也超帅的！
结束了
这地方真的绝
也就差一个了啊，乌兹~
保重身体
乌兹永远的神
乌兹，永远的神
s4吧夏季赛 我看的直播
这个在现场
全是IGhh
一点多余操作都没有
污渍永远滴神
狗爷 再见
天天打ig五杀。。。。
泪目
泪目了 
皮尔特沃夫恭送世界第一AD carry
羊来！
再见Uzi，你好简自豪
我心中 唯一真神场面!
乌兹，永远滴神
有排面 
该打胰岛素了…
再见狂小狗
作为粉丝我真的不甘
梦开始的地方
神
意难平
uzi，永远的神
yyds
就是这个 我觉得最强！！！！！
爷的青春真的结束了
这波操作哭了
影流恭送第一ADC
永远滴神
He's still alive. He's still surviving
He's still alive. He's still surviving
老糖人了
He's still alive. He's still surviving
唉 娃娃这句话 
这一年rng的比赛必看。。怎么打怎么逆风都能赢。真可惜了最后s赛
又是ig
He's still alive. He's still surviving
恭送世界第一ADC
z恭送第一ADC
He's still alive. He's still surviving
确实，对于我来说也是印象最深的
英雄，江湖再见
He's still alive. He's still surviving
He's still alive. He's still surviving
五杀vn，e酒桶那波，印象非常深。当时高中放月假，在网吧看到的。
He's still alive. He's still surviving
He's still alive. He's still surviving
再见了 永远滴神
被小虎打退役了
爷的青春结束了
拿一年是我最开心的一年
心里很酸，眼镜很酸
乌兹确实是传奇 但差个s冠军就是faker的高度了
这是我最喜欢的rng啊(T_T)
你好简自豪
加油
那艘承载着旧时代残党们的大船，不再扬帆起航。
走a走多了，加上没有适度锻炼拉伸
乌兹，永远的神
如果时间还够
狗爷很棒了
这是真无敌
啊，难受啊
乌兹，永远的神
那个时候 ts还是玩战士上单。。。
虚空之握通冥府 一声羊来开天门
这是央视
我想起了刘翔，都挺可惜的
乌兹，永远的神
李哥还是硬
娃娃
乌兹，永远的神
一定要保重身体啊
乌兹，永远滴神
全世界都认可 还是要被喷
影流恭送世界第一ADC
可惜
泪目
老豆芽了
职业赛场最秀五杀
青春结束了，不会再充皮肤了。
我心中最好也是这场
乌兹，永远的神
又是IG哈哈
狗爷终于可以歇歇了，不用1打9了，哈哈哈
你可不只两年啊自豪
麻辣香菇～
乌兹，永远的神
这五个人，青春
Lpl崛起的第一站
再见uzi
前面的，就是s4夏季赛，我陪你看的直播
lwbnb
这个在现场
he's still alive
放在任何时候都是超级夸张的好吗
爷青结
何止是秀，这就是adc的巅峰了吧，我看了这么多年比赛，没见过这么极限的了
真的难受
糖尿病是吧
再见  我最爱的选手  未来  祝好
可惜
这波确实我也认为是top1
初中到大学   uzi  我从来没有黑过你  一直在支持你
祖安张国荣恭送第一AD
IG老背景板
再见，uzi
封神五杀
行了，看了你的介绍，我决定站起来看视频
vn的天花板，以后再也看不见这么秀的vn了
德玛西亚恭送第一ad
别天花板了，uzi后期的操作不靓眼吗，过去只是你加了特殊加工而已。
拜拜英
乌兹昂
神，祝你生活快乐，直播间等你
我的青春啊，从高一到研一。经历了太多
泪目
你们的青春结束了
希望小狗养好伤复出，我不怕被耍
faker
虚空之握通冥府，一声羊来开天门！给那个热血沸腾的夏天！
上帝不会让任何一个人达成圆满，一定会有遗憾
热血沸腾
哭了
真退役了吗
别念了，我哭了啊……
别念了，我哭了啊……
暗影岛，恭送世界第一ADC！！！
南华向路遥致敬永远的神
ig真是污渍的老背景板了
名场面
真的退役了，唉
退吧，
辛苦了神
遗憾
曾经的RNG太强了
人生有路，各自精彩
难得当回背景板
RNG uzi 断开连接  虎牙简自豪已连接
狗生差你一个世界赛冠军
休息一年 然后回来
这个操作仍旧是AD操作的天花板
伤心
lbwnb
哭了
乌兹永远滴神
这一年差点大满贯，真的可惜了
当时的theshy还玩的是正常的上单
污渍，永远滴神!
卢本伟牛逼
江湖再见jzh
乌兹，永远滴神
世界第一ADC
恭送永远的神
乌兹，永远的神
用自己的水银记对面的水银
泪目
乌兹  永远滴神
枣子确实瘦了
失败会让我强壮，机会抓住不放。
这个是真滴难受
乌兹永远滴神
采访的人是谁啊？
瘦了不少
当年有幸看过这场比赛
永远的神
意难平啊！
 扭曲丛林恭送第一AD  carry
谁又能顶得过身体呢
恭送世界第一Ad
跟厂长一样，没有捧起那座奖杯
faker能和乌兹比?faker只能吨吨吨，乌兹有婷婷
后面会有g2那场 满足你个黑子 开心了吧？
这操作放现在也是天秀，top预定的那种
没拿s冠军实在是太遗憾了
水晶之痕恭送永远滴神
Uzi你永远巅峰
乌兹，永远滴神！
恭送第一adc
这个地方我哭了
泪目
forevergod
影流恭送世界第一ADC
其实我这种老玩家也能感觉到我的操作跟不上我的思路了
我也准备卸载联盟了  再见uzi  你好简自豪
乌兹，永远的神
永远滴神
永远的神
污渍永远的神
可惜了那一年…
2年的巅峰 18年那个时候是回光返照吧 看到了以前的乌兹
太久了
扭曲丛林恭送第一ADcarry 简自豪
乌兹，永远的神
lbwNB
莫愁前路无知己，天下谁人不识君
乌兹的巅峰是八年
再见
皇子太菜了
世界第一ADC
恭送无冕之王
lbwnb！！！
UZI退役了，李哥也老了
就是看了这把我才买的vn这皮肤
这段最扎心
扭曲丛林恭送永远的神
结束了，卸载了
雷瑟守备恭送第一ad
这波操作不论放到什么时候都是最顶尖的操作，真的是小说男主角才打的出来的操作了
口香糖是木糖醇不会增加血糖
艾欧尼亚弟子恭送世界第一ADC
这个操作直到现在依旧是adc天花板级别的操作
ig老背景板了
世界顶级操作，没有更极限的了
直播赚钱多了
永远的神
花有重开日，人无再少年，再见uzi，你好简自豪
虽然遗憾！但是你依旧是最强的王者
鞭尸kid
天啦23岁就有糖尿病
乌兹，永远滴神
酒桶被钉墙了，放不出来二段q的
永远的神，我ad的信仰，
糖尿病不可以喝粥是真的，因为粥会使血糖快速升高
哭了
就差一个s赛冠军啊！
眼睛里进陨石了
s3乌兹天天上头，骂队友，咬人
我靠太秀了吧
这个放到现在也是超秀
千言万语汇成一句UZI牛B
回顾一下s8 msi去
ig 老背景板了
恭送神
咱们老背景板了哈哈哈
你永远是的
Uzi，永远的神!!!
我狗。
这是我第一次看电竞比赛，记忆深刻
我在看直播  在现场
口香糖，永远滴神
别了！乌兹  永远滴神 
只是一波rng的巅峰，但也只有这一波
泪目
再见。
恭送世界第一adc
永远滴神
好心疼啊
排面
香锅！！！
然而uzi的id永远都不会刻在召唤师奖杯上
德玛西亚永远相信你 神
再见Uzi
还是IG
恕瑞玛恭送世界第一ADC
意难平啊
恭送世界第一ADC，永远的神
TS
ig老背景板了
祖安玩家恭送第一adc
名场面
只差一个
艾欧尼亚，恭送第一ad
爷的青春结束了
vn我只能陪你到这了
爷青结
战争学院
世界第一!!!!!!!!!!!!!!
就差那么一点点
那一年就差个s赛冠军了
我们是冠军
我的AD启蒙就是乌兹，正是因为他我才开始玩的AD［泪］
加油uzi
倒在了不该倒在的地方
我认为最可惜的一年
不是二型，是2型
..
lpl006再见
"Uzi,再见"
看着看着就想哭
对面AD水银还有两秒
