承包空屏
刚刚
刚刚！
好早～
可以
好家伙
来了！
烫手
我也是第一播放量
呜呜呜呜呜结束了
帅的嘞
来了
我自己好家伙
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好看就完了
难以言喻
哈哈哈哈哈哈
蹭饭兄弟!!!
可以呀
泪目
一分钟！
好漂浪啊
唱的很好 下次别唱了（doge）
一分钟
174恭喜！
歌名《hungry》
好好听
雨哥偷笑哈哈哈哈后哈哈哈哈哈
来了！
1分钟！
爷第一
好温情
刚刚！！！！！！！！
百万调音
一人血书求蹭饭挑战第二季！
热乎
玩尬的
2
不在家不吃中饭
好家伙 1000+了
好汀
这么励志？！一定都不尬了呢
这在街上拍这种东西不尴尬吗
2分钟
雨哥好帅
好听
好听
副歌不错诶！！！
莉莉有点帅的
好听的呀
还挺好听
雨哥有点帅的
不错
蚌埠住了
同济之光，暗影歌手
暗影猎手，帅！
《hungry》
饱了～
早了啊
高产
受害者名单
刚刚
恢复
刚刚
出道！出道！出道！
为什么没有hungry
好耶
哈哈哈哈哈哈
哈哈哈哈哈哈笑死了哈哈哈哈
哈哈哈哈哈哈
牛哇牛哇
感动了
上头上头
哈哈哈哈哈哈哈哈
救命 连歌都这么尬
不要尴尬挑战
太强了
这段真不错！
这阴阳头居然有点好看
调音师的饿梦
nb
热乎
好！
难以言喻
竟然有点温暖
哈哈哈哈哈哈哈哈哈 感动又很想笑
催催下一季
救命还挺好听
哈哈哈哈哈哈哈哈哈哈哈哈哈
在每一个时候
热乎
我出息了
泪目
我出息了！
刚刚
4分钟
到啦到啦
哈哈哈哈
4000了
类目
四分钟！
泪目
有点好听怎么回事！！
芜湖～
《不在家，不吃中饭》
莉莉好听的
燃起来了！！！
雨哥帅的 期待下次蹭饭！
两分钟
哈哈哈雨哥真是幸苦调音师了
泪目
没有hungry我不是很认可
好帅
百万调音哈哈哈哈哈
OK绷
笑场
泪目了家人们
所以到底是白板还是黑板
mv挺帅啊
不在家不吃中饭
合唱竟然有点好听
有点东西的呀
泪目
泪目
期待第二季
才五分钟！我出息了！
Wowo
wow
牛牛牛
难以言喻
泪目
我觉得hungery好听
尬住了
三连有了
好听的呀
MV好评
174万了
好听
已经到了
这是在小区里啊
入口即化
我想和你在一起的时候
好听的
好听
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
来早了
明示三连
趣好听！
哈哈哈哈哈哈哈哈哈哈哈
hungry
泪目了xdm
wo xiang he ni zai yi qi de shi hou
好耶
唱的很好 下次就免了吧嗯嗯
好听
啊哈哈哈哈哈哈哈
hhhh这里有杰伦那味了
帅
受害者名单
哈哈哈哈哈哈哈哈
好耶！
唱挺好的，就是有点拉胯（）
6000
情歌对唱哈哈哈哈哈
帅！
泪目了。家人们
我想和你在一起的时候
6000+看
哈哈哈
雨哥好多戏
有啦
2021B站最佳原创栏目
《恢  复》
第二季见！
我出息了
来电了！
完了，发色一样了哈哈哈哈
泪目
好喜欢这段！
泪目
好听的！
一 件 三 连
泪目
怎么到花少北这里就开始文盲了
6000
雨哥唱歌跟说话没区别
蹭饭有主题曲了属于是
黑白无常
芜湖
ohhhhhhhhh
174万了
难以言喻
这副歌真的好听
6666还挺好听
注入灵魂
入口即化
调音师祭天
phhhhhhhhhhhhhhhhhh
热乎的！！！！
150
暗影猎手，王嘉尔
选择你的队友
难以言喻
bgm《hungry》
四分钟真烫
哦HHHHHHHHHHHHHH
8分钟！我出息了！！
好烫好烫
《助力每一个梦想》
有点上头
九分钟，我出息了
跪求下一季
不在家 不吃中饭
难以言喻入口即化
哈哈哈哈
6000+大家心脏还好吗
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈小花哥哥私信至今未读
别忘约定！
难以言喻
九分钟，饭还热乎
莉莉唱歌好听的呀
泪目泪目
泪目了
8分钟
9分钟
泪目了
“一直陪着我”
终于答应拍亲子照（doge
整整齐齐一家人
“一直陪着我”
下一季下一季！！！
入口即化难以言喻
下一季见
已经被洗脑了朋友们
下一季见
头发好配
泪目
前面的，这就是杰伦旗下艺人的歌
莉莉牛批
唱得很好，下回别唱了
哈哈哈哈拉了哈哈哈
难以言喻
刚刚
难以言喻
《一  件  三  连》
真不错
我可以
怎么写的词啊，好顺口啊哈哈哈哈
这段可以诶
出道吧雨元yue（不是
好家伙还有错别字
暗影歌手
好听
莉莉好帅
撒花！！
泪目
热乎的
感谢
150w早到啦！快快来第二季！
众所周知打电话屏幕是黑屏
笑死了
找个音乐区up合作岂不美哉
入口即化
你别笑雨哥
不许再唱
泪目
泪目
好听
听着听着还真好听了
有点cp感了
细碎细碎
芜湖
6
难以言喻
第二季，第二季
力元君帅的
点赞点赞
ohhhhhhhh第二季！！！
12分钟！
焯
170w了喔
币我给了，本来打算白嫖的
入口即化
为什么又尬又好听
难以言喻
