手工耿江西分耿
我作为一个老宅男，12年就在想设计这玩意了，给我的话，加个保姆鈴，升降枕头等等，机械飞升！
升华了
加油啊
果然b站卧虎藏龙
不应该联合手工耿么？
同市级耶
你币有了！
同江西人！！
这不投币我还有资格追切里？
啥车
投币支持。。照顾好我消防兄弟。。。。
这不@手工耿
龙门吊
哇 江西赣州！我也是
这不是玩儿，这是生活能继续下去的希望，即使瘫痪在床也希望用自己的努力生活
赣州老表！！！！
老表
谢谢你，阿B
肯定三连
这个环节可以找手工耿
辛苦了
原来ipad的3Dmax真的是生产力
谢谢你们
辛苦各位了
周深
加油啊，朱老师
所以要先实际考量一下环境再动工
科技的意义不就来了吗
加油呀！
这叫天蝎座
这也只能在B站了，其他直播平台太... ...
不考虑房子？是这样了
tina!!!
他也是个凭借一腔热血帮助人的年轻人呀
咋不找耿哥啊
辛苦了
xinku le
那岩的字幕君？
给这位老弟来一个振金嘴
客家人，哈哈哈
老表！
先投币在看
投币走起来兄弟们
支持！！！加油
天轨
这不比博燃？
同老家
智慧之光，善良之光
赣州!!我就在赣州!!
客家话
辛苦了
哈哈哈客家话，我是信丰的~
好亲切的感觉
我爱发明剧情
这环境真的不简陋。。
发福了好多啊hhhhh
客家话，上螺丝的
赣州哪里的
赣州老表狂喜
赣州老表狂喜
加油！
一键三连
梦想改造家即将播出，
口音像宁都或石城的？
原来是个消防员，今天才知道。
呀，要带防护镜啊
辛苦了
赣州人报道！
客家话
19个粉丝
致敬
shapr3d不错不错
这次一定!一键三连!
真的很感谢有你们这样的人
创始人还行吧 牌面
加油
太有意义了！
辛苦了，加油
老表
潍坊人民感谢UP！！！
济南？
牛逼
英雄不朽
未来，如果意识可以上传
我爱发明
为啥是竖屏
没有手工耿我是不服的
这才是科技的用途
梅州的
Tim的设备树完美适配
江西老表呀
梦想改造家的味太浓了
好家伙跟我一个地方的！
手工耿那是给人用的东西么……别拿残疾人开玩笑谢谢
赣州人来了！
谢谢你们
你币有了，赞
字幕君摸鱼中
老表啊
三连了，辛苦了！
这个无敌的
很难不三连，感谢自摸君
手上的币留着没用投起来
诶
支持
居然是我们江西人！太感动了
手艺人
电费在燃烧
小爱？
帅哥我来了哦
帅哥老躺着脸有点水肿
前面发原p那个举报不谢
流弊
！！！赣州！好亲切的口音
找耿急思焊，电竞床就变成上刑床
不测量就开搞？
辛苦了
进度条！！！！！
缺一个产品经理前期考察
同江西人
汉
这个错误太低级了
活着就是为了打游戏
官方威武
哈哈哈哈哈哈小机灵鬼
自摸君是你
妈呀太帅了
这是什么车
我擦 我小艾同学也叫了 ？？？
美好的善意
牛逼
辛苦了
祖传手艺
辛苦了辛苦了！！！
字幕君牛逼
ohhhhh
老表～
我也是赣州的
老表
还是得多沟通啊
加油啊！
比亚迪
这个帮忙的父亲也牛逼啊
这啥车？
有内味了~
赣州狂喜！
可曾听闻赣州兰陵王
加油啊
好!!!!!!!!!!!!
赣州的来了
shapr3D
shapr3d，犀牛个p
谢谢你，阿b
游戏仓那种
md不知道为什么好紧张
值一个三连
客家话十分亲切！！！！！！
字幕君 居然是客家人！！！！！
好样的
于都老表路过
三连了
赣州老表 我信丰的
江西宜春路过
优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀优秀v
辛苦了
？？？？？？？？？？？？？？？？？？？？
我丢老表啊
韩杂和哈韩女： 这个床是韩国原创的！ 中国又抄韩国的！
一秒夺走我的3连
我超，江西老表
一般看这个发型就知道是大佬
好！！！
辛苦
善良的心
legend never die
江西老表！
那怎么办阿
我爱发明起来了
赣州哪的 我南康滴
加油
真的是好人
三连赞助
！！！
赣州老表
太优秀了
好帅
朱哥在跑千来神祠哈哈哈哈哈哈
汗都湿透了
COOL！
这活我熟！
老婆老婆
哈哈哈，我刚也想到这种的结构
找肯老师呀
老表
0.-0
都给我投币不要吝啬
哈哈，心里路程也拍下来了
这次一定
1.3万+
必须三连
加油！
老表好！
只要你不失去你的崇高，世界便会永远为你敞开。
啊
感动
6666
影视飓风智慧树
果然二级号都是大佬(doge
牛逼
辛苦了
字幕君桌面改造NB
[ohhhh]
小爱同学太棒了
小破站卧虎藏龙
hifi音响
牛逼
加油啊！
感动！！
所有的设计必须实地看了了解后才能下手   字幕君太按照以前的想法来做了 这是一个很好的学费
比亚迪汉，可以
直接挂棚上和侧墙 做可以上升的  然后向墙折叠
果然  一家人都是手工活高手
期待
ohohohoh江西老表！
刀剑神域
右侧碍事 有脚轮也不行
不行 看到这个灯带我笑了 这是要改迪厅吗？
牛
投币了
叔叔好牛
致敬
我超老表
PMP欢迎你
真的大爱
白嫖失败了
手工耿上刑床了
哎呦，还是车友哈
可别影视飓风了，恶心
江西老表
好耶
亿点点信心
设计师的晴天霹雳:都拆了吧
做东西前居然没实地考察
两个我都关注了~喜提
赣州老表!!!
为什么动不动就焊接呢，特别是氧焊，长期负重不够牢固，而且不利于调整。
 直接三连。
RGB!
找手工耿不会变成上刑嘛。。。
只要你不失去自己的荣光，整个世界将为你打开
辛苦了，加油！
我觉得可以和刑部尚书合作一下，他鬼点子多说不定有惊喜
江西做铝制品的很多
别特么CP脑看谁都按头，很不礼貌
致敬！
加油
自摸君牛哦
棒棒哒
赣州人集合！！！
客家话
你也玩
江西老表
有央视那味了
为什么只能三连?
山东粉丝报道
没人吗？
身为江西赣州的老表，我为你点赞！
祖传技能。
投币了
小爱打钱比亚迪打钱
江西老表
辛苦了
致敬
