视频有点长，前面可能有点无聊但看到最后一定会有收获的
三个狗都一样的屑
真实
只能认出大虫子
差生，坐最后一排就真实。
好家伙
有人
一定要看完
有人
火钳刘明
真正黄帽土木狗是不能回家的
一定看完
同款挖掘机玩具
长江七号
有人吗
他瘦了
不详的预感
用胳膊肘打人屑狗
泪目
泪目了已经
鲁迅 画像 瞩目
我感觉你们在欺骗我 
别刀啊
还好没刀
请务必看完
别给刀呀   真受不了了
全自动犁地机
带制作
啊
长颈鹿？
啊……
长颈狗
这不一直在看下边？
这场景像极了我奶奶去世的时候
真实
越是安慰越是害怕啊
是狗胳膊肘打狗（指正）
我来组成弹幕
草 这一幕蚌埠住了
火钳刘明
火钳刘明
努力吧
晚上的我↓
没有
危
长颈鹿是无情的生物
《狗砸》
呜呜
一共就几个人（狗）的屑班级
看下去！！
好  大  儿
十五磅六便士
人生不就是这样的吗
我先来：谢谢你，Cheems
长江七号
活着
70后父母和90后孩子，很多都是这样子
泪目
好有意思啊。
有
哈哈哈哈哈哈
一块一块的纸币，很细节了
↓这是鲁迅吗                         
立flag了吗？
秋日的私语
刀
泪目
卡莎 大虫子 大嘴 牛头 鳄鱼 右上角不知道
他爸是工地打零工的，不是管理人员
有
是为了什么?
拿屁股滑过去的
are
乡村学校应该不至于这样吧，毕竟大家家境差不多？
网抑云还行
相信我，你不会后悔看完这个视频的
有
刚才已经是城市学校了哟
泪目了
这对话听着怎么这么像在听英语听力
厄运专找苦命人啊
细节转场
英语听力？
不行了 我先走了兄弟们
内容精彩，请勿划走（doge）
炸弹人
英语听力
进度条感人
请看下去
他是全村希望
有嘞
要刀了吗呜呜呜
全班的狗就他不一样
？？？
417人，现在是凌晨12点半，你们好
泪目
看下去吧，你不会后悔的
雪上加霜了属于是
四百五十一个人你好
咋还流口水了呢 
最后一排就很细节
细节地活在了阴影里
原道？
他爹工地，他妈锄地
iPod Classic?
夜曲——肖邦
求求不要破坏弹幕氛围
秋日的私语
绷不住了
KDA卡莎，大虫子，克格莫，牛头，吉格斯
可能是因为太阳大了想乘凉
提莫牛头大嘴阿狸
别刀我啊啊
不是靠窗倒数第二个位置差评
网易Cheems
我要这币有何用
太真实了呜呜呜呜呜
这200多人还不睡觉吗
2:51   两百多人
这不是猴父子么，有钱人啊
189人…哎
