好快！
来了来了
好耶！
好耶
三连送上
新年快乐！
好耶
难忘今宵！！！
来咯！
好家伙你真快啊！
新年快乐！谢谢榜一大哥！
好耶
来了
录播来咯！
忘了直播的事儿了，泪目
芜湖
好耶
可太棒了…
竟然你已经看到了，那么证明你已经不是第一个来的了！
这么快！
好耶
新年快乐！！
抢座
好快
好久不见
来咯！太厉害了
绝
看到我你就不是第一了
再来一遍
我永远喜欢明日方舟！
来力
新年快乐！！
新年快乐！！！
新年快乐
快！
好快
芜
新年快乐
？？？？
承包空屏
新春快乐！
好耶！
我的第一款二次元手游就是明日方舟。方舟对于我来说真的就像是伴侣一样倾入了太多情感。做的精彩的时候会欢呼雀跃，并发自内心为她感到骄傲；做的拉垮的时候会闷闷吐槽，但之后的日子还要接着过。希望明日方舟能越做
再来一遍
好耶
dameidanei
再来一遍
好耶
好耶
诶嘿
芜！！！
好耶是moko！
有点生草
新年快乐啊～～
新年快乐呀~
兄弟们我来了
几秒不见
啪的一下 很快啊
好耶！！！！
我超这在线人数
新年快乐，感谢大佬们！
来了来了
来咯
几秒不见 甚是想念
新年快乐！
过年啦
重铸未来
好耶
黑道西西里人：耍我啊喂！
草
牛牛牛
！！！
好耶
《抽 奖 分 母 集 合》
几秒不见
过年！
一秒不见，甚是想念
来啦来啦来啦来啦来啦来啦来啦
什么狂野大镖客
你们管这叫二创？
好耶
我使用时间穿越！
快住手啊！这已经不是二创了！
好耶
感谢官方送的88888
死亡搁浅的fragile哈哈
你 被 骗 了
贴图错误
好耶
ok
是博士，博士上山了
合金装备
欸？啊哈哈哈哈哈哈！拜年祭来喽！
哈哈哈哈哈哈哈哈哈哈哈
新年快乐
飚的真快
前一小时没看 现在再来看
呼噜呼噜兔兔头
新春快乐
→helltaker
哦吼吼
好快
新春快乐
王雷
芜湖起飞
你的鱼丸能放生吗
我饿了hhhhc
来了来了
经典节目背刺海猫
后面那个路西法！
各位！今年所有的拜年纪和新春会都是无限的精彩 []~（￣▽￣）~*无需也不需要比较，客门！
异客.jpg
新年快乐
先来复习一下
奇怪的东西混进去了
哈哈
ace大哥！！
好耶
是9S的入侵界面哦
几秒不见，甚是想念
草lio
坐等弹幕慢慢看
三连拿下
X5V5T2QQBYL2AU5T
牛逼！
哈哈哈小兔子这眼神
几秒不见甚是想念
wryyyyy
几秒不见甚是想念
368888
cao
草
赞赞赞
几秒不见甚是想念
moko老师这是真的好
HSO
弹幕嘞
新年快乐
呦西呦西呦西呦西
2D变像素可还行
再来一遍
龙门的士佬佬
草
我这辈子都喜欢玩明日方舟！
這粵語連龍門人都聽不懂（
好看
冬将军?
斩服少女和凛冬的梗哈哈哈
草，Fragile速运
波奇塔！好狗狗！
新春快乐
c，斩服
大家新年快乐(✪▽✪)
兄弟们，有呱（doge）
新年快乐！
不！
凉茶？
万恶的披风.jpg
新年快乐
这是ACE大哥吗
几秒不见，甚是想念
草
。。那么多人看一个发弹幕的都没有。。
新春快乐啊诸位
几秒不见 甚是想念
流子
离谱起来了
哈喽大家
壮我大剪刀！
开了
追啊
考哥……
新年快乐
巧啊
缺家哈哈哈哈哈哈哈
新年快乐呀
7355608可还行
死亡搁浅的快递箱草
火云邪神
草
真棒
finally mart233
哈哈哈哈哈哈哈哈哈哈哈哈
后面那个女的是helltaker里的路西法？
路西法
草，蚌埠住了
两个多小时还只是上，我要看到几点钟啊！！
祝大家新年快乐
海报
弹幕？
路西法？
大家新春快乐
X5V5T2QQBYL2AU5T
话说爷不应该用嘴来泡面吗
润了
！！！
好长啊
缠凛冬，你怎么在这？
W老婆新年快乐！！！！我爱你！！！
草
画风突变
牛逼！！
来了来了
芜湖
一边跑步还一边吃饭的屑博士
背景过于生草
helltaker?
ace?
自 投 罗 网
是马文！
几秒不见
凯文 出现在伊桑的密录，是龙门市区的空降兵
好耶
这里是  龙门
谋杀博士未遂
高技术力
养养弹幕明早再来看
斩服少女！
太猛了，真的太猛了
好耶！
混入了刀子（方舟传统异能
大哥??
这个作品真的是在牛逼和生草之间来回切换
1.6万个小伙伴你们好
开始了哟！
这是二疮？
还得看爷~
新年快乐
见证空屏
刀客塔——
错过去了
好耶！！！
草 斩服
喜欢
景页？！
这是哪个游戏里套箱子潜行吗哈哈哈哈
预热没有嘛
啊这
合金装备
客门
ace大哥
龙门币没了
墙上有锈湖的海报
草
大哥
没字幕吗家人们
馅挂炒饭（
现在弹幕还不多偷偷吹爆
新年快乐
大哥!
Ace
ace你为啥只是看着
来咯
草，摩托初号机配色(
倒放可还行
新年快乐大家
斩服少女！漂亮！
无限循环
阿基拉（草
预定领奖
新年快乐！！！！！各位
明日方舟yyds！
明日方舟天下第一
淦突然一刀
合金装备草
来咯来咯
1.8w
你的鱼丸上过大学么
ACE大哥！
可恶，我也想抱着阿米娅跑步
屑天使
ACE草
大哥！！！
扛着人跑全马的屑
这里是武汉吗哈哈
大哥
缺家哈哈哈哈哈哈
初号机配色摩托！！！
马拉松啊，呼叫临光 耀光 姑妈！
左下角的海尔兄弟
和阿米娅一起攻克难关
云龙你怎么只是看着啊
草，普罗米亚里的lio
就是这里，直播被吓了
凛冬你为什么在这里？
来啦
阿米娅智慧的眼神
好耶！！
哟，是你啊.jpg
草，怎么还有黑山基地
有人吗？
新年快乐
来个人翻译一下谢谢
动作指导：成龙
厉害
再来一遍
我永远喜欢明日方舟！
要来力！
恭贺新禧
666
屑能天使，都不载我一程
认错了啊
死亡搁浅草
moko老师画的片头诶
阿米娅跑不动了
明日方舟！
画风突变
死亡搁浅！
哈哈哈神tm东炎重工
几秒不见
阿米娅：要不是拖这博士老娘早就追上了
ACE!
护住了阿米娅！
ACE！
几秒不见
死亡搁浅快递车
几秒不见甚是想念！
不愧是爷
新年快乐
普罗米亚！！
？
明日方舟，未来启航 
好耶
全民马拉松草
草
几秒不见甚是想念
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
啊啊啊啊大哥
承包空屏
几秒不见，甚是想念
马拉松哈哈哈
几秒不见甚是想念
斩服吗
草，死亡搁浅
异客.JPG
扛着兔兔跑www
承包空屏
普罗米亚诶
还真是路西法
这个好像米尔人的车子啊
爷体力真好
淦，你没被烧死啊
你们企鹅物流的车这么大的？！
新春快乐
ace——
ACE大哥！！！
明日方舟，未来启航！ 
几秒不见，甚是想念
ace
两万+！
后面有superhot的报纸
原来是追错人了
爷——
弹幕大军冲！
♂
夜驱
杨颜？
都在看谁有时间发弹幕
来了来了
主题上线
弹幕呢
有点意思
草
？？？？
ACE！
弹幕太薄了！
我也想抱一抱
缠流子哈哈哈
啊，哈哈哈，生草了
太强了
大哥！
哈哈哈哈哈哈哈哈哈哈，一般路过身娇体弱博士
草73556008
斩服少女
好强
大哥
tql
新年快乐！
死亡搁浅
像素耶
兔兔好可爱
大哥！
不对啊你箱子不是上锁了吗（）
利奥！
你们怎么敢把这称为二创的啊喂
好耶，好耶
这里是在玩声优梗，斩服少女缠流子和凛冬同一声优同黑发挑染红
焯
笑的我…
我超 斩服
方舟永远的神！！！
费用加二
焯
草
7355608hhhh
路西法哈哈
ace，你为什么只是在那看着，难道我们不是朋友吗？
这车上有陶瓷吗
大哥！!!
我也想rua兔兔，兔兔好可爱！！
兔兔可爱
死亡搁浅的卡车
带劲
这粤语我会也听不懂
♂
考哥
斩服
新年快乐！
好耶
博士，开始坠落
被骗了
一个字也听不懂。。。
天气之子可还行
送小羊回家！
斩服少女！缠流子！
图穷匕见
草
方舟要越来越好鸭！
《博士，我们要撤退了》
抓错了 …
Ace!!!
ace大哥！
几秒不见
在认真看
我看的英文才看懂
草
17分钟!
一般旁观火云邪神
乌鸦先生
等等，为什么要给手机安自爆系统？？
几秒不见，甚是想念
牛逼的啊
魔王
ACE大哥
离谱
9s！！！
阿米娅
新春快乐
这不是米尔人的卡车吗哈哈哈哈哈
再来！！
异客.jpg
焯，边吃面边追还行
补票啦啦啦
飘过的蓝白碗
异客.jpg
幻痛检查点草
死亡搁浅草
没看懂
兔——兔——
斩服少女！
缺家可还行
o&hhhhhhh
新年快乐
疯狂的麦克斯哈哈哈哈哈哈
c
ACE吗这是…
好耶！
追错了
雀食
有人吗
阿能！
