no1
1
0条弹幕？
来啦
？
前排前排
啦啦啦
汉尼拔
沙发
刚刚是多久？
热乎！！
1
1
热乎
好家伙 第三
感觉防不胜防~
第一第一
！！！
一分钟，热乎
刚刚
少年老成
有房！！！！
来了
儒雅随和
1播放
哇，第一次前排！
头一次老得这么早
我太早了
第一，许个愿，我希望。。。
刚刚
1分钟
1分钟，热乎
热乎～难得～
哈哈，唯一一个婴儿照能认出来是谁的人~~
热乎的
1分钟
1
热乎的
一分钟 热乎
真热乎的一分钟
早啊！弹幕这么少
蹭蹭
又定义回去了
同一屋檐下，阿斯伯格的她
每周三八点四十五准时
2min
帅起来了
666
2分钟
你聊汉尼拔  那我必须三连了
两分钟 烫的一批 
好帅呀
热乎热乎
《儒雅随和》
餐饮特长
烹饪特长
2分钟
两分钟
你们都住在B站吗
老张牛皮
拔爷
他来了他来了
q
热乎乎
梭哈理查德
汉尼拔大叔
来早了
我来了
这都有玩dnf的
他还是奥丁
象人，超爱这部电影
热乎
不是广告就先投币点赞
热乎
三分钟，热乎热乎
3分钟
三分钟哎
关上三分钟大门
你还记得自己吃过多少面包吗？
一分钟，来了
大卫林奇！
宋小宝
霍普金斯大学和他有什么关系吗？
无人区？
四分钟热乎
福岛产物
真是没变样
安东尼• 霍普金斯牛逼
大器晚成
今天更新的早
5分钟
等到了
冬狮 赫本奥斯卡代表作
5分钟！！！
热乎
四分钟
名场面
热乎·········
】感觉笑场了他。。。
5分钟
六分钟热乎
看到都怕
五分钟。。。趁热，趁热。
来了来了
像憨豆
哈哈哈哈哈哈哈哈哈哈或或
日本表示司空见惯
66
热乎的
哎 现在国内一些所谓演员都没眼神 成了面瘫
6分钟热乎的
哈哈哈哈哈哈哈
hhh
这角色 戏给足了
热的
居然是他演的
早了
渣渣到河北省去
七分钟
汉尼拔
日本领导层应该看一下这部电影
咬他咬他！
确实
谁谁的父亲
住在b站
来啦！太经典了！
好可爱
八分钟  热乎
从小就张这样
大象？
西部世界
8分钟
口味独特
刀斯林狂喜
国内年轻演员学不来
柏顿是巨星中的巨星
热乎
迈克斯危
8分钟
演技好的眼神一定有戏 演技不好的眼神啥也不是
1
沙发
牛批
来了来了
11
全体起立
汉尼拔
热乎热乎
牛批
全体起立
《儒雅随和》
长的就是一张会演戏的脸
起立！
哈哈哈
气死偶嘞
哈哈哈哈
四分钟 赶上了
气死偶类
超级喜欢霍普金斯 太厉害
渣渣
十分钟，还能吃
结合时事
国内年轻演员学不来哦
最喜欢的演员
已经开始害怕了
“儒雅随和”
我到河北省来
惹  我可以
弗er～
我到河北省来
85
李马，当时给爷吓了一跳，还以为是真的变态杀手
本土化翻译：大阿哥
笑死惹
渣渣！
新鲜189
英国好演员每一个都是话剧出身
全体起立！
199
啊啊啊前排了
烫嘴
大师
？都是一个味儿的吗？
年轻时的摩尔真美！
、
来了！
这说的不就是我吗？、
老爷子厉害了
握草，这个版本居然是他演的啊！！！才知道
握草
克劳伦斯也太好看了！
新鲜的
哦哦哦哦哦哦哦
今天刚搜了沉默的羔羊
名场面
没内味儿
哈哈哈哈哈哈
我去，神了！
完全想不到
用德国口音的英语硬喊出来的hhh
没人来  先占个这个位置
没看出来啊以前
汉尼拔
热乎！
漂亮怪哪去了？
神了
漂亮怪哪去了？
漂亮怪哪去了？
挺帅的
超喜欢的老头子
安东尼霍普金斯爵士
他和他妈妈长的好像！！！
儒雅随和
原来是他！
热乎热乎
哇 这个前几天刚看了
第一，哈哈哈
影史上最血腥残忍的人，但也是一个魅力非凡的人，这角色太矛盾了。。
哈哈哈一模一样
儒雅随和
雍亲王不服
帅得不行了都
热乎
热乎
话剧 是个技术活 所以出的来的都靠谱
年轻的霍叔我真的可以
来了来了
你发关于霍普金斯的视频可不要又毒奶了
《儒雅随和》
这是汉尼拔本拔
83就离谱
河北省是啥梗
啊？
holy crap
小时候看过
鬼子就进了中原呐
狮心王大战萨拉丁
差不多一样  哈哈
开课啦，17 分钟
我鸡皮疙瘩全起来了
奥丁
沉默的羔羊中这个演员超神了
沉默的羔羊！
这声音
长得帅
不眨眼，还在流泪
小尼拔
热乎乎的
这是朱迪福斯特 不是摩尔
辛苦
阿斯伯格综合征不是精神疾病，会让人注意力极其集中，无法兼顾身边的事，看起来有一些不正常
一直以为老爷子是意大利人
反差太大了吧，谁会想到这是汉尼拔那无言恐慌的眼神
先赞再看
但是正是这种疾病，会让人对热衷的事业特别专注，有很多的顶尖大佬都是这种特殊疾病的患者
有内味儿
芜湖
这脸辨识度太高了
英语6级的经典场景
原著小说 赞美英国皇室的虚伪
说到双峰………培根悖论！！
啊！！！！！！！
真正的汉尼拔
丘吉尔！
帅
热乎
儒雅随和
和大象？亏他们想得出来
汉尼拔本拔
血——钻——
小时候长的都这么害怕人
前边的，这是朱迪福斯特，不是朱利安摩尔，摩尔在下一部。
嘴巴恐惧，眼神怜悯
这个眼神汗毛都立起来了
卧槽这眼泛泪光 说来就来
老天爷赏饭吃
好可爱
英雄不问出处
福岛福岛
看了五遍！最爱的电影！
热乎……
跟妈妈好像
跟妈妈太像了
没内味
可惜就是秃头
不行。没那味
热乎 热乎
雷神之父
阿巴阿巴
儒雅随和!!!!
先赞后看
全体起立
著名高尔夫球运动员加雷斯·贝尔
日本排核污染的水
身高也是硬伤啊
不是星期三吗
laila
起立~
加雷斯贝尔
渣渣
是不是有本书写的这个
我是看了他的爱尔兰人
我到河北省来
弹幕？
我怎么感觉像本山大叔
因为英国戏剧极为发达，就哈姆雷特就够英国人演好几百年了
好家伙 12922个一起在看
广告？
老张我来啦，刚发就12500+的人
。。。。
这面部表情是多牛逼才能演出来
神了
哈哈哈
最后一期
摩尔你妹，朱迪 福斯特
热乎乎
长得让人嫉妒得那种
双峰哈哈哈
中国的好演员也有很多是话剧出身
原来是高中双语读物《书虫》里面的故事呀
有内味了
我到河北省来
熊0
自闭给了他另一个世界
哈哈哈
所以现在国内大银幕真正被称为演技派得那群中生代基本上都是话剧舞台出来的
铁齿铜牙汉尼拔
起立
房间整洁无异味
击剑
天呐，这个泪！
来了来了
完美的鼻子
原来是他啊
霍叔永远的神
老张可别毒奶了
来了
这是漫威的奥丁吗？
1111
惊了！
烫
卧槽
这时候发际线就开始危险了
前两天刚看了沉默的羔羊，然后看了老张的解说
前排叉叉叉
汉尼拔
蹲着这个好像西恩.潘
omg
我的白手能打过柔道，绝对没问题
看好这部
土拨鼠日记？
是你！汉尼拔！
好漂亮啊
完全看不出是霍大爷。。
老偶像啦
儒雅随和
基因太强大了
他完全不需要奥斯卡标榜，谁敢质疑老爷子演技
渣渣渣渣渣
好家伙打小就这样
半小时五万二？离谱
梁朝伟：眼睛说话？这个我熟
呜呜呜老头子，爱他
来了来了
我到河北省来
别说，《少年汉尼拔》那个主演还挺像老爷子的
只是未到认命时
没内味
中国好演员也是话剧出身
我到河北省来，，
热乎的
《儒雅随和》
看的第一部恐怖片
拔叔
卧槽牛逼
哟，从小长得就一副魔像
居然是他演的。。。
前天刚看他的电影
我靠，这里特别像越狱T bag
汉尼拔似李
淡眉毛，淡眉毛很有辨识度
像
气死偶类
热乎
热乎
是他演的？我怎么不信
这样都能做影帝，太牛逼了
终于来了
第一次这么早
好帅我的天
《儒雅随和汉尼拔》
下一部 才是摩尔
啊！眼泪是真出来的！
@日本
居然是霍普金斯
不是变态就是gay
哈哈哈哈哈
从此这就是我唯一认可的汉尼拔
凯瑟琳赫本
热乎的
少年。。。汉尼拔
阿巴阿巴
终于等到你还好没放弃
热乎
老张可以
汉尼拔的老年生活
帅啊
你个渣渣，气死欧雷儿！
看不下10遍
西部世界的时候第一次认识这位，瞬间佩服了
大象？？？？
不晚不晚，关键是要有合适的角色
差黄晓明，鉴定完毕
儒雅随和
击剑
早
核废水
好可爱啊
居然还不是讲炮灰团
西部世界看过他
哦这个是他啊
儒雅随和
汉尼拔
去年上海电影节看了！
到底啥时候能讲炮灰团呢
热乎
没内味主要是说的英语，气质有了
我的DNA动了，草（一种植物）
约翰霍普金斯
这童年也太难了吧
中文你读久了，文字颠倒也不影响你理解，英文颠倒几下就成乱码了
T-bag是不是学的这个，感觉很像
前两天刚看的cctv6第六感生死缘，有老爷子和皮特
31
foer
没有嫂夫人没有灵魂
卧槽！原来是他
真的眼睛超有戏，后面的沉默的羔羊大家都知道的
西部世界
其实是个老二次元
双眼皮好优雅
二十年后的日本人
B站有这部
老爷子牛
神
结合时事
配角成了主角
他是立志要泡伊丽莎白泰勒吧。。。。
必须先三连
房间整洁没异味，不是变态就是gay
热乎热乎
好事多磨，大器晚成
比喻好贴切
励志啊
害怕
全体起立
这部演技真的好
.........
沉默的羔羊里塔也不太像主角，然后拿了个影帝。。。
小小年纪就一脸慈祥了嘛
cong从小就长的这么老
这是朱迪福斯特
热乎的52分钟
哈姆雷特？
真实
为什么出道就变丑了
全体起立
吓死我了…鸡皮疙瘩竖起
法国士兵
原来是阿斯伯格
我擦  是你
全体起立
是同一个配音演员还是咋地 哈哈哈哈
气死偶咧
55分钟
摩尔？你在钓鱼？这是朱迪福斯特
害怕
一个是野兽，一个则是魔鬼
离谱
83了 
哈哈哈哈哈哈哈哈哈
真.儒雅随和
强力推荐象人 视觉镜头很成熟 
费雯丽女神前夫
吃货
血钻呢
声音挺像啊
来了来了我来了我来了
这个电影把我直接看哭了呜呜呜
热乎的
土拨鼠之日那是比尔·莫瑞。。
长得一毛一样
这
凯瑟琳赫本，女神
卧槽
你也不看看莎士比亚哪里人
年轻的时候好帅啊
到河北省来
这个时候凯瑟琳已经帕金森了应该
卧槽，终于更新了
《儒雅随和》
来了
渣渣
汉尼拔
我好爱女主
汉尼拔博士
沉默的羔羊？？？？
热乎
朱迪女神
日本
这对面是比尔 奈伊吗
听说这部电影会在国内上映
热乎
最喜欢老张讲 人物传记
我TM都笑了~~~象鞭 那么粗，你野合个给我看看~~~
第一部是朱迪，之后是摩尔
芜湖
一小时热乎的
我现在才知道是同一个人
游本昌有段镜头和这个如出一辙。
长相随妈
是你小子！
朱迪·福斯特
长相随妈
.....
大阿哥？？？
他，定义了儒雅随和
我滴男神！
这是朱迪福斯特
朱迪  福斯特
河北
17887人正在观看
已白嫖
全体起立
朱拉拉真美
汉尼拔
.6
儒雅随和可还行
强尼沃特
惹，你又可以了，大母零
东电
一脸慈祥
秒变大叔····
最爱大卫林奇
小小年纪就有一身横炼的筋骨
好像贾老板
什么！ 原来是他！
突然发现我看过这部电影额
威尔士还有高尔夫球明星:加雷斯贝尔
最爱啊
贝尔 吉格斯 拉姆塞
朱迪安摩尔
我从河北省来
如果不是吃人真的好难抗拒
来了
汉尼拔
sorry是福斯特
哈姆雷特
这不是摩尔是朱迪福斯特
这张就很像鬼娃娃花子
摩尔是2的女主 这是第一部 女主叫朱迪福斯特
老爷子yyds
天呐我跟着愣住了
表情包
哈哈哈哈双峰的催更无处不在
红字结合时事
咋看都是汉尼拔本拔！
引人入胜
是理查，不是亚瑟。。。
结合时事
女的是个同性恋
象人是神经纤维瘤，病例都很可怕的，可怜
牛逼
这是朱迪福斯特
他还演过佐罗吧
谁这么牛逼
摩尔雪白雪白的
热乎的
英国人。。
老张你一提双峰，我就忍不住暂停去另外一个UP那里催更了。
结合事实
紧跟时事
雷神他爸
我到河北省来
岛都没能统一
儒雅随和
ba O yong
我也是啊
儒雅随和汉尼拔
血钻嘞
渣渣！
起立
不一样的演员 同一种味道 河北男孩
拔爷
东木大爷 也很年长吧
你这个贝尔我笑了，哈哈哈哈
学到一个词就乱用  几年十几年的底层磨炼 被你说成老天爷赏饭吃？
你快勒马
见老爷子直接三联
基因强大
卧槽，真没认出来
来了
一万多人看就离谱
自律的人会更加可怕（特别是犯人）
吉格斯
这是我认可的唯一汉尼拔+1
哈哈哈哈
伊丽莎白泰勒太好看了=。=
来了
是管家侠么
热乎
这是朱迪福斯特，神他妈摩尔
见封进！！！！
美啊
实至名归
博士太有魅力了
17363位朋友
气死偶咧
17304
变形金刚里的伯爵
天空是蔚蓝色，窗外有千纸鹤。
查令十字街
哈哈哈哈哈哈哈哈哈
福特
终于说到我的男神了
马德渣渣
火云邪神穿拖鞋
小鲜肉好好品一品这段和“面瘫”的区别
应该不是同一版
没认出来牛逼
全体起立
霍普金斯是唯一让我看电影起鸡皮疙瘩到演员
朱迪福斯特在节目上说因为他演的汉尼拔而害怕跟他说话hhhh
我们国家老戏骨基本都有话剧经验，那是技术活。
热乎
進度條很有誠意
哪只日本，排出后全世界都一样
功夫致敬过这一段吧
最爱的老爷子，终于可以发第一条弹幕了
起司偶咧
现在看见双峰就想催更
伊恩拉什
沉默的羔羊
奥丁
血染雪山堡的那位？
83了？
牛壁
双峰是隔壁崔哥ヾ
卧槽，能控制眨眼开度的绝对是神级演员
传说中配角凭演技硬气拿下奥斯卡最佳男主角，真是没谁了
热乎
看到老爷子直接一键三连
双峰 是隔壁催更的双峰吗
+
三岁看八十
来了
大阿哥
狮心王
恭喜
终于来了
《遥远的桥》里也有老爷子
来了来了
老弟，你终于来了
太帅了！
理查是二儿子
厉害
我到河北省来
有一丝丝保罗麦卡特尼
我，定义了白嫖
谁还记得肖恩康纳利
暂停欣赏我女神朱迪福斯特
，
@苏牙
汗尼拔永远滴神
太恐怖了
重点是拿过了
食人魔
来了来了来了
一小时
帅啊！
鹿晗觉得他的演技不大行
18000 流
来了来了
hello  宝贝
全体起立
来了
凯瑟琳赫本影后IBA
凯瑟琳赫本大神
国内好多来自话剧的电影演员，可惜大多都没搞清楚话剧跟电影的区别就开始拍电影
这个笑容就很恐怖。。。帅到我心里
我记得当年彼得奥图尔当时提名最佳男主年纪也挺大的了
我男神
我男神
伯顿！！！！
我还有希望
摩尔是02年那部的女主
18560位朋友你们好啊
-*++
唯一的汉尼拔
好莱坞四大天才演员
演技太好了
鸭儿哟
国内好像话剧好的演戏也挺不错的
1
经典就是不一样
是朱迪福斯特，两届影后
帅气
凯瑟琳赫本
朱迪福斯特了，两届奥斯卡影后
国足打威尔士0：7 吗的
！！
楚门的世界永远的神
.
奥斯卡最大怨夫彼得奥图尔
劳伦斯奥利佛儿
这皇宫真寒酸，简直就是家徒四壁
因为话剧本身就极其考验演技
朊病毒？
童年阴影。
蓝礼
人家是大皇子
汉尼拔
英国的酒吧 额 没毛病
气死偶类
少年汉尼拔
他好邪恶帅啊
特长：长的帅
拔叔
儒 雅 随 和
the war of rose
国内的好演员基本也都是话剧出身
挺帅的
19318
这能说是大器晚成吗？
这气质
哈，水循环，台风下雨以来，核废水照样到内地，大家一起没吧
热刺名宿
汉尼拔！
绝
我居然看过
和我姥姥同岁
全体起立！
他的眼神好和善 含泪就好乖
弹幕好矫揉造作啊。。
我去？那些人去野合一个我看看？
也可能是盲目自信
？？？？
好家伙三岁就长成型了
勇敢的心，我爸最爱的电影
封神！
中国也是
是你奥丁
西部世界
看封面就知道食人医生来了
超爱这部电影
泰勒啊 女神
名场面
热热乎乎
先投币再看
19577人正在看，，，真实
这是我幼儿园时期我爸拉着我看的，我怀疑我爸是后爸~~
男同志！？嗯...正宗英国男人
从吃面包到吃人，这中间到底经历了什么！！！！
童年阴影 中央六套
窝草 看过
拔叔
好久
全损
全体起立！
DNA！我的DNA
直接投币
啊啊啊啊啊象人
这个形象堪称童年阴影~~~
来了来了~~~要来了
起立
7470
长命百岁
亨利是你吗？
啊？？？是他吗
烫
儒雅随和
我只用俩字：卧槽
拉姆塞
我厂拉姆塞
男神！！！！
重新定义儒雅随和
想到日本的核污染，会害到多少个未来
到东北省来！
男神！！！！
提前NB
先投币再看
哈哈哈哈哈哈哈
出柜这词就是这里来的吧
先赞了 明天再看
哈姆雷特的扮演者
全体起立
还很有自信。。
啊？！
汉尼拔。。
竟然是他
这里这个发型看着有点像迈克 道格拉斯
你叫着吃人的兄弟 是随和？
只有在舞台上历练过的人才配叫得上演员，正统演员都是表演过舞台剧的
开水瓶见过吧... 那个直径  真的 有那个想法都极难实现
发哥  牛皮
儒雅随和汉尼拔。水枪肥宅小李子
热乎
奥立佛儿
全体起立
还帅。。
拉姆塞
嘤国特色了属于是
震惊。居然是他
他的眼镜太zhuans
这么帅还得不到关注
朱迪福斯特
左眼先流泪
罪犯的标准开局，却被老爷子改写了
坲，，
英国演员基本上都演过哈利波特吧
真的漂亮
看见霍普金斯就投币了！
和达叔起伏相似
独善其身用错了，就说坚持不同流合污嘛
国内还有演员是歌手出身，笑了
不愧是腐国
像憨豆先生
1
大器晚成
牛逼
朱迪福斯特
西部世界
十四分钟影帝
Thats why Im 悲愤！这星期……
啊？？这是怎么控制的啊？？
腐国  哈哈啊哈
九子夺嫡
热乎乎
帅
安东尼和艳后
我到河北省来
。
麦嘉有点像他
你女神是个拉拉
。。
d
爱尔兰人里不是他，不懂能不能别乱说
百年义利
地沟油喝多了
du
90
确实像paul
他还是奥丁
时长安全
给老爷子热热
FGNB
演员最top
还好是个白人
行吧，又是自闭症又是一个疯子和天才左右横条的家伙
来了来了来了来了来了
FGNB
感觉长得像图灵
热乎热乎
出演时间最短的影帝
格拉摩根伯爵
我去  安东尼霍普金斯
核废水
什么？！！居然是他
太像邱晓冬了哈哈
Top读踏谱？？？？？？？？？？？？？？
汉尼拔老了呀
呜呜呜沉默的羔羊真的真的好好看
名场面
汉尼拔真的童年阴影
到河北省来
五十岁就已经绝顶聪明了么
哇 看的适合都没发现是他 完全不一样的感觉
看到这，我感觉有人在吃我的大脑
衣着整洁没异味
点赞投币再看
累死，生产队的驴都不敢这么笑
居然都是一个人啊！
儒雅随和，哈哈哈
保罗麦卡特尼
原来是你
冈茨老爷子和霍普金斯老爷子演的如出一辙
奥丁
yyds
天赋型选手
吃人峰 fgnb！
你管这种心态叫自闭?
感觉up的麦有点破音 有人跟我一样吗
汉尼拔
咩～咩  卡玛一嗦！
老戏骨！
一不小心就变成影视经典了
不是同一个人。都什么眼神啊，晕～～～
什么叫国际巨星
西部世界老爷子啊
利害的老爷子
原来是他！
来了来了
汉尼拔嘛，我说好像嘛
热乎
+
来了来了
他马一脸厌恶
星爷劳资爱你
沉默的羔羊
齐达内：wdnmd
奥丁
卧槽  巴基
这童年难？还比较正常 不要以为没有诊断出精神疾病就不会如此
果然天才都和普通人不一样
还是很帅的，特别有气质
感觉越老越帅气的
声音那个是变的？
日本核废水排放我是真的怕
汉尼拔无敌
安东尼·霍普金斯太爱了
老了更帅
带嘤传统
化妆了看不出来
好看
帅
帅啊
我从河北来
那个 问一下控制是指控制什么？那个泪滴落后眼睛继续睁？
就尼玛离谱 10000多人看
不是一个人，是另一个演员，但这段两个人很像
这个就可惜脸不大像 气质有点内敛
看得我鸡皮疙瘩都起来了太哇塞了
王子复仇记
各位别搞错了  只是他演过这个角色  大家鬼畜的那个不是他演的
老姥爷 没说错 都80多了 居然还在演戏，厉害！
渣渣
贵人相助加天赋才能上位
憨豆？
热乎热乎
衣着整洁没异味 不是变态就是gay
玛德好帅
不是啦
阿斯伯格的人一般都是天才
我怎么有点慌
哦哦哦他呀！电影埃及艳后里的安东尼
朱利安摩尔是在第二部，虽然都是影后但这里的是朱迪福斯特
但是长得帅
双峰！
咦，这段跟达叔就有点像啊
哈哈
高中英语老师给看过
拔叔
玫瑰德比
这tm哪里帅？
你币有了
著名谜语人
头真大
原来是他
“儒雅随和的汉尼拔老师”
荧幕首秀就31岁了怎么也不能算是年少得志了
哇哦～
