第一第一第一  啊啊啊啊
1
哇哦
第一个
1人再看 0弹幕
爷青回
这么长
热乎的。
1播放
热乎热乎！
我第一
他来了 他来了
爷青回
刚刚
热乎
好家伙阿斗你还记得这个系列
第一个
漂亮，真高产
投币投币
30分钟
热乎
刚刚，妈妈我出息了
一分钟热乎
一分钟
先投币后观看
好耶
芜湖~
来了
热乎的
我直接前排
先三连再看
热乎
7.48分，一分钟热乎的一笔
时长好评！
842个朋友你们好！
一分钟
热乎热乎
出息了
ohhhhhhhhhhhh
来了
2分钟
30分钟 舒服了
下次一定
热乎
好耶
侧写
越狱 来了
3分钟，热乎
全体起立！来了！
两分钟热乎
先点赞后看系列
个个都是人才
为什么不烧了？
高空抛物入刑
大
第一次这么靠前
梅开二度
如果用粉碎机粉碎或烧掉呢？
5分钟
来了
热乎热乎
迅速！
四分钟
先赞再看
现在弹幕好少啊
热乎
投币
热乎的
来了来了
来了来了
好耶！！！！！！！！！
热乎
马宏，大boss
阿斗nb
这才是主角
来了来了
热乎的
开始了
没有弹幕吗
一键三连大伙点起来
布冯
阿斗牛逼
来了
热乎
好长
辛苦了
承包现在的空屏
我去，我来早了嘛，等待被包围
我的币怕是不够看完第二季了
来了！！！
好耶
马宏太帅了
这就对了嘛
七分钟
林肯，打架没输过
霸占空屏
热乎！！
来了家人们
电锯惊魂
越狱
很河里
阿历克斯！！！！
马宏真的是太牛了
梅开三度
梅开二度
第一个
8分钟！
热乎
哦哦哦哦哦哦哦哦哦
上个厕所 人数就翻了100倍？？？？
终于等到了
热乎啊。
热乎
哈哈哈哈
九分钟？
茶包好惨啊，哈哈
热乎
这灯好白
来了
这个就假了
就不能砍掉锁链吗？？？
前
热乎
热乎
哦吼！！！！！！！
哇 热乎
爱你阿斗！！！！！！
来了来了 热乎
你看到我，就说明我先来的，先看为敬
大家好，他是阿斗
大  方
66666666
这个转场
我TM直接好家伙
就不能烧掉？
这也太扯了，你咋知道一定就高空抛物……
终于来了
这是伙编剧来了吧
这么高档的写字楼没配碎纸机么
没人？
疯子都是天才，怎么说我只有变疯才有机会变聪明
芜湖 ~ 爷来了
热乎的呀，哈哈哈
就是不砍锁链，私下报复
大 方
11分钟热乎
新鲜出炉
爽啊
第一次这么早
本来就有仇
第一次热乎的
新鲜出炉
我反手一个一键三连！
夺魂剧？
来了
十二分钟热乎！！！
爷青回
不烧了吗
黑老大是想报仇
砍铁链，时间长，动静大，还不如砍手
接了杯水 三千了
有私人恩怨
烧了污染环境，会被白左揭发
看过剧本的男人
终于等到了，重温
nihao
热乎热乎
卢本伟牛逼
哈哈哈
高产
越少人一起逃跑越安全
在不更新就真的扶不起了
这进度条牛逼
！！！！！！！！！！！！！！
建议第一季一定要看原片
好狠
打四个
爷青结
1.2.3都好看
啊这
问砍锁链的多半是个单纯的孩子
你们可能不知道怎么用一块钱挣到3700万
这个探员很厉害
地图
x
来了
16分钟！！！！！
又鞭
都被他抹脖子了凭啥不砍
美元是没有美角，只有美分的是吗？
来了
好耶！！！
激动的心颤抖的手，太烫了
也就 第一季 还行
来了来了
进度条太好了吧
因为有仇啊，直接一举两得算了
先赞后看
就跟砍手动静不大一样，说的什么屁话
18分钟，我出息了
编剧才是YYDS
高产
太热了！
好大
马宏是真的牛逼
这不自己的车
来了来了来了
终于来了
哈哈哈 拿斧头砍手铐 咋想的
热乎的
养肥再看
17分钟
爷爷青回
tbag之前抹了黑手党老大脖子  老大差点没活下来
好耶！！
十九分钟！
热乎
第二季不咋的，第三季稍微好点，但都远不如第一季
烫烫烫
不是空瓶
对啊，谁会这样扔掉，肯定是咂碎之间之类的
来了来了
LJ
哎呦，热乎的
卡裆裤
热乎
热乎
哈哈哈哈
燕归来
好耶
来了
热乎
热乎
马宏！
5688人
忍者神龟里的坏蛋
T-bag生命力极强
哈哈哈哈哈
重新定义：大方
随身带剃须刀？还不给哥哥用？
莫名像古一法师
他好像布林肯
马宏撑起了第二部的半边天
23分钟热乎的
2333333
侧写？
进度条感人
疯狂鞭尸
催更
唯一能和迈克斗智的人、
阿斗出什么差呀？兼职百大up主呀？
来了来了
也就第一季还行的你可真笑死我了
长度大爱
人才们又回来啦！！！
迈克尔扔的是硬盘
坟墓
热乎，前四季都是神作
高产似。。。。。
迈克也没想到遇到马宏这个人
上马宏
马宏太帅了
是的
终于更！
我爱了我爱了
终于来了！！
ohhhhhhhhhhhhhhhhhhh
芜湖
看我发现了什么
R I  P
热乎
0
4月霸权
啊又来一遍
好耶！！！！！！！！！！
人物刻画的好好
哈哈哈哈哈哈哈哈哈
马红
ohhhhhh
监狱：人才交流中心
什么好大 ？
剃须刀自能自己用
马宏  永远的神
等阿斗更新的时候我去通宵看越狱了～
ohhhhhhhhhhhhhhhhhhhhhhhhhh
黑莓手机
来了三连
马猴
第一季真的建议看原片
越狱五季已看完，怪奇物语三季已看完
这是开挂了吧
卧槽来了来了
直接三连
马宏！！！！！！！！！（超大声）
淘宝弄断的
马宏在第二季仿佛看了剧本
终于来了
打不死的小强
《最长的一码》里的监狱队长
我的马宏叔！！
草，这也来的太及时了吧
来啦
33分钟
没砍头就大发慈悲了
马宏来了
完全想象不到345季改怎么演
马宏
三连催更！
来了来了！币给上
终于等到你
妈宝男后面超好笑
爷青结
来了来了
35分钟
好家伙30分钟
上马不喊话，三开战猎萨
战神
资料
要是没有他，估计他们早就越狱成功了
第一部是美剧的巅峰
热乎
；来了来了来了来了了
幽默风趣
30分钟 阿斗好长
宿敌
爱了爱了
老婆！！！！！
本来就有仇啊
8000多人一起看。。。
这时长爱了爱了
黑老大故意砍的手报复
来了来了！！
《啼笑皆非》
第一季太好看了
必须三连！
热乎
时长感人
不说了 投币投币 爱你阿斗
起飞
还花时间去出差，对得起支持你的老铁吗
总算来了
只是说 可能  为什么不试试
终于等到你
终于更新了啊
能砍手为什么要看锁链？
';l
朱珈毅我是QC
太棒了！！
三连走起啊！！！
几分钟
呜呜呜呜
大眼最有意思
8306
你去出差了？
热乎热乎
终于等到你
马宏：{见微知著：简单} 成功
马宏看了剧本
马宏第二季杠把子
马宏！
啥
-*
爱你爱你
啊啊啊啊
下饭
30分钟？？？
来了来了
来来哎ill了
8460个伙伴 你们好啊
48分钟
爱死你了阿斗
Laile 
阿斗三月三快乐
好耶！！！
终于等到了
先投币再说
大家一起快给他干到8万！
好可怜哈哈哈
赞爆
热乎！
永远的神
所以被团团包围了？
tbag真nb
我还没上车~~~！！！！
未看先三连
马宏！我老公
最强的对手
啊啊啊啊啊
啊
马宏来了
哇 终于等到
热乎的，热乎的
火速赶来
来了
片长感人
来了
好耶
热乎
NO
牛逼
梅开二度
8599在看
。
马洪确实帅
进度条好评
电话投硬币 
里面个个都是人才
来了来了来了来了
看进度条，有惊喜。
马宏太有魅力了
牛
哇
时长爱了！
你舍得更新了？？
终于来了
.
热乎
灰姑娘姐姐
稻草人
上马宏
终于来了
极乐空间里面有马宏
这不是极乐世界造了个圈的那个嘛
ohhhhhhhhhhhhhhhhh
真大方
饿了
lj确实是laji，吊人胃口
先赞为敬
哈哈哈哈
终于
来了
热乎
时长感人
懒得看剧了，直接看阿斗
正在看的举个手
热乎
剧透的，我全举报了
反复鞭尸
小喷壶
珍惜现在迈克颜值高的时候 第三季胖的不行
妙啊
终于
一个小时热乎着
可以呢
热乎热乎
主要是因为我真懒得再去看了，累
没看过第一季的可以先去看完第一季OK
砍他是本分，不杀是情分！
大方
爷青回
3038588一起看
来了
回来了
马宏文武双全
马宏烧酒吗？
来了来了
好耶！！！
冲
个个都是人才
好耶
这时长牛皮
接着越呗  无非换个监狱
吃S吗 热乎的
马哥
热乎乎
1小时！！！
来了
tbag带着他的左手亡命天涯
终于更了
第三季后不好看了
这市场 牛逼
强哥太掺了
一小时，热乎的
好耶！！！！
这一季茶包真的战神
热乎的
哈哈哈哈哈哈
马宏是真的牛
OK！
高能阿斗啊啊啊啊啊啊
哈哈
爆肝啊
黑老大也太可惜了
来了来了！！！！
马宏这段真的炸到我了
一。      小时
阿斗这么久都没更新，所以我已经自己去看到第四季了
点赞了
我手断了，也更强了
机
30分钟，好长阿斗
来了
先点赞投币，留着晚上看！
赤井秀一原型
8750人正在看
林肯儿子叫LJ
好快
1小时还行
20万人一起看，哇哦…
文武双全
这么长！30分钟的阿斗
爷青回
爷青回
一小时还热乎
爱了爱了
一个小时热热还能吃~
冲冲冲
斗斗加油
里面个个都是人才
不会烧的吗……
来了来了
个个看的如此入迷，不发弹幕？
舒服了
30分钟？
马猴马猴马猴马猴马猴马猴马猴马猴马猴马猴马猴马猴
阿斗牛啊牛啊
可怜？ 告密者不死都是好的
本剧第一战力（莽夫）林肯
芜湖我出息了
来了来了
爷青回爷青回
妈耶
30cm？
半个小时，阿斗真长，受不了了
时长感人
里面个个都是人才，说话又好听，哦哟，超喜欢在里面的！
老公来了
来了来了
来了！
热乎
开始了
80
黑鹰坠落
阿斗，妈妈爱你！
热乎
好可怕
程志泉别吃
哇哦
lj就是小林肯的意思
快，热乎的
大家好，他是阿斗
来了
来了来了
有人在嘛
好家伙 
阿斗真快
热乎
马宏nb！
博士?
这还救个屁
编剧禁止参演
哈哈哈哈哈哈哈
催更！
全家桶
8万啊当然马上做
马宏是姓吗宏，名字艾丽克斯
23333333
扔垃圾桶都比这处理的干净
最不合理这里，明显埋坑，正常都烧掉
这个时长朕很满意， 你币有了！
黑老大…唉
哇，三十分钟
老啦老弟
来了
1小时
来啦来啦
马宏的前后对比刻画 就是个败笔
魔兽玩家表示很亲切
爱看
那个人之前就差点黑老大杀了，砍手算仁慈了
热乎
进度条感人
好耶！
热乎
L
爷青回
来了
来了来了
马红就和死亡笔记的l一样
终于来了
麦克马洪！！！！！
斐波那契正是有名的 达芬奇密码里说的那个数字 很有趣
他来了他来了，他踩着祥云过来了
来了老弟
？
天啊
来了
我来了
一键三连
我曹
来了
帅帅哥
梅开二度
终于来了
纹身好大
这不得一键三连啊！
啊啊啊啊啊激动
厉害了
+
半个小时牛逼
阿斗！你终于！！！
先三连再看
热乎
9857人正在看。。。
nb
肝苦了
离谱
一小时
布冯~~是你吗~
嚯
后面剧情太离谱导致我弃剧了
攒攒再看
一个小时
30min给力昂
是你吗诺维茨基
林肯的设定就是无脑，不过后续表现的太无脑了
我没上车 我没上车啊！
ohhhhhhhhhhhh
再刀一次，哈哈
马宏，战力天花板，能文能武
先赞后看
肝还在吗
大内高手马宏
