不愧是你啊瓶
他在厕所
热乎的
哈
一分钟
屏保胖了
好开！跟了
弔人:勿cue
热乎
我觉得巨人第二 第一是鬼子学院
在阴间
保护
好活
哈哈哈哈奇怪的比喻增加了
他在地下室
好开！
草，软粉当场破防
后面的猫猫！
hhhh
4分钟
好开 投币了
好开
踏踏开
好开
露脸开骂？
冲啦，兄弟们上！
瓶皇，我滴超人
好开！
真敢开啊
瓶皇来了
猫猫！
瓶宝能不能放片段，不要放正脸啦
盖亚！！！！！！
你这个冲的有点晚了了啊！
瓶子的奇怪比喻
哈哈哈哈哈哈哈哈哈
好冲
skr！
救世小队可以理解。。。最后一话那里的记忆是想起来的，很久之前艾伦就对他们动手脚了
hz哭了
gsl要急喽
灭世反社会型人格吧这是
有猫
哈哈哈哈哈哈哈哈哈
瓶皇！我的超人！！
然后觉得必须阻止艾伦才行 完事还要杀了艾伦 我是真的服了
确实，这这这俩人突然就搞上了，然后现填设定
红红火火恍恍惚惚
后面的猫猫好可爱
G2罪不至此啊
三体大草
他在化粪池
污渍？
2333
闪电侠直呼内行
跟了
这个比喻绝了哈哈哈哈哈哈哈
猫猫！！！
skr~
闪现跟团闪现跟团
哈哈哈哈哈
好，说的好耶
猫猫！
红哈哈哈哈哈我开我自己
他上了天堂，rip
2333
托雷基亚
托 雷 基 亚 人 间 体
猫猫！我要看猫猫！
哈哈哈哈哈哈哈哈哈哈哈
由天真的啥币变成了成熟的啥币
未来
猫！
他太懂直播了
好！很难不跟
申遗
哈哈哈哈哈哈哈哈
大 你 妈
？？？？？？？？？？？？？？
谭 谭 交 通 客 座  顾 问
为什么呢，现在我也在找理由啊
猫！？？？？？
笑死了没有皱襞
笑死了
您可真敢
猫！！！
谈之巨人
hhhhh
前方高能
瓶皇冲了
闪现跟团
他住在地狱十八层
奇怪的比喻增加了
开了卡了
哈哈哈哈
啊这
好开！
生动形象
嘉门
岸边利威尔一动不动（考哥也配过）
哈哈哈
热
瓶皇冲冲冲
死神路过
鲁鲁修：莫挨老子
哈哈哈哈哈哈哈
瓶子后方
为什么呢，我也在找原因呢
累了，申遗吧
保护
保护
虎狼之词
他在地心
炫炫炫
瓶你脸上的痘痘啊
这是什么离谱的剧情。。。
我尼玛我憋不住了哈哈哈哈哈哈哈
白夜？
我真的忍不住
圣墟有话说
你敢违抗拥有巴耶力的我吗？
此时一只猫猫路过
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
hhhhhhhhh
经典单押
别尬黑，屁用没有是选购的梗
诚哥被黑的最惨的一些
哈哈哈哈哈
哈哈哈哈
雷欧：？
看完全剧，真正值得敬佩的唯有团长埃尔文和兵长利威尔两人
好家伙
笑死人了，up说的太好了，哈哈哈哈哈哈哈哈哈
铁血结尾不把巨人叼着打？
弗爵爷真的是一个置个人死生于度外的理想主义者
确实是破壁人
好开
skr
冲！
牛壁
那你的表情为什么那么痛苦（
这你牛皮就这样放过了，再被突突好几千遍了吧
致敬hollive (done)
话粗理不粗
瓶子我的超人
哈哈哈哈哈哈
鲁路修：？？？？
左下角血哥的猫猫出没
他|妈|的 兵长当时咋没死了算了 我裂开了 省的后面受罪
巧了，我也是这么跟我同学形容他的
哈哈哈哈哈哈哈哈哈哈哈哈
巨人难道不可以有u咩嗎~~u咩~u咩
后面猫猫
孝死我了
看什么？？？
圣墟又没出动画
右下角血哥的猫猫
超人超人
卧槽，直接闪现开团
哈哈哈哈哈哈哈
上面老王小明了
“为什么呢，我也在寻找原因”
哈哈哈哈哈哈哈哈哈哈哈哈
纯度太低了艾伦！
可是，你为什么要露出这么痛苦的表情啊！（泛式狂喜
你那表情是怎么回事？你那眼泪又是怎么回事？
一会瓶皇又被冲了
草
哈哈哈哈哈哈
好开
g2？俱乐部？
衣锦夜行直呼内行
瓶皇我的hero
杀疯了杀疯了
最简单的嘴臭，最极致的享受
污渍的梗都被G2投了、
笑死
谈之巨人
草才发现十三分钟！出息了！
想起以前的剧情，后面真的不好
哈哈哈哈哈
低情商：小丑竟是我自己，高情商：我在马戏团工作
鲁鲁修：我可没杀八成人
skr
马来人为什么敢放过他们
雷欧表示很淦
你那表情是怎么回事？
hhhh
12分钟
地鸣开始之后就越来越迷了
瓶皇加油，骂的解气
雷欧的台词吧
为什么呢，现在我也在找理由啊
但你为什么要露出这么痛苦的表情啊！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈草
为什么呢，我也在找原因呢
在温泉
你那表情算什么！你那眼泪又算什么！
瓶皇杀疯
放你M，RNG会八强十六强？
好家伙
jsc在地狱十八层
他看到了个xx
全员恶玉
？？？？？？？？？？
笑死我了  哈哈
铁血的奥尔芬斯直呼内行
在！KKP！
瓶宝牛逼，放心飞，出事自己背
笑完舒服了，谢谢up
老哆学家了
帅啊好开
chu
233333
瓶皇，冲冲冲！！！
人家鲁鲁修也没有消八成人数啊！
哈哈哈哈
哈哈哈哈哈哈哈哈
雷欧表示我这话不是这么用的
17分钟！
荣耀马莱人！！！
瓶子，俺的超人
1~
不愧是瓶皇，冲冲冲！
g2
大你妈
《嘎》
1~138话都神作！
你又肥了
2333333
哈哈哈哈哈哈哈
好活
日本人的战争观是真TM谜
xswl
【朝仓陆】【檀黎斗】直呼内行
有个猫咪过去啦！
什么想元龙阿，这是雷欧里的台词
哈哈哈哈哈
开团了开团了
好喷，冲刺！
盖亚！！！
可是，可是你为什么要露出那么痛苦的表情啊
蚌埠住了
哈哈哈哈哈哈哈
凤源:？
我还以为艾伦和尤弥尔都想灭世，结果搞着出
好开！直接闪现跟团！
有一说一，日本政府二战之后也是美国让一堆战犯来重建的
嘉门
正∞＝负∞
hhhhhh
早早下线
《   作  者  现  状   》
好耶！！！！！好耶！！！！
你都守护了些什么啊…
艾伦：15岁那波一级团没处理好 寄了 无所谓的
对啊tmd整个这么大的烂活有意思吗
好骂
这不就是日本缩影嘛 战犯当政
好开
哈哈哈哈哈哈
瓶皇真在地下室直播…
哈哈哈哈
好开
给力傲 瓶皇
啊，雪莉
哈哈哈哈哈哈哈草
开他，艾伦逼鸟子
韩派永远的神！
YWWY：在地下室发龙图
蓝字你是反社会人格吧，灭世哈真是轻飘飘的一句话。海的对面可不是虫族
做宝搞～真的除了客户端哪里有dotaer
是阴阳瓶！
gsl正在到来
瓶皇开团了
草哈哈哈
懂了，二战经典复刻
jsc……还我原本的伦……
猫猫！
233333
谢谢兄弟血压上来了
瓶宝我的超人
爽了，139看完抑郁这么久，这个视频救我狗命了
确实
好胖的瓶子
讲 谈 社 社 长
佩妹？你们太记仇啦，忘了吧~
哈哈哈
闪电侠啊，talk力
太离谱了
答：不知道！
艾伦算是毁了
入殓师形态，阴间学院级别的待遇
你那眼泪是怎么回事？
“我要把巨人一个不留的全部驱逐“”
提鞋都不配！
奇妙的比喻增加了
绯 红 之 王
托雷基亚
看看你都守护了什么啊！
笑死我了哈哈哈哈
这里有问题  艾伦制造出来的罪孽是他们全族一起背的  和鲁路修完全是回事
好活
圣智如初2333
哈哈哈哈哈哈哈哈哈
好
太对了
哈哈哈哈哈哈
王  剑
你也是MAX人？
hhhhhhhh
闪现跟团
好开
吃饭呢 饭喷了
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
讲真的，01结局还真比巨人好
卡兹jpg
噗哈哈哈
雪莉！
弔人狂喜
有被孝到
闪现疾跑灵光幽梦炼金罐亡者板甲舒瑞亚跟了
呃呃
哈哈哈哈，看瓶子喷人就是爽
诸星团直呼内行！
永久反弹!
菲利普亲王已倒下
修吗鸡鸭早期型
你也是个疯子?
这不就是日本缩影嘛 战犯当政
快申遗吧
影射日本
瓶子开 瓶子开！
我的佩特拉！阿尼你凭什么？？
他他妈有个屁的理由
还好最终季一集没看
他还恶心的说我妈为什么会被吃掉
爽哥：艾伦在地下室发龙图
哈哈哈哈哈哈哈哈哈哈哈哈
诸星团素质三连
最字由的男人
梦想是杀艾伦
猫猫！
为什么呢？我也在寻找原因呢
关上三十五分钟的大门
权游:?
这剧情不熟悉吗「打响指」啊
哈哈哈哈哈哈
哈哈哈哈
《理由》
艾伦:其实我也不知道
开团了开团了
耶派？弗派！
一开始我也是这样认为的，后面越来越不对劲
对啊，尤弥尔是真正自由的
哈哈哈哈哈哈哈
弗爵爷可惜了
字   正   腔   圆
哈哈哈
这个就是瓶子的内心想法
诚哥不至于
什么特么的是惊喜
衣锦夜行的够了啊(￣▽￣)
权游有话说
冲冲冲
我的瓶皇!!!!!
开，给我开
skrskr
先缓存
这就是我当时站耶派的原因，韩吉什么对策都没有
好开
笑死我了
还好白夜没选团长 要不团长人设也要崩
哈哈哈哈哈笑死我了
前面种大帝的，哈哈哈哈
黒鲁鲁修我可不乐意了
太对了，把俺想说的说的七七八了
我们都是小丑 
老夜吹了
从这里开始就注定无法平稳完结了 可笑的是还不少人支持地鸣
二连了，就不收藏了啊
我吉克冤啊
藤本树的爱情观都比这这高
艾伦抓住了未来
啊这
权游对不起
hhhhhh
韩吉杀了艾伦！！
cao，还没被rng粉丝喷够？快进到我的忏悔2.0
赢就是赢
