爆装备了
牛！
QAQ画质感人
牛批哦 开头就看出来了
炼金术
倒栽葱
是个牢笼
钢铁的坟场
tql
定要冲破这黑暗 纵使粉身碎骨
很棒的作品
yyds
让我想起来锅炉爷爷
爷爷走好
想哭，不知道为什么
BGM选的好
天空是封闭的？楚门的世界那种？
md全剧升华
永动核心
boom
ohhhhh
nb啊
这段音乐太绝了
这是要造火箭？
上面啥玩儿
章鱼博士
飞蛾
起飞
芜湖起飞
好啊
这个流星爱了
音乐配的确实好
wc
这个是展示制作技术的
场景氛围不错
好棒
再看一遍，真的太棒了！结尾看的头皮发麻
前人虽已牺牲，但为后人带来希望
太棒了
一颗反应炉？
屏障？
真的棒啊
九号机器人
流星就是这么出来的？！
my 做得好像游戏CG
卧槽，绝了，之前的流星都是失败者吗？
快快三连
好nb
瓦力
！
应该不是卡，是和平行宇宙那样抽帧的风格吧
逃离星球
心脏跳动，生命之始
告别～～
觉得音乐过于磅礴深沉，有点挠人
别人的毕设
小小只好可爱
怎么这么可爱呀
向赴死者致敬
安乐天使？
机械心脏卧槽
又一颗流星
英雄往往犹如一道流星一般划过天幕，让人潸然泪下的。 造就他们的不是成败，而是他们超越成败的崇高精神和英雄气概！
这冲击波也太大了吧
主题：冲破黑暗
穹顶
太震撼了
wc
像极了沉迷捡垃圾的我
机器人9号？？
机器人9号既视感
安乐天使
卧槽
泡世界!
经费在燃烧！！！
手机没有首页，只有推荐页，电脑的传说
机器总动员？
怎么也飞不出  封闭的世界
想起了锅炉爷爷
爱死亡机器人
优秀的作品
第二遍看到这突然很想哭
第二遍看到这已经控制不住眼泪了
那是.......墙吗
过段时间阿拉德就来人了  快跑
像极捡垃圾的我
撞到了啥
这个视频建议看两遍
好看不火系列
第一刷，我看到这里应该是一个循环，这个小小只会不会变成爷爷？
这里爷爷把技术知识留下了
像极了抽卡池的我
画质很棒，帧数有些低
禁空？
光线不错
boop
星链
头皮发麻
有点尼尔的味道
胡子炸了
囚笼
囚笼
心脏
机械之心
老循环了
世界尽头是墙壁？
接接
囚笼
我也想到了瓦力
音效有待改进
俄式火箭
厉害
卢克？
加油，开始二刷
确实有点那味
传递知识
轮回？
斗破  他没请演员
是点亮太阳？
应该是机器人九号吧
核燃料呢？他们怎么知道外面是墙壁
锅炉爷爷+章鱼博士
卢克爷爷
星际穿越那味儿
再来一次
想哭
卧槽
WC
怪物啊！
安乐天使
莫名感到悲凉
冲冲冲
安乐天使！？
安乐天使
卢克爷爷 
天哪每个流星其实都是努力的人冲出去丢下的部件啊
心脏
生硬是因为我们看到的都是有动捕辅助，现在这些都是手动调
爷爷是流星之一吗
！
死亡搁浅
鸡皮疙瘩起来了！
流星不是循环，是火箭上的脱节部分
哇塞！
冲破了？！
我们的征程是星辰大海啊！！
保底了保底了！
把知识留给后人
这画风有点精灵世纪的感觉了
重返地球吗
厉害
变成流星？
这个蜘蛛精和工厂，机器人九号既视感
nb
制造者卢克
pc首页通知书
《千与千寻》
这是个小机器人，还是人？
锅炉爷爷
这背景不会是太阳熄灭了吧
先人一个接一个的冲向“屏障”，企图将牢笼击穿，这最后的一发疑似火箭的导弹成功击穿封锁天穹的囚笼，为后人展现了光明的天空
走好
我靠
首页！
"以前一直在白嫖,这是我第1次三连"
要哭了(＞＜)
非酋终于出货了
涅法雷姆
支持萌新
绝了，这里
毕设肯定就是找工作的时候作品展示了啊
爷爷会不会是流行。。。
卧槽牛大了
墙面？？？爷爷也是失败的人吗
！爷爷成功了！！！
原来如此啊
安乐天使，一种完全封闭行星的技术，行星内部的航天科技会被锁死在高空
金色传说
很有寓意
tql
鸡皮疙瘩起来了
头皮发麻
千与千寻的锅炉爷爷啊
安乐天使
一个作品表现主题才是关键，技术力只是陪衬而已，我觉得很棒
机械心脏
五星的光芒
冰汽时代 的感觉
工程大来点赞
这建模太顶了
这撞的是玻璃？
楚门的世界
假如之后没有烟火 那我做唯一的光
群星玩家狂喜
社会学+10
循环开始
这不比大片好看？
前方高能
前方高能
动作有点生硬 不是很流畅 但明显的超级强啊
学长学姐nb
千与千寻
Himmer的配乐级别啊
握草好可爱
星幕世界
莫名其妙就哭了
到这里就值我的三连了。
这真的是我能免费看的嘛
章  鱼  爷  爷
机械之心
哇
伽利略与牛顿都默默的点了个赞
太牛逼了
吹爆
好看
未来可期，加油。
哇哦
震撼
第三遍了
24K钛合金眼
静寂城的打造？
没人想到灵魂之桥吗？
让我想到了阿丽塔
这就是别人的毕设
握草！
神舟发射
锅炉爷爷
先抑后扬，高能预备
我腐蚀求水
机械之心
再见
章鱼博士
帽子太圆了，左右两边应该收一些的
向赴死者致敬！
。。。
同样是学了三年的动画，没想到会有差距
文汇路
尼爾
火火火！！！！
再来亿遍
制作人员的生命在燃烧啊！！！
牛皮
？？？！！！！！！！！
这做了多久
这是在建类似火箭吧，要离开这个地方
好可怜
向先驱者！致敬！
这就是战争后的世界。。
恭喜你发现宝藏！！！
好厉害
这真是一个人做的?
灵魂之桥这里
不是循环是螺旋，历史在重复但也在向上，直到打破封锁
ohhhh
你要自己走吗？
拾荒者
nb
机械心脏
造火箭么？
他也成为了流星之一
？？？墙面？？？
这墙壁？
卧槽
棒啊
有一部老番 晴空战士
群星玩家狂喜
9号？？？？
人这么少？
安乐天使是能量盾，梗小鬼起开
安乐天使
章鱼博士
太牛了！！！！！
卧槽
有点爱死机的味道
浑身发抖
【光明顶-光明使进入直播间并点击关注】
千与千寻既视感
卧槽我丢了
安乐天使
@小仙女
曲率发动机
向先驱者敬礼
人类的历史是勇气的历史
学长学姐nb
这毕业生这么牛逼的嘛
屏障世界是吧
第二遍，看到流星忍不住泪流满面
大片
很棒啊
卢克爷爷
安乐天使
BGM与星际穿越的类似
这是，，，反向戴森球？
再见，孩子。
泪目
哎
斗破苍穹因语言过激被踢出直播间
再来一遍
完成度很高啊
废铁镇
感觉这段应该加上动作音效
机械心脏  这想法 很前卫
焦土末日设定
开局一个垃圾星球，科幻开头
taiqingl
ET
莫名泪目 这bgm和画面
nb
2倍速有惊喜
我等生命，亦如流星！
再看一遍
传核出了
卢克大人
卧槽，我脑子有接下来的画面了，牛皮
2倍速6666
出金了
BGM鲁多维科的seven days walking
继承衣钵继续扑火？？
大保底了？
孤帆既视感
有点像卢克的寂静城
绝望
不怕牺牲，只要有希望。就能不顾一切，怕的是没希望
火联科技
想添大佬脚指头
？woc，屏障，瞬间联想到了安乐天使
很皮克斯
冲破黑暗
向先驱者致敬
向先驱者致敬
机七号机器人
戴森球？
牛阿。。。。
很棒，加油
二周目看令人感觉心塞的笑容
为后人献身的科学家
金色传说！！！
你说这一个公司做的我也信
小孩是在找失败的火箭收集零件么？
卢克和贝奇
小孩一开始没有看懂设计图，一直在找坠落的火箭，直到爷爷成功
星球被太空腊鸡包围，不见天日？
你们要人毕业设计花多少前去买高配电脑啊，花多少人去细化啊
加油！你可以的！何惧艰险！
这是我能免费看的？
卧槽各位 这是一个人做的啊 不是一个团队 不要挑剔什么帧数什么的了 做这个很累很难的
好棒啊
他们只是变成了星星
机器人总动员
锅炉爷爷
好感人玩呜呜呜呜
先驱者，致敬了
卢克大人
那里都有仓鼠
这个像宫崎骏里面的千与千寻那个老爷爷
感觉像极了好几部电影
蔽世天屏
瓦力
强呀
前面的 是五个人叭
太厉害了吧
说失败者的理解能力堪忧
太牛了
这是致敬千寻吧
太棒了，感觉在看电影
这音乐和氛围很好啊！！！
暗示只要够肝就能出金
心脏
机械之心
传承
等下看看评论区有哪家大厂回来挖人的
太空被墙封住了?
这画质 牛逼！
比博燃
灵魂之桥确实挺像
比有些动漫电影好多了
是心脏啊
章鱼博士
辅食求水的别走
真的宝藏视频
卢克爷爷
bgm有点像星际穿越虫洞那块儿
传承
梦想，冲破黑暗，你币有了，制作精美
像极了搬砖的你我
莫名泪水就流下来了……
很喜欢周瑜的一句话  燃起来了！
它最终也会掉下来。。。
在外面有一层障壁 主角的所有努力都是为了冲破这层障壁
爷爷！！！
热门通知书
这条路，艰难无比，九死一生，但是依然有那么多人义无反顾~~
牛逼
泪目
爷爷是第一个突破碰到“墙面”的人T T
建模很好
机器心脏
献身精神
卢克 爷爷
清圣桥
终于懂了
上海理工前来点赞
卢克 与贝奇
卢克爷爷，是你么
厉害
kao
音效拉满
机器人9号啊，这是。
星际垃圾场
“技术力只是陪衬”这话才有问题吧
66666666
机械神甫
外行看热闹，内行看门道..
你不是第一个，也不是最后一个。但你成为了第一个冲破黑暗的人，你的后代将与其他人一同为冲破黑暗做出贡献。你们的事迹将被后人铭记……
心脏撒撒给由
安乐天使
技术跟现在大电影肯定有差距 但是毕业做成这样挺好的
有点瑕疵，但是已经很不错了
可以了。毕业就有这水平。很不错了
追星少年
燃起来了
千与千寻  锅炉爷爷
三体特效也需要你
草，大片制作？
造型好可爱
bgm和动作设计，氛围直接拉满
机械心  现实有 牛逼啊
机械飞升？
爷孙俩很可以
卢克老爷子？
绝了
突然寂静
牛呀
respect
已三联
好家伙，我感觉在看电影
BGM配的真好！
绝对的宝藏
变流星
牛逼
分级火箭好评
朝闻道
70收金垃圾啦
我们现拥有的一些，不过是前人前赴后继的牺牲换来的。
人类的赞歌是勇气的赞歌！
千与千寻里那个烧水的老爷爷
牛啊
过分优秀了
腐蚀求水那个给我炸出来了
卧槽
前面高能
人造心脏
外星人
(●'◡'●)
音乐也很强啊
泪目
在校生跪了
血肉苦弱机械飞升
当流星划破天穹，是为了照亮后来的我们
nb
卢克？
莫名想起了哈尔法
加油
太强了
这还不强？？？？？？？？
背景音乐选的挺好的
是不是要制作飞船跑路啊
前面灵魂之桥的等等！
挺好的，帧数再高点就好了
卧槽
碰壁
让我看看
这团队可以接工作了吧
鼠鼠人
吹爆
想哭
这 毕业设计已经超出某些动漫太多了 我觉得该夸夸up呀！好厉害！！
对嘛，灵魂之桥，造火箭
卧槽，所以流星都是这么来的！！
我的钻头可是可以突破天际的
卢克？
宇宙安全声明
向先驱者，致敬
大佬
满脑子尼尔机械纪元
像苏式火箭
回家了！
哇我的鸡皮疙瘩
知识，后人，传承
鲁克和贝奇
隔壁东华前来点赞
故事很棒!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
火箭吗
少女终末旅行中有相似的感觉的一段
机器人总动员
先驱者与传承
卢克?
这毕设牛啊
轮回
“冲破黑暗”
是想回家吗
这是章鱼博士
机器人8号
我们的征途是星辰大海！
瓦力？
这是一个星球里面
安乐天使？？？？？！！！！！
机器人9号
BGM有点意思
文明最后的传承
jy8来国家队
把制造火箭的书留下，给小女孩再来一次
前面的都是陨落的人吗？
这么一想天上掉下来的也是火箭？
66666
血肉苦笋
终于知道了这是什么
开局提莫？
？？？？
陨落的英雄
我哭得好厉害
ssr
我是学动画的。。。毕设做成这样怕是学校要留我教学生。。。
我去封神了
小孩是机器人把
黄色弹幕应该是不以成败论英雄辩论赛中4辩的总结吧
机械之心！
绝了
woc！！！
我就想知道 这是剧情是什么
核心炉
显卡在燃烧
勇气的赞歌
说有点瑕疵的你来？
锅卢克·章鱼
锅炉爷爷+1
