这首歌真的喜欢
为小刚疯狂打call。
超爱
super junior啊
？？？？
高进真的人才
？？？？
？？？？
为什么我唱出了声
郭静的等下一个天亮也很好听哦
可能是up主不想加时长
tank的三国恋跟千年泪我也吹爆
小刚
娘子，，啊哈
去歌厅都会吼一把
我的好兄弟是真费酒啊
爱了
郭静郭静
豆腐x紫萱 三生三世啊
Tank冲！
小刚啊
高进是真的强
够爱还是东城卫唱的好听
被封面吸引进来
超喜欢的 当年ktv必点
退伍必唱
这是华语巅峰？？？呕！！！
彩铃霸主
小刚
？？
任容萱
啊啊啊啊啊啊啊啊
尬吹
当年无限循环
我还记得韩庚粉丝为他赎身
好听
这首一直喜欢
勇气
龙王
我知道！
哭了哭了
这个真的喜欢
这歌费酒
冲冲冲冲冲冲
我还是喜欢终极一家的版本
当年挺火，终极一班
炸出来了，币有了
西卡啊
说俗的，你真高雅。
初中超喜欢这首！！！
没听过的是不是没救了哈哈哈哈
胡歌长大了
以为是最近几年的
经典
暴露年龄
东城卫
好听
这首超喜欢
666
啊啊啊啊啊
居然没听过果然不看台剧的我
Ktv之歌
可以了我要哭了
韩庚
偏爱超抓耳
？？？
投了投了
蛤蛤蛤蛤蛤蛤这也是我的单曲循环！！！还有荷塘月色月亮之上
郭静的歌都耐听
喜欢二人世界
直男曲库第一名
稳
满满的回忆啊
我华
可惜了
哈哈哈哈哈哈哈太屯了
童年啊
喜欢
厉旭
没听过
这首歌不是严爵给静茹写的吗？怎么回事日语翻唱呢
SJ
斯琴高娃?
夫妻俩
翻唱的日本
这个听到现在
初中杀马特的那些年
KTV
双胞胎
终极一家的我也是
刚刚
天啊 哭了 好怀念
转眼十年
忍不住了，必须要为仙剑发一条弹幕，最爱的仙剑
我更喜欢猜
没听过
军训时爱唱
jjjj作曲啦！作曲
居然10年了？？？？
哭了
她昨天刚宣布离婚
啊啊啊啊啊啊我姐说她喜欢你
撸串唱法创始人
我又想起你了
超喜欢
十年了，我也老了
没听过
表白suju
鸡你太美
我的青春by2
这首听不厌
不好听
哈哈哈哈哈哈哈现在沙雕必备曲目
必点
BY2啊啊啊，小时候还挺喜欢的
老林自己还翻唱了
挖槽！冲这歌费酒啊
没听过
听过，青山黛玛
刘宪华刘宪华
没听过x2
真首真的绝了 我爸妈超爱
經典
啊哈
不曾~走远~！
这首啊啊啊
ktv必点
仙剑三每一首都是经典
这不应该在08或者更前的终极一家就有了吗？东城卫他们
为tank发条弹幕
这不应该是08或者更前的终极一家就有了吗？东城卫他们
Tank
林俊杰的作曲
嗦嘞
我的青春回不来了
父辈最喜欢的兄弟题材歌
都是小时候的回忆。。。
感动
这个超级喜欢
鸡你太美
仙剑真的好多经典歌曲！
好视频
hhh
？？？？
我感觉09到19这段时间好像加了速
三国杀
冲这首投币了
周传雄的歌都听过一遍了
日语歌留在我身边
崔始源滚出中国
进度条安全
00后也听过
白兔冲
给老高打个电话吧
当年的星光啥来着！
终极三国我最爱
神曲
啊啊啊喜欢
就是老林的歌老林送给郭静的
这个可以
仙剑
没听过
好听
