好啊
尔冬升？
平平无奇
哇哦
陈慧珊
張老師也是鄭少秋的御用配音
杜燕歌老師
66666
姜大卫
就是这个腔调
爱了爱了
我身为一个汽车维修员，身上带个锤子，也很合理吧
尔冬升？
人不多，热乎的
天妈都好好听啊！
牛B
还有那句做人呢最重要是开心
郭芙！
超喜欢
表白阿佘
表白刚才的阿佘
亚视配音组，港产片配音的神
卓
卓sir
亚视的配音真烂
哈哈
阿佘御用配音苏老师
阿佘的御用配音啊
张济平，廖静妮港产片的童年回忆
打你就打你，还要挑日子嘛
好吧，潘宁姐姐也是北京的...
你那个TVB腔有点娘
配音不简单啊 要配得好绝对要熟悉剧本和人物性格
此处@傲世
我一直以为这些都是原音
童年回忆
有内味了
味太冲了
啊，经典
卧槽
姜大卫还是尔冬升？我居然有点分不清他们兄弟俩了
经典
小马哥
还以为你说粤语。。
正常嘛
唐玉！
有气势
都是杜燕歌
问杜燕歌
莲花争霸
郑九妹
哈哈哈
？？？
莲花争霸bgm
万妖女王
好带感的配音
天哪
哇
哈哈哈哈
这声音听着真舒服
？？？？？？
我比较喜欢粤语原版
都好好听
！！！
原来如此
莲花争霸bgm
舒服
尔导？
哇，好亲切啊
哇哇哇这个好熟悉
狄姜。
哈哈哈
哈哈
表白狄龙姜大卫！
这是哪个电视剧呀
吴岱融
国语非常标准
恰饭
Gg
都好熟悉啊
边城浪子
好棒
小宝.
视频好棒
经典！
好听
边城浪子
跑还来得及吗
不是吧，阿sir，有没有搞错啊
猝不及防
黄少天
独特
喜多郎《古事记》
佘诗曼专用吗？
做人啦，最重要的就是开心呐
姑姑
有事吗？
口型居然对上了
呐，做人嘛，最重要的当然是开心啦
做人呢最重要的就是开心咯
不说了，再去看一遍
好苏声音
石斑鱼
啊啊啊啊啊啊啊
陀枪师姐是不是也是她配的
太有内力了
哇
TVB枪
创世纪
哈哈哈哈哈
哈哈
还是很有港味啊
港剧腔
尔冬升！
做人最重要的就是开心啦
握草？？？
大蛇
呐，这就见仁见智了嘛
为什么捉你父亲不捉你，寨主不缺夫人缺老头啊
原来声音可以调的呀！
下午茶，我嘅
一家人，最重要的是齐齐整整的嘛
谁看tbv还听普通话版
新加坡剧配音也不错
哈哈哈哈
这声音就是江湖啊
哇！公主切呀，好漂亮
普通话在南方真的有点娘娘腔
法证先锋诶
怪不得我感觉好几个演员声色差不多
Fgnb
你说的这个TVB枪，他威力大么？
就是这个，感冒腔。有内味了
哈哈哈哈哈哈
呐，做人呢～最重要是开心啦……不如我煮碗面给你吃啊
太经典了
你偷看窝！
bgm喜多郎飨宴
都是经典
我去睡
自己演完之后还要给自己配音
沉默寡言黄少天
经典这个声音
广东话
这是宣萱 不是阿佘
那时候超多经典剧，我爸一直追着看
2：30
一家人最紧要齐齐整整，龟苓膏食唔食
北爱里的程胜恩
瞎子
女一像王祖贤配音
好棒
尔冬升导演哎
舒服
卓sir的配音老师杜燕歌
卧槽！！
这个太熟悉了
我疯了
名场面
好好听啊
哈哈哈哈哈哈
陈豪和林峯 黄宗泽的配音
石敢当
佘诗曼和宣萱的配音
跪求亚视腔
是皇后吗
凡人修仙传动画版的厉飞雨原型就是这个林平之吧
有内了
咩啊
啊啊啊啊啊啊啊龙龙！
五六十年代的香港电影 普通话很标准啊
这个“噌”很魔性
这个配的好，有那种感觉，能给出角色感情
粤语很无力
嫩地
有点意思
呐，做人嘛，最重要就是开心咯
这个比现在的大陆配音强很多
英雄本色的国语配音真的配的好
人生有几个十年
当然吃泡面，难道揉面粉，蒸小笼包吃咩
卓sir
爆seed
都好熟悉啊哈哈
是哪个邵逸夫？
九姑娘
都有印象
哈哈哈哈哈哈哈
好名字！
黄家岚关咏荷。
这样啊，说的明白
吃完面，开开心心哒
傅红雪！
吃完面，开开心心哒
哈哈哈 这声音太熟悉了 
你们三个一起上吧！
逸夫楼那个吧
啊？这位大哥现在偶尔在tvb拍戏嘢
难道大半夜包饺子
BGM:大蛇-喜多郎
有内味了
猝不及防
哈哈哈哈哈哈
啊 原来是他
所以是普粤？
ho啊
莲花争霸bgm
娥姐
如沐春风不是这个意思
叶清大大的声音好有辨识度
啊！
这个声音太熟悉了
御姐
BGM：《古事记》喜多郎(《八歧大蛇》篇)
博大精深。
喜多郎大师啊！莲花争霸的bgm太经典了，音乐一起。。一身鸡皮疙瘩
吃完面，开开心心哒
喜多郎的大蛇
瞎子哈哈
？
我去。。大时代。。最最最最经典的tvb大剧
配音腔而已
注意秦沛就是尔冬升的哥哥
喜多郎的响宴
殷红女士！！！
哈哈哈哈哈哈
射雕！
阳春面么
这是配音的啊
哈哈哈哈哈
双儿
莲花争霸
啊好舒服
声音演员也是演员
一脉相传
那时粤翻译的事
哈哈哈哈哈哈哈哈哈哈哈哈
太像了哈哈哈哈哈哈哈
找到罪魁祸首册
我都是听粤语的，从没听过tvb腔
暗示三连
已经好多年没听国语版了。全部看原音了
这个这个！！！！味儿太冲了！
这是啥电影
哈哈哈哈哈哈哈哈哈哈哈
赵阿姨这个回眸，是真的美
发生这种事情，大家都不想的
子华赛高啊啊啊啊啊
？？？
想起了姜子牙的声音
够熟悉，够港俗，够浅白
??????????
三年之后又三年
叶清大大就是黄少天啊……
好听
尔冬升 哈哈哈
有内味了
？
我中学学校有间教学楼是邵逸夫捐的。
这个经典
沈冲白玉川
狄龙
奶沛！
味好重啊
边城浪子
吴君如专配
杨过令狐冲竟然是一个人配的音
经典啊
金丝眼镜
呐
有味
这台词声音比大陆版好听
666
喜欢tvb腔
面易买易存储煮起了也方便，而且比起饭和其他分量少；作为宵夜最合适，炒粉和粥同上
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哎，吃龙肉都没有味道啦
大陆的电视剧保护不在黄金时间播港剧毁了TVB，亚视。
ohhhhhhhhhh
这些声音童年回忆
小姜！！！
有点那个味了
经典梁逸峰
瞎子
吔屎啦，梁非凡
狄龙年轻是真的帅
这清晰度！
当时的国语配音是给台湾看的又不是给大陆的，一些人别秀了
这个声音就是看vcd的感觉
和现在普通话差不多
粤语好听
江大伟
哇
96版笑傲的盈盈
平平无奇
经典
所有的声音都好熟悉哦
好多引进的外国纪录片里也有过这个声音
专业视频
字正腔圆
哦，原来如此
阿紫？
亚洲台它倒了
石斑鱼呢
小宝太帅啦！！！
爱了
白古！
woc
呐，做人嘛最重要的就是开心咯
呐，一家人就是要整整齐齐
超喜欢tvb腔
吖shi啦梁非凡！
那个年代电视剧是真好看
这个声线很经典
狄龙姜大卫
黄字别挡着字幕
我只知道邵逸夫捐了很多学校
冲哥！
你不对劲
这个声音水灵灵的
啊！我的童年记忆
哈哈哈哈
耳熟
是我。。。。
有一说一，最后的模仿特别灵魂！
有内味了哈哈哈
创世纪好评
好听
边城浪子
发音标准
三金西瓜霜
我发现了姜小亮老师！！！
邓萃雯…
表白捞家
平平无奇古天乐
哇哇哇
原来是这个人啊，真的好熟悉
TV枪比ak何如？
这字幕咋一半都是英语呢
快跑
这个牛
暗示三连
这语速不对啊，二倍速听熟悉多了
握草
这个这个这个太熟悉了
六六
声音好熟悉
靖哥哥
确实是黄少天
平平无奇
郭靖那射箭姿势根本就不对，射出去的箭根本就没准头
这个声音好可爱啊
并没有普通话干净
原来如此
黄子华！！！！
哈哈哈哈哈哈
果然咬字清晰
？？？
还是老电影好看
爱了
原来是邵逸夫啊我的天
广东人表示直接看粤语
噌
噌66666666
英雄本色，爷青回
画质沃也很喜欢
梦幻联动
？？？？？？？？？？
哇靠
里面个个都是人才，说话又好听
就是这个味
这声音太熟悉了
他不是演员吗？
sorry啊，有钱是真的可以为所欲为
没人看吗很棒啊
大威天龙，谁配音的
kill
丽的功夫片拍的好
这个在北爱里演陈思成他爸吧？？
大圣！！！！单脚站立贼帅！
