茂茂，卡机嘛
溪风
茂茂！
不剪茂茂还是朋友
龙葵跳两次啊
音乐起，给我哭
最爱红葵
泪目
音乐一起，就开始哭
我眼里进砖头了
这一段真的泪目
小时候超喜欢龙葵  长大了也喜欢
与子共生
爷泪目
冲
水碧
泪了
我太爱紫萱和顾留芳了
然后你娶了紫薇
留芳是你 业平是你 长卿也是你 一直都是你
姜国永远是我的爱！
仙剑太虐了
夕瑶
折寿啦
你胡说，昨晚上还说跟我是最亲密的，哭唧唧
我哭的最惨的地方
啊啊啊啊啊啊我的眼泪
啊啊啊啊啊啊啊啊废了
呜呜呜呜心里好喜欢好喜欢的角色
头皮发麻
我裂开了
茂茂真的我踏马心碎
救命啊啊啊啊
我裂开了呀
呜呜呜
救命啊
每一个人都在另一个世界里过上了想要的生活
这一句，回头看，直接泪目
泪目啊啊啊
茂茂
龙葵啊啊啊啊
我的小破葵！
茂茂啊
排面
呜呜呜呜小破葵
唐嫣演技巅峰，之后就是傻白甜了
泪目
救命啊啊啊眼泪忍不住啊
眼泪偏往外跑
长卿紫萱意难平啊
茂茂啊
风溪
你是救世大英雄
转世后的人还是原来的人吗
喜欢龙葵啊
救命啊啊啊啊啊啊
救命我哭死
被所有人给予拯救苍生希望的救世主，却在这里喊着救命，我真的爆哭
我的鸡皮疙瘩呀
啊！我的茂茂啊！
老邢
唐嫣这里绝了
龙葵
龙葵
不要撇下龙葵
前面酒吧笑死我了
茂茂死了，哭惨了
没有你，龙葵活不下去
来了啊
热乎的
红葵！！！
龙葵！
茂茂！
茂茂真的泪目
老刑
泪目
啊啊啊茂茂呜呜呜呜
我超级喜欢溪风啊
啊啊啊啊啊啊啊啊啊啊哭了
意难平
呜呜呜
娶了紫薇笑死我了
转世的人有记忆便是原来的人，没有就不是
龙葵
喜欢龙葵
真的嘛真的嘛，还有歌幂余孽吗？俺也是
溪风
爱呜呜呜
呜呜呜呜
从前有座山山里有座庙庙里有个和尚讲故事，讲的什么呢，从前有座山……
把泪目打在公屏上
泪目
泪目  茂茂是我小时候最最泪目的时候了哭的不行
啊啊啊我的小破葵
看着爱人在自己眼前死去两次多痛苦啊
喜欢这个爷爷
来啦来啦
呜呜呜呜呜呜啊啊啊啊啊啊我的茂茂
爷青回
景小楼
Bgm违规
太清晰了
清晰度感人
唐嫣真的还是演御姐最好了啊
茂茂意难平
骨科的下场
最爱龙葵
自始至终爱的只是一个你
天呐，茂茂我哭死
茂茂啊啊啊啊啊！
排面排面
夕瑶
小时候超级想拥有广袖流仙裙
跪
赵无颜
啊啊啊啊啊啊啊
茂茂意难平
我永远爱仙剑三
一件三连两币投，此生无悔仙剑人
诗诗真的太好看了！古装一绝啊！！
从那时候开始就特别喜欢胡歌，刘诗诗和杨幂，太经典了，终生难忘
真的哭死了
发起鸡皮
大幂幂
啊啊啊啊啊啊啊啊啊啊啊啊
龙葵啊啊啊啊啊啊啊啊啊啊啊啊
这里我哭了！
水碧这个音控
啊啊啊啊啊啊，音乐一出来瞬间爷青回
没有那把剑我一样可以歼灭敌军！
重楼我哭了啊啊啊啊啊啊
也是诗诗的演技巅峰了
呜呜呜
每一对都好爱啊
溪风啊啊啊啊
水碧女神
在哭了
龙葵意难平
紫萱太绝了！！
啊啊啊啊啊啊龙葵公主
首页通知书
来了
茂茂，茂茂
只因为解毒的能力稍逊，就从此屈居长卿之下
画质太好了吧
首页通知书
太经典了啊啊啊啊啊啊啊
眼里进挖掘机了
爷青回
夕瑶美腻了
天哪，都是爷的意难平
阿巴笑死我了
啊啊啊啊夕瑶我的白月光
你就是!
唐嫣才是最好看的
茂茂啊啊啊
弹幕一下多了 茂茂永远的泪点
哭了呜呜呜呜
茂茂呜呜呜，童年阴影
是啊
唉，意难平啊
我太爱茂茂了，以至于后来看济公系列，他演的那个人物再调皮，我都爱
最爱刘诗诗的时候
夕瑶童年白月光
来了来了
救命啊啊啊啊哭死算了
爱龙葵
泪目
歌幂余孽党飘过
是天，景天的天
唐嫣的锦绣未央还可以呀
茂茂把我炸出来了
茂茂
茂茂！
小学每次暑假档都会看，现在高中了耶
啊
都给我哭
重楼！！！！
都给我哭
茂茂啊
茂茂呜呜呜呜呜呜呜呜呜
魔尊重楼！
魔尊重楼！
魔尊重楼！
战歌起!
没有那把剑我照样能歼灭敌军
梦开始的地方
小葵啊可怜兮兮
啊啊啊啊啊救救他
赵无延的太修了吧
首页通知书
泪目啊啊啊啊
是回忆梦开始的地方
超喜欢看
龙葵啊啊啊啊啊
爷爷也是地瓜的爹爹
必平
重楼！！！
爷青回
六道轮回排面
压力好大，孩子想哭
啊啊啊啊啊，童年啊啊啊啊啊
来了
没有那把剑我照样歼灭敌军
啊啊啊啊龙梅
等会，他第一句喊得是大哥还是孩子
何必平
你放屁
我的龙葵
泪目了
傲娇葵我爱了
意难平啊！！！！！
杨幂
救世主在喊救命
嗷 来啦
头皮发麻了
小学看过，高中看过，现在大学了
我没看过哈哈哈
首页通知书！
重楼！
水碧啊
老邪！
最喜欢龙阳了
给爷的红葵牌面!
屋檐
首页通知书
天呐!!!
呜呜呜意难平
小破葵！
重楼，你的对手！！
重楼，飞蓬的对手
洽洽瓜子
那个时候我还不讨厌mm
哈哈哈哈哈酒吧那个笑死了
我的青春
真的茂茂泪点
初中看的
酒吧，绝了。
爷青回
画质太清
战歌起 爷青回
爷青回qvq
首页排面！
我的龙葵
看仙剑的时候 我才十几岁..........时间过得好快
小破葵啊我的白月光！
来了
来了来了
？？？
真的要看哭
首页通知书
哭
最喜欢龙葵
爷青回
爷青回！
龙葵
唐嫣绝了
爷童回
茂茂
最喜欢龙葵！
音乐一起鸡皮疙瘩都出来了
重楼！
啊啊啊啊，满满的回忆啊
茂茂太可惜了
这里我也哭的好惨啊。
啊啊啊啊啊啊啊龙葵
我真的太感慨了
这部剧三观好正啊
妈妈我真的哭爆
紫萱啊啊啊！！！新一季王牌有唐嫣再扮紫萱
是屋檐 是我赵无延
龙葵排面！！
叶青回
爷亲回
啊啊啊啊
杨慕
景天终究不是龙阳啊
bgm出来眼泪真的受不住
茂茂呜呜呜呜
。
茂茂！
重楼！！
那时候觉得重楼贼酷
老舔狗了
满满的怀念
茂茂呜呜呜呜
555重楼！！！仙剑里都是有情有义有血有肉的
giao
泪一直流
茂茂真的高潮
没有那把剑，我照样歼灭敌军
哭死了
天呐茂茂死的时候哭了好久
这边看哭了
突然发现我看仙剑的时候也回不去了
茂茂，这就是长安呀
茂茂
爷青回
泪目
