竟然没有弹幕？！！
弹幕这么少？
嘿嘿嘿
弹幕？？
。
.
没有呀
钢铁雄心V
动感的泪水
为什么弹幕这么少？？？
今晚八点，沙城等你
为什么没有弹幕
47的弟弟
有人吗
《副总》
弹幕被清过了？
那这片屏幕将由我承包
。。。。。。。。。。。。。。。
猝不及防
兵变，其效果为：步兵士气-15%，步兵攻击-25%
为什么没有弹幕
《逃 课》
我就知道哈哈哈
真猝不及防0 0
虎子：那我走
《时局图》
sk级物种支配地位更变
太草了
人话:34992秒前
战锤：不错不错
手机少年哈哈哈哈哈哈
手机少年？（大雾）
红。。。。红警？(无端联想)
这背景是美国末日？
某幻:害兄弟是吧
《发根护理》
有头骑士和他的马
戴安娜:47!你的兄弟!
别ky行吗，这和明日方舟有什么关系吗
特马头也是马！
陶克，逃课？
你们在一块不是没有原因的
某幻哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
*///*/*/*/*/*/*//*/*
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
是不是远交出问题了doge
？
@小潮team（
斯巴达员工
小马利亚VS汪汪队
我不去玩war3看这干嘛
范雎狂喜
BGM：impossible-two step from hell
远交近攻
这不是鲲吗
《 拿 首 好 戏 》
开心的表情
离了打谱
《马 der 堡 半 球》
好耶
罗马2是吧
猝不及防
大爷也和你断交了（doge）
我想玩了
消消乐？
这波公司有好多副总
发甚肾摸事了，发甚肾摸事了…………
偷马桶
哈哈哈哈哈哈哈哈
把头切了也许就行
哈哈哈哈哈哈哈哈哈哈哈哈
就离谱
你脸红什么！doge
不言而喻  一目了然
技 术 奇 点
战争已经开始了，是上一场战争的延续
迟到十个小时是旷工了吧哈哈哈
让族人吃自己，真是伟大呀！把泪目打在公屏上
你没事就吃溜溜梅
赛马娘！
好深情的眼神，啊～
俺の愛馬が！
等一下，海洋动物能生存在陆地，神奇的动物
金色的鱼钩
简称鲨人，这个种族蛮厉害的
好矮，基因没有变化
好耶
哈哈想到余华文化馆的工作
马桶？马桶不是人造的吗，那四舍五入我们是神哦，好耶耶耶耶耶！
47
啊～流氓
哈哈哈哈哈哈哈哈
传说有座山，山里有座庙，是谁在里面讲故事呢
基努李维斯版康斯坦丁
这就是那个谁，每天穿那个锁链皮套的原因，是想融入角色吗
乖乖噶
完了，已经走不出来了
真有特色，请问一下不重吗
我是sad bee 
“战争已经开始了，是上一场战争的延续……”
爷青回！
去mdb做半球实验
紧跟事实
H哈哈哈哈哈
这可不是矛盾文学，这就是教训
远交近攻
我们不知道三战会使用什么武器，但第四次世界大战用的一定是石头和棍子
哦哦哦哦哦哦哦哦哦哦哦哦哦
第二次出现……广告?
马族首领马赛克派大将马斯克出战
半球实验
47！！！！
63.
???
鸡汤来咯
我迟了十个小时
我迟了十个小时
应该是“哈哈，哈哈哈哈哈。”
咸鱼翻身
娃娃肉
格列弗直呼内行doge
猝不及防
？48是小王？
看到我就说明你不是第一了
bgm:impossible!!!!!!!!!!!
《拿首好戏》
空评了？
你没事吧
我是个傻子（串视频了
时械神？
切切突然高产！还是说我已经在家待到忘记了时间
马了顶大
47
半泽茄树
他说他是岛民
广州十三行
小潮行为
《创作推广》
47！！！！！！！！
2022
释放自我！！！
黄金律法时代
嘿嘿嘿茄茄亲我了
哈哈哈哈哈哈哈哈哈哈哈
Dream Is Collapsing
？
爷青回
不仔细看盾牌像乌龟壳
有   头   骑   士   和   他   的   马
吸溜
想象一下，番茄对着电脑录这个mua~
单口漫才
危
《温馨提示：现在是网课时间，请您回到课堂》
那这么说，拖码头也是马咯（狗头）
《小马宝莉》
——黑格尔
雀巢
你没事吧
居然还有赛博
你没事吧
哈哈哈哈哈哈哈哈哈
阿巴阿巴
哈哈哈哈哈哈哈哈
关于深海鱼跑到淡水中生活的事情
嬴政：？？？
《慧 骃 国》
SLG？？
假面骑士厨又沉默了
《红色警戒2.5特码头的崛起》
哈哈哈哈哈
黑格尔！
【关于47变成了小王这件事】
？
？这好雀巢啊怪哦
副职是网约车是吧⊙▽⊙
眼神中充满智慧
“战争已经开始了，是上一场战争的延续。”
要亲自出马把小马某斩于马下，
好家伙两个人同时发视频还互相迫害【doge
《马了顶大》
某幻哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
马桶族：老子美的就是看不起你们蒙娜丽莎{doge}
大气压：你礼貌吗
好耶！更新啦
这不是骑砍?
好耶！
深海色带鱼
马乙巴河
PDD的味道（
突如其来
47！！！！！！！！！
马der堡半球实验是吧？
逃课
？？？
帝国时代4？？？？？
赌一个 驴
！！！！！！！！！！！！！！！
御！驾！亲！征！！！！！！
47！！
智慧的某幻
一对话尴尬写满五官~
《神奇动物在哪里》
《大饼带师》
衔珠海皇
四十八？！
黑格尔的话
冷冻罗非鱼（doge
《陶特app》
1700W+?恐怖如斯
《乌克兰行为》
47！！！爷青回！！
tm又是这b游戏
是某幻哈哈哈哈哈哈
暂停火速把嘴里的水咽下去再看（噗。。。
这怎么有点骑马与砍杀的味道
不会全是副总吧
我红警幻影坦克可以直接变成草丛啊
绷不住了
黑格尔
这说的不就是一战吗
海嗣
为了北方神的荣耀
47：？
危
哈哈哈哈哈哈哈哈哈？？
康斯坦丁！！！！
一个人配出一个团
这踏马不是星际争霸加红警吗？
马德堡半球实验哈哈哈哈
呼伦贝尔大草原
嗨，晚上好！
听君一席话，如听一席话
身   高   1.08   厘   米
嗨嗨嗨嗨
帝国4呢
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
猝不及防
茄茄！
软广告植入（要素察觉）
某幻giegie你怎么在这，快跟我回家！
？
最新消息：阿戈尔正式与炎国断交（
慧 骃 国
这世界观倒是比三国或多文明什么的新鲜多了
慧 骃 国
发生什么事儿啦————————
可恶啊，换了
这个游戏之前不是找博爱做过吗，现在来找茄总了
我辈义不容辞！！！！！！
这里是撤锁，我是老八…
坚壁清野
草
《绿野仙踪射头人》
太可爱了哈哈哈哈哈
番茄说某幻不行
《耶胡》
《警惕人工智能》
嗯好多了吗
某幻：出场费浅收一下
海皇（误）
马桶族？坐上去不就完了么
黑格尔
广告啊。我滴天，太厉害了
？你没事吧
《海 底 小 纵 队》
芜湖！！
《动感的泪水》
深   海   劣   人
回顾过去对此时此刻毫无意义——罗兰
怎么倒退了呢
越共大军？doge
47！
蟑螂（确信）
前面那个神奇动物在哪里哈哈哈
隔离行为
什么玩意儿哈哈哈哈哈
什么玩意儿文se哈哈
某幻哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
鸡汤来咯
现在就去下载
f
"?,种植业分布地图是吧"
竟然不是牛族，cp梦想破裂
战意？
红伞伞，白杆杆，吃了躺板板~
骑砍？
措不及防
真实
攻沙（大雾）
越共探头
文明行为
《祸从口出》
明明是阿部高和啊喂！
七小时
哈哈哈
?
猝不及防
迫不及防
你能看见我的替身吗
“柯基猎人”谴责了你
“深海领主”谴责了你
我的天
听茄一席话，如同未读书（doge）
哈哈哈哈哈哈哈
离离原上谱
达文西！朕的朋友！
信仰3连~~~~
不对劲了
魔兽
某幻！你怎么在这里？你不是在直播吗？
可以试试把自己分给部下吃（doge）
锁子甲-反客为主
哈哈哈哈哈哈
哈哈哈
循环了
哈哈哈笑不活了
爱因斯坦直呼内行
这个总裁看起来不是很聪明的样子
三个火枪手插花
好一个纵横家
真实
某幻
巴浪鱼
听君一席话如听君一席话
海绵宝宝：我家电视台可以看到陆地频道了
回顾过去对此刻毫无意义
完了，深海族……
海嗣是吧
某幻哈哈哈哈哈哈
这边请给一下某幻的出场费
哈哈哈哈哈哈离大普
1.1万+，上课呢都在干嘛……
离谱
瓦坎达？
我本来是拒绝的 但是后来我试了一下 哇.........
又是我，嘿嘿
这游戏怎么这么真实
马族首都，马de里
半泽直树~！！！！
bgm：impossible（two steps from hell）
哇，好多某幻（）
1万+！
动作指导，米兰乔
立刻穿越国王排名～
我想到了全面战争系列
《梦  幻  联  动》
感觉好像战地的那句话
呃，此时的我正在干饭
不是有1.1万人么？
一人攻沙虐全场
捉虫，远交近攻
太怪了
救命，我以为在叫我
hahahahaahahh
我辈义不容辞！
有人开2倍速吗
黑潮之下
啊？帝国时代？
这不就是打《重返帝国的广告吗》
超级优化
戴夫：他说……@￥%……
吃番茄咯
逆天
智能马桶
奈须蘑菇（确信）
海绵宝宝
《二战风云2》
骑      兵
画大饼
倚      兵
“慧骃”（确信）
昨天刚下载
？？？
不对！
刘♂芒
《高柯基》
我约了理发师
猝不及防
谴责六现状
哦哦哦哦！！！太棒了！开头就让我震惊
«小马某幻»
马哥是不是给钱了
这个脸是king吗？
哦！所以啊！褪色…啊抱歉听到bgm情不自禁就咏唱了起来
