17分钟我出息了
海上钢琴师
想把这些电影都看一遍
up
边缘日记
绿皮书
怦然心动
格温！心碎了
全体起立！！！
台词《绿皮书》
楚门的世界
了不起的盖茨比
怦然心动
这是超脱吧
绿皮书
触不可及
海上钢琴师
小李子真的让人缅怀。。。
《当幸福来敲门》
《钢琴家》
《触不可及》
触不可及
刚才那个怎么没人说话了？
欧比旺
怦然心动
《拳王史密斯》
1900
这个杀手不太冷
钢琴家
触不可及！！！
遗愿清单
怦然心动！
《爱乐之城》
《大地惊雷》
楚门的世界
《阿甘》
闻香识女人
这个好像是 不一样的天空
怦然心动
400多人同时看
了不起的盖茨比
怦然心动
超脱
当大嘴巴子扇脑门
全是经典
触不可及
怦然心动
昨天刚看过，绿皮书里面的，最后他自己会写了。
闻香识女人
其实还有弱点，也是很好的电影
怦然心动
超脱
闻香识女人
台词是绿皮书，写信那段
这个杀手不太冷
海上钢琴师
这个杀手不太冷
海上钢琴师
这个杀手不太冷
肖生克的救赎
《这个杀手不太冷》
钢琴家
画面 爱乐之城，台词 绿皮书
ab！！超脱
泰坦尼克号！
海上钢琴师
海上钢琴师！
他还是绿皮书
绿皮书的台词
海上钢琴师
肖申克的救赎
闻香识女人
闻香识女人
台词是绿皮书，今天刚看
边缘日记
基佬
牧羊班的春天？
放牛娃的春天
大地惊雷，说不上来哪里惊艳哪里好，但过了这么久一看到这个画面脑海里马上蹦出来这个名字
you jump i jump
台词肖申克的救赎
海上钢琴师
超脱
海上钢琴师
green book
触不可及法国版
遗愿清单
海上钢琴师
闻香识女人
了不起的盖茨比
牧羊班的春天
弗兰克中校
《爱乐之城》
边缘日记
《楚门的世界》
《大鱼》
《了不起的盖茨比》
700人我去
放牛娃
不要用蛛丝，要用手啊！
玛莎拉蒂
好像是小李子的《边缘日记》吧
lalalang
lalaland
表情包
泰坦尼克号
白日梦想家
台词《绿皮书》
海上钢琴师
小李子的边缘日记
《遗愿清单》
《绿皮书》
海上钢琴师
最喜欢的电影！海上钢琴师
时空恋旅人也很好啊。很有意义
别放超凡这段了T.T
《白日梦想家》
触不可及
台词绿皮书
你没有下船，赵玉真却下山了。
《闻香识女人》
《海上钢琴师》
触不可及
但是格温不受影响
这个电影是个音乐老师教顽皮学生，名字忘了
《当幸福来敲脑门》
小李子！
闻香识女人，大爱
台词是绿皮书里面的
放羊班的春天
镜像华美
台词是绿皮书
海上钢琴师
海上钢琴师
触不可及看了不下50遍了B站就有
楚门的世界神中神
这个杀手不太冷
钢琴家
楚门的世界
泰坦尼克号！
《肖申克的救赎》
触不可及
《怦然心动》
超喜欢这个画面
海上钢琴师，1900
怦然心动
画面《白日梦想家》
触不可及
海上钢琴师
画面《楚门的世界》
惊险画面
画面《超凡蜘蛛侠2》
台词《泰坦尼克号》
这个杀手不太冷
楚门的世界
拳王阿里来敲门
大鱼
《泰坦尼克号》
《肖申克的救赎》
台词:绿皮书啊
典中典
《楚门的世界》
《触不可及》
大鱼
遗愿清单
《这个杀手不太冷》
镜象画面
海上钢琴师
海上钢琴师
镜头画面
开头的台词是绿皮书
闻香识女人
都不睡觉是吗
这个画面是爱你罗茜
《钢琴家》
《大鱼》
泰坦尼克号！
闻香识女人
海上钢琴师
《大鱼》
背景是爱乐之城
肖申克的救赎
《遗愿清单》
不过杀手不太冷里的小女孩确实惨
大地惊雷
泰坦尼克号
小李子啊啊啊全体起立
肖申克的救赎？
《海上钢琴师》
这个杀手不太冷
想要快乐
触不可及！！！
《肖申克的救赎》
《泰坦尼克号》
都是我喜欢看的电影
为什么没有辛德勒的名单
弱点的确是部好电影。
海上钢琴师
镜像空间
大地惊雷！！！
海上钢琴师
触不可及
超脱
楚门的世界
楚门的世界
大鱼
无法触碰
《掌声送给社会人》
怦然心动！！
《怦然心动》
楚门的世界
裁缝
触不可及
肖申克的救赎
楚门的世界
《海上钢琴师》
超凡
真吹爆这个杀手不太冷
海上钢琴师
触不可及！
那个小盒才是你永远的家
《闻香识女人》
斯人若彩虹，遇上方知有
《海上钢琴师》
泰坦尼克号呜呜呜
放牛斑的春天
学了三年动画
《触不可及》
泰坦尼克
海上钢琴师
《这个杀手不太冷》
《小丑》
《了不起的盖茨比》
靠，画面感被小魔女带偏了
全都看过
《爱你罗茜》
泰坦尼克号
我每天到你家接你，我们出去喝酒笑闹，那很棒。但我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但这我很清楚。
当幸福来敲门
我每天到你家接你，我们出去喝酒笑闹，那很棒。但我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但这我很清楚--《心灵捕手》
我心永恒
我焯，羽肿的bgm
u jump i jump
开到开头就投币了 我最爱的lalaland啊
经典
《大虾》
这不是肉食跟结课
触不可及
大地惊雷
海上钢琴师
斯人若彩虹，遇上方知有
《当大嘴巴子来敲门》
泰坦尼克号
海上钢琴师?
为什么刀我呜呜呜
触不可及
斯人若彩虹，遇上方知有。
《海上钢琴师》
上海钢琴师
这菜名报的都不错
《海上钢琴师》
闻香识女人！！！！演讲超经典！！
《闻香识女人》
边缘日记
闻香识女人
《大鱼》
《了不起的盖茨比》
《救赎》
当幸福来敲门
钢琴家
大雨，绝了！
《海上钢琴师》
怦然心动
泰坦尼克号
学了三年动画绷不住了
一、影片《爱乐之城》台词源自《绿皮书》
台词是《这个杀手不太冷》
台词 遗愿清单
嗨害
肖申克的救赎
我最爱的电影！！！！
这个杀手不太冷
再见3000+人
BGM好有感觉
阿甘正传
那位老人讲出了人生哲理
海上钢琴师
卢卡，尚格莱特
台词是绿皮书的
钢琴家
水枪李
触不可及
《这个杀手不太冷》
lie to me 哈哈哈哈
爱上你是我做过最容易的事
《情书》
怦然心动
mj
有人忙着生有人忙着死
海上钢琴师
《当幸福来敲门》
放驴班的春天
台词是绿皮书
《肖申克的救赎》
杀手不太冷
《泰坦尼克号》
闻香识女人！
大鱼
情书
我一步电影都不知道
泰坦尼克号
ilbiilib
泰坦尼克
《超脱》
闻香识女人
为什么藏了一把刀？？
哭了
海上钢琴师
楚门的世界
这些才是演技啊！
大鱼
超凡蜘蛛侠
海上钢琴师
第一眼以为是可莉卧槽
海上钢琴师
女裁缝
卡特教练！！！
t
放羊班的春天
泰坦尼克号
触不可及
我最喜欢的
绝了
差不多全看过耶耶耶
海上钢琴家
我在梦里认识了你
篮球日记
闻香识女人
遗愿清单
嗯，呵呵
斯人若彩虹遇上方知有
《海上钢琴师》
这个杀手不太冷
大鱼
海上钢琴师
镜面画面
镜面画面
绿皮书！！！！
格温
爱情与灵药
海上钢琴师
1900
闻香知女人
怦然心动
触不可及
情书
海上钢琴师
串台了吧
泰坦尼克号！
肖申克的救赎
大鱼！！！！
楚门的世界是一定要看的电影
bgm:花火が瞬く夜に 羽肿
《肖申克的救赎》
海上钢琴师
《触不可及》法国版
触不可及
国产的四分钟不够
白日梦想家
大鱼！
海上钢琴师
这个杀手不太冷
钢琴家
海上钢琴师！
？
放羊班的春天
全部看过
当辛福来敲门
海上钢琴师
海上钢琴师
1900
肖申克的救赎
超脱
小李子排面
肖申克的救赎
《钢琴家》
《泰坦尼克号》
[置顶]少年很好奇大家最喜欢的电影中一句台词和一个画面是什么？（记得留在评论区哦）BGM：花火が瞬く夜に爱乐之城绿皮书白日梦想家遗愿清单情书阿甘正传卡特教练闻香识女人当幸福来敲门
这个杀手不太冷
好
Oh，captain！My，captain——死亡诗社​
？？
钢琴家
最经典
画面来自《爱乐之城》
来自《触不可及》
这个音乐好配
泰坦尼克号泰坦尼克号
泰坦尼克号
《触不可及》
《泰坦尼克号》
bilibili
牧牛班的春天
泰坦尼克号啊啊啊
太经典了
《锕甘》
封面是超脱
《卡特教练》
台词来自【绿皮书】
闻香识女人！！！
斯人若彩虹，遇上方知有
格温
？？？？？
闻香识女人
海上钢琴家
闻香识女人
超凡蜘蛛侠2
遗愿清单
触不可及
镜面画画
《这个杀手不太冷》
《钢琴家》
《肖申克的救赎》
《怦然心动》
拟态环境
《大地惊雷》
？
泰坦
责任越大，能力越大
谢谢
一键三连
弱点好看
别挡字幕！！！
总是如此
《泰坦尼克号》
上热门了，哈哈
泰坦里克号
just like this
钢琴家
救赎
钢琴家
卧槽羽肿，呜呜呜呜
«教父»
镜画画面
泰坦尼克号
海上钢琴师
绿皮书
镜面画面
《JOKER》
超脱！！！！！！
闻香识女人
海上钢琴师
刷尼玛镜面啊，mm还有吗
bilibili
台词《
台词是绿皮书
世界名画
illdilld
同问。。
为什么弹幕里老要重复的刷，知道了
《闻香识女人》
遗愿清单！！！
了不起的盖茨比！！！
翻译？
我居然全部看过
台词是绿皮书里面的
《放牛斑的春天》
《放牛斑的春天》
镜面画面
莱昂纳多刚出道不久的电影《边缘日记》，奥斯卡真的欠他很多年
放羊班的春天
超凡！！！
这里直接哭死！
台词是绿皮书的
这电影太治愈了
画面镜像
科比科比！
闻香识女人
台词是绿皮书的
黥面画面
为什么拿绿皮书写信的台词给爱乐之城
《泰坦尼克号》
台词 绿皮书
斯人若彩虹，遇上方知有
镜面画面啥意思哇怎么都在刷这个
ilidild
不在乎才是最难的，我们总是会在乎这样那样的事，所以内心才不够坚定
镜面动画
no！
斯人若彩虹，遇上方知有。
斯人若彩虹，遇上方知有。
杀手！呜呜！！
开幕雷击QAQ
超脱台词
台词绿皮书
bilibili
《楚门的世界》
触不可及
镜画画面
11
镜面画像
《爱乐之城》是真的无敌
？
好
镜面话哦靠
肖申克的救赎
《楚门的世界》最经典的一幕
海上钢琴师
闻香识女人
我闭眼睛了太困了
Titanic
《泰坦尼克号》
金凯瑞我真的很爱
楚门的世界
摸球不得
触不可及
大家好
台词:铁皮书
看过绝大部分
泰坦尼克号
绿皮书里的
怦然心动
