可爱咩
还做渐变！！！！
还做波纹！！！！！！
还做小蝴蝶！！！！！！！！！！
可爱晕了
3D打印机直呼内行！
我喜欢这个小灰！
也太治愈了叭！！！
看着嘴角上扬
好可爱
哇！这是什么魔法！
呀~~可爱！
这是魔法？
角落生物！
太可爱了
牛哇
三小只
这也太可爱了
小爪爪好可爱
每一个都好可爱！！
原来是这样解决的吗！
喜欢粉色小啾啾！
每个都喜欢呜呜
好可爱！！
好可爱啊
好可爱！！！
良作无人
请问您吞了多少个3D打印机？
小灰尘！
手好稳
omg！！！！！！！
哇好可爱！！！
好细致啊！
小东西好可爱！
其实每次看到饼干坯子就已经想吃了
每次视频选取的背景音乐也好治愈呀
好可爱！
《草》
真的有这么丝滑吗QAQ
这做好谁舍得吃阿
哇塞
怎么都这么可爱阿，我一口一个
草，太可爱了
艺术品啊
是猫猫！
好想吃
手工版3D打印吧。。
这一定是吃了德芙纵享丝滑
爱了爱了
瞳孔地震
这是人类的手？？？
打印机成精了…………
手型打印机肯定很贵的
卡点了这就离谱
角落生物
太厉害了
这个叫灰尘！我最喜欢它啦
开始离谱
大开眼界!!!
还有樱花！
这是拿来吃的？？？？？？
刚刚好！！！
 我的嘴角流下了不争气的泪水（doge）
欢迎来到虽然有手就行但是我们都是残废系列
这是人的手吗？？
笑死，弹幕也好可爱
三花！
小灰！
《成双成对》
水母。。
这个bgm好养耳的感觉
小肥啾
好稳
妈妈！救命！这个人会魔法！
太稳了
啊啊啊啊啊啊
池塘生春草，园柳变鸣禽
我全程哇～哇～这是怎么做到的？？？
小麻雀！
太可爱了吧！！！
七七：想要小团雀！！
已经内卷成这样了么？
小脑斧
可爱！！
别卷了别卷了
真的忍心吃吗？
小鸟！我爱
天啊
还以为这个粉色的是眼睛…
它是在祈祷吗？希望鱼鱼自动跑到嘴巴里来～
肥啾！！！
这是蛋黄君?
！！！角落好安心
小杂草！
小猫！
我没开弹幕？
可爱
我这不争气的泪水从嘴角流了下来。
鱼鱼！
哇
up是日本人吗？左上角什么意思这是转载视频？
这真的是做好可以吃的吗 太精致了！！！
这小粉花也很漂亮，每一瓣都精致！
比我家小灰还可爱！
水怡
金蝉脱壳
开了
蛋黄哥你咋在这里
这是我配吃的？
自流平是吧
好厉害
好可爱
不是，是番薯团
这是艺术品啊啊！
这是他的蛋蛋吗！
这划线也太稳了
禁止在麻瓜面前使用魔法
好可爱啊！！！
好治愈
啊啊啊啊啊啊这怎么能是吃的啊！
好治愈
好治愈哇
←左上角是bgm啊。。。
妈咪 都太可爱了吧呜呜呜
角落生物！
3D打印机成精了！
哇！！
哇
好治愈
原来是用这种方法解决的吗！
芥末致死量
小灰尘！
麻薯团
好可爱
背上的是啥？
哇
少女粉
手好稳
啾啾
大橘！
胖啾啾
这里！艺术创想！谁懂呜呜呜
这怎么舍得吃啊
这么好看都舍不得吃了
强迫症感觉良好
up 主办班吗?
猫猫虫！
进度条不简单
真有这么丝滑吗
这谁下的了嘴？
角落生物！
都做成这样了怎么会舍得吃啊啊啊啊
有边角料剩吗？我愿意吃
懂！！！是童年！
蛋白糖嘛？
嘴角上扬那个，我全程皱着眉头埋怨我的手
这手也太稳了吧
biu——
可爱到膨胀
袜
草（一种食物）
人体3D打印机
那还能吃吗？气球消毒了吗？（bushi）
猫！
