还是像展博
气氛突然欢乐了起来
要释放或者内敛，都是演技，但是什么都没有做肯定不是演技
金世佳演技可以的，但是我个人感觉他的声音真的给了他很大的难度
这个眼神！！！！！
感觉用力过猛
我还以为是保剑锋呢
人家还是爱豆出生
瞄准
绝绝子
话剧式演技
金甲战士呢（doge）
说真的这些都是正经院派出身，确实没有很差。比流量明星好太多了
这个一般吧…
这个还算了？？？您真厉害
目前这三个我感觉就王传君脱离了公寓角色
化妆师？人家为了演戏暴瘦你当看不见？
内伊组特
这个是放下包袱去演，前面是为演而演，还是有差别
她是真的只有爱情公寓了
嬛嬛的配音
季先生是吧
这部剧还是可以
娄艺潇都快忘了自己音乐十级
福尔康呢
画风突变
她之前也演过不少
主要是金世佳声音比较跳戏
都很好啊演技
这段还有乔四美对小三那段苦笑着哭 都是特别绝望的年轻母亲
那个说化妆师的是什么鲨碧
专业的
大家都长大了
无罪之证邓家佳演的真好
这个是真神了
这场戏他好像几天没睡觉就为了这个样子
最有种的男人
所以他真演了爱情公寓的上海大亨啊
炮儿与众不同
金世佳在爱情公寓之后一直都在演话剧
小姨妈真好看
能力启动
唉，李金铭到底为什么不坚持演戏啊，明明就是很好的演技
他还是算了
小姨妈专业的
这个就算了
金世佳其实可以只是他的声音会让大家想到展博
就是这个表情
免费当你的律师（doge）
唐氏表演法则！
一股子乔味
金铭演技真的无敌好
2000+人正在观看 真的假的
这个BGM声音像熊二
吕布
施耐克
卫庄大人
同志们，她卖假货呀！直播忽悠粉丝优惠买东西，又不发货
看着好心疼
b战扬名立万，她的女演员一段哭戏，哭出了背后很多的故事的感觉
王传君都不用说话，一个眼神都有了
他的声音也出戏
邓家佳也脱离了爱情公寓啊，演技方面，没有爱情公寓的感觉
这个剧挺好的
不得行
这位算了吧
没有药啊听哭了
这个当时看是真不错
易先生演的真的很带劲
陈赫算了吧
三层口罩笑死
这货在抖音带货正欢
声音条件不好，听着出戏
好家伙，这配音，闭上眼就是白浅、甄嬛在面前了
哈哈哈哈哈
现在哪
这个不像曾小贤啊
子乔很欣慰，斯奈克出师了
这里陈赫能改掉公寓的外皮就不错
哈哈哈，笑死我了
金世佳真的尽力，但水平只能这样
孙的人品简直是负分
1000+人，四月三日下午三点整
算了吧
这里面最拉垮的就是陈赫了
哭了
我听着这个声音就想笑
真正脱离的《爱情公寓》的人
斯内克
唐氏表演法则
先做人后做事
确实适合演疯批坏蛋
不!绝不可能！
好喜欢金世佳
这就是个又当又立的
孙艺洲声音好笑！
张伟演技是真的强
神箭手呢？
….确实有点拉
娄艺潇以前是真的绝
算了吧
我喜欢陈赫和戚薇演的那个
1000+太牛了
其实这部剧还可以
欧皓辰我宣你
四象射日箭
这货和王传君是真的可以
爱情公寓的演员真的都挺厉害的
不咋地
妈呀
斯斯斯斯斯斯斯斯斯斯斯斯斯～内～壳
陈赫：？？？谁说的，
这个上升空间还非常大
看见就想笑
浮夸，金世佳是真的拉胯
陈赫演啥都是曾小贤
都比陈赫有演技
这是什么？把刀插嘴里了？
刚看药神的时候 我都不知道这是那个关谷 
本来爱情公寓也是他们演的剧之一 他们没什么脱离不脱离 真正脱离的是观众
吕小布
这不是解说刀塔的湿丹尼
他演坏人的时候我真的很想把他掐死
陈赫是多菜大家不知道么？所有角色都是曾小贤
刚才是张若昀王鸥的《惊蛰》 子乔是反派
梦里快死了那段我也哭了
哈哈哈哈哈哈哈哈
讲真，这几个人的演技都不错
谢君豪
她演技很好，能力也很强，但是接不到好戏
他还是他
斯内克！
妆造太加分了，盖过了演技
mvp
我觉得邓家佳第一
这个bgm真的受不了
最喜欢金铭了
痛
气氛快活了起来
王传君确实脱离了关谷的影子
2000+
差点意思
这段好到都不像爱情公寓
除了陈赫我觉得都很好
……这是啥？
小布…………
展博演员。。怎么说呢表演还是少点意思
李金铭可以的，但是没怎么演戏了
只有陈赫摆烂立人设
金铭演技也挺好的
呵
不好
金世佳演啥都是展播，尤其大喊大叫的时候
哈哈哈哈
我的其中一个社交艾迪就来自于他在这部电影里面说的第一句台词
小龙虾
3000万，买德国赢
可以配得上演员这个名字了 但是还需要淬炼演技
为什么我听见他的声音就想笑，哈哈哈
娄艺潇真的还行，但为什么去整容了呀…本来特别好看整完不好看了唉
这个最厉害
填充物毁了她
欧皓辰，你宣不宣我！
这个是潜力股
我觉得金世佳完全不如王传君
其实很多时候，他们只是缺少机会
陈赫没救了。
3000＋人同时观看
白發瓶中吸白面
只有曾小贤原地踏步
一口盐汽水
冒牌律师
这个我不认可
这个演的也不去别人
这部剧我好像莫名其妙的追完了！
免费替你排队买火车票
他的声音不能变一变吗？
看的时候完全没想到是一个人
王传君可以了
我觉得金世佳演技不行
感觉这个片段不行
王传君在爱情公寓里面饰演什么？
yue了
连弹幕都飞起了
盲猜哭才能提现演技
你怎么不放金甲战士
张伟张益达
谁不喜欢爱情公寓我和谁急
就这？？？
？？？？？？？
这段连我都知道子乔根本不那样的戏，她演得像真的失去了信任
已拉黑
他们在公寓里演的就很好很好了
金甲战士那个 绷不住了
这个剧挺好看的
他在医院里面那个演技就很好啊
amz
不行
好像爱情公寓是最后一部不靠流量明星的现代戏了
4000＋
金甲战士
哈哈哈对不起
因为爱情公寓里他一直戴着眼镜而且还有口音呀
她真的好厉害的
？
小伙子对演技是有追求的，但是用力过度了
hhh
李金铭
吕小布
为什么不是金甲战士
金甲战士
大排好吃不
币留给王传君，
这个也可
唐式表演法
libilb
那是因为她他声音金世佳其实他的演技还是很好的
有些人真走不出固定角色
镜像对比。。。。
主要是听到声音
无证之罪
哈哈哈哈哈哈哈哈哈哈哈哈
还不如唐探呢
阚清子好漂亮
？
这里演技炸裂
唐氏表演法则
王传君真的很强，完全看不出这个人是他
清子！！谍战深海yyds！
5000+可还行
季冠霖老师的配音太多重合了
并不是前面的一起同过窗也是
他挺适合演话剧的
曾小贤！
一般般啊感觉。。。。
陈赫确实不行
这才是演技
我就是来骂陈赫的，男小三不得house 
想哭
金甲战士，变身！
ilidⅰld
il i bi li b
《肾宝，味道好极了》
是配音
