这是个高手
放水放多了
我去，太6了吧
卧槽
我靠厉害啊牛皮
黄老师怎么不露脸！！！
爷青会
自带bgm
一般人不敢用黑的（害怕）
草 这才画了多久啊
草这是什么炫技方法看傻了给我
草。艺高人胆大
全员大佬
前摇过长
哈哈哈哈哈哈哈哈哈哈
牛逼 加油
卧槽
bgm上线
也就打底用了点黑，节目效果
新概念英语
师傅发生了甚么
卧槽，这个狮子好吓人
？？
落魄了
那个不是普兰嘛
没少逛夜店
致死量
哈哈哈哈哈哈哈
主角回归
这是水彩，不是水粉啊
痛失网名
牛逼
害怕
卧槽
卧槽
发生什么事了
草
传统艺能
牛逼啊
大佬云集
水放多了
突然发现全是男学生？？
谢谢，已经睡着了
6
我天
沃日太牛逼了
卧槽
这也太强了吧
发生什么事了
全员大佬
卧槽
讲究
擦 佩华！
老师好可爱哈哈哈哈
禁止在麻瓜面前使用魔法
是魔法
联动了
我已经考过了嘿嘿嘿
哈哈哈哈哈哈好中二
这不是主角
现在才是主角
谁的颜料遭殃了
素描白学
这就叫专业
现实讽刺派
哈哈哈哈哈哈哈哈哈哈哈哈
？
？
妈妈问我为什么要跪着看
？？？？？
唔
呜
都没泡开呢哈哈哈哈
这是水粉!本人学水粉
卧槽牛逼
发生甚么事了
起形过程剪掉了
我不露脸的能不能看看头像
?
解锁新角色？
帅气
专业抬棺派
我超
发生了什么
发生什么事了
发生什么事了
草
这个画室有点东西在里面的
？？
水放多了
摸自己
我就这么起的，一上来大关系就能定好
孔乙己？
发生什么事了
您
暂停，卧槽一下
卧槽
黑白灰有点分不开……感觉
跪了跪了大佬！！
好家伙，郑红远
挑颜料才是真爱
太强了
我趣……
害怕
啊？
怪诞派
跟不上了x2
跟不上了x3
跟不上了x5
感觉自己太老实，教室里根本不敢这么玩【捂脸笑】
还是那么喜欢紫色系
老师，您是干什么的
？？
笑死了这期
搞特殊是吧
BGM有内味了
处刑曲
卧槽
八仙过海
发生啥了？
是我家里克还是空
这野兽派还挺好康的
？
？
？？？
王大眼？
沃日
这个你别说不错
正片开始
经典一人示范全班摸鱼
新概念1b（doge）
？？？？
阴间系
地狱系
太细
拖鞋系
专业团队
五虎上将
这个看示范太真实了
我超，我联考速写用的就是李佩华的书
？？？？？？？
卧槽，我的白！！！
？？？？？？？？？？
画完了
？？？？？？？
我到底哪一步没跟上
是哪家画室
有没有一种可能，其实他们都会画，就是为了考虑一下我们的心态。
试说猩语
.神！
前面的问他到底哪一步没跟上？，我笑了，我根本就知道这辈子都跟不上。
印象派
我只会画灰
空
卧槽
死神派（doge）
？？？？
跑操音乐
这狮子我觉得不错
好家伙 这画画跟玩似的
拖鞋派
嗨嗐嗐
老莫胖了好多哈哈哈哈哈哈
空白永远不会败北！
币留不住了
这个帅
好牛
Hey  apple
克系¿
这个老师示范凑一堆抢位置才是真的真实住了
哇去倒是把画眼镜那播出来阿
                         东 方 仗 助                      
老师们的画面都好干净啊，好厉害
白色啊！美术生心梗
擦，大哥！
水粉，五米之内不能站人，这是规定，不然要换衣服的
一笔多用。
有一说一我感觉这张好酷炫（
这位更是离谱
这个画..画的是阿婆的《无人生还》？
额
牛逼
禁止在麻瓜面前使用魔法
湿画法，绝
群英荟萃
哈哈哈这个我也干过
冥府派
这位更是重量级
我到底是哪步没跟上
五条悟（后面）
石柏？
发生什么了
再加一点点细节
？？？
五花肉派
水粉也叫不透明水彩
这是水彩
克苏鲁。
感觉好废调色盘
空白永远不会败北！
哪家画室这么牛？
我靠这个是真的强
爷的大白！！！！！！！！！
？
这要画一整天吧。
发生肾么事了
看到这个白就心脏骤停
哦天呐让我画的画我估计会画的很暗
《狂野派》
静物加人头，联考不用愁
？？？
？发生了什么
空白永远不会败北！
个个亲密度都是A
控水大师
这个我也会
诶呀 这比较正常
小亮老师！！！
你老师还是你老师
