这是钢铁侠最黑的一次
2
第一第一
这期大制作
卧槽，有内味了
刚刚+1
离谱
haha
这个笑容，绷不住了
看到这里泪目了，最后牺牲的只有Stark自己
关上刚刚的大门
证明我来过。
爷青回
这个海拉爱了
hhhhhhhhhhhhhhhhhhhhhhh
lipu
lipu
草
yeah♂
牛逼
哈哈哈哈哈哈哈哈哈哈
888人
2分钟，烫嘴
你们不要再说打了
你比我白！
嬉皮笑脸
66666666
火钳刘明
大制作
离谱
《本 色 出 演》
黑寡妇也没了，虽然黑寡妇是最没存在感的
零元购联盟
大制作
灭霸长的跟红骷髅一样蚌埠住了
好耶
灭霸:再不动手我就上了
五分热
特效太强了
这个钢铁侠太黑了吧
片酬没谈拢，只能牺牲了
经费~
弹幕呢？
啊啊啊啊不要啊！！！不要打响指！！我爆哭
恶灵骑士都有就离谱
小李子友情出演博士
真不错
奇异博士 plus
x战警哈哈哈哈哈
比博燃
1000+你们好
军火展示
闪 电 风 暴
What's  up
10000+你们好
1000+
好呆啊哈哈哈哈哈
百万特效
对波不要站在左边啊
风暴女也太大了
街头械斗
i am 羊巴鲁
我不知道这是不是钢铁侠被黑的最惨的一次，但是我知道这是钢铁侠最黑的一次。两个战争机器了属实是。
复仇者，集合
小兵的命不是命
经费爆炸
好像阿
旺达好好看
刚刚
，20伯人
这个灭霸长得好像炸鸡叔啊
大制作
卧槽，大制作
哦哦哦～～～～～
博士你肿么了
这特效不比斗破斗罗好
经费不断消耗
比我白！
海拉乱入
漫画里被瞪过哦，没用，灭霸无愧于心
塑料盾牌
漫威三恶霸
离谱。
上面的没看过的吧？
炭尼斯塔克
雷神充电宝
注入灵魂
2000+你们好
这个浩克笑死我了
勇闯无人区
你们为什么要摇啊（摇摆中）
羊巴鲁！
米国你眨眼干哦
肉装法师
这三蛛同框可太棒了
怎么还有电线
正片开始
燃起来了
偷袭岳父
ohhhhhhhhhh 
三英战灭霸
.2000人
为什么不打jio
那辆车是干什么的
热乎10分钟
从百草枯杀到三聚氰胺
有超级战队那味儿了
刚刚
又燃了我靠
用的原声
海拉太像了吧
优 势 在 我
12分！
史诗巨作。
dio
ohhhhhhhhh
没人看到但丁吗？
这是灭霸最瘦的一次
大制作
妙啊
ohhhhh
偷学古一密籍
你也学到了
我是钢铁侠
比我白
3000+
紫薯精变红薯精了
3000+
哈哈哈哈哈哈
经费燃烧
3000+
经费燃烧
《托尼·布莱克》
反派者集结！！！
后面的车绷不住了
名场面
呜呜呜
3000+
刚刚
灵魂
汽车人？
蚌埠住了
团战要有节奏
hhhhh
开挂队长
带制作
大制作
这个雷神好像美队
I AM 羊巴鲁
Warning  !  Lighting  strom  activitived  !
3000+
草
前方量子能
洛基：？？？
泪目
3000+！！！！！
帅啊
我已出仓，感觉良好
I'm 羊巴鲁
漫威想先拍的旧结局 
肉 装 博 士
是合约到期了，一个人在漫威只有八部电影的主演次数
16
经费在燃烧
打架还跳舞的屑
大制作
还能学英语
j绝了卧槽
太草了
3000+
芝顿？
浣熊只配当假挂件？
草
三千+！！
海拉好还原电影呀
3000佳人
美队打了血浊，体型恢复了
汽车哪来的
都给我笑起开
群魔乱舞
woc刚刚？
大制作
2000+出来吧
此处  比我笨 比我笨 比我笨
兄弟们，别忘三连啊
nb
绝
美队有点像一个人
真的燃气来了
集 体 嘲 讽
大制作
营养不良
黑铁侠
古一:？？？
啊哈哈哈
