鲁普
帅气且热乎
一模一样
刚刚
一 模 一 样
《你XX》
《你XX 》
承包空屏
离谱！太离谱了！
哈哈哈哈
有点离谱了
眼睛要坏掉了啊
不至于
我始终面带微笑止不住怎么办?
比原版好看
我有罪可以让法律来制裁我，而不是给我推荐这个
很离谱
OMG
？？？
哈哈哈哈哈哈哈哈哈哈哈哈
在这个视频里听完了整首歌居然
端庄
牛批
绝了hhhhhh
哈哈哈哈哈哈
鹿晗：“这不是心动，是心梗”（doge）
不堪重负
优雅！
优雅端庄！
这不应该是黄磊菲律宾分磊吗
我傻了
我都不敢开全屏...
这个造型非常像关啊
这不比关晓彤跳的带劲？
哈哈
哈哈哈哈哈哈哈
笑死我了
他们甚至为此买了一架飞机！
蚌埠住了
我居然看完了这个视频
NB
太妖娆了
官方玩梗
草
首席哈哈哈哈～
蚌埠住了
专业啊
离谱她妈给离谱开门
才发现 后面是一架飞机
我愿称你为最强
哈哈哈哈哈哈
我人没了
救命，为什么他们的腿这么细
草
草
第一次听完这首歌
哈哈哈哈
这比原版带劲儿啊！！！
好活
离谱
太哈人了
真的好像哈哈哈哈哈哈救命
以后不坐飞机了
从没听完过 今天在这里听完了
买衣服送飞机笑死
好像哈哈哈哈哈哈哈
卧槽这是景观飞机什么家庭
我看的真认真
该来的还是来了
开幕雷击
猛男航空
今天第一次听了整首
妖娆身姿
黄磊掌握变成关晓彤的秘诀了
众神归位
母仪天下
笑死
一睹芳容
甚至为此买了一架飞机，你币有了
离谱
最后这个亮相非常重要
一睹芳容
乌鸦坐飞机
世界名画
？？？？
救命啊啊啊啊啊哈哈哈哈哈哈哈哈哈哈哈哈
荆轲刺秦王
再来一遍
极度生草
可以，我上头了！好听
哈哈哈哈哈哈哈哈哈哈哈哈
优雅永不过时
黄字多听几遍，上头！哈哈哈啊哈
请选择你的英雄 
鹿晗表示移情别恋了
那个黄毛大哥太逗了哈哈哈哈哈哈哈哈哈哈
乌鸦坐乌鸦
在图书馆看这个深怕漏音了靠
没听过这bgm，居然在这听
左二裤子快掉了哈哈哈哈
儿歌
火钳刘明
才发现背景飞机
真猛男航空
未曾设想的道路
就离谱
谢谢，已经吃了三碗饭了。
一毛一样
腿都好细
离离原上谱
出息了40分
好欢乐
哈哈哈哈哈哈
突然妖娆
哈哈哈哈哈哈
一模一样
母仪天下hhhhhhhhhhhhh
真不戳
右三鞋子不一样啊哈哈
腿这么细
我的D盘就要听我的
没有高跟鞋差评!
OMG
红红火火恍恍惚惚
鹿哈
无敌表情
离谱
起飞了
我等这一天等得太久了。
嘤嘤嘤，妖娆姿态
笑死了
右三小哥好合适哈哈哈哈哈哈哈
热乎滴！
哈哈哈哈哈哈哈哈哈
哈哈哈哈嗝
终究逃不过
眼睛，我的眼睛
飞机都要裂了
新年快乐
裂开来
后面保安看傻了
我是为了猛男才听的
哥腿好细
好美
腿都好细的，有点离谱
新鲜出炉
救命，竟然还要从飞机上丢下去
 负重前行
优雅！very优雅！
快跑，现在还来得及
