刚刚！！！！！！！
来早了
凉了？
刚刚！
刚刚
一播放！！
就我在看？？？？？？
早早早
11：:06
嗯？
刚刚
好早！！！！
？
68评论1观看是什么鬼
几个人在看
刚刚
唔！
rehu
季  度  总  结
第一第一
哈哈哈
嗯~
哈哈哈哈哈哈哈
1
榜一土块
不够啊
?
事业粉举手
？？？？？？ 
热乎乎
雨哥？？？
1播放，55赞，B站特色
才发现自己是第一
哈哈哈哈哈哈
事业粉
鼓掌
刚刚
绿元君
搁这搁这呢
我好早
好家伙又是存货
你小子想什么呢
哇哈哈好早
粉丝重复了
《绿》
不好意思 雨哥才是 雨哥还有宝剑嫂
好家伙 鸽了二十多天
自己人
？？？？（奥秘）
自己人
2min
嗯
第三季！
蹭饭王
和雨哥属于真爱了
自己人
2min
哈哈哈哈哈哈
月度总结指的是三个月的吗？doge
我谢谢你
《 绿 元 君 》
终于更新了～
夕阳阴间组合不服
好家伙6号拍27号播
头发怎么变粉了
绿元君
自己人转身告诉已婚人士
自己人
自己人
刚刚!
第二季
第一个，没人!!!
绿元君
一千多人你们好呀
这是实时的吗？
我好像被骗了
我没有这样质疑
4min
那就叫怪兽榜一吧
埃及人
完结了
绿元君
完结撒花
雨哥：？？？？
外人
哈哈哈哈哈哈
自己人
事业粉在此
这两个月暗影开大了
好
自己人
发色 好看！
不在家不吃中饭
开始就结束
《节目效果》
别人
不是人
永不言弃
小柔：？？？
刚刚
绿元君哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
我不信
完结撒花
猜到了
速速第二季
我真的生气了！！！
下次一定
好烫？！
总结：真的菜
《榜一怪兽》
下一季催更！！！！！
难以言喻
袜
自己人
没素材了
在吗2000+的朋友们
你是不是为了节目效果搁这儿演戏呢 啊
反超才是这个节目的看点！
内鬼
变得爱联合投稿
季度总结(doge)
？？？？？
月度总结！拖更版！
不是翻三番吗啊哈哈哈
《暗影榜一》
我是第一别说了king
高情商：被认可了几次，低情商：恰了多少饱饭
我爱莉莉！！！！！！！
手容易抖？
泪目
嘉尔
很 绿 了 啊哈哈哈哈
在意
哈哈哈哈
来早了
鼓掌
男人怎么能说自己不行
自己人
加油
《嘉尔》
自己人
6分钟
看到我你就不是第一了
牛
传下去，力元君说他不行(doge)
？啊
很多人 = 小柔
自己人 不是
自己人
《嘉尔》
话好多有点不习惯
力元君哥哥
暗影榜一
一哥暴怒
每天都在放弃和搭纸牌
来早了
高频率
传下去，力元君不行
巜低调，谦虚》
这个纯牛奶看起来有点好喝
好家伙 全是和雨哥拍的
暗影镰爀王！！
亿 大 半
草率
《嘉尔》
罗曼雷恩斯表示内行
红绿灯兄弟
绿元君又又又被认可了
？
现在不是自己人了啊哈哈哈
外人
人家是真的走了啦（锤门）
"""嘉尔”"
哈？哥，今儿都27号了
好家伙 5000+
所以还是榜一怪兽
这个应该叫季度总结
雨哥：那我走？
老板粉（doge）
技几人
谦虚怪兽
莉莉～
类目
你还没到上限呢
小柔
《嘉尔》
哈哈哈哈哈
做bug五年，终于发现了b站
是雨哥啦
和雨哥是真爱了
百大稳了
刚刚
因为这季大虾没下线
11:13
《变态》
帕金森？
泪目
明白了 兄弟
心疼了属于是
自己人
游戏区的还有
局外人
雨哥
好早
自己人
所以就是真的菜（没有没有开玩笑 
绿元君
哈哈哈哈哈
因为大虾一直都在（不是）
九分钟
逆子
我去考古了你以前的视频 都很好看
来早了
哈哈哈哈哈哈哈哈哈
泪目！！
骗人 哪里来的动画
季度总结
小柔小号？（bushi
别人
帕金森
塞拉斯处刑曲
事业粉哦耶！
事业心
素材王没素材了（狗头
这么bgm这么像工业宝贝
声之形！
你搁这搁这呢
奥妙
永不放弃
好耶
你自己说出来了（doge）
huu
不在家 不吃中饭
蹭饭确实顶
事业粉？老板粉！
雨哥：我也是
哇哦
这鸽的有点严重了
10
有！蹭饭挑战第二季！
王嘉尔哈哈哈
你很可爱
并没有那样的疑问
第一 第一
夺走我整个世界颜色的，竟是我最爱的人
绿色食品
hi朋友们
哈哈哈，这是事业粉吗？！
自己人
内鬼
头发掉色了，再染下吧(・o・)
哇哦好棒棒哦
让你两个月汇报一次了？三联不想要了？
观战老爷们喜欢看真实一点的（doge）
rnm，退钱！
勇闯无人区
b站逆子绿元君
人类智慧天花板
ohhhhhh
勇闯无人区
哈哈哈哈哈哈
泪目
哈哈哈哈
11分钟！
11min！
兄弟们泪目了
上一次这么明白还是在上次
哈哈哈哈
榜一怪兽！！！
无人区
绿元君    哈哈
啊啊啊啊啊啊啊啊
发色越来越浅
自己人（不是）
我来的好早
《我要当一高！！》
保护
就叫榜八一吧！
6000+人再看～
泪目
泪目
zijiren
6000+你们好
升华
《梧桐山一高》
不是自己人
难以言喻
《嘉尔》
没人了吗
？？？？夹带私货呢在这哈哈哈
一家三口gkd
还有雨哥哈哈哈哈
发色也变了
终于更新了
结果你还是取了 doge
暗影榜首怪
突然
6000人快出来
geigei
《不要外传》
我认可你呀
自己人
《嘉尔》
《雨哥骂骂咧咧退出群聊》
爱你
颜色变浅了
脚绿
榜一怪 真的绿
绑一块肉
12
我是真的生气了！
类目
入口即化
泪目
ohhhhhhhhh
来早了
泪目
百大和原创栏目
泪目
榜一怪兽
哈哈，都有雨哥，你俩贴贴(狗头）
人家真的走了
《手抖》
类目了
接受不le
加油啊   莉莉！！！！
所以是真的烂不是演的…
牛哇
传下去 力元君说自己不行
追名逐利
黄力元
我悟了
永远自闭
自己人
下一季该快点
噢噢噢（假装懂了）
《低调》
暗影榜一
自己人！！
可恶，被他装到了
加油！
力元君咯咯
自己人
寄几愣
走了走了这还看个啥
声之形泪目了
膀一快瘦！！！
葛格
哈哈哈哈哈哈
妈妈他要吃我了
绵羊 小萌：那我走？
一直支持你
莉莉加油
天蓬元帅
第二季呢？？？？
讲废话就英讲哈哈
ohhhhhhh
升华了
泪目了
大声密谋
胶己人
哈哈哈哈哈哈
暗影家族
好家伙，今天都快月底了
暗影榜一
《饱了》
我就单纯想看你
蕾姆
莉莉好可爱
自己人
难以言喻
绿元君你好！
加油
焯！
雨哥还有和宝剑嫂的呢哈哈哈哈
点题了
啊??????
