命途多舛
挺励志的
疫情对很多运动真的是一个致命的打击
简单却朴实
坚持诚可贵
阿昆我来了
巨星标配
居然看到了PETER
滑雪可贵了
太可爱了
吾辈楷模
他是练哪个小项的啊，太酷了
啊原来一开始只是玩就能那么拼，确实雪痴了
我的梦想就是成为一个优秀的面包师
漠河舞厅，孤独滑雪者
恭喜你发现一枚宝藏UP主
坚强坚韧可爱的人
bgm:阿克江/小老虎
头像像滑板鞋
akin的音乐很棒
这音乐编辑品味真好
这片子质量可以的
原来在peter的视频出现过
在北京南山雪场看到过他双手骨折的时候。太拼了
真正的《吾辈楷模》！！
我的梦想是成为一名优秀的小学老师
好家伙，斯巴达
沸雪那天我在鸟巢现场
羡慕有梦想的人
训练一年就这么厉害！！
追逐梦想的勇气
我的梦想是顺利升研究生再考上博士
如果有一天我也有勇气去追梦就好了
滑雪又不是赛车
这就是热爱的力量吗
血脉偾张是正确的
这小哥好像前段时间完成了个超高难度动作，期待他在冬奥上的表现
后期音乐品味可以的
看着都疼
要让他滑，不起飞咯
好励志呀
滑雪挺贵，滑一次消耗400起
可是面包师也是别人的梦想
好棒，为了自己梦想拼过
钢铁是怎样炼成的
红牛出境~
怎么说呢，兴趣是最好的老师。
羡慕这样的人
因为热爱所以坚持
让我想起一部电影 《飞鹰艾迪》
爷俩真像
一定在冬奥会一见啊
这真的是爱滑雪啊！
礼貌师：你面包吗？
而且雪具都是一点点买的，又不是一次买齐，从入门用滑雪场的，到入门级的雪板雪靴，到高级的一点点升级不会有人一次就花大几万的好不好
我靠我也26了
你终于发现他了!
助力每一个梦想
滑雪一直都是张攒钱努力学习的
被看到了真好
我靠我也26了
漠河舞厅
沸反盈天是这么用的……
忘了说，酒店是他爸的
飞鹰艾迪
吾辈楷模
这咋还上了漠河舞厅的BGM了呢
这是加拿大的peter吧
张嘉豪牛逼！！！！
因为热爱因为梦想
助力梦想！
这才是奥运精神
助力每一个梦想
眼泪是悲伤的产物
正想@人不知道该@谁
恭喜你发现了宝藏
一个人的征程
同年的我已经没什么梦想了，只想抓紧时间赚钱
80块钱滑一天，贵吗？
点赞点赞点赞点赞
他被关注啦太棒了！
梦想，加油
你这条件够好了
热爱是多么可怕的力量！
（一毛一样——）
终于发张嘉豪了！！！
小老虎！
这是个天才
这是真陷进去了
可以拍电影了
子承父业
我们北京冬奥会见！
akin背景音乐好评
勇敢的追梦人
追逐梦想的勇者
我刚刷完他本人的账号
我现在可以说一句，他不是富二代，家里并没有为他点滑雪付过一分钱。
这个场景是南山
加油！！！
bgm是什么有人知道吗？好好听
北方雪季不贵
26还不大啊国家队都20岁左右的小孩
女人只会影响我滑雪的速度
就当考试了，哈哈
一痴便成魔
像药神里的黄毛
排面
滑雪还好，没那么贵
加油
助力每一个梦想
年轻人就该这样，加油陌生人
吾辈楷模
啊嘎爱~一洗啊嘎爱~
他家里还真没怎么给他投资过这个梦想
爆裂鼓手
刚刷到他
这一刻，他是所有人眼中的主角
加油呀
泪目了，真的
大胆点，领奖台上
这不叫奥运精神，还有啥能叫奥运精神
嘉豪我的超人
你有钱你愿意一个去冬奥会？凭一句有钱就要抹掉别人的努力？？？
可以参加吗！！！
什么peter居然遇到过张家豪吗
加油追梦人
张嘉豪！！！我们奥运会上见！！
 ...   
这样的人是值得尊敬的
说实话，不算贵
