芜湖
谭sir！～
第一个
话里有话
太正了
牛
谭sir估计3-4000
第一次知道主持人的工资可以这么普通
热的
二仙桥
ex湖南卫视
活的敞亮
梦幻联动！！
？
一片冰心在玉壶
警官好
本本分分的公务员
湖南卫视越来越不行了
我要看
猜的 应该是政府干预导致节目停播了
身正不怕影子斜
致敬
公布工资基本是一个人的底线了
突然欢乐
来当网红阿
没有孩子吗
曾经谁给我说谭谈特别有钱……
不信
惊恐发作了吗
好正直啊
金田一哈哈
为什么左耳声音大点
bgm突然俏皮
 体制内正常
这是真nb
热乎的
南京
警光好！！！
这么做的确是有价值的 人民会记住
不算其他的，算的话一个月7，8千有
好到爆炸
荞面10年，正在继续中。。。
致敬！
我的天
太老实了
这真的被搞了，成都从警30年不可能这么点的
金田一
你
谭sir 不要跟钱过不去
警光好
致敬！
支持谭警官！
楷模
警光好
四川很多苍蝇老虎吧
过亿，这句话听的我心都凉了
这个社会真的病了，正直的人都穷
谭警官，我们已看到你的破圈，不管怎么说，我们还是看到就总比什么都没有更好
谭宝好
好希望能继续播
不是说离婚了？
1807
我爸一个月一两千，完不成任务扣的剩几百
太少了吧
活得敞亮
我学中医的，我也想有一天在诊脉的时候走了也蛮好的
拍个搞笑电影
警官好
感动
梦幻联动
十年荞面会继续支持谭警官
这是刚好到交税的工资线
警官好
谭警官一定好好的，您是很多人的榜样和精神依靠
川岛警官
拧巴，很难受
说老血的语言是有多匮乏，可怜
确实少了
桥还是那座二仙桥，道还是那条成华大道。可谭谈交通早就不播了
保护
我们天天看网红节目谭谈交通，收入谁得了，谭警官一分没有？？
看成本期s受害者了
每个城市都有
他的本职工作是一名交警，准确的来说
666
全国人民都记住你了
名老娇警好
我也是，真的做不出来
没用真的真的太真实了
哈哈
谭sir这么有才。可惜最火的时候还不是自媒体时代。
谭警官比我早，我最开始是700
金田一
支持谭sir
前面说还有买不起的，你想想老谭的资历再说，几十年老交警了
谭sir 洒脱
成都够黑
好人一生平安
活得清清白白干干净净
调整公积金社保了吧，补缴的
成都不想让你出圈
致敬
谭sir，保护好自己啊，我是你忠诚的粉丝，加油！
？？？？？
不知道上面各种压力直接就给他压的喘不过气来
为什么帅哥这么惨
不蠢，我现在毕业到工地两年了，钱多少都不收分包的。圆滑归圆滑，但风气要正
是想说5000缴税吧哈哈哈
谭警官得过抑郁症
视频挣得呢
？？？
不容易啊
公检法不至于哦
是因为动了某些人的利益？
绿藤市
哈哈哈哈哈哈哈真的可爱！！
公积金社保很高的
成都的警察年终挺高的 
本期受害者
是的，按当时的收视率……谭乔那是可以被提拔的
致敬！
二仙桥大爷到此一游
这就像乡下老一辈突然拆迁没地种了，心里没着落了
有2个儿子
8月扣住房公积金
本期受害者
能看到谭乔走出郁抑症就很不容易了
