这是什么动画（手动狗头）
吃虎鱼刀，璃月锻造！谁用谁知道
友人的神之眼，就是为此而生的
叶天帝牛批
叶天帝
死后的神之眼触碰会灼烧
那只猫还在陪友人
火钳刘明
看哭了
叶天帝！
没错！就是我雷史莱姆
晚夜微雨问海棠
电焊的渴望
只能说一句NB
帅死
双元素
怪不得感觉那个剑有些奇怪
总会有地上的生灵，敢于直面雷霆的威光
有电视剧那味了
她？
这把刀的出处终于找到了
可叹，落叶飘零！
吃虎鱼刀封神！
吃鱼虎刀 璃月制造
总有地上的生灵，敢于直面雷霆的微光。
我直接泪目
好看
按照电视剧的套路这么剪辑着放一般天帝是凉凉了。
爱了爱了
爷卒，原神完
她惊了
凡人之躯，比肩神明
卧槽，bgm时机好评
振刀了
那把刀原来是他友人的刀
小派蒙好可爱
有这个地方在神里家附近
看着看着我币就没了
叶天帝叶天帝
我特么直接三连，到位
吃虎鱼刀 璃月制造 拍照保障 值得信赖
地图上是有这个地方的，我去过三次 ，但没触发什么事件，所以后来就忘记了 。。。。
感觉这个表情好漂亮
过了主线，那个地方会有个失去光芒的神之眼，做完的可以去看看
这个镜头压迫感危机感拉满了
BGM！！
地图上这个地方在神樱树和秘境中间最底下的一个沟里
右手绷带细节，毕竟以凡人之躯比肩神明
总会有地上的生灵，敢于面对雷霆的威光
现在这个地方多了个神之眼的空壳
叶天帝！我的叶天帝！
甚至打了一手扩散
然而这刀只能算是重击，连将军连环都没开
这是吃虎鱼刀，要是拿的专武，雷神就进不了卡池了。
卧槽牛逼这个剪辑
我也后悔死了！！！
可叹！落叶飘零！
挚友 : 爷活了
这就是友人的愿望啊！！！
bgm好评
友人是被九条打败之后去接雷神的刀死的
文案写的就是无想的一刀
这个她有可能指的是雷神。
BGM不错
大袖揽清风
ohhhhh
相似的愿望
一刀成天帝
叶天帝
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
总会有地上的生灵，敢于直面雷霆的威光
我才发现这里有友人
总有地上的生灵，敢于直面雷霆的微光。
那时友人未曾完成的愿望，由我们来来完成
懂了这就用吃虎鱼刀
友人的愿望就是直面那一刀吧
偷袭!
有电视剧那味儿了
这里叶天帝被友人愿望驱动，等他反应过来就在上面了
不止插刀的地方有，神之眼也有
这就是璃月制造吗
叶宝，我滴超人～
这句话是鱼冻配的
吃虎鱼刀璃月制造
火钳刘明
太牛了
太帅了吧
总会有地上的生灵，敢于直面雷霆的威光
总会有地上的生灵，敢于直面雷霆的威光
总会有地上的生灵，敢于直面雷霆的威光
这个刀冢在稻妻武器素材本旁边，找找就有了，2.1加了这只猫和友人的神之眼
泪目
总会地上的生灵，敢于直面雷霆的威光！
友人怀里钻出一只猫猫诶
免疫
这个地方真的有一枚空的神之眼和一只白猫。
棒 ！
那一刀，未必不可及
这一刀吓到我了
bgm杀疯了
泪目
紫色枫叶，扩散了
这个镜头过剧情的时候给我愣住了 忘了截图 太帅了
总会有地上的生灵，敢于直面雷霆的威光！
哲平我老公
雷神！
无想的一刀都劈出无想之狭间了  肯定不会是这一刀吧
竟然是二哈白猫的歌呜呜
叶宝！！！！！！！哭了
总会有地上的生灵，敢于直面雷霆的威光！
离月制造就是好吃虎鱼刀拼无想的一刀
不能让友人那炙热的愿望被砌进冰冷的神像
呜呜我的叶宝
别去，你打她都是免疫
免疫
bgm晚夜微雨问海棠
真正的风神：能自己触发扩散。虚假风神：整天摸鱼
这里我直接震撼的鸡皮疙瘩起来
啊这个BGM
+1  特后悔
那一刀，未必无法企及！
好家伙。。。。晚夜微雨问海棠 。。。。
可叹，落叶飘零！
牛哦，这剪辑，看得我疙瘩直冒
友人墓前有只白猫，不知道是不是胸口这只
出现啦！叶天帝徒手接帝兵！
大侠叶天帝
总会有班级的学生，敢于面对老班的威光
替好友实现梦想了
剪的好有感觉
这地方在鸣神大社后边，我当时无意中找到，觉得这地方应该会有故事
可叹，落叶飘零
你比原版燃
妈耶 我要哭了
用尽了一个神之眼的力量才接住了一刀
剪辑得太棒了!!
不得不说 原神的这段剧情做的真的很不错 
叶叶天帝还是你叶天帝啊
剪辑的真好
总会有地上的生灵，敢于直面雷霆的微光
集中一点，登峰造极
不是鱼冻吧？
地图上有这个地方！！
双眼封神！
看到这我才发现原来不是我开着听歌看视频
雷之呼吸！！
总会有地上的生灵，敢于直面雷霆的威光
双核驱动
吃虎鱼刀哪里买的，也给我一个
雷史莱姆：可
bgm晚夜微雨问海棠
泪目
总会有地上的生灵，敢于直面雷霆的威光
这猫是友人的？
怀里的猫应该就是cg里墓旁的那只白猫
硬币－2
偷袭
猫猫一直守护着挚友！！！
叶天帝！！！！！
可叹，落叶飘零
天帝啊
那一刀，未必无法企及
这次一定
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
这里接了两刀不是一刀吧
雷神用了全力了，本来想杀爷的
叶天帝，有我无敌！
冲这个bgm三连了
好
振袖秋风问红叶，晚夜微雨问海棠哈哈哈哈哈草
总会有地上的生灵，敢于直面雷霆的威光！
总会有地上的生灵，敢于直面雷霆的威光！
总会有地上的生灵，敢于直面雷霆的威光！
总会有地上的生灵，敢于直面雷霆的威光！
做得好
投币了
比官燃系列
偷袭！
总有尘世执政敢于直面天帝威光
做的太好了
在武器本的左边断桥下
雷神向你发起了御前决斗
致敬友人
总有天上的神明，敢于直面天帝的一刀
天帝nb 天帝帅死了！
