救命 哭死了
表情杀我！
淦淦
淦
看到这里眼睛进砖头了
别刀了
焯
孩子都要被刀傻了
哭死啊
她让他永远失去了她
众所周知，人被刀就会死
记得本来是要《分歧者》女主扮演的
别刀了 孩子都刀傻了
剪的真tm好！！！
加菲这段演的太好了，我都不忍心看
别刀了。太废烟了
确实，这里看着真的流眼泪
最美蜘蛛女友，没有之一
唉，格温是真的可惜
也是最帅的蜘蛛侠
人家姐姐都结婚有孩子了 各位理性嗑cp发言哦
啊，这一下真的受不了
我保护了世界，但保护不了你
格温:no i am no ok
超凡是最惨的蜘蛛侠
加菲的笑太治愈了
这也是我更喜欢加菲的二代蜘蛛侠，在失去一切后，他又重新站在小男孩面前
“是格温史黛西，还是MJ，还是你自己？”
二代MJ是唯一先爱上彼得帕克的女孩儿
最喜欢二代了
意难平
你为什么就不能听我的呢，就这一次也不行吗
二代最意难平
剪辑的心碎一击，直接刀我大动脉上了宝贝
其实不一定非得把这里剪进去的
这辈子都躲不开这一刀
现实和真实如此贴合呜呜呜
NO！！！！！！！！！！！
杀了我 我受不了了
他是最有可能变成屠杀蜘蛛侠的
真的揪心，加菲，真的很痛苦
最符合漫画定义的乐观虫，好邻居蜘蛛侠
剪的太虐了
但是没有格温，加菲就死了
一个B逗甩过去
毫不犹豫啊
每次都是绿魔在搞事绿魔真的恶心
别别别别 又来刀了
他在这个宇宙接住了她！
加菲的表情委屈到爆，这一次他接住了
睡前看到真的伤si le
啊哭死
人被刀就会死
我恨不得杀了小绿魔
格温当时已经下坠太多了用蛛丝是最快的办法但还是慢了一步 最后死于惯性+头部重创
动画的蜘蛛侠也是话痨！而且又贱又唠
可平行宇宙的她不是他的那个她啊！！
石头姐真tm好看
荷兰弟才tm话唠蛛吧
Gwen不是无脑的关键时刻瞎搅和的傻白甜女主，她和Peter一样都是对抗电光人的英雄，可在小绿魔那里她来不及逃了
他救下了MJ，可那时却没有另一个蜘蛛侠来替他接住他的Gwen
大晚上的，哭死我了
别刀了
刀死
超凡蛛还有梅姨，可如今荷兰蛛只有自己了
永远滴神
英雄无归之后的小蜘蛛才成长为真正得蜘蛛侠，至少在我心中是的
牛逼
牛
永远滴神
这次，抓住了
这一幕确实……一言难尽啊！！！
这一次他把自己的背朝下了，就不会再抓不住了
这一次他抱住她了，再也不会抓不到她了
如果接到的是格温该多好
勇敢善良
被他用蛛丝救死的
荷兰弟完全是因为自己作，死了活该 加菲不一样，他什么都没有做，却眼睁睁的看着他们死去
格温还是最强辅助，真的
这里没有格温蜘蛛侠打不过电人
被刀没了我
这是闪电侠扮演者吗
救命…………………
现实他们也分手了
你怎么知道我昨天刚看了！
失去格温会不会让他再也不话痨?
闪电侠那个别走
不是我黑，漫威蜘蛛侠出了三部了一点成长都没有，还说比那两个经历得少真的很离谱
杀疯了 这一幕我永远记得
蜘蛛丝变成手都没抓住
哭死
恶霸有mj 荷兰蛛举目无亲
加菲演的很好，这里看的我都快哭了
荷兰弟版真的看不出来一点成长
超凡太棒了 加菲这里演的太好了！我都泪目了
禁止比惨
只有超凡知道蛛网救不了她
吾非钢，莫刀之。
“这一次他接住了，可是这样就更加遗憾了”
但格温是麻瓜，战力指数不够8000点穿越不了时空。并且知道蜘蛛侠本体的普通人多的是，托比版一火车人
咱就是说，现在3月14号的凌晨四点半还有278个人看是什么情况
这代蜘蛛侠是我最喜欢的蜘蛛侠，既还原漫画，又有丰富的个人魅力，真正的neighbor hero
石头姐阿
W一开  格温不受影响
吸取教训 这次老子用手接
你们不会以为当初蜘蛛侠为什么会有两个版本之后有一个荷兰弟的版本吧.就是这么巧
这一次他选择用手接而不是用蛛丝
意难平
因为惯性急停导致的腰部折断，脑袋也撞到地上了
看到这时泪目了
一代也没用蛛丝救人啊
给我看哭了
说死了活该的是否有些偏激了？
加菲除了长得太帅太壮没啥毛病
我个人认为超凡二这一段的运镜无敌
意难平了
到这赶紧撤退，太刀了
他们俩只能活一个…
孩子都刀傻了
会更痛了吧这无法释怀
你们再去看看超凡那里真的没办法了才用的蛛丝
淦
女主不好看
Mary Jane
他还是个孩子…不算复联三部系列都结束了
格温比你能打
可以看到他此刻是多么的百感交集
他成功救到mj后那个表情我可太心疼了
呜呜呜呜
赵今麦
最喜欢的女主居然给拍死了！什么导员编剧！
荷兰弟在漫威的剧本里有点欢乐，不是表演的问题，两代老蜘蛛侠感情线更细腻，都不错
初代的舅舅，超凡的格温，太虐了
男的 超凡2看了五六遍了 就指望出第三部
超凡蜘蛛侠yyds
他救了荷兰弟的mj
这一幕哭死我了
荷兰弟都是自己作的，共情不起来
下把ban格温 
孩子？上过宇宙 打过灭霸 还经历太少？笑死人
看到这一幕，真的好心疼超凡
他抱住的一瞬间我真的爱了
赞了赞了
真的泪目了
别拿孩子当挡箭牌了，三部了没一点责任感
如果她不去，死的就是他……
每次想到蜘蛛侠就想到这个情节 cccccccc啊
我们也没走出来
卧槽        啊啊啊啊啊啊
那些反派都复活了，都没复活mj
只有他知道蛛丝救不了她
糙糙糙 我又要泪崩了
加菲这几秒的演技把荷兰弟轰成碎渣，超凡没拍完真是遗憾
就这一句 你币有了
我也很喜欢非凡 哎可惜不拍了
加菲：绝对！绝对不可以用蛛丝救人
可是复联三部蜘蛛侠的戏份好少哦，嘻嘻，他化成灰都司马了呢
格温演员真的美
真的哭
唉
每次看都会落泪，可能很多人心里都有一个没能留住的格温
我是男的，我就喜欢加菲尔德，演技太好了
超凡比新的好看太多了！
