ん？
芜湖，起飞！
！！！
见证历史
哇哦
见证历史
见证历史
见证历史！
好耶
终于等到你
见证历史
见证历史
我去这画质有点棒
发个弹幕见证历史
早上好
好耶！
见证历史！
哦哦哦哦
好诶！
进程历史
起飞
酷
好棒
牛逼
3D废土
我还以为开服了55555
1111
泰拉航天？
卧槽卧槽
好耶！
红警？
梦开始的地方
好耶！
见证历史
我去
这不是塔么
见证历史
见证历史
好像陈Sir
见证历史
见证历史
是帅哥！！！
一股灵笼味
芜湖
！！！老婆！！！！
好耶
好耶，见证历史
是我最爱的模拟经营
炎熔你怎么在这（bu
集成？什么集成？
我降职变管理员了
见证历史
疯狂的
见证历史
芜湖
见证历史
牛
牛啊
有PC端！
见证历史
草，类似戴森球的那种自动化模拟经营类游戏？
红警类型？
好耶
好帅
见证历史
这腿斯哈斯哈
跨越边境，直至前线。
音角
《  如  你  所  愿  》
哇金色传说
我以为要从里面钻出来个刀客塔
记得去看p5!!!
见证历史
第一个看完
老婆！！！！！！！
好耶！
见证历史
Stella！
疯狂的麦克斯？
来点弹幕
起飞
好耶
见证历史
好耶
bgm还是一如既往的好听
大制作
行船不规范，亲人两行泪
不知所谓
之前有人解密出来确实有个陈字
飞向地球的杰斯顿（
基地车？
见证历史
不会真是rts吧
进化的本质（）
刀和角有些像老陈
俄罗斯发射基地
这是，星际争霸？
2202年这行情yj这种规格不太可能有资本做rts吧
红警？
第一次这么早
鹰角的露肩文明
见证历史
见证历史
湮灭
谜语人是吧
原作：石森章太郎
粉毛落地画面？
无限剑制
短 鹰角 短（
捞一手
包屏！
魔方
所以他们是我的干员吗（doge）
好耶
见证历史
见证历史
老太婆式穿着
哇
佩丽卡？
这该不会是另一个大陆或者星球吧
见证历史
老婆！！！！！
《逆向出金》
什么？！我的回合，抽卡！！！
好耶！新老婆！
好耶！
见证历史
见证历史
进化的本质（赛博朋克限定版）
我就是自己的可汗！
凯尔希？
见证历史
可爱！
勇闯无人区
好耶！
见证历史
刻晴
好耶
见证历史
星际争霸（无端联想）
见证历史
见证历史
见证历史
鉴定为普通
不会是像红警那样的吧
构装体天使
铃兰姐姐吗（
期待期待
铃兰，是你吗铃兰
凯尔希
碎星？
好耶！！！
欢迎来到塔卫二
好耶！
好耶！
大机器人？（好耶
PRTS?
宇宙大帝？
见证历史
这怎么看都像rts
见证历史
长大后的铃兰（
粉毛落地作战记录
好家伙
见证历史
rts！
这彩幕有湮灭内味儿了
见证历史
好耶！！！
rts？
太牛了
超！
见证历史
好耶！
卧槽
见证历史
好帅！
哇哦
飞向地球的杰斯顿笑死
见证历史
好燃
RTS类型？
真在降落我方泰坦
结晶化？？
见证历史
哦哦哦
见证历史
欢迎来到塔卫2
红警？
好耶！
六星动画
部落冲突类似的玩法？
cg了就？？？
无限剑制
期待值拉满
见证历史
啊这，是新游戏哦，船新的那种吗
见证历史
湮灭的微光
别抽卡了行吗我实在抽不动
见证历史
铃兰是九尾狐啊
无限剑制
无限剑制（
见证历史
见证历史
好耶
好帅
见证历史
