沧州加油！！
666
人家是演员
哒哒哒
加油
头皮发麻
祝自己体考上岸，不负汗水，加油！
完美完美
好听
！！！！注入灵魂了
开始施法
哇 这气息
哒哒哒
哒哒哒
头皮发麻
哒哒哒哒哒哒
淄博加油
哒哒哒
达文西
66
深圳也加油
好听
上单型唱腔
.多了一丝悲壮
哒哒哒～
腾叔不管唱什么都能给我们带回大草原，区别只是同行的是张飞还是带李逵
哒哒哒
唱哭了我
哒哒哒
泪了
听的很过瘾
厦漳泉加油加油加油！
每天亿遍
一分伟大，一分平凡，一分     ，
成吉思汗
柔中带刚
哭了
有味道了
有那味儿了
呼和浩特加油啊
火钳刘明
开始了，开始了。。。
1111
论死去的成吉思汗突然骑马提刀来砍我
祖国万岁
握草画风突变  可以可以
泪目
上岸，继续为人民服务
好好听啊！要哭了！
非常好听！
看到你说一声
哒哒哒
大漠苍凉的沙漠中站着的英雄
兄弟们加油！为实现中华民族的伟大复兴而努力生活！
我也哭了
全体起立，致敬英雄！
香港加油
泪目
这属于是兰陵王入阵曲的水平了
全程听哭了 
吼吼火狐
没有腾叔驾驭不了的歌
全体起立
上岸
哒哒哒
再来亿遍
哒哒哒
哒哒哒
厉害了腾唱
有股子怂恿的味道
哒哒哒？”
谢谢腾哥的礼物
哒哒哒哒哒
活了，起飞了，刘明
太有味道了
哭了
哒哒哒哒
腾大爷
要开始了
廊坊加油
哒哒哒
继续熬夜，一个月后上岸
哔站
哒 哒哒哒哒 哒哒哒哒哒哒
哒哒哒
哒哒哒
感动
哒哒哒
哒哒哒
真的好听
喜欢
爱你孤身走暗巷
起鸡皮疙瘩！！！
洗脑循环开始
好听
哒哒哒
吉林加油！家乡加油！
钢铁勇者
要加油啊
哇哦哇哦哇哦
哒哒哒～
2000+
太牛了
不知道为什么 听着好想哭
哒哒哒
哒哒哒
哒哒哒
哭了
加油！
福建加油！福建加油！
就是这味
这个画面是哪里的
南京加油！！
哒哒哒
淄博加油！
内蒙古金克斯
哒哒哒
山东加油
吉林加油
太棒了腾叔！
长歌一~曲~
江秋莲
不愧是国家队的艺术家
工作加油
哒哒哒
哒哒哒
币赞支持
哈哈
希望疫情早日结束，祖国欣欣向荣，人民健康幸福！！！
太强了！！！腾叔，YYDS~~！！！
哒哒哒
兰州加油
开口跪
哈哈哈，灵魂出窍的感觉
哒哒哒
哒哒哒
一遍听不够
听的想哭
好好听
我也哭了，第三遍起
省考一定上岸！
看到张桂梅 呜呜呜~
好听
白嫖失败
中国加油！
腾大爷
河南加油
熟悉的味道
这配的都是些啥画面啊，本来笑着点开的，为啥突然就想哭了呢
苏州加油
白嫖失败
腾姥爷牛逼
深圳加油
币战
为什么这么好哭啊，每次看到这里都哭。
过瘾 过瘾
喜欢，点赞
这是艺术家，没意见吧
你毁我天堂，我毁你华语乐坛
抗疫加油
腾格尔跟我外公好像啊
泪目了...
有青草味儿了...
哭了
有感觉了有感觉了~~
牛逼
聊城加油
向伟大的人致敬
雇涌着
期待
1.5倍是认真的吗？
好有感觉啊
白嫖失败 一键三连
果断投币
？
超级辽阔的感觉有没有
广州加油
整个人麻了
不愧是我腾叔
好听
大魔王唱会不会更有力量
中国加油！！！
听哭啦
翻唱里最好的版本
激情澎湃，颇具风范
突然想哭了
好好听啊
不知为何，眼睛进沙子了了！
力量感太强
就是这味儿
哒哒哒
吉林加油！
好听！！
注入灵魂
好听
哒哒哒
143了
感觉可以重编 更宏伟一些
前排提示，请一定一定要带上耳机听
第四遍
好听好听！
山东加油
100W赞
哒哒哒，让我想到了鲁班
身体兴奋了
哒哒哒
中国加油
必胜
我好像在战场了已经
战啊！
过瘾呐过瘾
emo了
孤鹰傲于长空
是伪造的
草原风格
我听他翻唱的感觉就是哒哒哒的感觉
火钳刘明
中国必胜！！！！
吉林加油
有種聽老兵講谷的感覺
过瘾！！！
"我重新喜欢上了孤勇者这首歌,谢谢!"
太对了
昙花一现的猪让
中国雄起
流泪了
2000+小伙伴们大家好
别低头，皇冠会掉
孤，勇者
哒哒哒～
腾大叔又把孤勇者拉回热搜
污泥满身der
其他多出来40W粉丝没有吗，哈哈
铜陵加油
致敬
哇哇哇
真正的歌唱家
哒哒哒
什么叫这次，那一次唱的不好？
霸气
又温柔又强大
离谱
德州加油！！！
别刀了别刀了
热爱105度的腾叔
这首歌有魔力，呜呜呜
哒哒哒
过瘾
中国加油
操，干了兄弟们，不就是穷吗？不就是底层吗
泪目
江歌妈妈加油！！！
莫名觉得好好听
我张飞还能打十个！
鸡皮疙瘩！！！
烟台加油！！！
哒哒哒
这人确实有点狂
这个小伙是谁啊
蓝蓝的天空，。蓝蓝是谁？
听出了大草原的感觉
好！！！
唇音 齿音 无敌
鬼知道我听了多少遍
在这里还刷二创ky的左上角不送，谢谢
我仿佛看到了新中国到现在，要哭了
哒哒哒
哒哒哒
北京大学！
腾爷 YYDS
歌手这个职业真好，可以给歌附上自己独特的味道
泪目
吉林加油！
好有力量
谁还不是个少年了
这里是真的好听
腾叔唱什么都这般轻松
哒哒哒
德州加油
河南大学第一突破手李璨报道！！！
666666
满满的草原风
依然温柔
起鸡皮疙瘩了
强，无敌！
专业组！！准备眼泪！！
超     勇    者
四平加油~!
头皮发麻
先是耳畔的呢喃 然后慢慢开阔到坦然
腾大爷好
帅气 震撼人心
温柔又有力量
挣钱唱歌，以振军心
一定会上岸
哒哒哒
哒哒哒
哒哒哒
！！！！！
腾子叔
有腾格尔的味道了。1
感觉要哭了
全体起立
此致！敬礼！
加油
成吉思汗哈哈哈哈
高中三年，加油
中国加油
哒哒哒
战！
腾叔牛逼啊！
真哭了，握草，这么感动的吗？
感觉到这里 开始 自带 电音
南京加油
好听
有那个味道
