希望皇，惠普
独立工作室的
神作
神似特难打。因为神父打死以后会变成石像，如果这回合没打碎，下回合他又复活了，而且还是满血。我当时打了三回合。
小木匠好惨
其实小木匠和小红帽组队进森林的话，就没别人什么事了，嘎嘎乱杀
神父是真难大
剧透的多大了
前期：危机四伏 后期：危机竟然是我自己
月圆之夜真的好玩，是要动脑子还玩不腻的卡牌神作
那个说网易出品的没眼光
Bgm: lily’s theme
初期版本神父很难打的
神TM免费，明明进去后要充钱买卡
BGM是《光之子》的？
玩过
鳄鱼死时候的台词是我再也不能握住我的斧子
我第一次打的时候神父还没削特别变态
0
打神父，就靠一手魔法师爆发赢的​
你听过侠客行吗
小女巫秒杀
选一些对狼人有利的选项会增加好选项的出现概率
没玩过，但是看这个画风，我猜是网易的
这游戏我玩了4年，还是玩不腻
“唯一”好评
月圆之夜 紫禁之巅 一剑西来 天外飞仙
但陨石不怕
相信我，喜欢玩卡牌游戏的买了绝对不亏
超越极限，抓住未来（）
苹果现在要1块钱买
去年出了机械师就永久停更了
木匠是lang ren
QAQ
神父是真的难打
仁慈的父~
dlc全购入
《险恶》
看了游戏王之后觉得霍普一族怪怪的
啊～小舔狗
除付费外全难度通关
霍普－hope
阿瓦达索命？
奥巴的开端挂
闪避打雷真的好玩
好啊
玩过法师，通关了就卸载了
老版狼人加血是真滴猛
内购的呀，后面角色要解锁的，我买了。
小红帽是战神吧
No.39，希望皇霍普
杀过一半，就没玩了
梦魇女骑士通关了。
虚假的输出游侠，真正的输出，叠忏悔的修女
屑屑你 神父
本来对卡牌游戏都审美疲劳了，无意之间玩了这个，直接真香
谁颁的？？！
基本手牌，一共8张牌，一直打，一直抽，大风车一回合
我居然没听过
那个一回合通关外婆的成就，刚达成，牌组组好了就下去，朴实无华
账户不互通挺坑 其他还可以
居然能在b站看到月圆之夜
这个人是……算了 不剧透
玩了3年一直在手机里
我是神 在地上的代言人
dlc要钱
玩过!
超好玩，刚上大学就在玩现在毕业了还在等更新
法力图鉴加法力翻倍的小女巫直接电死
我刚过了狼王真不容易
充值最多就只能充100元
那几个扫把精不是
作为全成就通关玩家，我就过来看看你怎么说
hope希望
普奇神父
好玩是好玩，就是更新的太慢了。
好玩是真的好玩
恶魔：are you serious？
神父巨难打
开始免费，我预约的
以前不用的，火了，得捞一笔
呜呜呜我的小木匠
我狼人就差最后一个噩梦没过了
7000+就离谱
牌佬全出来了
6000+
猎人算是敌方游侠
倒在无敌的大风车下
魔术师真的好玩
undertale：这我熟
全dlc通关梦魇哈哈
不只是好玩，故事剧情真的惊艳
游侠闪避流确实相当快乐 
NO.39
你有了！
.
全成就路过
祈祷流打神父难，需要两波爆发，但忏悔流直接教教神父什么才是高级忏悔
月圆之夜火把神教来也
初代纵火者比神父还难打，每回合烧一半卡组
简直离谱的一款游戏
hope就是希望的意思
月圆之夜真的很好玩！！
但他石化状态的血是不变的，就是说你第1回合把他打到剩50滴血，第2回合他变成石化状态的话，那还是只有那50滴血。
危机四伏已经不适合这个版本了
削卡流打起来很轻松，到最后可以削空他的牌组
nb
呜呜呜小木匠，我的意难平
 这东西不是叫月圆无双吗（doge）
啊，刺客
骑士大风车！！！
确实好玩
要不要充值？
全成就达成
这游戏贼好玩
狼人就是小木匠
全成就玩家报道！
不免费，买断制，但是真不贵
真不是国产
修女打神父用忏悔超级好打特别爽
现在还在手机里呢
雷普一族(幻视)
只有几个角色免费。其他的都要钱
“不再”
没买卡包哈哈哈
希望皇霍普
这个真的好玩
一遍全通关
神父真的最弱boss
我不想伤害你，不要逼我~
墙皮铲子！
睡吧睡吧~哈哈去梦境的世界里吧！
我竟然在B站看到了月圆之夜1
出DLC就没玩了
苹果1元了
狼人
不是每一个
全成就了
旋风斧流随便打
没玩过
牛逼
出机械师了
国产
哦天啊
全角色梦魇通关，神作
同类型杀戮尖塔也很好玩 当然月圆之夜也超棒
之前苹果商店要钱吧
高中回忆，现在都本科毕业了
我依稀记得我打神父的时候 一回合把他秒了 
我玩到一半就过不去了是为啥？？？
免费
还有剧本
初代神父石化和复活血都是满的，不能刮死
超好玩的
一定要玩
机械过载！
月圆之夜真的好玩
规则还是太单调了
打不过去
一直没卸过！真的好玩
DIC付费不是很正常吗，游戏都免费了
