热乎的，支持
怎么可以这么可爱
烫的热的
太绝了好喜欢
爱了爱了
哇哇哇哇哇
好好看
王以诺?！！！！
啥时候开个直播呀
好爱那时的勇气，好爱现在的坚持
我好爱！！
理想主义的花终将盛开在浪漫主义的土壤上
BGM：致00后的预防针
好喜欢
还就那个戛然而止
你好棒
我09的...才初一...
哇哦
可我是零九年的。
我还不想长大啊
差不多了
去年毕业哒，23岁，开始学素描啦！
真是太喜欢你了
这个姐姐很厉害的，爱了爱了
很好看
02年太有感触了
慢慢变优秀  慢慢等待  直至光的出现
看到这视频心情突然就好了
最近备考公和毕业论文感觉好难过呀，看到姐姐说的话真的破防了，姐姐爱了
我好喜欢
谢谢姐姐，呜呜呜
08属于00后吗
呵呵目前我下班就做做线上的速营舎，还不错啊一天也有一两百呢
希望我进入社会时，还能够抱有希望
这个好帅!!!!
l.z
今年会考上的！
我一定能保研！
今年一定考起
我才初中啊
谢谢姐姐！
还没毕业呢
09的都快10后了就别在哥哥姐姐这里秀存在感了
谢谢姐姐  感觉很治愈
哇
谢谢
好棒!
姐姐真的好好看！！！！
90后脑壳疼
被治愈到了 ！谢谢姐姐，但是我是90后
考上四中!!!!
米雷姐姐我的我的
谢谢米雷，今年刚满18周岁
好可爱
好喜欢啊啊啊啊啊啊
姐姐真的好好啊
您就是励志师？
谢谢米雷！
谢谢姐姐
很喜欢米雷的画风呢
上个好初中！！！
太可了这
好夸张我居然莫名其妙的哭了
今年会考上的
哼，我09
米雷姐姐好漂亮
值得一键三连
谢谢姐姐
越来越像漫画了！
这是画的吗
lm 10后。
呜呜呜谢谢你！
画的风格我喜欢
我00后才十三啊
飞哥与小佛？
我走得很慢，但从未停下
昊天哦
好喜欢她的画风
谢谢姐姐啊！好感动！！！
我的青春也要结束了 疫情占了三年
好看
09后……
虽然我一直都很慢，但我从没有停下
谢谢，希望我们都会好
喜欢啊啊啊啊啊
刚刚还在抖音看见了，又刷到一次太棒了
豚鼠？？
道理我都懂但我刚十二
2009
要完整版，好短，没唱完！唱下去！
赤旗插满全国！！！！！
快18啦
这个视频看哭了
我一定要考上本科！
谢谢姐姐啊
我觉得我又可以了
谢谢米雷，很治愈糟糕的心情一下子好了
找到你了
谢谢你
不好意思，姐姐，我3岁
谢谢姐姐
真可爱
00最大的都22岁了，不想这些想哪些，想你嘛
何为家？国为家
00后今天刚刚21
文武双全
我10后
09年的
2010
05后面的都不算00后了算05后了好像
05后不算00后好像
00后开始毕业上班了
我06的
有点像王祖贤诶
2009
谢谢
磨练
要对自己足够耐心
好喜欢好喜欢好喜欢好喜欢
谢谢！
一定上岸
可我是98年的怎么办 复读还考研失败
米雷姐姐，太感谢了！！！
刚刚在小红书看到了 又刷到了太棒了
画风好喜欢
真的很喜欢姐姐的画风
存钱存钱一定要存钱
这美颜有点过了
可是我还不想长大，我想慢慢的陪着想陪着的人
希望在座各位，好好点个目标，多少努努力，起码要要28岁的自己不要后悔这些年的青春
我靠，转眼我都20了，但是思想还是高中生……
如果你是0
对不起我09
有幸在生日刷到
不成熟不成熟！！我还想当小孩
爱你呀
我一定上岸
谢谢宝贝!
好棒
厉害
谢谢你
谢谢，刚成年
谢谢
谢谢
UP有点像王俊凯
你才是0
你才是0
呜呜姐姐好温柔我哭爆
2000的上班了
这个视频好棒啊
07～
借你吉言
是00后，今年13岁?
我一定要金榜题名!
姐姐，好酷哇
谢谢
豚鼠？
插画好喜欢
05
我是最大的00后，00年的
我来自90后的末班车，老了
10后
09表示不服
谢谢你呀，姐姐
08……
相信你可以变成更好的自己，即使慢一点也没有关系
小升初加油
可可爱爱的米雷哇
10后
我是00后，我想创业！！
我是00后，我想创业！！
我一定能考上！
讲得好啊
我看别人说过你，终于刷到了！
今年我一定会上一所理想的大学的
阳阳今年保研！冲冲冲
有点像豚鼠哈哈哈！
已经看第六次了
今年一定考上！
王俊凯?
谢谢姐姐
中考冲冲冲
雅礼等我!
我刚跌了个跟头
好看啊
可是我08
迪士尼画风
10后 
一定要上岸，不能再颓废了
谢谢
今年考研上岸！
上岸有个家
姐姐好可爱
高考加油
老婆
我虽然不是00后但我九九年的表示真实
好像豚鼠
怎么获得图片呀
期待和玲子的联动
呜呜呜，不知道为什么就哭了
啊啊啊 啊啊啊  老婆老婆
高考加油！上岸！
可是我才12岁啊
本科
99含泪退出
所以我 
⊙∀⊙！
好喜欢
我好爱
我真的好喜欢这一版
一定要上211
90后还没成熟呢
减肥加油，不要放弃
补考必过，转专业成功
家人平安顺遂
好漂亮的画
二战大家都要上岸！
谢谢up  开心多了
好喜欢
我要和她一起考上华南理工
考上一中
超爱姐姐的画风
她超级棒的!!
不知道为什么突然好感动
害，早想通了
？
好温暖的话
谢谢！
好喜欢这个画风
haomei
希望自己尽快平复心情好好备考成功
双下巴好评
1900
07中考加油
我一定会考上二中的
谢谢
姐姐
长的特别像我大学暗恋的女神，每次一看到就激动半天
祝愿考上理想大学
专升本加油！二本必胜！
谢谢
坚定自己，立刻行动
一定要好好学习
我一定要上南山
00现在还在焦虑中，马上工作了
太可爱了
三中三中，冲冲冲
谢谢你呜呜呜
一定考上北理研究生
王俊凯是歌姬吧
好好听，不知道听了多少遍了
我10后
考前10名(●'◡'●)
好帅的画风
04年准备踏上社会了！
在省了一天到晚都不敢出门
高考加油
我好爱
高考冲鸭！
听完好想哭
期末不挂科
专升本上岸
祝我学业顺利
她好像知道自己很可爱
弄懂物理
会考全A的！
明年会上岸的吧！
高考加油！
从快手看到B站好喜欢这写画
好喜欢 好可爱啊啊啊啊啊啊
会考上的
今年联考一定可以过260！
我要考上高中！
09
画的好有意思
08
端中六中等等我
希望我生地考试能顺利
2022高考成功！！！600+++
00年的22了
09表示不服
会考上重点高中的！金榜题名
04高考加油！
我一定会成功的
07 中考
中传
我会在这一年考上一中！！！
我还是个初一的憨憨hhh
谢了
xxy要加油！
我把钢钉取出来 腿一定会好的！！
加油加油
中考加油
高考加油！
考上一本
谢谢
呜呜谢谢姐姐，被治愈到了
好好看
好喜欢啊好喜欢
00后已经开始实习了
这是看过最有创意的视频
钱不能花
谢谢你
专升本一定上岸!
你才是0！
相信我们都能成为更好的自己
高考顺利！！
90后行不行…
06
高考加油！！！
姐姐好厉害
专升本一定上岸！
超级超级喜欢哦。
今年上岸
我是00后最后一届。
好爱啊
专升本加油
00和05也能分一下子我是没想到的是不是还有95后和85后的
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，被激励到了！最近真的有点急和不知所措了
浙传上岸
