没人吗
牛啊
！
好厉害啊
娃娃贵是应该的！！神仙太太啊啊啊啊！！
？？？
您！！！
[前方高能]
看得出up是很爱他了
前方神仙下凡
天啊真的太精致了！
《注入灵魂》
真的牛壁
这也太漂亮了
救命啊啊啊，啊啊啊啊啊太好看了
啊啊啊啊啊啊啊啊啊
牛牛牛
姜姜！
我靠我靠我靠
好好看！！
姜姜啊
好精致，羡慕这个小狮子
啊真的是姜姜
太精致了呜呜
好美，好美，好美
好好看啊啊啊啊
太哇塞了
姜sir在5.30哦！
太好看了
太牛了吧！！！
up主指甲油好好看！求！！
 超好看！
好精致
真是注入灵魂了 好好看 好精致啊
见sir进
姜sir啊啊啊啊
好牛
哇好华丽阿
哇哦！裤脚这种带扣的设计我好喜欢啊
太太的指甲颜色也好搭www
太牛了
宝藏呀
阿阿阿啊啊
05:30
我的天
好牛！！！
太厉害了吧！
正片 5：36
姜sir啊啊啊啊啊啊啊啊
纹身绝美啊啊啊啊好喜欢，up审美太棒了
有娃娃恐惧症的，就不要点进来呀。
一百分！
好精致啊
真的绝了
好好看 
草
啊啊啊啊姜sir啊啊啊啊啊
好牛
太好看了呜呜
头发编得好好看呜呜
袜！！！好厉害！！！
太好看了呜呜
太美了呜呜
好绝
我姜！！！！
啊啊啊啊啊啊啊啊，我爱姜sir
啊啊啊啊啊姜sir
现在影视剧的服设给我进来学！
啊啊啊啊啊好美啊！
救命，这个角度好像戚薇
卧槽姜sir
啊啊啊啊啊啊啊啊
这个背面转过来的一瞬间闪到我了，亮闪闪像火焰
好漂亮
1000+
嘛诶，是真的姜……
姜丝r！！！
太厉害了啊
太好看了太好看了
姜姜！
好厉害！
nihao 
你好呀
阿蒲哈哈哈哈哈哈哈哈
啊啊啊啊啊爱你姜姜和小狮子
太牛了
好可爱
投个币
好漂亮
好厉害
投币了，光这些小衣服就让人赞叹不已！
双厨狂喜
啊啊啊啊啊啊
太美了
好精致啊
卧槽
卧槽 
姜丝儿！！！
好漂亮 太太 神仙
太好看了
啊啊啊啊啊好看好看
啊啊啊啊啊姜姜
真厉害
美得我暴风哭泣
羡慕那位能接小狮子回家的富婆了呜呜
姜sir呜呜呜
姜丝儿！！！！
姜sir！！！！
啊啊啊姜sir！！！！
啊啊啊啊啊
想到了大哥
好牛！！！！
haolih
啊啊啊啊啊
太太好神！
哇塞
哇塞！
我超
好漂亮呀
太棒了太棒了太棒了太棒了太棒了
啊啊啊姜sir
太强了
太好看了！
啊啊啊啊啊啊
up纹身好帅
好漂亮的纹身！
太厉害了，好看！
太精致了
既然大家都不说，那我也憋着
满身高定
姜姜
这帽子太绝了
姜姜姜!!!!!!!!!!!!!!
姜s……斯哈斯哈斯哈
姜sir！
好精细啊
真细致，辛苦了
好好看！！
好精致啊
太绝了吧
帽子太漂亮了
？？？？？？？？？？？？？
太精致了
我的妈我的姜sir
救命我做梦都想做姜丝儿的甲方
"我咋想到了哪吒 ,好可爱 "
太绝了！
好好看
阿阿阿姜sir
姜姜！！！！！！！！！！！
姐姐的纹身好帅呜呜
太好看了吧up好牛
他好可爱我没了
太牛了up
我现在就很欢喜
姜！
好精致啊！
 Bgm是秦时明月的吗？
好精致
这太精致了一定保护好视力啊
黑皮唉嘿嘿嘿嘿嘿嘿嘿……
太美丽了救命
哇感觉一下子就上来了
阿洛津！
好漂亮
up真的好厉害啊
啊啊啊啊啊啊啊姜sir！！
太太好看了吧
好厉害好好看好精细！！！
up真的是神仙
是粉粉滴！
好像大哥
姜sir
？
哇塞
好好看
太厉害了
我靠太好看了
太精细啦！
这不得三连支持一下T﹏T
很佩服up这种为爱好奋斗的人
姜sir！！！！
姜sir!!
好强！！！
好好看
怎么这么牛
卧槽
1000+人正在观看是正常的吗
太漂亮了
天呐！！！！！！！
我靠！！！！！！
太好看啦！
姜sir
我的天啊啊啊，真的是姜sir啊！！
高技术力
太好看了！
好好看
比我穿得好呜呜呜呜
太厉害了
姜
太漂亮了
真的好华丽
姜姜姜姜姜姜姜姜姜姜
太精致了吧，听着up这么说自己的设计有点想哭的感觉
这也太精致了吧！
花臂酷姐姐！
up这里配音的时候是想打嗝了吗？23333
好好看！
您也是音柱
看up的手突然被种草了这个颜色的指甲油
啊啊啊啊啊姜sir
好漂亮
姜sir!
斯哈
好厉害!!
这个花臂好帅！
我有一个危险的想法
哇！
姜姜！！！！！
好仙…
好好看啊
哇，帽子也太好看了，好想要啊
姜姜！！！！！
太精致了吧
我去！
阿阿阿啊啊
哇！太好看了！
太精致好看了，好喜欢啊啊啊~~~~~
厉害！
啊啊啊啊啊啊
就是有种……我没长手的感觉？？？
完美长在我的萌点上
啊啊啊好可爱
啊啊啊啊啊姜姜
哇……
太好看了
这个真的好好看
好细，好厉害！！！
哇呜这个帽子一拿出来就闪到我了，越看越忍不住张大嘴巴(♡⌂♡)
姜sir！！！
姜sir啊啊啊啊啊
好好看啊啊啊
好看！！！！好好看！！！好细致
太美了
好厉害啊
哇
tai niu l
up好厉害
姜sir
啊啊啊啊啊啊姜sir！！！
把保护打在弹幕上，防止小西八
啊啊啊啊姜sir
好好看！！
牛啊
太美了
太厉害了！！！！
太顶了
好可爱
卧槽
太好看了天哪！！！
背景猫猫
听到姜sir我果断投了币
真好看啊
救命呐
姜姜姜姜！！！！！！
姜sir！！！
卧槽卧槽卧槽卧槽卧槽姜sir！
66666
好漂亮……眼睛像水晶
厉害厉害
哇！！！！！
啊啊啊啊啊啊啊
瞳孔真的好好看啊
你币有了
总是害怕这种小众原创会被抄袭
这个手太帅了
有这样有意义又有水平的爱好真的太棒了吧
阿阿阿阿阿阿啊姜姜
太好看了！！！
好适合今年！（）
天呐真的好好看！
见sir进
姜姜！！！！
sir！！！
好好看！！！
救命！！！！太精致了吧！！！！！
好好看
姜姜！！！
好漂亮！
天啊，真的很漂亮，看着都觉得很开心
卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽
哇哇哇哇哇哇哇哇哇哇哇哇
除了姜sir的神仙旁白，真的被up的手艺惊艳到!
卧槽这个眼睛
苏州人被炸出来了
好厉害！
好厉害！
已经很好看了！！！
像火焰又像郁金香，手动狗头
这也太细致了吧，手好巧啊
这个人偶是男的吗，太华丽了吧
女娲太太
？？？
感觉他好像活了
好漂亮
太绝了
我也很满意。
天啊整个都浸着仙气！
哇好好看
哇好好看
[前方高能]
前方高能预警！姜sir神仙声音杀人事件！
哇！UP牛蛙！！
是吧，有阿洛津的感觉了，up主好棒，选姜sir就对了
太美了
up太牛了！
哇！！
好好看呜呜
sir！！！！
我去！这一身既金贵又好看！
天啊 这也太精致了  感觉像无价之宝
太漂亮了
啊！姜sir
哇，太好看了真的
卧槽？！
啊啊啊啊啊好听！
姜老师！！！
姜sir我的神啊！！！
好强！！！！！！
天啊！！！！！！！太好看了吧
这是我能免费看的？
up快去应聘电视剧的道具组，舅舅电视剧吧
真的好牛！太好看了呜呜呜
太太好
救命啊啊啊啊啊
太好看了
见sir进
姜姜
好好看！
好精致
绝了真的太好看了…
大哥？
这也太好听了
太厉害了吧
带子也太好看了！！
哇up太厉害了
好好看！
好酷
绝美！
秦时啊啊啊啊
猫猫！
太美了！
真的太漂亮了
纹身酷酷的
姐姐的手好巧啊
啊啊啊啊啊姜sir！！555这套bjd值得！up值得！
手巧，布料也很精致
简直太强了
姜姜！！！！！！
啊啊啊啊啊啊啊sir
太牛了……
哇太好看了！！！
太太好厉害啊！！！
这个手！！！！！！
看着感觉是个很有活力又有点小骄傲的孩子呢
哇！！！！！
牛蛙牛蛙
好美！！！！！！！
哇哇哇
啊啊啊啊啊啊啊啊
看见娃娃的日常就是，一边害怕一边想碰一下？？？
太牛了 好精致
反差萌
我也是⊙▽⊙
好绝啊好好看
因为sirsir点进来
哇
好华丽，太巧手了
好漂亮
好好看！！！
姜姜姜姜
太厉害了！！
太好看了！！！！！
真的神仙！
up快去应聘电视剧的道具组，舅舅电视剧吧！（复读
钞能力
你得有up手这么好看才行。第一点你得白，这荧光闪粉亮紫色是好看，但真的挑人
太好看啦！！！
差点以为是人形狮
卧槽卧槽卧了个大槽
真的好精致！！
这也太好看啦！
我去真的好强
姜sir！！！！！
好可爱！！小爪子prpr
太好看了，太精致了
啊啊啊啊姜sir！！！
花罗我超，富婆贴贴！
卧槽？！
姐姐目的达到啦
太好看了
真的太精致了
好精致
妈呀太好看了！
神仙up
哇好厉害
我的衣服没有人偶的精细555
up 应该加水印 China 还有你自己的名儿！
！我天
挖槽，姜sir啊啊啊啊啊啊啊啊——————
这只小狮子叫up
猫猫；妈，我也要!
啊呀，好可爱
太强了
好华丽
太好看了！！！！
卧槽
双厨狂喜
黑皮！黑皮！我高兴了
我也很满意
因为姜sir我也要点赞投币！
我天太美了，我只恨只能投两个币
！！！！
天啊！！！！
太强了
不愧是首页
太绝了！
太牛了！
太绝了！
我要这硬币有何用！
太紧致了啊！！！！！
绝了！
太好看了！
我要这币有何用
救命好牛。。。
姜姜！
有叶罗丽ky的就搞笑
我起吉普疙瘩
姜sir！！！！！！
啊啊啊啊啊啊姜sir！！！！！
好牛！
我趣这个扣 绝了 好好看
天。。。太美了。。。
我趣这个眼睛
好厉害好漂亮
太太简直太厉害了！！不仅娃是自己制作，衣服也是，佩服得五体投地
好好看！！！！
姜sir啊啊啊啊啊啊啊啊啊！！！！！
好配啊！！
bgm好评！
酷姐姐的好娃娃
好美啊
太精致啦！
态ha
太好看了！
太牛批了
好可爱
挖槽 这是艺术
好棒啊呜呜呜
啊啊啊啊姜sir！！！ up太厉害了！！
救命啊啊啊啊啊啊啊啊
啊啊啊啊啊啊！！！！！！！！！！姜sir！！！！！
九敏
来了来了
这个手！绝了。
太美了吧
请让我变成这个狮子！！！
好强啊
哇塞！up主手也太巧了吧！
呜呜绝了
太好看了
啊啊啊
啊啊啊啊啊啊啊啊
姜丝儿啊啊啊啊
啊啊啊啊啊啊姜姜！！！！！
哦，我才反应过来，原来是男孩子吗
救命 姜姜！！！
大狮子在背后出现
手好巧
姜姜！！！！
好棒
太精致了
噗哈哈哈哈哈
up好强
好厉害
花臂好帅
太好看了！！！！
好帅
姜姜！！！
太好看了吧
太可爱了吧
啊啊啊啊啊啊啊啊啊
姜sir！！！啊啊啊啊啊啊！！！
好好看呜呜呜
太牛了我的天
我的天好精致呜呜呜
太牛了
这个帽子真的！！
这也太精致了
好漂亮的小少年
好厉害
太好看了
bgm秦时明月！！！！！！！
太好看了吧
啊啊啊啊啊啊啊
我的手笨重的像猪蹄
up好厉害。好喜欢姜sir的配音。灵动少年跃然于脑海浮现，万人灯火，流光溢彩。
细节太好了吧！！！
牛啊！！！
可爱！！！
姜姜！
呜呜呜呜呜呜呜呜姜姜
大哥！
好配好配好配！！！
哇塞！！！！
啊啊啊啊前方注入灵魂！！！
感觉好扎身体救命痒痒的感觉
