哇，这个妆容绝美！！！
糖糖杀疯了！！！
糖糖眼神杀我！！！
入坑作
糖糖我的挚爱
这个jio一出来我就知道是唐唐了
孟庆旸姐姐也很厉害！！！！
表扬up主底下的水印
水印优秀
北歌也算国家队?
水印好评
水印优秀
体会到古代皇帝的乐趣了
这里糖糖连续跳了七个绞腿蹦子啊
来人啦
。。。
能打的你也不放啊！
这是我这个平民老百姓能看的？
孟姐!
来人啊     赏！！
赏！都赏！重重的赏！！
糖糖
这不得投两个币？算了白嫖吧
我要是皇帝我也不上朝对着那帮腐朽老头儿7
是我我也不早朝
China
China好评！！
日月山河如此多娇
今儿不早朝，明儿脑袋找不着
防棒子偷去申遗
还是上朝吧，不上朝只能看两年，上朝能一直看
点什么赞啊，我直接他娘三连
都要加水印，要不偷国又偷
国家级的舞蹈演员跟网红比，那就掉价了。
哈哈哈哈哈，我看到了中国点China(棒子来看呀)
网易游戏杀疯
有事请奏，无事退朝～
帝王体验卡
你赞有了
好美
这看起来可远观不可亵玩，有的up跳的让人只想亵玩
什么神仙
细节中国水印
这才是古风
帝王体验卡
帝王的乐趣我好像体会了
接着奏乐，接着舞
第一千个币是我投的
滴，帝王卡
战歌起！！！
那只退呢？
唯手熟尔
太棒了
牛
水印好评
这是朕给你们打下的江山（狗头）
我也想为美人一掷千金( ･᷄ὢ･᷅ )
点赞算白嫖吗？
我要是皇帝我也误国
汉唐群舞yyds
水印好评
水印好评
我不，就要三连
不爱江山爱美人……朕悟了
是我我也烽火戏诸侯
接着奏乐，接着舞！
怪不得君王啊
好美
美
美
下方水印好评！
怎么还卡上点了
好多糖糖
每一个青绿的镜头都卡上点了
美美美
没币了，怎么办？
华宵一！
李师师
太美了！
糖糖！！！！！！美死了呜呜
美不可方物
五星出东方
这个bgm是啥了？
帝王体验卡
这是复制粘贴的吗
不能白嫖，我要投币
说要投币的你是真叛逆啊
是我也从此君王不早朝
 跟国家队的样貌和实力相比，偶像什么的都是残次品了
！
这个绝，这个绝，惊艳！！！
帝王体验卡
糖糖～～～
上朝上朝 上什么朝  你们这群老匹夫
甚得朕心，来人，赏
这也太精没了吧
韩国:我要申遗思密达！
648？
我也不，我就要白嫖
舞蹈太美，害我地铁坐过站
标题一出就知道不简单
多是糖糖。毕竟是首席～
终于听到了完整版的《象王行》
女孩子真美好啊
朕的美人们 爱你们胜过江山
糖糖n杀
象王行
哈哈哈不是山楂 啊 粒开心不
尊敬的用户，您的帝王体验卡已到期
糖糖是谁
哈哈哈哈哈这个水印
打码还是滚动的好一点，不动的会被截掉
太好看了
收藏起来
象王行
糖糖是唐诗逸的昵称
从此君王不早朝
从此君王不早朝
唐诗逸。
想偷都偷不了，他们没这这技术
皇帝体验卡
太好看了
赏！
这叫朕怎能不误国
帝王快乐舞
好美
水印好评
春晚里面有个是我妹
请教古代没有啫喱水的情况下，发髻怎么定型那么高
这个小姐姐好像白月光啊啊啊
古代用簪子
郑很满意
古代用古代的东西定型
水印好评 
滴——首页通知书
榆树汁（类似发胶的东西）？
古代用浆
不能怪朕（doge）
这个发型有意思
中间这个是我老乡！
古代有头油
不榆木刨花水
-
古代用“刨花水”定型
古代有刨花水，就是京剧固定头发的
bgm:象王行
开幕雷击，想有个家了
中華萬歲！
我珍珠最美！！！
唐诗逸是谁
剑舞！！！！
君王从此不早朝
皇帝体验卡
我看完发一下弹幕，不就不算白嫖咯
为什么一个视频只能投两个币
首页通知书
这要是我我也不早朝了
-=
是鸿音！建议去搜搜原视频，萨顶顶老师唱的，糖糖老师跳！
终于明白为啥君王不早朝了
水印干得好
背景音乐是什么？
仙女啊
我要这江山有何用
从此君王不早朝
朕都要了[doge]
接着奏乐接着舞
当赏
棒子馋哭了
中国·SINO
象王行
谨防小西巴
水印好评
当我看到唐诗逸，就没人能打了
水印低了点，小心棒子
hhhhhhhhhhh这个防盗hhhhhhhhh
6303我的
晚会结束领导一人牵走一只
朕不要江山了！！
剑器舞
我爱水印
绝美
这早朝我不上了！
我去好美！
这是怕小西八偷去么？水印
又是河南卫视？
太好看啦
哪个皇帝能挑战过这样的软肋？？
姐姐好美
绝了好吧
帝王哪有投币的都是白嫖
华宵一！！！
接着奏乐，接着舞
搁谁谁还早朝啊，真是。。。
象王行
好妖娆
朕的体验卷又生效了
以前吃个饭都要看舞剑
有头油，刨花水
帝王体验卡
美啊
技术活，该赏
真的美！刚柔并济
救命好美
好！～好好！！！
绝绝子
北歌怎么不算国家队了！！！
从此君王不早朝
2000+看，吓人
你说这能怪皇帝昏庸吗
《我的老婆们》
象王行啊啊啊啊 爱惨了
bgm 象王行
稀巴儿南棒：在偷了在偷了
美
美人是美人，江山是江山
不白嫖！投币！
《观公孙小姐舞剑》
功底深厚
美
虎躯一震，这是我闹铃
都是朕的
开场 象王行
笑死，换我我也烽火戏诸侯
又一个！！！
今天赢了几个币给你了
帝王投币那叫赏赐
美
原来当帝王这么快乐
敦煌
真好看
糖糖！！！！！！
满月女王
敦煌系列的确实好看
确实，要是君王看的是这个，一定很幸福
胡旋舞！！
嘎哈哈哈哈，都是朕的！
别让棒子看到
尊敬的客户，帝王体验卡时间即将结束
只恨自己没文化，太美了糖糖
握草握草
赏！！！！
水印好评
导演，快来学服装和发饰
没有江山，何来美人
唐诗逸
孟庆旸
孟庆旸用袖子甩在我心上
三连完成
纣王竟是我自己
中间这个是我同胞
接着奏乐，接着舞！
两个币，购买君王体验卡
水印点个赞，省得棒子又来偷
