刮刮乐？
我的天
牛啊
真是用手画出来的吗？
封面和照片一样
发生了什么
这是魔法吧
太牛了！！
哇哇哇哇哇哇哇哇哇
好
比本人好看
牛逼
太离谱了
我可以买这张吗哈哈哈哈
刘亦菲看了都感叹
人肉打印機
活在古代你会永垂不朽
耳朵还是透光的
全B站唯一一个从来没有让我失望过的Up
牛逼
请收下我的膝盖
离离原上谱
你自己没有老婆吗？为什么要画我老婆
画一些点点是为啥
好耶
太牛了 从细节开始延伸全图
逆大天
2-3天
画仙女，先给你点个赞
我就的打印机又被你吃了
没有线稿徒手画吗
离谱
切，又拿打印的照片蒙我
真的强
太厉害了
真真好
大！神！画！天！仙！
头饰都画的好好
“加入亿点点细节”
现在开始打印照片
你说是拍的我都信⊙▽⊙
我是个什么东西
我都没眨眼竟然还跟不上
prprpr
加亿点点细节。。。
5-8个小时
哈哈哈哈哈给我妈看我妈坚称这是照片
牛牛牛
打印机成精了
马督工！！！
亿点点细节
画中仙
5到8小时
up给我们一人画一个不过分吧
哇
魔法
离谱
顾千帆快安排上！
发生了什么？？？
少拿照片来糊弄我哈哈哈哈
卧槽，照片级的
发生了什么事
提前卧槽。
哇
发生了什么事
？
这个up老打印机成精了
白嫖失败
看呆了，看的忘了投币了
村妇，休走
右眼不和谐
怎么能这么丝滑的！！！
有哪一张照片骗我
屏幕怎么这么多口水的？
请收下我的膝盖
？？？？？？
前面的你想屁吃
画的好好
马良啊！活了呀
太强了！！！
离谱
加亿点点细节
亿点细节
10分钟，我以为没开弹幕
神仙
让我亲一口
我喜欢别人的老婆
不加速的话 一幅画要画多少时间呀
牛掰
？？？？？？
乡野村妇刘亦菲
老婆
画神
！！！
好丝滑
聞訊而來！
栩栩如生
一分钟前！
这合理吗？？
我先叫老婆就是我老婆了
火钳刘明
太强了
好厉害啊
小时候的白月光呀
怎么感觉up化妆也会很上手呢哈哈
好美啊
@马督工来看这个，别瞎扯导弹了
打印机成精了
老婆，么么哒
太老练了
那是彩铅屑
化妆
完全不想快进
呜呜呜太美了
50包邮解君愁啊～
盼儿！！
真羡慕这手艺，我有的话就可以天天画刘亦菲了
我刚才看见她眨眼了
加亿点点细节
好厉害
你个色坯，不准再往下画了>_>
这手咋长的
离大谱
一毛一样
耳朵像有光的感觉
封面:给神仙姐姐采耳
离谱
我说我家的打印机哪去了，原来在这
画得过于准确了
《鱼游到了纸上》
这个机器人的手做得好逼真呀
？我错过了哪一步
这拍的像素还挺高
开始打印照片
太厉害了吧
好离谱
演的吧？？？？？
太牛了
太厉害了
刘亦菲赵盼儿！
啊啊啊画了赵盼儿 好像
驼峰鼻好传神
跪下
后脑勺下面几根透光的头发丝儿好绝
我寻思我也妹眨眼呐……
我没忍住吹了下铅笔灰，尴尬
这个光感绝了
发给她
驼峰不够陀
？？？？
服了，好棒
我只是有几眼没看up咋直接上照片了呢
牛批
太牛逼了
大佬
大佬画一个不良人的  蚩梦  应该能上热搜
好厉害
最像的
目瞪口呆
神仙呀
牛，不打稿，平地起高楼式画法
神笔马良呀
离谱
太强了
发超话
太美了
梦幻联动
好！
好牛啊
这也太牛了
？？？？？
太牛了，真的好像
逐渐离谱
传神啊
倒放，一定是倒放
这是照片吧！！
好厉害啊
天呐，太像了
真的好牛啊，画的好美
他是不是在演我
太厉害了
人体打印机
嗯？怎么回事？怎么神仙开始炫技了？
发生了什么？照片横空出世
要不是我亲眼看着画出来的，我真的不会相信的
你到底吃了多少个打印机?
天啦，衣服上的花纹都画的这么细致
我的天
实在太厉害了！好羡慕up主这双手！！
耳根应该是发炎的呀
卖给我吧
我不理解
白嫖失败
我的天啊，太厉害了
你这是单反成了精啊？！
他甚至还虚化了背景！照片拍出来都没这个好看
太厉害了。
我也没眨眼啊
耳朵那里是不是应该红一点（bushi）
注意看后脑勺下面的碎发！太细致了！
您是人形打印机吗
卧槽！！！
比我的佳能牛批
同样都是手…
好强
卧槽
亿点点细节
真厉害啊
技术活儿，当赏
盼儿
好牛阿
太牛了，照片嘛明明是
太美了！太强了！
真打印机成精
看见刘亦菲就是一个三连
up让我知道了跃然纸上这个词的真义
太厉害了
就服你
？？？？这背景好牛
刘亦菲:听我说谢谢你
耳洞发炎哈哈哈哈哈哈哈哈哈哈
线画的太牛逼
关谷大师兄！是不是你！
从画rmb入坑的，这只是up的常规操作
有头皮屑
好牛
膜拜大佬
太强了
不打草稿啊，好强
跪着看
这……照片一样的质感
睫毛那里！
这一定是魔法！
想看up画刘亦菲的王语嫣吧
服了服了
太牛了太牛了吧
真的假的？
白嫖，不存在的
手是特效？
打印机？？？
牛批啊啊啊啊啊
为啥画我老婆
魔法
这也太牛了吧
神笔马良你在这啊
神笔马良你在这啊
离大谱
照片都照不出这么真的
好逼真
太厉害了
这不有手就行，手：???
惊讶到嘴全程合不上，太牛了
魔法？？
打印机：我何德何能
单反
这跟照片有区别？
