我出生年
青春拍在我脸上
哦哦哦
知道！！！如果我变成回忆
我的青春啊……
听过！！！
可怕的人脉
哇.....................
哇全部听过
都很好听
终极一班真的太经典了
专属天使！
不要一直采访明星……啊你要说这个就没事了
千年泪也是你
爷青回
没听过
华研，我一度很恶心你，但也确实感谢你
飞儿
专门找了个模仿台湾腔的配音
终极一班，我们小时候，从今以后，给我你的爱
好有才
超级喜欢的一首歌
一天…
711便利店（狗头
真好
童年偶像
天妒英才
听过
我好喜欢你写的全世界都停了电
有
“总有人在痛苦和不知道未来目的地在哪的时候，想要听一首完整的歌”短视频的时代谢谢你们还在坚持写我喜欢听的歌。
这才是我的青春啊
天妒英才啊
我以前就一直觉得他超天才的
非你莫属 专属天使 千年泪
短视频歌？呵呵
想到了会长大的幸福的歌词
啊啊啊啊啊啊
我的青春！！！！！！
啊啊啊啊啊啊啊啊啊
短视频里的音乐和零几年的华语乐坛相比，云泥之别
都是大佬
看过的谁又能忘了青春的模样呢
这才算天赋吧
飞儿，又是一个时代的眼泪
陶喆r&b教父无数人偶像不是虚的
好听的
听着这样的经历都觉得真的很赞
我的青春！
康师傅3+2饼干
这几首都很喜欢
飞轮海车祸名场面
哈哈哈爷青回
天外飞仙
孩子？
小七地瓜
有小孩了？
好可爱
没有什么比健康更重要了
单亲？？这些年还有什么我不知道的
三国恋才不是老古董  吊打现在的歌曲
有的！有的！
印象最深的是《给我你的爱》
刚刚升起就消失的新星
太难了
爷青回
后来也离婚了，带着孩子一起生活，也经历了很多
太可惜了，天才碰上遗传性疾病
很棒哎
千年泪太好听，好歌真的是永不过时！！
我知道，大多我都听过
求这一段的bgm！
斗牛要不要还是田馥甄主演的
三国恋
有，当然有，必须的
肯定的
忘不了你，歌太好听了
卢姥爷
会长大的幸福！
太惨了
我永远忘不了
啊啊啊啊啊啊啊我们陶吉吉
这也太惨了
良人会多一个
陶喆人品不太好
认识你就是终极一班！
对啊，一直觉得奇怪
？？？？这个也是啊
一提到我有我的young就会想起名场面2333333
听过！！
我的青春
天外飞仙的歌是真的好听
谢谢飞儿
三国恋
啊？这？上个月在KTV还唱了你的歌，有点蚌埠住了
这么久，你去哪了
不会不会 现在还是很好听
我没有忘！歌单里一直有
