好强
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
火钳刘朋
历害
好活
必火我说滴
牛逼
666
离谱
针不戳
确实做的不错
呜呜阿通
火钳刘明
为什么一个游戏公司做的cg都比国内绝大部分动漫做的动漫都好，国漫啥时候能用点心啊
你不火老子直接去找b站总部
好家伙
哈哈哈哈
太强了
牛
是在下无敌啦
牛逼
这个必火
所以说他真的被地震给震死了吗难以接受
你的名字是？
占个楼，感觉会火
恭喜你发现了宝藏
火钳刘明
没有任何剪辑痕迹
被地震吓死的
天下无双!!!
天下无双!!!
天下无双!!!
天下无双
天下无双
天下无双
我的？
宫本武藏，天下无双！
啊这
火必须火
好活
合理
老活新整
火钳刘明
通！
要来力！
离离原上谱
兄弟去新海诚的公司工作吧，我相信你会为大家创造更美好的故事
是在下无敌啦
好像是被血族搞的不是地震
顶起来
火钳刘名
恭喜宝藏发现了你
火钳刘明
宫本武藏，天下无双！
这波是看过的和打王者的都蚌住了
好家伙
从你的前前前世开始，我就一直寻觅着你的踪迹！
必*
666
阿通叫我回家了
天下无双！
在相思树下
宫的名字
且看我佐佐木小次郎
无双
吔～
宫本武藏，天下无双!
宫本武藏 天下无双
火了踹我一脚
tqltql
《秒速五厘米》的场景
质量好高啊。
酱紫快？
牛
天下无双
火的请赞我
什么时候补充地狱之眼的背景故事
火了来赞我 
真牛啊
无敌的我，又回来了！！
是在下无敌了
违和君死了，你闹你的嘛
宫本武藏，天下无双
那是不是他们会说那个谁，天下无双
众所周知宫本是中国人
NND，为什么不火
火了通知我
《无敌的我，又迷路了》
逆天
火钳刘明
火钳刘明
天下无双
痛，太痛了
卧槽
天下无双！
宫本武藏，天下无双！
宫本做的太嫩了
找了这么久的正版，终于找到了
666
我想笑，哈哈哈哈哈哈哈哈哈
快点火！！！！
你的名字是……宫本茂（手动狗头）
泷怎么堕落了⊙﹏⊙
这！！！这！！！这！！！！
你刀我是吧
太c了（
酱紫剪
宫本武藏，天下无双
逆天
666
哈哈哈哈哈哈哈
有那味了
卧槽，wz都有这么优秀的二创了
宫本武藏，天下无双
1111111
11111
阿通，武藏
太强了，我焯
哈哈哈哈哈
天下无双！
草
552
哈哈哈
恭喜你发现宝藏
牛
天下无双
日本地震不是很正常
给劳资的皇家翻译官加鸡腿(ˇˇ)
是在下无敌了
火钳刘明
双厨狂喜
紧跟时事
宫本武藏，天下无双
带制作
宫本武藏，天下无双！
nb
生动形象
火钳刘明
好活
无双宫本
在下——宫本通
火钳刘明
怎么还加秒五过分了
天下无双！
是在下无敌了
宫本武藏，天下无双！
草
宫本武藏，天下无双！
宫本武藏！天下无双！！！
六六六
必须三连！！
宫本武藏！天下无双！！
565个人
更《美好》的故事
牛啊牛啊
委屈，崩不住了
好磕
刚看完故事，挺不错的
刀我是吧
今天刚更新完登上去，好家伙，直接给我放起了电影，还别说，不赖
制作团队的头像哈哈哈
好活
国家需要你这样的人才
宫本武藏，天下无双！
好刀
高技术力啊！！
下次换天气之子吧
逆天
牛啊
阿通！！！！
啊通！！！！！！
有点生草
告诉你个秘密，我是无敌的
《她的名字》
呃，动漫毕竟长，投入更多
天下无双！
王者的二创？还是手书？？？？
?
好活
官方底下说下外包得了，到处扯，是不是你也是外包的
除了，卧槽。没能在说什么了。
好好的又刀我，二天一流刀两次是吧
太会剪了
能不能别刀孩子了，都被刀傻了
666
前面的宫本茂站住！等等我！
我还以为手机铃声响了
二  天  一  流（指男女主二人生活背景不同，但汇聚的方向相同）
天下无双！
天下无双！！！
坐电车
你的名字是——超级兵
？？
好活
阿通一句宫本武藏天下无双吊打所有王者情侣[OK]​
牛
人才呀！还挺押韵。
你属于哪家公司，我包了，你把这个做成电影吧
重生之武士变高中生
阿通
毫无违和感
关于我迷路了这回事
前面的，王者的cg都是外包的好吗
通，太通了
我要这币有何用，拿去吧
前前前世
离谱
三连已给，去练宫本了
好家伙
从你的前前前世开始，我就一直觅寻你的踪迹！
亚索的建模还是帅的
可为何还是不愿与我对线呢@
我是无敌的!
离谱但又合适
牛逼
牛
宫本武藏，天下无双！
宫水武藏
nb
我超，农
给我火！！
火钳刘明
蚌阜注了
啊啊啊太牛了
天下无双
好活当赏!
武藏，小次郎，喵喵
？
憋不住了
好通
这能碰瓷我是没想到的
离谱
火钳刘明
666666
离谱
故乡的小曲
？
Up主的头像凑成一家人了hhh
？？？
一念通天，神魔无惧
山本先生（不好意思走错了doge）
宫本武藏天下无双
李信？
不是魔种吗 血族是芈月曹操他们 干嘛要搞平民
腾讯有钱啊
我先来，我焯，农
这里好美
整活了嗷家人们
