头一次这么靠前
看不见我
但可以买到足够多
底特律变人！
宝藏up 先收藏了
收藏了，正好周末看
up的声音好有磁性哦
这个好看
吹爆人生七年
这部仿佛看到自己的影子
最喜欢家园，国语是周迅配的，很有感觉
不是960万平方公里吗？少了个万字呀
作为医生，每天都在经历
我看第一季最后一集也飙泪了
不错，质量很好，已三连。
感觉和励志。。关系不大啊。。
忍不住了，不看了，看纪录片去
每个都想看
看过很精彩
喜欢罗杰的纪录片推荐，单纯对于美的共鸣
这个真的看不下去  太真实  太难受了
地球母亲，我的家园
医生们虽面容平凡 但真的值得我们尊敬
960平方公里你让我开点啥？
收藏了 周末女儿放假一起看
看远点？你逃的掉吗。
这个好
但是不考试
天地玄黄吹爆！
和励志有什么关系？
这些纪录片看着就很励志啊，励志又不是单纯的热血
最悲剧的就是欧美人已经不看这个了。
世界之大，吾等何其渺小。
看过 真实
看过
这部厉害
普通话太差了
这配乐是《猎捕》的！
并没有
社会的真实写照
文案舒服
我知道世界很大，但贫穷限制了我的脚步
普通人都是正常的生活啊
更正：960万+300万平方公里
费曼物理讲义充斥着我的脑海
这个现在也不行了，很多心理刻画全是导演强行附加的
然后你一想960万平方公里，一平米一万块钱，就不励志了
含泪看的纪录片
这个太难受看的
星空？哪？
富温
浮生六记 昨晚刚看到这段
漢，纪录片能不能走点心
这个巨好看
对我们班以前就经常看这个
这个还好吧，就是个人不是很喜欢（非抬杠）
收藏夹吃灰系列
我孙连城点赞了
张丽君那一集看得我哭的稀里哗啦
张丽君
这bgm是底特律 变人？
韩拍器
展大后
滴
960万平方公里，你这用词也太粗心了
历史
没有，更加失望了
只有读书才能打破阶层局限
BGM 事火焰鸟
超好看这个
没钱一切都买不了
还有的孩子没有机会长大
看过
？
哭的最惨的就是为了这位妈妈
看过
背景音乐好评。
后背景音乐来自一个纪录片火烈鸟。
文案舒服+1
算了吧，没钱啥都没有
没人关心你喜不喜欢(非抬杠)
纪录片展现的美好不励志？
有内味了…… 为资本家开始叫屈了
理科生地理课常态
初一课文
没人关心你喜不喜欢的那个，太帅了哈哈哈哈
cheng
：站有
帝陵我看过了
不是960万吗
土豪都有买不起的东西，我更绝望了
哈哈哈
我在看着你们哦
航拍中国吹爆
这个b站有！
哭死
赞没有收藏多很真实
这个看过！
这是真的很好看
第一次看到收藏比赞多
命运很难改变
上学时看到我可能会泪目，毕业后无感了
收藏比赞多系列
孙连城
960w的是内陆面积，我们还有300w的海洋
你
《地球脉动》呢？
学习高中地理强烈去看看，很有用
你见过怎么样的中国？
gucun？
好家伙，收藏比点赞还多
gucun？
pro
pro啊pro
励志是让你体会生活中更深层面的意义并加以激励自己，不是都要热血沸腾
严惩医闹！！！
看哭了很多次了
收藏比赞多系列 神视频
都江堰！
这个好看，我看完了都
制作人和大数据挖掘会关心。
初中时候看的，五六年了
看过，真好看
我只看到35
你凭什么看不起资本家呢。你是狗子还看不起猴王呢
是的
哈哈哈
这个看不得，哭了一晚上
帝陵真的棒
现在听到人世间眼眶就发红
唯一看过一集就再也不敢打开的东西 有些现实过于残酷
这部真的好看
棒棒棒
阶层固化
哈哈，高中地理老师晚自习给我们看过
太好了，收藏夹里吃灰
普通话有待提高啊
到我的收藏夹里吃灰吧
人世间！
r
帝陵好看
我不配的10大盘点
孔子见两小儿辩日
野格
牛逼
秦？
每一部都有人吹爆
，
高中地理课经常看这个，还能押题
好棒
看！！！
谁在墙上乱刻乱画
这个看过，很推荐
看到列侬了！
像鸟儿一样飞上天空
声音关了
都加进追剧的名单中！
航拍中国的配乐很赞！
就是宇宙这么大，所以人间才不值得
中国的吗？
这个真的……推荐看！
拉倒吧
吹爆！唯有努力才有可能改变命运
讲个笑话资本家的钱很干净
唯有努力才有可能改变命运
什么用钱买不到？就是给少了。
天地玄黄宇宙洪荒日月盈昃辰宿列张
饼级的画面构图
芜湖
会背诵
豆瓣已经不行了
想看这个
每天吃饭看
我想知道，谁去记录的
有无轮回
背景音乐好评
看过
Top1是人与自然吗
列侬
我不配的十大盘点
我信了
芜湖，起飞了
不念诗我们还是好朋友
说实话我看过一集后不敢再看了
lost in kyoto
这个真的很好看
看了，结论就是阶层已固话，突破很困难
没钱你一切都买不了
第一个收藏比点赞多的
帝陵更新到武则天的乾陵了
最爱的作曲家
啊这。。老画饼充饥了
兰亭集序
开玩笑吧
冰冻星球吹爆
看过看过，还有俄版的！！
大唐帝陵，强推！站内就有。
天天晚上抬头看，一片漆黑。
航拍中国太美了，太美了！！！吹爆！
冰冻奶奶！冰冻爷爷！
收藏了
冰冻星球棒
啊，这
我去我居然看过
欢迎收看收藏比点赞多系列
这个很震撼
up主是福建人吗！！！
资本家那叫
吃灰去吧
地理老师力荐！
好棒
张丽君
真的，一边cpr一边摇头我真的不敢多经历
不我没有
首先 得有钱
来了来了
可以，吹爆这个人生七年系列
天地玄黄说实话 有点太自我了
B站有
看过的
就A股这揍性，人间真不值得
960万平方公里
天使布鲁斯
天地玄黄宇宙洪荒
？？？
刚看完
不，我只想他们被吊在路灯上
来了来了
 看纪录片就是要勇于面对人生的真实！
BGM：opening (detroit:becoming human)
太真实了
看过
密集恐惧警告
top1就厉害了
bgm底特律变人 吹爆
天际遨游
10多年了。。没仰望星空的星星了
又不是我
不是
万  你吃了？
舌尖、风味人间也是是信仰（前两部）！！！
收藏夹里吃灰去吧
哈哈哈哈
拉倒吧，现在还能看见星星吗·
毒鸡汤
钱不能买到一切，却能买到爱情，就问你气不气
我是智人，制杖之人
不敢看
能啊，我在家里晚上我想看多久就都能看多久
这个做的是真好，目前唯一一个看完的纪录片
这个也是那种每一帧都是壁纸的纪录片
哇这个我竟然看过
收藏了，周末看
女王那个
看过扎心
你什么逻辑啊？
这个看过
没有钱是万万不能的
关键天山没有星星
资本家应该打倒
我又想起老师叫我们看的中国通史
孔子见两小儿辩日
这个真的好！每节地理课老师都会放
国家地理牛逼
我从第一季追到现在弟三季了，特别美
这个我去看看
孙连城
这个好看！！！
每部都想看
旅游到宇宙边缘 比那个好看
视频是好……可是前后鼻音……啊……
学医的完全看不了这个
东方卫视的《急诊室故事》也很催泪
美龄宫
这个BGM.……
人生七年真的是吹爆
特效？人间不值得
我咋感觉在胡扯
家远？地球：你们这群害虫。人家不值得
越看越觉得自己渺小了
滚
不值得
导演？再拍一部呗。
很久了
大部分出生更久注定了
真实
up主虽然普通话不错，但是能听出少数民族的口音
我想仰望星空，可晚上天都是红色的
马上去看
爱了爱了
这个看了怕不是要抑郁哦
超好看
你就是那个命运手中的漏网之鱼
别说了，赶快996
对于一个山间的小孩讲述山外的生活多么的辽阔多么的美好的时候后
每一天都在仰望星空
盲猜冰冻星球
看这个哭惨了
至今不敢看的纪录片
英特雄耐儿一定要实现
河西走廊
是个制杖
恭喜你发现收藏比点赞多的宝藏视频
胸	怀	宇	宙
文案舒服了
说到《人生七年》这段的时候，有人知道BGM是什么吗？
先收藏，沉思一下，在网抑云
哭了
哭了哭了
这对夫妻太感人了，好在有钱看病
已三连
也推荐生门
有1/7的概率吧，打破阶级壁垒
执行
B站有
这个看过，吹爆
人生第一次也值得去看下
欢迎大家来我们河北！
家园我还得自己买
感谢推荐
没有
睡前影片
但一定活得比穷b快乐
我超级喜欢纪录片
？？？
看过
地球脉动也好看
？？？
没人？
各位注意其实名字是叫做   人   间   世
宇宙迟早毁灭
最见不得人绝望
时间的风景
历史课本说，我们属于晚期智人（七年级上）
国土面积不是1260w么
世界这么大。我连房都买不起。
这里我想起一部俄罗斯纪录片，强烈推荐《出生在苏联》
。
有啊
钱不是万能的，而是无所不能的
国产地？
国产地？
你怎么知道我需要
不敢看
河西走廊
蓝色星球
超级工程
没有一个女孩子不爱美
帝陵超级好看！
人世间真是哭死
我看过之前的楚国八百年
航拍中国追到第三季了
地理老师在教室放过，强烈推荐！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
嗯可以
还好吧
七年！！
插个眼
雨我无瓜
更加失望了，是我
有
买不了爱情可以买人妻，买不了永生可以买万人的人生
这个好好看
是1260万平方公里国土面积！
有人
求bgm
\
全体起立
bgm Hope
结论只有女人可以通过结婚改变阶层
广阔大地，房价高攀不起，依旧很烦恼
BGM是底特律
抬头不见星空，见了一片黑暗
我愿意哭着吃肉，不愿意笑着喝西北风
