收藏一下
网站
点了
我选择腾讯课堂
收藏了
爱了爱了
让他恰
收藏，吃灰
收藏，等哪天想起来……或许想不起来
恭喜太难了+1
大学了吗？
背景音乐是什么
这个我喜欢
给大哥点点关注
第一个网站英文的
B站呗
下次一定
1
白嫖党：嘎嘎嘎嘎！知道我们的厉害了吧！
哈哈！
那就都别收藏了吧
哇哦！首页通知书！
收藏比点赞多哈哈哈哈
首页通知书
点了
我会。
这次一定
哇哦
mooc
这个鼠标！
不是害怕，是已经失业了。。。
下次一定
下次一定
盲猜有我要自学网
对不起，我是WPS超级会员
收藏比点赞多系列
腾讯云学堂、网易云学堂、阿里云大学
收藏＞点赞＋投币系列
去收藏夹吃灰吧
抠图要钱的
学习我只用B战
现在还是哈哈
溜了溜了
声音很苏不知耐力如何
去我收藏去冷藏吧
万能淘宝网
老营销号了
你这个音是咋发的……
"PPT,PDF2m可能吗"
已经收藏
有用才会收藏多
哦
虽然听的有的懵逼，但还是一键三连了
前面的带带我
格式工厂？
学堂在线
2M? 这么小
慕课堂
点了
这个不好，我有更好的
我用一次失败一次，神了
还有Udemy
这种网站别想了，肯定要钱
竟然没有B站？
不免费
我直接一键三连
腾讯课堂还行
我先来，收藏夹里吃灰吧
这个视频也是嘿嘿
懂了，这就收藏不点赞（dodge））
zan zi
马克人
 肯定收费啊 这可不能白嫖
肯定要钱 这都想白嫖吗
慕课学it挺好的
收藏比赞多系列
在用
在用
看看
收藏
背景音乐是什么啊？
去我收藏夹里吃灰吧
上热门了
软广时刻
奥利给
学习一个b站就够了
听不见
????
要vip的
都没用过
免费的根本不够用
吃灰去吧
d
B站让人沉迷学习无法自拔
为什么没有大学慕课，可汗学院
热门了
我之前都下载了，忘了密码进不去了
收藏，吃灰，退出
白嫖失败
下次
眼
交出桌面
pdf根本不可能2m以内
还不如淘宝买个WPS会员，转啥都方便
慕课慕课
这个直接去仓库找包就行，基本上各个语言都有
好了，进我收藏夹吃灰吧
营销号？
下次一定
b站学习
此学习资料非彼学习资料
大学mooc
白嫖失败
这是广告啊
好好听
b站学习不香吗？？？
罗胖子知识付费哭了
那就收藏
这个鼠标特效去哪下载？
看成csgo了
收藏了吃灰
下次一定
欢迎收看：收藏多过赞  系列
下次一定
万彩不想香吗
收藏走一波
收藏比点赞多系列
这个好
来了来了
都是要钱的
下次一定
收藏的点个赞这么吗
这波，这波是。下次一定
白嫖是肯定白嫖的
收藏走一波
那啥，我还以为……
MOOC
下次一定
点赞没有收藏高？？！！
翁凯老师
收藏必比赞多
证明都是干货
收藏数就离谱
去收藏夹吃灰去
下次一定
进到我收藏夹吃灰吧
模板收费吗
Coursera
收藏
三连支持！
收藏了
这个我学过
b站学习不错
我在b站学刑法
吴恩达机器学习
这个视频也是
哔哩哔哩竟然没有姓名
学习资料
说到编程，我有一个学生小学6年纪已经在自学了，感觉很强
我选择万彩
先点个赞嘿嘿
收藏比赞多系列
去收藏夹吃回去吧
恰饭
先收藏，想学习了再看
收藏比赞多
二建在哪学
bgm：walk away
奴隶养成计划
说得好，可我mooc都还没刷完
退出收藏吃灰懂？
收藏夹吃灰系列
慕课就算了吧，稍微讲的好点的，都要花钱。
没一个看得上
不谢！！！！！
声音好萌好可爱
进我的收藏夹吃灰去吧！
没有“中国大学MOOC”？
mooc
滚进我的收藏夹吃灰吧！
就算收钱也不贵吧，你长大后就知道真没什么东西是免费给你的了
慕课
2M？
我上班看 然后失业了
我在B站学
吃灰去吧
