好燃呀
郭晶晶，俺们保定的骄傲
个人感觉全是国庆档最佳了
骄傲
火钳刘明
烫烫烫
奥利给
国之所幸
骄傲！
中国加油！
国足：？？？？？？？
晶晶漂亮啊
刘翔 加油！刘翔！创造了世界纪录！
鸡皮疙瘩
想起大学军训的时候，去上了个厕所，然后回来就记不起自己是哪个队伍了，看到这个视频我才知道，是三连
马龙
中国加油！！
刘翔牛逼
足球除外，要靠归化
林丹牌面
燃起来了
热乎
I'm from CHINA!
林丹
中国人，行！
国足
火钳刘明
火钳刘明
水花:？
因为我是中国人，所以我骄傲
辽宁，长子之傲
piu亮
哭了
李景亮，张伟丽
中国！
六边形战士
燃
蛋总！
燃起来
武大靖
国之所幸？国民所幸！
前进前进
刘翔！！！！！
嘎子哥
I’m from China
翔哥加油
鸡皮掉一地
太燃了
刘翔永远滴神！
火钳刘明
刘翔~~~
黄渤
武大靖超了棒子三个身位那个真解气！！！
梦之队
这是苏炳添
干干净净！
龙队最帅
国足我在等你
看到了那个不会打乒乓球的胖子
全身鸡皮疙瘩
没有男足
晶晶
上场了，东方的巨龙睁开了他的眼睛
朱婷
刘翔！！！！
武大靖
热泪盈眶
英雄
头皮发麻
武大靖NB
刘翔
找到一个能接马龙这么多板的外国选手不容易啊
刘翔永远的神
你们不配黑刘翔。
火钳刘明
热泪盈眶
讲道理孙杨虽然后面有污点，但是之前的冠军那怕国外也是承认的
死都不敢提国足
刘翔！
来了，加油
中国骄傲
好燃
刘翔真帅
李娜
冲啊啊啊啊啊啊啊啊啊啊
中国男足加油继续给中国丢脸
炳哥
刘翔不容易了，黄种跑步的传奇
真燃！
不提足球，这次一定
水花：刚刚有什么东西闪过去了？
这个击剑是谁啊
刘翔！！！！！！！
永远滴神！
刘翔牛逼
姚明！
我大中华自有昭昭天命
看见伟丽就进来了
娜姐！！！！！
刘翔，我们的骄傲
龙队
骄傲！
刘翔！！
刘翔最棒！！
致敬
龙队！！！
敬礼
马龙马龙
敬礼
李景亮
蛋总
泪目
热血沸腾
我大中华无敌
啊，龙队
这是大杨阳还是王猛
刘翔是真的帅
火钳刘明
刘翔加油
帅啊
龙队！
朱婷真的厉害
李娜
雷声
帽奥胖
击剑的是仲满
生在中国，我骄傲！
火钳刘明
你币有了
亚军季军还有哪些站在这个战场和没站在这个战场没有获奖的，你们都是中国的骄傲！
苏炳添
武大靖，一骑绝尘，干干净净赢得漂亮
足球是世界第一大运动，竞争有多大？
看到刘翔泪目了，永远滴神
应该有中国女足，铿锵玫瑰的姑娘们
雷声
热泪盈眶，有一种人叫中国人
丹神
谢谢这样一群为国争光的人
中国
1
为了刘翔进来的
热乎
雷声
干净利落脆。。。
火钳刘明
不知不觉泪目了
李娜 网球黄种的巅峰 我们武汉的骄傲
80一个月退休老农路过
刘翔永远的神
天啊泪目
李娜 黄种人网球巅峰 武汉的骄傲
身为中华人，是我之幸
男足也有光辉时刻
张伟丽！
刘翔啊，哭了
嘎子哥
炎黄子孙！！！
刘翔这句话说的太对了
然而没有男足
come on
起来！
击剑的仲满
中国队所向披靡！
一定能！
吃得苦中苦
他们是最棒的
火钳刘明
起鸡皮疙瘩了
我也是中国人！
火钳刘明
所向披靡！
永远的神
这是武大靖为了不让韩国队搞东西，全场领先好几个身位的那一次
郭晶晶
刘翔是真的神
爆燃
我的一部分爱国心很大一部分来自于同样热血同样爱国的你们❤️
刘翔拉开这差距，完全就是奇迹
敬礼
中国！！
干干净净
好！！！！！
中国加油！未来世界和平要靠中国！
I am from China！
泪目
爱Berger
火钳刘明
那个胖子
这乒乓球打的，比电脑做出来的都帅
泪目了
中国加油！
宋世雄的声音
只有足球拉胯
泪目
中国的脊梁
飞人
刘翔！我永远的偶像！
冲冲冲！
上帝在打羽毛球！
前进前进前进进！
刘翔刘翔！！！
中国nb！！！
中国！！！
泪目
刘翔！
听到这歌不知不觉红了眼眶
我觉得中国人一定需要这种精神，不可动摇
火钳刘明
刘翔
明天已来
泪目
没有徐灿？
按住李娜
张伟丽棒
自来水点燃
哈哈哈哈哈？！！
袁伟民袁指导
中国太难了，什么都要是世界第一
看的我想哭，太感动了
火钳刘明
燃起来了
来了来了
棒子蔫坏
龙清泉！太不容易了！
刘翔！！！！
周伟丽
火钳刘明   投币了
再来亿遍
致敬所有爱国人
足球加油啊
刘翔
男足？白斩鸡 中国的耻辱！
就是眼睛进了个砖头。。
我很庆幸我是中国人！
说男篮的瞎了？
中华民族崛起不是民族主义
跳水我只看越难……狗头
张伟丽说出这句话的时候，我感动的哭了
刘翔退役过后才知道。奥运会男子短跑。田径想获得冠军是怎么的难
忘了点赞了 又进来了
火钳刘明
欲戴王冠，必承其重
火钳刘明
好帽
刘翔永远的神！
漂亮
yaoming！
景亮
武大靖NB！武大靖NB！
好激动
李景亮！
哇 China泪目
周琦
再来一遍
燃
泪目
蛋总牛逼
刘翔！
热泪盈眶
火钳刘明
