难得等到硬货更新
有头发的老计还是挺帅的
我靠，于荣光
教练够意思
马宁儿！
于荣光和计春华同框过啊！！！
雪豹
雪豹个锤子雪豹。雪豹那是杜玉明。眼盲？
帅哥你谁？
居然有头发的
眉毛还在
徐克的僵尸片里是好人
对！唯一一次的好人
秋意浓
李香兰
招牌回首
其实一直都觉得计老师挺帅的啊
玉置浩二
关键眉毛也没有
好帅!
我变强了，也变秃了
乌鸦坐飞机l
主要就是没眉毛
哈哈，有头发
好帅
血刀老祖
哎。
可爱又迷人的反派角色
有过诶
这个教练真的好啊
纪老师是个好人
计。。。。
我二弟天下无敌
这不是天下无敌的二弟万军丛中取敌将首级的逼王关羽关云长吗
我记住了我谢谢您
教练好人
洪四痒
个人觉得最好的段延庆
马宁儿
六亲不认得步伐，哈哈哈
雪豹的大哥
血刀老祖
贵人
bgm秋意浓吧
我变秃了，也变长了。
其它毛也没了？
有眉毛小时候
有头发有眉毛很帅啊
？？？
这个有点郭德纲啊
铜头铁脑无毛怪姜兆惠
杭州上班的时候 对接业务的时候一个女孩说是她舅舅
现在也是
玉置浩二创作的李香兰（张学友翻唱的秋意浓）
马宁儿是我童年阴影
恶人聚首
这个时候才17岁吗 我的天
黄晓明直呼内行，表示他演什么都像黄晓明。
吴军在十月围城里的造型就酷似计春华
去少林寺啊
演恶人的专业演员
名字叫请别走，说错了
劳改犯
这叫本能反应
这是两个人？？
我以为这两个是同一个人呢，好像
小时候铝中毒
铝中毒
还是光头帅气
哭了
hhhhh
这个也坏人专业户了
有演过好人的
玄冥二老
血刀老祖
李香兰BGM
变强了也变秃了
啊，这
这。学到了，不能铝锅熬药
Giao哥
也是悲剧
这声音演播过小说
好教练
好家伙
反向
bgm应该是李香兰，又叫秋意浓。
右边那个是张卫健版张三丰的逍遥王
。。。。
头发好假。。。。
哎
七剑里的辛龙子
大傻算一个
教练还惦记着他
贵人呐
马宁儿是经典
帅
气质突变
关键是气质拿捏的死死的
帅
他只是演个坏人而已，上帝是不是有什么误会
帅
慈眉善目
慈祥和善
一样高
雪豹那个不是他好吧
天哪
和我一样高
堪称一绝呀 天妒英才
血刀老祖牛逼
眉毛很重要
光头也很帅
至今弹幕各位分不清计春华和杜玉明
旁边是于荣光
逍遥王
为什么一直没有眉毛呢？掉了还是剃了
乌鸦
 那时候还需要真骑马
怪不得，我说口音怎么这么亲切
导演说你这个没问用，我说我这个haotong
哈哈哈，假发一摘，老于立刻怂了
前面的你们搞错了人，演雪豹土匪头子的不是这个老师
铁世文
现在也是
好人命不长 他真的是个善良的人
有眉毛这不是大好人么
痞帅
计老我喜欢
组织的决定，教练也没办法
计春华啊QAQ
旁边杜聿明
生活中他是特别温柔的一个人。
呜呜呜
挺帅的啊
哈哈，罗老师原来还是个电影导游。
可爱
哈哈  两光头
雪豹的大哥不是他吧？
孙红雷
这是雪豹的朱子明
心疼
云长！你别怂啊！砍他！
一米七三就算高了，练武的都个子矮吗？
血刀老祖
大当家的
气质就出来了
乌鸦 还有 邹兆龙都有
雪豹里那个土匪吗
哈哈，有头发看起来怪怪的。
童年阴影二人组
这走路也怪怪的。
碱性溶液高温和氧化铝发生反应？
佛缘 三千烦恼丝没了
计老师可棒了
oxford？
又是中药
真艺术家
强者发型
头发
头发有了
致敬！
逍遥王吗？
那时候普遍矮啊，这个和营养有很大关系的
其实都很帅啊，谁还不是风华正茂少年郎呢？
在谢霆锋的永春里演过好人
有头发
七剑里演过辛龙子是好人
一日为师终身为父 教练还是负责到底
有头发？
这个时候好稚嫩
少年张三丰的逍遥王不是他吧，
常威和他看着就恶 而他纯粹的恶 这长相就很凶狠
小时候一直以为你俩是兄弟
唉
这时候是19岁吗？看着很成熟。。。
血刀老祖？
这么重要的事情不播，天天写写小鲜肉乱七八糟的绯闻
马林儿
bgm秋意浓
电视剧血刀老祖是经典，没人能超越
马宁儿
北京人
我秃了也变强了
琦玉
确实，杭州话光榔头，劳改犯
孙红雷有话说
这是胡军吧
杭普诶，亲切
秃了强了
这个才叫做演员
成奎安
雪豹里面的土匪头子不是计春华演的
太惨了呀
超三
up主声音好好听
致敬，老艺术家
真人眼神很温和啊
主要是没有眉毛
？？？ 这？  漫威反派的诞生设定？
所以矮子注定失败……
甄选
那个时候大多人都营养不良
走高
走好
好教练
中药套你家祖坟了？
方世玉中的于镇海
173就算大个子啦，那其他运动员真的很浓缩精华
卡了？
一路走好
这个经典
鹰爪
笑起来太可爱了
雪豹是杜玉明演的
他是我印象里反派长的最凶狠的
我还以为自己剃的呢原来是就不长眉毛了
李香兰
眉有办法
现在也不好
纸皮啊，，，
bgm李香兰
看不起秃子？秃子能打得你叫爸爸
giao
可惜啊
bgm杀我
长得丑在古代也不行
原来有眉毛呀
7月20日刚好也是我的生日啊
教练好人啊
当时19 我去 
居然走了
那时候龙叔都是大个子 以前蛇形刁手里面就说他是大个子
天哪
眉有办法
长期练武的个子都不高 成龙李小龙李连杰释小龙
没想到老师居然已经走了
致敬
缅怀
QAQ
咋的突然没有眉毛
没想到是这样的
后面是2D
老师是杭州人
雪豹里的老大还不错
容嬷嬷算一个！
眼睛真亮
就很帅
也不看什么年代
马宁儿经典
可可爱爱
你俩不是一个人
这是计春华？涨姿势
一路走好
想起邹兆龙
于荣光！
我一直以为这两个人是一个人
太高练不了武
啊，这
车上这个旁边的人，演恶人比他还狠。。。
我只记得叫马宁儿
李春兰
老天爷赏饭吃
那个时代。到现在就是中年人。1m7以下的还很多呢。
电报
俩光头反派
好帅啊
血刀战力爆表
阿，他死了吗？
周星驰在弹钢琴吗？
童年
教练只是服从安排，还是记得有这人，不然就真的永远没落了。
唐僧
那时候营养都不够好么一米七三很高了
秃了也强了
这一年发生了什么，没头发以后凶恶了好多
小姐：一看就知道你是个秃子~
特形演员
薛仁贵里的元帅
现在也不友好
带恶人
安息
这才是一个好的演员！
我变秃了，也变强了
马宁儿
看见没，这才是学霸里面的土匪老大哥
教练人还是不错
啊，先生走了啊？
当时173是高个子了
七三就算高了…
不是朱子明
计春华跟杜玉明在童年里面全是坏人(ಥ_ಥ)
最喜欢他的演技
新少林五祖里的
邹兆龙
卧槽竟然是两个人啊我一直以为是同一个人
运动员基本上都是小个子
血刀老祖1v4永远的神
他旁边的这个人才是真大佬
朱子明是杜玉明
血刀老祖大好人
年纪轻轻就成了强者
邹兆龙就有这个气
BGM是李香兰吗
我去
经典绝色
哎
难得认识个同姓的演员 记得最熟
死了？
这张看起来李连杰165
演得真的好
真的不是借机黑中医，有病还是要去医院
领不了社保了
好教练
中国好教练啊
苦头坨
没血刀老祖吗
两个人长得好像
演过辛龙子
bgm是李香兰
咋不用陶罐
我以为你是他亲兄弟呢
突然鬼畜
幸亏教练
秋意浓
现在的小朋友什么都觉得矮，也不知道那时候都吃不饱
才19啊
变秃了也变强了
奶油小生
因祸得福
鬼脚七！
变秃了也变强了
因为秃头大部分是劳改犯   肯定不友好
不用剃头
说李香兰是二叔做的笑了 二叔懂粤语吗？ 
哦豁
 演的林俊杰？
想蹲过监狱的
玄旻二老
恶贯满盈
熊星星
常温威，还说你不会武功。
俺也一样
劳改
教练好人啊
这俩都是小时候的梦魇对象……啊熟悉的肝颤感觉……
我觉得计老师超级可爱！！！
方世玉续集
闫师傅
RIP
七剑下天山里应该算正面角色
光头版的胡军
简介字打错了
方世玉里死在宝座上歪头的那下
清风寨大当家
血刀老祖
好可怜
BGM 原版 请别走！玉置浩二！
啊？走了吗
这个假发吧？好违和，哈哈
小时候好害怕他的
往那一站恶人的感觉就出来了
那时候生活条件不好，个子都不高
身高与生活质量有关系
光头以前被叫劳改头
卧槽唐国强年轻时还挺帅
金轮法王
孙红雷
辛龙子是正派啊
这才是雪豹里面的大当家的
我也以为是一个人
血刀老祖
这旁边的事新三国的关二爷
缅怀
马宁儿
我二弟天下无敌
马宁儿童年阴影
安息
杭州的啊。。。。
我变秃了也变强了
小时候被他演的黑洞给整成阴影了
胡军眉毛刮掉也这个样子
老师再见
他儿子是我高中同学
这也算是命中的贵人了。
都是大反派
那个年代浙江那边170以上肯定算高个呀
致敬老艺术家
逍遥王你们都不知道？
逍遥王?
因为劳改犯都剃光
眼里有光
他怎么没有眉毛
发型关键
确实
十七岁就没头发了
他眉毛怎么没的？
光头大佬
给李连杰配戏不能太高了
你看，什么时候什么年代都是看脸的呀！
孙红雷呢
竟然有点帅
于荣光这样一比好嫩啊
演过好人吧。七剑是不是有他
年轻就是光头啊
啊？大哥已经走啦？
学骑马就得学三个月 妈耶
不知道为什么，鼻子有点酸
秃了也强了
恼春风
怎么17岁就秃了
要演好人不知道啥感觉
你确定没演过！去看看他演的一部鬼片！
还有点像胡军呢
眉毛
逍遥散人
太真实了，我不是地域黑，那个年代浙江平均身高有点难受
塞翁失马焉知非福
BGM：rain after summer
季老走好
玄冥二老
所以熬药要用砂锅？
总记得他那句“我家里有条狗，也叫方世玉”
李香兰
童年
真是秃如其来
现在也不好
雪豹是刚才做他对面的那位
第一次认识他是个吴京演的少林武王
丞相
现在也是这样以为的
要用砂锅呀
武术太高不好发挥 李连杰才168
他笑了
俩大佬
唐老师神颜
我的天哪
他演过好人，好几次
真的太可惜了
七剑下天山老三
像终极boss
不演了，我摊牌了！
段延庆演的真的好
头发有了，眉毛呢
神奇…
教练不坏啊
反派师祖
害怕
煮和食中药用陶瓷玻璃器皿
变强了，于是……
血刀老祖不算太坏
有眉毛
BGM:李香兰
练武确实会有可能。。。
可爱
演和尚就不用担心头发
怎么用金属来熬药
计老师演过好人，我记得演过警察。
致敬
有点像成龙啊
马灵儿
鬼脚七，段正淳
年代平均身高真有关
这是中毒了 就跟化疗一个样
右边好像科比
是颗金子都会发光
一根眉毛都没留过
练武太早真的长不高，我155妹子，爹妈都高
你也不看看啥年代身高
彭于晏是你吗
？？？？？去世了
我以为他有一米八
郭冬临
帅的
梦幻联动
一路走好
字幕字体好丑
玄冥二老
这个血刀老祖演活了
没有砂锅，不锈钢的也可以熬中药，最好用砂锅
我天，同一天生日
这是庆余年的洪公公吗？
那个时候173算高了，你以为像现在的孩子营养这么好嘛
段延庆
李连杰1.63
菜十九就
这两好像啊
杭州人～
刚被吓到了
哈哈，我刚好杭州人
giao
大师我悟了！
↓黄字说得对
马宁儿给我印象太深了
啊他怎么死了
青年霍元甲里的余洪水不算坏人，顶多算个狠人
安息
奇怪的知识增加了
什么(ﾟoﾟ;！！！！
60后
天龙八部
不，他演过好人，在电视剧《霍元甲之重出江湖》
蔡徐坤
那个年代，不是现在，不是一个时代没法比较
少林寺全是秃头！
这位教练等于从人生上拉了学生一把
那时候选演员不看家庭背景
李连杰、吴京、甄子丹都不高
;
这样看来，李连杰是165啊
好演员
哟，白色衣服不是关羽吗
南北少林的另一位演员
小时候看他就害怕
练武的普遍不能太高
演马宁儿有点黑色幽默的感觉
我几乎没有眉毛
老戏骨
rain after summer
李香兰
主要是没有眉毛吧
七剑下天山
咋看咋像林正英啊
啊
这个回眸像郭达
致敬老演员
giao
那个年代173算高的了 说矮的看看自己老爸多高
眉毛很重要
长得也太像了
强者的朋友
练武的身高都被压着，能有几个高的？
有没有感觉像敬汉卿。
怀念老师
起源故事！！！
无毛症
感恩
秃如其来你要秀死我
上世纪营养不好 身高1.7算高的  现在02年出生的男的平均身高177   以后小孩子会越来越高的  说矮的估计年纪还小
bgm是秋意浓啊
中药真的不能随便吃
啊？
唐老师真帅
？？？
多谢体委
胡军186
应该是所有的毛都没了
仙贝？（幻视）
教练好人
大帅比唐国强
我咋记得他演过乾隆呢
突如其来的秀
杜玉明是失散多年的弟弟么
现在也是
安全地带的别走
营养不良是国外电影看多了吗
头发怎么没了
又不是关系恶劣或者透明 只要正常长辈式人物都是会关照一二的
练武影响长高的，想想李连杰释小龙
童年阴影……逝者安息吧
小时候一看他就怕的要死……
是你  鬼脚七
演坏人比演好人更难
秃了也变强了
陈佩斯？
秃了强了
真就看演过一次好人
啊这……
马灵儿
国家队
实际上很和蔼吧
这两个光头很像
贵人
双胞胎
童年回忆啊
演员这口饭也是天生啊
走好
居然是这样 
奶油小生唐国强
我小时候觉得他好性感
秃了也变强了
经典，致敬老演员
普秃
七剑下天山
亮剑里面的土匪好像是好人吧！
没有眉毛
血刀老祖超级可爱哈哈哈哈哈
头发果然很重要
好熟悉的脸啊
他20岁时才几几年？那个时候营养不够，人均都不高
这真是童年阴影
以前的电影现在看也很经典
现在也像
有点儿像王闪火
。。。这。。。。
血刀老祖啊
科。。。科比？？？？
眉毛咋了
不需要演技都能挣到钱谁还磨练自己演技呢
现在也是，我剃光头，个个都调侃我是不是刚出狱
颜艺满分
bgm不是李兰香吗
还是没有头发好看。
来了来了
说邪剑仙的眼睛捐了吧
马宁儿童年阴影，最害怕的反派
雪豹，演的好人。。。
哇他演的段延庆
李香兰才对
变强药
计春华老前辈
原来是朋友啊
泪目了
雪豹最后洗白了
七剑下天山里是好人
致敬
太真实了，当年那个年代对图头和胖子都不是很友好。
太真实了，当时那个年代对秃子和胖子都不友好。
我擦
老祖
不是 现在不是有永久纹眉吗 哈哈哈
一路走好
大兵小将
致敬
演技超好的
童年阴影
演的坏人想当有味道
秃了更强了
他在天龙八部里面的角色，让我童年都害怕他
woc？老乡？
演过啊 那个僵尸片就是好人
教练人不错
一路走好
我卡了？
RIP
最怕这个角色
霸气
是他
雪豹里，演的好人吧，
旁边于荣光
所以熬药一定要用铁锅啊
变强了也变秃了
砂锅更好
我秃了，也强了
山口司令官
现在也不友好
带恶人
秋意浓
出人头地
老乡啊
长得好像阿
哈哈，你俩不是兄弟嘛，怎么这么像
教练人不错
教练是好人啊！
变秃了，也变强了
可惜了
林俊杰
最经典四大恶人之首！
熬药不是用砂锅吗？
逍遥王是刚才一块出席节目的另一个光头
季老走好
杜聿明老师演过张卫健版张三丰的反派：逍遥王
最经典段延庆，全程只靠眼神！
都是秃头
这才是演员
bgm秋意浓
我说怎么感觉哪里不对，原来计老师没有眉毛，UP主不说我都没发现
血刀老祖
BGM李香兰
太年轻了
洪公公呀
说雪豹大哥的那群人，你们站住，雪豹大哥是杜玉明，不是计春华，仔细看看。
星宿老仙？
林俊杰？
好惨呀
童年走了，也是我的童年阴影也带着走了
血刀老祖
神奇
致敬
马寧儿
Giao
虎头山大当家
你因为左脚先进门被开除了
鹰眼老七
气场180啊
童子功影响发育，道理就和揠苗助长一样
这
太难了
血刀老祖也不算坏人
一个看脸的社会
233。。。
很喜欢计春华老师演的反派
少林寺有他吧？
省体委啊，那表示他的功夫真的是非常出色了
好友也没毛 233
这个我最喜欢
你咋也没眉毛没头发
段延庆演技相当爆炸，计老师温情戏也演的很好，并不只是会演坏人
反派角色更难演绎
啥玩意
僵尸大时代里的师傅算是演的好人了
我卡了？
好像只有七剑里还算个好人
黄飞鸿系列里有正面角色的
配音太难听，过于阴柔
计老师一路走好
一路走好
科比！！！
e哥
秃了，也变强了
少林寺传奇
杜玉明声音好听
为何科比也在
杜玉明
好像啊两个人
真不知道他走了
哈哈哈哈，变强了也秃了
方世玉!!!
邹兆龙
这也是个大反派光头哈哈哈哈
我靠，我也以为一米八
显个
导演：你收敛点就好
我卡了？花碟了？
咱一根毛都没有
我二弟天下无敌
连城诀呢
没想到已经逝世了
哇笑起来好看的很
啊？
老戏骨了，看到这张脸，就怂就生气2333
秃鹫
帅
羽凡是你吗
演反派要演到让人恨，让人骂，才算要演位了，演好了
那会大多数人发育期营养不良，加上干农活导致驼背，人均身高跟现在不能比
常威也可以
都几岁啊，说矮的也不看看时代
啊？他去世了？
我觉得他非常适合演藏镜人
还是没有眉毛
那个说方世玉是狗的，站住我也来呵呵哈哈哈
RIP
诸葛村夫↓
眉毛呢？
王司徒:诸葛村夫，你敢！
