我
刚刚
来了
热乎
nb
来了
想看了
来早了
还没看，先点赞
2
来了
来了！！！！
牛逼
第一次omg
不行
来得好早
真香
对
这个水墨感真的绝了
2826
？？？？？？？？？？？？？？？？
来了
第一第一
水墨分太nb了
真的牛逼
香
来早了都没弹幕
对！！！！！！！！！
啊这爽哥
啊  这感叹
不说了 我去看了
真香
异邦人
听成张大仙了。
卧槽
？？？？偷跑？恰独食？
?????
光影村后人！
晃盆可还行
恰独食
居然还有很多 激动！
哈哈哈哈哈哈哈哈哈
nd
热乎
人均肝帝，佩服佩服
666666
想问剧情则呢么样
O(∩_∩)O哈哈~
真就摄影机作画
牛皮啊
猫爷！
没错
这就是我一直想看到的中国动画！
我好酸哦
俺也一样啊啊
nbnbnb啊啊啊啊
虹猫蓝兔七侠传应该拥有姓名！
好了我要去看了
卧槽，羡慕嫉妒
可靠！
这咋还左右呢
猫爷nb
牛逼
横版街机游戏升级？
水墨元素真的好好看啊……
是的，有这种感觉
(　ﾟ皿ﾟ)666
我擦
我说怎么这么熟悉
俺也一样
神仙！！！！
一枝独放不是春
对
哈哈
热乎的
哈哈哈哈哈哈
哈哈
这才是中国的打斗
配音也是一绝
这么牛壁
帅爆了
wc 这段真的有点帅啊
打的好有劲，爽
？？？？？？？？？
草
绝了
这一段太帅了我去
厉害
难怪了，有卧虎藏龙的味道了
哇(ﾟoﾟ;
唢呐  永远滴神
卧槽，我要看
林导牛批
哈哈哈哈哈
确实
升华
六到无语
啊！这鸭
这就是我一直想看到的中国动画！
哈哈哈
绝了
O(∩_∩)O
梦到还行哈哈哈
我要去看了
酸了
。。。
啊这
友情出演
当时被这块震惊到了
我也是，被洗脑了，我一闭眼睛全是副歌部分
？？？？？？？？
握草更期待明天了
妙啊
什么？！！！！！！！！
我愿称之为绝活
哈哈哈哈哈哈
卧槽
。。。。。。。。。。。。。。。
就三集，够的
是啊
不够钱的话发众筹吧
草
这个景是真的好看，
66666
草，查地图一眼看到旁边有个村委会
哈哈哈哈哈哈哈哈
6666666
大理寺是真的棒
天呐
这就是我一直想看到的中国动画！！！！
还能这样玩？
这段打得是真TM帅
hhhhhh
还有这种操作？
草
别奶
贫穷使林导无所不能23333333
我来证明你开了弹幕
有后续！！！
能被鸭子追的那种
大环境限制
别奶啊
肝帝工作室
不敢不敢待会儿又有人说捧杀了
啊，这鸭
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
草
国创牛逼
草，羡慕啊
追了
哇
？
五行战队（）
你就是在骗我去补
666
BGM犯规了 物语系
石森丿章太郎。
嗯！
我去！
贼帅
五行牛逼
woc
我酸了
影之刃也是如此
太好看了
全能型导演
6666
猫爷帅啊
强 国创 强
咋走后门呢
我酸了
啊这颜艺
红红火火恍恍惚惚哈哈哈哈
这个枪耍的有《英雄》内味儿了
每一帧都是壁纸
厉害厉害
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
只有三话？
没错，看完木桥战就上头了
六到无语
这已经可以当动画电影的质量了
这真的不会烂尾么
我一定让孙子帮我追完
哈哈哈
卧槽太帅了
法人代表 林佳奇？？？
你居然偷跑
梦到？
？？？？？？？？？？？？？？
就是这个！软杆的枪
牛批呀
超级震撼
中国人的骄傲我是真的觉得不至于……
来啦！热乎的！
？小伙子你出来一下
我得数数我同时和几个人比命长
恰独食你币没了
太帅了这段
肝都烂了
别别别
欧亨利式答案
啊 这鸭
卧槽
？？？？？？？？？？？？？
动漫高手
画风超美
俺也一样！
？？？？？？？
这个太漂亮了
yysy，确实
前面的别把无知拿来炫耀
哈哈哈哈哈哈哈哈
wocccccccc ccccccc
+1+1+1+1+1+
受不了了，我要去看
纳尼
好消息 制作组把后两集的活整完了
酸了
？？？？？？？？？？？？？？？？？？？？？？
这就是现实，国内这种风格的人才断层了
女主颜艺还行
现在市面上大部分水墨动画都是类似的做法
别崛了别崛了
2016年的海岸线工作室笑了
好激动
我是不停暂停才看得清楚动作的，nb就完事了！
必须给我安利！
哈哈哈哈
这怎么看出来是飞踢的
66666
ni bi mei le
工匠精神！
有生之年希望看到幻境诺德琳出第二话
啊啊啊啊啊期待
？？？？？？？？？？
woc。
味都一样
卧槽
卧槽
UP都看完了，不会烂尾
我就不
对很对是非常对这就是我想看的中国动画
66666666
热乎的
硬核做漫
这个枪真滴是太帅了
这也太绝了
哈哈哈哈哈哈哈哈哈哈或或或或或或或或或或或或或或或
泪目
太真实了，招人真的是很难啊
我根本不介意这种工作环境，但我真不是动画人才啊，哭泣
哈哈哈哈哈哈哈哈哈哈哈哈
看起来挺新颖
这鸭子会吃米吗
恰独食
老沉香了
岁城璃心
法人代表：林佳奇
啊雪莉
真不错，住在山里面，真不错
前两个真的很好看
恰独食啊
可以啊
？？？？？？？你恰独食
真不错，住在山里面，真不错
woc才六个人...
当时看到斯瑞帝的时候，我是楞了一下的……
鸭子友情出演
这段我看的时候几乎眼睛都没有眨一下
这特效是真的nb！！！！
牛皮
？？？？？
越来越热闹
圆古直呼内行
猫爷！！！
哇真的帅
啊啊啊啊
什么啊，认真做还是做的好的嘛
雾山牛逼
