第七第八个币是我投的！前排！
类目
会~~~！
泪目
眼看着弹幕一条条增加
鬼畜不灭！
泪目
泪目
泪目
爷青回
李云龙
泪目
火钳刘明
最怕鬼畜动了情
悠悠苍天 何薄于我
悠悠苍天 何薄于我
悠悠苍天 何薄于我
悠悠苍天 何薄于我
7.大力哥
泪目
泪目
泪目
泪目
泪目
泪目
泪目
鬼畜
老爷子走好
类目啊
18.van
淦
lbwnb
悠悠苍天 何薄于我
爷青回
泪目
泪目
蕾姆
泪目
21.六
23.成龙
爷的青春
泪目
泪目
泪目
ni ko ni ko ni
泪目
B站方文山
我要去看看收藏夹吃灰的鬼畜了
泪目
泪目
33.金馆长
34.傅园慧
泪目
37.贝尔
38.张全蛋
泪目
泪目
泪目
lbwnb
悠悠苍天，何薄于我
泪目鬼畜区都无鬼畜了
泪目
2333
泪目
泪目
全体起立！
泪目
比利王车祸去世了
世间再无幻想乡！！！！！
人总要恰饭
泪目
泪目
因全民星入站
van♂
泪目
悠悠苍天   何薄于我
泪目
泪目
我们永远支持鬼畜
泪目
泪目
有些感动
这次一定
泪目
泪目
见证鬼畜的辉煌
泪目
泪目
毫无违和感
泪目
哎，老了老了
幻想乡
先泪目
会
泪目
泪目
泪目
蕉迟但到
留下jio印
泪目
百万填词啊
哭了背影这里
好听
hhhhhh
老爷子一路走好！
泪目
永♂远的王♂
泪目
泪目
一定会的
素材取之不尽
泪目
唯一B站方文山
泪目
文化倒退
鬼畜不死 好作品永远经典
泪目
鬼畜这个舞台越发越荒凉
泪目
泪目
哭了
兄贵时代早已逝去
泪目
泪目
会的
还有日暮里哲♂学的众星在何方？！
还有日暮里哲♂学的众星在何方？！
泪目
泪目
泪目
伴鬼畜兴盛荣衰，鬼畜不灭
lbwnb！
泪目
泪目
哭了
泪目
鬼畜，也是被榨干了价值啊。。。
莫名泪目
泪目
我在这里刷播放量，顶
泪目
这次一定
王
这段真超神了
原来的鬼畜区超级吸引我，现在可能我长大了，可能它变了，虽然不像之前热衷，但还是谢谢鬼畜区一直给我带来的欢乐
刚知道B站就是因为鬼畜
泪目
我到河北省来 ！！！
yes♂
鬼畜永远不会倒
鬼畜不会倒
鬼畜一定会再次辉煌
类目
北大力南逸峰
没人认识控八控正骨老中医我是没想到的
这次必三连
能下载吗、
泪目
大力出奇迹
我来河北省
NB
.泪目
泪目
泪目
泪目
迫害李荣浩哈哈哈哈哈哈
泪目
泪目
千万预定，鬼畜不灭
面————筋————哥！
泪目
泪目
孩子们他们不玩了
为什么只能投两个币？？？？
泪目
我没忘！一点也没忘！
LBWNB
还有日暮里哲学的众星在何方!?
鬼畜
现在已经回不去
现在已经回不去
现在已经回不去
lbwnb
爷青回
哈哈哈
类目
老爷子走好
爷青回
这次一定
老了老了
一定会
爷青回
23333
lbwnb！！
泪目
现在很多视频都是低创作，却有高播放的
泪目泪目
泪目
提前泪目
桌面清理
泪目
最早的鬼畜是不是金坷垃系列？
会
金坷垃
我曾见证过的辉煌
泪目
文艺复兴
泪目
忍不住三连，该死，我没币了[大哭][大哭][大哭]
这次一定！！！
这次一定
泪目
泪目泪目，必须三连
会的
会的
泪目
这次请一定三连
lbwnb
lbwnb
这是我们鬼畜的信仰
