我蹲到了
好早
来啦来啦
一个半小时，爽
第一个
来啦
修仙党的胜利
热乎的
91分钟卧槽
1播放184赞，b站特色
这时长，牛逼
我的天
滴
木鱼这么宠粉，大家不三联一下嘛
靠前
三连！
温暖的导演
修仙开始
天哪
热乎
肝啊
我第一个到的？？？
蹲到了
就等你来了！
好早啊
因为我去看了，所以拿奖了
睡个蛇皮，看就完了
bgm 张国荣 今生今世
好歌
占领空屏
害  终于蹲到了
支持一波
喜欢记得三连呀
！
我家这影院已经开了，中国电影加油！
我是第33个弹幕
破个零？
这么少弹幕还是第一次
如果爱也是他啊
三连为敬
三连安排上了
弹幕？
熬夜党的胜利
进度条？？
母亲的名字里是有个可字吗？
第40个弹幕
睡了明再看
？？？？
亲爱的真的看哭了！
来了来了。看到我睡觉前刷到了什么
前
美人鱼多半靠热度
爱了爱了
哥哥的今生今世！
赶上新鲜的了？！
7
啊这，蹲到了
张国荣，哥哥？！
光阴的故事啊啊啊
必须三连
年年的成长（滑稽
中国红
来啦
我竟然等到了
木鱼牛壁
木鱼也太肝了把
《甜蜜蜜》是中国最好的电影之二
木鱼真是给力
5421
好早
↑必须得三连↑
来了
光阴的故事
必须三连！！！
刚看完，泪目
热乎
哥哥····
来了来了
来啦
好厉害哇
妈耶！明早在看
来了！
热乎
时长感人
一模一样
这叫没钱？
BGM:光阴的故事，罗大佑
甜蜜蜜很多拍摄手法 再中国合伙人上都看得到
张家辉
那个年代能去美国读书，什么水平，还穷
看来早来的人都是默默仔细观看的啊
开心好棒
陈可辛
贺岁片最期待的片子
在看的冒个泡
甜蜜蜜挺好看的
看了眼进度条！！！！！！！！！！
这个跟看一部电影一样
妈呀
91分钟！！！
爱
哈哈，第一个
飘摇！
三连！
时长惊人 i了i了
91分钟！？！？！？ 这不上院线？放b站
来了来了！他来了
刷一发哥哥
来了
三连呐！！
这个翻页真精致
来了来了
排面
好家伙不睡了
每逢更新必失眠
大海？
懂的都懂
木鱼这片头我i了
我为什么要在12点半刷到这个视频
1940 人观看 12：29
好美啊
辛苦了
我第几个
老大牛逼
星爷
来了来了
我家住b站
(๑• . •๑)
进度条太给力了吧
这觉是睡不了了
今生今世
ヾ(≧∪≦*)ノ〃
脱发警告
这长度够一部电影了……
周星驰和陈电影类型不同，周的无厘头陈也拍不来，按你的说法，陈也不配和周比？
91.。。。。
进度条感人
这个开头我真的太喜欢了
先投币
木鱼牛逼！！！
希望有一天见木鱼点评我崽的作品
12.30不睡的两千人  你们好啊
不是不配，是类型不一样……领悟不同
成长成长
这是前排嘛
好家伙，不睡了
给力啊
进度条挺住
感觉这个系列好久没更新了～哈哈哈
鬼见条
啊啊啊啊啊木鱼更了
父子俩一毛一样
来啦
其实周星驰拍的片子影响力远大于电影剧情，很多人都是为了情怀去看的吧...
这个时长，爱了爱了
刚去电影院享受了星际穿越
这时长！三连为敬
三连支持！
先三连，明早起床在看
开始修仙
来啦
发的挺早的
我也是  刚看完专业书  准备睡的
我先给个三连，明天吃饭的时候慢慢看～～～
吴君如
岁月神偷
美国留学生氪金套餐确实不便宜
确实是这么个道理，参考毕志飞
hi
还让不让人睡觉了阿
普通家庭马化腾
搞什么啊？不是刚发预感吗？
。z
牌面
三连干嘛，愣着啊
岁月神偷
卧槽，先三连再看，我得投到电视上看。
金马不说了 嘿嘿
34分钟之前虽然来晚了一点但是真的很早
剧场版?
23333333
中国合伙人
这次一定
？我才看到进度条，绝了呀
BGM是《中国合伙人》片尾曲，歌名叫：光阴的故事，是黄晓明，佟大为，邓超合唱的版本
6666666
这个时长，表白木鱼！
木鱼牛逼！！！！！
不是说后来搬去泰国了吗？可能在泰国家里有起色了
8.4今年第一次去电影院看了星际穿越
大赞的长度
木鱼牛逼
历史阅读量太大了
他每次拍完都一堆跟风仿造的
前面的，看好了啊。。。有说在题材和情感共鸣上的普适性啊
BV1Yv411v7L8
冲啊
《刚好》
弹幕呢
我来组成弹幕
我还以为今天只有预告呢
美人鱼我是真的觉得好难看
卧槽一个半小时？？？
来了
对他老婆更熟悉
bgm名字是啥
91
陈可欣是谁的老公来着？
yo
隔了4小时 居然还先发个预告2333
今生今世好听
真就一个半小时！
时间劝退
吴君如老公
长度感人
热乎
那如果国语只有周星驰，国语电影是有多悲哀，没必要争来争去。
我靠，居然中戏
示范性吧，，，
bgm:光阴的故事
3602
水印呢
太长了，哈哈
他老婆是吴君如喔
但是监制没办法留名青史
投名状超级好看
睡不了了
来了
-
91分钟?！ 我不睡了
这个是邓超唱的版本
文艺和商业是可以共存的
牛
这时长我爱了
先三连，明天见
5.1万
这个点开始修仙
暴露年龄的歌
监制能赚钱，但不会留名影史
为什么是大半夜，更新的啊，好晚。
先三连在看
哇 爱了爱了
三连！
.
哈哈，最好的安排
.
我擦91分钟
都是比较精品的了
91分钟的人生，一起看电影啊
这个时常。。。2887
bgm是张国荣的 今生今世
金枝玉叶！
飘摇 周迅
三连再看
爱了爱了
三连！
这个是中国合伙人的合唱版本
这个真的好看
呵
我愿意娶！
今生今世
来了
长毛还没结婚  对象是吴君如  共有一女儿
first
一切eisu
一切都是命运
Allan
今生今世
没错 你们都卡碟了
可爱
这是邓超他们三个人的合唱版本
『今生今世』
我来早了？
名门之后
我喜欢如果爱。
91分钟。。
什么鬼进度条
张国荣 今生今世
为什么是看似温柔这句话呢
这部片子等了我大半年了啊
哥哥
停电了 来网吧通宵 8.5 03：11
wode BGM
1943弹幕1943正在，真巧
累积经验啊 
谭校长！
蓝洁瑛哈曾志伟
成长。。
吴君如
我靠，刚刚黄渤那几秒给我看哭了。。
太棒了
有道理
进度条吓到我了
吴白鸽...被时代抛下的人...
陈可欣是吴君如老公
历史系更好啊，更有深度，视野更广
这歌不能听，害
双城故事
龙兄虎弟！龙叔的经典之作！
三连了
BGM光阴的故事，（中国合伙人）
来了来了
先三连在看
先三联我再看
感人时长
风里笑着风里唱
我喜欢中国合伙人
三连三连
王晶商业片之王，周星驰喜剧之王
纯洁的人都去混演艺圈了#笑
喜欢记得三连哦
首席排面
首席排面
感觉他很敏锐
他稳啊
求bgm~!ii
我想投两次币来着
听到这首歌直接三连
放弃了…
哈哈哈哈
91.....
排面
光阴的故事
表白渤哥
飘摇!
再次表白渤哥
可怕的进度条，必须三连
周星驰把好感度败光了
来了！！！
三连三连
木鱼爱你奥
百万剪辑
三连了
黎明
这是中国合伙人版本的光阴的故事
投名状挺好看的
确实  他的电影  我们不用担心什么
木鱼熬夜做的精品一键三连走起
木鱼强！！！
我在看电影
已三连
时长感人
渣渣辉？
现在早上七点
这是佟大为唱的
因为做这样一期节目真的要很久剪辑文案
别总催更啦让up主睡个早觉吧
做会计还有退路，做老板就没有退路了
我爱木鱼！！
爱陈可辛啊
我觉得夺冠最好
甜蜜蜜太经典太经典
真·
真·成长
不是女篮5号吗
双城故事 意难平
进度条
睡前别看
BGM:再会，小小太空人
awa
已三连
来了来了！！！！木鱼辛苦了！！！
这一夜成长了不少
吴君如老公
冒泡
周星驰当演员还行，当导演就算了，不要说美人鱼，我真不觉得好看。
韩三爷阿 怎么就不能留名青史了
时长警告
我的青春啊
木鱼办成收费的吧，一次一毛钱。
蓝那个不是曾，虽然曾不干净但这个的确不是他
最爱木鱼，三连走起
这几天吃饭有的看了
这进度条爽了
bgm光阴的故事
渤哥演技真的流批
。
感动
刘天池就算了嘛出了第一步降魔传还可以其他都不行
弹幕呢。
进度条震惊，以为在看第十放映室
木鱼加油！
梁家辉
先投再看
进度条有点可观感人
来了！！！
大心血，三连！！
温柔和能抓住时代脉搏并不矛盾吧
不行呀，内容量过大，不支持我加速看，狗头
这期木鱼的时常好良心啊，大家都记得三联啊
！
这次一定
小时候在农村看过露天的，没想到是陈导的
泰国
有才华的人，绕来绕去都会去那一行的
木鱼牛逼
原来 成长 出自这里！！！！！！！
给了三连在看嗷
吹爆中国合伙人
可怕进度条
给陈导排面
陈导排面
4397正在观看
看个电影一样233333
成长666
我来啦
木鱼肝心
90分钟？？？？
bgm张国荣的今生今世
10:10
真的好喜欢《中国合伙人》
鬼见条
岁月神偷的配乐
他把文和商业把控的相当好了
三连
进图条惊人
甜蜜蜜必须有牌面
投名狀太神
看到我Anita啦
今生今世
这个哭泣真是痛苦绝望夹杂着发泄……
零花钱跨国游可还行
至今想不明白 投名状为何票房扑街
比李仁港强一万倍，如果登珠峰那个片子让陈可辛导演来一定好的多
光阴的故事
子承父业
就这时长，我已经三连了
三连90分钟
陈可辛的电影应该是看的最多的了
三连三连
90分钟爽了~！！
90分钟我真的看着睡
如果不是木鱼水心，我都忘了还有电影了
首席，牌面
哈哈哈哈同历史系
快给币！
一个半小时
美人鱼快把周星驰的口碑消耗完了
先三连再看！
辛苦啦
必须投币
来了来了
哥哥！！
首页通知书
新难兄难弟
吴君如的老公
吴君如的老公
UP声音i了i了
可惜没有56亿
已经过了九个小时了还七千多人正在看
这满满的诚意，木鱼辛苦
宁这是在拍电影吗
牛批啊
果然是行内人才能说出的话
顾sir顾sir
这时间 可以
恐怖的时长
感觉是看一部电影
国产007的既视感
三连了
就冲这个时长，投币了
时长不一般
中国合伙人给我看哭了
BGM？？
bgm好评
佟dark♂
木鱼，辛苦了
天呐，没看过电影，就看渤哥哭，我都泪目了
中国合伙人太棒了
龙兄虎弟爱死了
三连再看！
这个进度条
我去，一部电影的时长
爱宁
卧槽真的吓人
木鱼心肝！
BCCNCCCCCCCCCBCNCCNC
木鱼水心，永远滴神
甜蜜蜜一直不敢看
看下91分 慌不慌
甜蜜蜜真的
美人鱼怎么样我不知道，周星驰早就证明过自己了
辛苦up
我都买票准备看了 结果......
木鱼太太太良心了
三连都觉得不够
。
我回来了
中国合伙人
Leon
可以
好长
时代不一样，投名状放今天至少20亿
直接三连
居然一部发出来，大方
周星驰的美人鱼是想拍给罗慧娟看了    结果还是走了
成长
辛苦了
三连后再看！
鬼见条
爸爸还是放心不下的
哥哥  今生今世
时长惊人，点赞加投币再看
0 0看了下时厂 。。。鱼叔NB
鬼见条
冬天的洛阳？
时长我惊了
这是吴宇森的，陈只是参与
硬核成长
好评~！
坐等国庆档
91分钟？？？？
我先三连为敬，木鱼辛苦了
90分钟。。。
换个号再来一遍三连！！
90分钟。。
哥哥
三连再看
大家别忘先一键三连呀
罗大佑
陈可辛导演的经历也蛮坎坷的
进度条感人啊
终于等到了
BGM真的爱了。。
双城故事哭了
这个时长爱了
这么长？爱了爱了
梁家辉演技炸裂
喜欢背景音乐，笔芯
冒泡
辛苦了，这么长
一个半小时？？？
辛苦了！
91分钟 你真的拼
哦
里边的取景地是我们学校!
↓时长惊人↓
我好想看夺冠啊
这个这个 有个选景是在我们教室选的，见到了那个孩子还有导演！导演还请我们全班看电影（当然没看到黄渤赵薇）
恐怖短片《三更 之 回家》
妈呀这进度条
对生活的阅览和领悟，这是陈导最优秀的，
10511人正在看
时代不一样了，合伙人放到现在票房估计也很高
先投币！！！
时长感人
“监制”
一步一步来
甜蜜蜜我觉得是国产爱情电影之最，没有之一！
时长警告 我看了一部电影？
没有哥们的帮忙233333
！！！等到更新了
爱你爱你
91分钟
大格局导演啊。。
这部龙叔差点走了 还好当时著名的脑科专家在当地
飘摇！
我去，我华仔这么帅的嘛！
鸡皮疙瘩起来了
强啊
bgm哥哥的今生今世！
零花钱有点多
哥哥
陈可辛很像张家辉
这进度条！！！辛苦了！
中国合伙人爱了
必须三连！！！
bgm：外面的世界——齐秦
我想白嫖怎么办
投币点赞再看，91分钟？收藏了
哈哈医生和老师的区别
bgm？
三连了
bgm？
甜蜜蜜
91分钟?
九十多分钟？？？可怕
这个时长
先投币再看
我得看好几天，那就是好几次的播放量是吗???
我爱这首歌
预告再来一遍哈哈哈哈哈哈哈
已三连
洛阳
夺冠!
来了！
真大导演
部部精品
进度条感人
先投币
飘摇？？？？
蔡康永好像也那个学校
啊啊
卧槽这进度条，拍电影呢
美人鱼辣鸡
嘿嘿嘿
这点踩的，成长，哈哈
棒棒棒
时长感人
曾志伟带起来的
夺冠
三连
投名状好看
这个时长哇塞！
辛苦了
光阴的故事
？
BGM：外面的世界
请收下我的膝盖
木得嘎
这是在拍电影啊。
来了
甜蜜蜜拍的真好
90分钟过于恐怖了
一个半小时的进度条
陈凯歌觉得很淦
666
91分钟，拍电影呢
这个时长 i了
进度条感人
are 
给力啊
来了
加利福尼亚是不是世界上电影专业最强的学校？
已三连
历史的安排
来啦
