加油加油
结尾的话说的真好，喜欢的才是天赋！值得！
池子拦着好深
UP猪加油wa
牛牛牛!
看哭了
好美啊
肺活量可以。
哇
这身材
太好看了吧
太美了吧
看的我都点憋
美人鱼
好棒啊
刺溜刺溜
好美
气质美啊
好美啊
哇啊啊啊啊啊
好强！！！！！！
加油
哇哦
@天倾者 
好搜啊，自由我一个人觉得
太美了天呐
好美啊
我超级喜欢这样
好美呀
不用呼吸的吗
太美了太美了
这口气也太长了
好美！！
好美
这肺活量
啊啊啊啊啊好美
太美了 注意安全
这么深的水，能憋那么久，肺活量不小啊
老婆
好优雅
天，我还以为是模型
太美了
身材好好呀！！！
好美好美
这一下真的太美了
身材好美
看视频的我一直想憋气
我已经憋死了。。。
好美啊啊啊啊
加油啊！
拍的人也好厉害
难道有人相信这是一口气拍完的？
超漂亮
姐姐也太美了
好厉害，我因为不敢把整个头浸到水里到现在不会游泳
像美人鱼，好美！
黑百合 是你吗
快起来
我要是有这个身材，我走路都横着走
爱了
看得我呼吸困难，upnb
好美好幽静
不会浮上去吗
只有我好奇up可以憋屈多少分钟没
憋不住了
我要是这个身材我真的愿意横着走
美哭
太美了
憋气憋好久。。。
哇……好厉害，好美
螃蟹哈哈哈哈
火钳刘明
主要是能沉下去，肺里没多少气
气好长
窒息
肺活量爆炸
太美了太美了太美了
太美了
太瘦了，失温会很快。
怎么碰到底的，我在水里根本沉不下去
这身材。。
我觉得我要无法呼吸了
这身材爱了爱了
太厉害了
这看着感觉未成年啊
不是一段拍完的也觉得憋得慌
美人鱼
我为什么立马飘起来
闭气肯定是练的啊 很美很美
肺活量！！
绝了！
要是短发就更好，头发太乱了
头发绑起来吧
零
应该是缓过气的，只是剪辑的时候剪掉了
天，好美
把肺里的空气排出去，自然就沉下去啦
肚子里的气吐光就能沉下去了
哇！！！！！！！！！！！！！
换气了？
你是氧气瓶吗！！！！！
好想尝试哈哈哈
嗷嗷嗷奥
女娲
太美了
绝美，姐姐
太美了
太美了！
美到极致
腰好细
怎么憋气的
太美了
其实他运动需要更多氧气，不仅仅憋气那么简单
牛批
啊啊啊啊啊啊啊啊啊啊啊啊
哇怎么做到的
像5米池
憋气挺难的，要沉底得把气排掉
这肺活量。。。
肺活量好强啊qaq
不戴铅带咋沉下去的？
水底舞蹈是很常见的，很早就有了不是说谁的创意
拍这个视频的更厉害
这多少斤啊
我一猜在座的估计都在一起憋死
有剪辑
等up真正练好以后，眼镜可以摘了再拍，更好看
莫名的治愈
太美了！
爱了
好美啊啊啊啊啊啊啊
肯定剪辑过啊
连头发都有灵魂
卧槽 太美了
完了 憋死了？
水中芭蕾？
想知道BGM
呼吸面罩
鞋机放铅块了吗
是3d做的嘛
这是做的嘛？！
我要是有这身材，洗澡都不关门
太猛了
这得把气吐出来吧
好美啊
好美啊
卧槽这个身材
我估计每一次下来吸的都是纯氧
把肺里的气全吐出来就可以沉下去了
让我想起了盗墓笔记
ilil
求bgm
吐点气 就能沉
