眼珠子好好看！！！！！
小荔枝好美！！！！！！你！我！的！神！！！！！！！！！！！
哈哈哈哈哈哈哈
双厨狂喜
俺们荔枝真漂酿
学到了(*^▽^)/★*☆
这个眼妆好好看哭哭求教程！！
小荔枝好漂亮～*⁂((✪⥎✪))⁂*
好美啊这个妆！！
好喜欢荔枝现在的发色
我真的好喜欢这几个发箍！！！
发量不允许我随意
你好美！！！
荔枝太美啦！
反手过去的这种辫子，我真的放弃了，手送你了
长头发也有碎发
荔枝好好看
up好美呀
求发饰！！！！
小荔枝的发箍都好好看啊，什么时候出一期分享吧！
哇，好棒！
扁脑勺慎！！！
我也是扁头，累了，会更明显
喜欢小荔枝这个妆
好美呀姐姐
姐姐 头发过少怎么办
表白bgm
没有及腰的长发这根本不现实（哭笑）
胳膊酸了哈哈哈哈
这发色真的好好看
这个官方教程是半开玩笑的吧（）
up背后也长痘
发箍好爱
好酷的发箍
已经开始痒了
我是长头发，到腰的，这怎么办？
已经感觉到发尾在戳我头皮了
虽然是开玩笑但是可以做到。。。
好棒啊！！！
提示，扁头不适用
那个，到腰的头发，它，过于重了（伤心）
路人啊 第一次看 头发长出来这么多粉色都没脱是什么染发膏。。球球啦
我……比你这还短
及腰的告诉你 及腰也不够长（明明我和约尔长度一样
痒+1
这一步有点像蝴蝶忍的发型教程耶
这个发色好好看！
真的不会散吗
头发太长掖不进去（悲
还真不是小忍的那种发型 小忍的发型是夜会卷
好看
救命，我根本不会短发编辫
这个哈哈 让我想到毛毛姐了
好家伙
是的
已经累死了
我的头发不听话
秃头星人羡慕
不会编辫子怎么办
有点道理好像
开玩笑的吧
有点道理好像
有点道理好像
开玩笑的吧
开玩笑的吧
开玩笑的吧
开玩笑的吧
开玩笑的吧
开玩笑的吧
开玩笑的吧
有点道理好像
有点道理好像
开玩笑的吧
开玩笑的吧
有点道理好像
有点道理好像
有点道理好像
开玩笑的吧
5
5
5
5
5
5
上嘴唇不会动诶
5
5
5
1
4
这个作者说是画着玩的没有想过有人会学
5
5
5
5
5
5
4
5
4
5
3
5
5
3
5
5
头发巨少的我哭了
4
5
5
5
5
5
5
5
5
5
5
5
4
5
5
5
1
5
5
5
3
5
5
我也是扁头
4
5
4
5
5
3
3
5
3
5
5
5
5
5
长发表示两种方法都不行hhhh
5
4
5
发箍好好看啊
5
2
5
5
5
3
5
5
5
5
2
5
5
5
4
好漂亮
5
5
2
1
1
5
2
2
5
5
5
4
5
4
3
5
5
不会编就去学~
bgm好评
耳环好好看
草，我前几年就是这样扎的
好好看
up这个妆太好看了！
如果光头怎么办？
男的呢？（虽然我不是男的）
那个珠链的发箍好好看啊
喜欢bgm！
我记得有人说，其实这一个是作者自己画着玩玩的，真没想到有人会真的做
扁头遗憾地退出了房间
手好酸不会编辫子呜呜呜
？长头发怎么塞？
作者这个我按第一种能做出来
没头发呢
鱼骨辫不会哈哈哈
哇库哇库
背上是什么⊙∀⊙？
光头可以吗（bushi）
完全一致！！！太强了
救命，这个教程好细！
刚剪完头发扎不了这个看到视频立马扎了谢谢你！！
已经散了不好意思
好看
《普通》
我头发不算太少，但是过于长了，每次都喜欢挽头发都很喜欢，但是不可实现
得了，首先三股辫就不会扎，还是乖乖鲨鱼夹吧…
美！
这样就很好看了！
我没看出来还有2种发型
感觉这种发型的话就会比较适合方圆脸，救命，梦中情发！
没有刘海的怎么弄啊
？不是分上下两份吗
基本上到这步我的头发就已经散了
前边头发过长的可以按漫画给的教程图搞一搞哈哈哈
光头建议直接带发箍
超短的能用大肠发圈嘛(●'◡'●)
我的卷不进去。。。
up长得有点像程潇诶
《干念》
有刘海就热了哈哈哈
好看
这个头箍可以戳死人吧
呜呜呜，有点后悔剪短发了
表白BGM
up口红色号好好看啊
梦幻联动！！！！
约尔旁边两掇毛不是刘海好么......
好难呐
学废了
长头发也会有碎发蹦出来啊！！！
头发长怎么办
up好美
感觉知世的发型也差不多
好漂亮
怎么回事 再看一遍
超长发表示怎么弄都失败…太长了…
梦幻联动！
死在这一步了……
好细致！
长发怎么塞呀
头扁不合适啊
需要头发
洗脑？！？？
我一个留狼尾的不配拥有这种发型w w w
up好可爱哈哈哈哈
我头发长到都到腰了，也没弄成动
哈哈哈哈谁会分不清上下左右啊
成了！！
眼睛有了没手
救命 为什么up的头发那么听话
有一说一，扎起来比散着先脸小
短发女孩狂喜
剧烈运动：kill people
同超长发
不会塞啊
光头戴假发ƪ(˘⌣˘)ʃ优雅
这一瞬间up有点梅芙的感觉
哈哈哈哈哈
呜呜呜呜不敢拉紧 拉紧久了容易掉头发
我的头发 断到扎不起来
这么多头发。。。。哭了
左边褶子更多（确信）
嘴巴咋了
这个视角爱了爱了
现在我们就可以扎一个马尾了（）
这不是短教程吗，长发换个看看？
同款夹子
我记得作者这个是开玩笑的
我不知道我这个男士头的为什么要看呜呜呜
前面的我对镜的时候就分不清上下左右
没有刘海怎么办？
荆棘王冠
“爪哇的朋友”
up讲的好细！
头发过短了怎么办
我头发前面后面不一样长，还特别厚。昨天下午试了没给我整麻呜呜呜
好耶
练手臂啊
粉色可以一直补色啊，这个颜色不补大概不会一直不掉
散了+1。我不会自己辫这么干净的三股
这种编法我不会
能不能严谨一点，长发到腰根本整不了好嘛？
所以长发不适用谢谢，请不要再说长短发皆适了
up好可爱
好好看
好好看
今天的发色太美啦
？？？？？怎么做到的
我看過好像有人真能做出來
长发过腰完全不行(;∀;)
事实上长头发这种根本塞不进去……
马了马了！
感谢up
前面的，光头可以买假发谁便折腾
很好看
但是肯定会散啊这样…
美瞳细节
我的头发太长了，不知道要怎么挽进去
塞不进去awww，可恶，头发太长了
喜欢这样细致的教程！
做女生真不容易
发量多加头发长的孩子表示还是算了叭，编完发现长太多了呜呜呜
好看
一个敢编，一个敢编 doge
长发根本塞不进去啊。。。
skm同款发型（？）
还有教程哈哈哈哈哈
up好美，发色好好看，头发好多！！！
剧烈运动：指杀人
Ed真的超好听 已循环
超长头发的话，为什么不试原版呢
2分钟？
我之前就弄过，没一会儿就乱
为什么不会散我的头发到这一步马上就散了
扁头可以改抓夹！
呜呜呜鱼骨辫永远都学不会
很简单的去学！辫子是弄很多发型的基础
她似乎想教会我。。。
这样也真的很想梅芙灵衣的发型唉，特别是配这个发箍
沙发骂骂咧咧地退出直播间
这发色配这发窟好像02啊
 不会编辫怎么办
救命，这个两股辫的编法么得看懂
我平时的发型就是带龙须的  可以说是自带龙须  可惜没有齐刘海
《正式场合》
最主要还是看脸
学废了
长头发表示塞不进去
不会了
前两天刚刚剪的头发，怎么不早看到啊
这个官方是认真在开玩笑的不用当真hhhh
鲻鱼头拔发四顾心茫然
看完视频再说话好不好，后面还要长发版，怎么那么爱喷
第二种长发可以的呀，而且能盘的更精致，我以前就做过
学会了，妈！
我是扁头，看来不适合我
是因为up好看
主要是因为up好看
up好好看!
