同款
这个我也有
念诗
我玩过
成功背下长恨歌
长恨歌我玩过，就是太少了
玩过
这个强推，特别是ios用户，还可以做成小组件
有的人上一秒刷着视频 下一秒就到了应用商店
皇帝生活模拟器
江西人狂喜
这个我下了
长恨歌超棒！就是太短了
这个玩过，很棒
安利 绘真妙笔千山
帝王模拟器哈哈哈哈哈哈
这个好玩！
ohhhhhhhhhhhh这个绝了！可以平板练习哎
西窗烛！！！
不舍得删的
古诗文网
我玩过这个
对，很不错
这个好
西窗烛还可以登录诗词之美。
朱由校模拟器
玩过，很不错
每日大奔
玩过！非常好！！
强烈推荐西窗烛！
这个真的好用哈哈哈哈哈
玩过折扇和匠木
这个超级好看
这个强推啊啊啊，画风真的绝美
看看我发现了什么不得了的东西
画境长恨歌，强推！！
这个好玩
哇哦
这个不错
去我的收藏夹吃灰吧！
折扇挺好玩
非常喜欢
西窗烛是真的好
学书法的表示以观书法真不错
我会看宋徽宗的字帖
画镜那个我玩过，画风真的漂亮
这个的确挺好的，有诗句，还有画，还有一些小知识
强推西窗烛下的诗词之美，全免费！！！
诗词之美真的好
一起玩陶艺，你们试试
我爱！
VIP
西窗烛绝了！！！我的初中回忆！！（现在大专了的）
匠木玩过
我的天啊，nice，宝藏up
有奔驰么
强推这个
啊这，浙江技术考生狂喜
以观书法超棒！
用了好几年了，陪了我4个手机了
玩过玩过，就是太短了
这个非常好看
推荐【榫卯】！故宫博物院的
这个真的好玩！
西窗烛和长恨歌！！！
爱了
长恨歌巨美！腾讯做了次人
西窗烛有错字哎
超美！！
这个行！
西窗烛！西窗烛！
喜欢西窗烛
西窗烛！
10+你值得拥有
纸嫁衣你值得拥有
滚去收藏夹吃灰
真的真的好棒！
长恨歌好评
画镜长歌很美
这个b站有
何当共剪西窗烛，却话巴山夜雨时。
西窗烛真的好用!
这个我好喜欢，用了好几年了
这个太难了我玩过，空间思维不行
都看见过！就是没有内存，枯了
好有质感
好家伙，长恨歌我前天刚下
这个我全款买了
这个免费，玩了不吃亏用了不上当
可惜收费，，，
朱由校狂喜
榫卯我玩的时候要花钱好像
哇！！！
绝了这个西窗烛
嗯 不想花钱
吹爆这个！！/
画境长恨歌！太美了！
