很好看
美
胡歌！
.
好看
用不起 古色基本上都是真金白银
胡歌胡歌
喜欢！
温庭筠yun第二声
好棒！！！
李必！
牛
？
太厉害了
梅长苏啊啊啊啊啊啊啊
光是名字就超美了！！别说配上实景了
牛
牛啊，这是真匠人
日本的颜色就是抄的古中国颜色 唉
好厉害啊
三连了
李必！！
太美了
名字简直雅美到极致
敬佩
有的人前1秒还在B站下1秒就到了淘宝。
好色之人
冲！
别人放什么你能管得着？
好漂亮的颜色
真的好美啊～
真是术业有专攻
我们的民族是很有美感和浪漫气息的
古人好浪漫
高级
woc bgm千本樱，梦幻联动！！！
首页通知！
名字都好好听啊！中华文化博大精深！
牛批
今天作文不愁了
深圳深业上城！
jun和yun都行
这这这 太棒了吧
颜色巨好看，名字巨温柔
有时候以为征途在星辰大海，美丽容易忽略的往往就在身边
BGM好评
苏先生！
我前阵子买了这本书，真巧
莫兰迪
太漂亮了
梅长苏！！
李必！
属于我们华夏的色彩
李必！！
秦
震惊！感动！！
漂亮
小李必
哇这个颜色真的好漂亮
名字就很国风
月白！！！
日本本来就是中国的一个分区
黎黄
哇
hhh，nb
鼓掌
朱湛 #95302E
书买了很久了
香皮 #DAD1C5
水龙吟 #84A729
香炉紫烟 #D3CCD6
凝夜紫 #422256
↓刚刚忘了换颜色，应该是#422256
海天霞 #F3A694
收藏收藏
太美了
这几个颜色名也很适合起人名
很传统很民族
爱了
希望可以有e3色值
应该是将落未落
首页通知，大数据知道我爱看什么。
我得走了赶紧去买书了
卧槽必买
我刚去下单了这本书
千里江山！
太漂亮了
李必小宝贝！
千玺！
这个bgm是什么版本的虞兮叹啊​
其实我觉得古代人的用色和妆容远比现代人大胆，感觉她们都特别自信。
中国传统色
好广告 心动了
好看
纁
大工程啊
！！！！！！！！
卧槽
真的好美
白嫖失败
李必！
我真的超爱这种底饱和色
口红色号版有了
呜呜呜学国画的孩子在这里表白藤黄！万能的颜色！
看过这本书，奈何没有细品
多讽刺
这是什么曲子呀？
地理学上叫晨昏蒙影
下单了
bgm是什么啊
等待只有红楼梦
苏哥哥！
宗主
有这本书！
开头的李必！！！
潘通再见
《千本樱》
大气
买了！！！
苏先生！
高级
400多
好好看
为什么查日本的？因为他们把我们的抢走了
李必！
这一堆绿好看
小白菜！
李必！
千本樱！
李必
好美
花青！我爱它
纁
啊这些绿色好好看
哇
我的名字里带个岚，突然就觉得很高大上了
文具搞起来
燻
我有！！
这是深圳的深业上城吧
牛啊 种草了
牛啊！！！
太美了
牛
抄抄抄，吵吵什么，能好好反思一下文创工作怎么进步吗
难怪我现在才知道
落霞与孤鹜齐飞，秋水共长天一色
我靠画画必备一吸即可是吗
太美了
又是这套影楼。。。。。。
啊酷酷
对，其实根本就不叫莫兰迪，就是传统中国色
牛逼
这不是中国色网站里的吗
烊烊
这些颜色看着好舒服
秦前玄为青色
自己文化遗失，说别人抢的？
在QQ看点和B站都刷到是我的本事
小红书和b站hhh
岚！！！！
太离谱了
太强了太强了
已经有了
哇啊啊啊好美
梅宗主
看到长苏进来了
好家伙，太美了
纁
yyds
买了买了
卧槽
差点以为手机响了
这里的bgm是千本樱的钢琴版，网易云：勿念他归
苏兄
梅长苏啊啊啊
给你点颜色瞧瞧
真的好美好美！
我的天，原来我们祖先装逼的境界远出乎我的意料
那是因为你是中国人，骨子里的审美水平早被老祖宗给推到了极致
文化
致敬
芜湖
bgm好好听
那么 哪里才买的到呢？
好漂亮
李必！入
想哭
太了不起了我的中华
这也太好看了吧
苏先生
暮光
纁
李必！！！
长源公子
在这里中日看到日就莫名的不舒服，哎
立刻下单了
神了  说着中国风   BGM却是千本樱
三连加下单
多讽刺，弘扬中华文化最好的不是中国人而是日本人
已经买了，真的值得入手！！都给我买！
哪里有卖
梅长苏梅长苏
道理我都懂，你为什么要放日本和欧美风的衣服呢？
听说作者用了很多日本色代替了中国色
好美啊
救。。。真的超级美
大众的审美要提高啊
那我们应该更加重视传统文化才对
 中国美学牛逼!
好美，绝！！！！！
平面设计师的我 高兴死了 买买买
这书得买
这不就是一篇作文吗
苏哥哥
我们这地名叫 岚山 送我上去
书匠
我也支持爱豆应援色选择，更好的推广
你币有了
66666
颜色好看，名字好听，源远流长。中国美学，世界之绝
我买了这本书
啊啊啊啊啊啊啊啊，长源公子
卧槽
以前的青砖多好，现在学人家红砖，又想整点儿不一样的，结果不伦不类难看死了
几十万件古物在日本。
二战时日本抢中国的几十件万件古物。
太好看了
下单下单
太美了。
有书籍吗？
我想买！！
莫兰迪是外国画家 
沉浸式教育太重要了
不是抢走，而是应为我们自己创造的某厂浩劫
我在哪个视频里看到过的………一条
高级
妙啊
直接淘宝了，谢谢
买他买他
国风千本樱是吧
好美
惊喜！开屏就见小李必！！
那就要说说日本怎么这么多中国古代典籍了
就冲着江户紫，显然早就偷成日本古代颜色了
好美～
精心
啊啊啊，我超喜欢这类颜色
文物：什么？我成托儿了？一定完成任务
还有RGB！！！马上下单
三连了
苏哥哥
江左梅郎！
学国画的时候藤黄和暑红总是不够用。。
小李必绝绝子！！！
苏哥哥
好看！
美学就包括一切与美相关的所有事物 中国古色就是美学的提现
好美啊
治愈
已下单
太和谐了好美
深业上城
建筑配色就别提了，到处都是假洋房hhhh
好浪漫啊
已经买了，孩子说很好吃
这些颜色美到心动，不仅仅是视觉上的感触，更是因为这是经历了数千年历史所沉淀的华夏底蕴之美！
牛
这怎么能叫抄呢？是我们没有将它发扬好呀
天哪太牛了
泪目！
买这本还送了一本日本配色
不说了，我现在就去下单
不，玄色是鸽子
楚国的吧
艺术生狂喜
好好看
厉害了
高级
走走走，去淘宝
中国这方面做的不好，好多好的东西没有挖掘出来，上一辈人只顾学外国人了。
拜拜了各位，淘宝见
苏哥yyds
好好看！！
这个好好看！
名字都好好听啊
群青！！！！！！
标题震惊：美国居然炸了
厉害
我记得有个网站就收录了中国传统颜色，貌似名字就叫做《中国传统色》，不知道是不是这个
老早就想买的书，有点贵，还没下手
真的好美 每个颜色都正中内心
美色扶神也 神毒也 你日本人也
好美的颜色
那么哪里能买到呢
嫣红好好看！
好家伙原来没有发扬好的就可以随便抄咯？没说不让借鉴，抄袭完了还说自己不是抄的因为你自己没发扬好我替你发杨，你得感谢我呀，什么玩意
李必排面！！！！
好美
不愧为华夏人，小的献上膝盖【抱拳】
就这几个词，就能给老外整蒙了！！
已下单
链接！！！！！
这个意义很大的
这是深圳吗
爱了
苏哥哥！
苏先生！！！
千本樱好吧，日本歌曲
我还真想要这书
爱了爱了
想要RGB值
立马打开淘宝
国朝风
不说了 买书去
买买买！
中国色， 好书啊。
只有天子才能穿
婚服
全是日本抢去的
这本书我有！
有什么讽刺的，日本不入侵这种东西他们怎么宣传？
隔壁有个国家正在摩拳擦掌
中国的春夏秋冬都各具风味
我们现在对艺术的重视太缺乏了
也有阴阳的意思
我已经打开购物软件了
是颜色，也是诗
李必！！！
啊，我有这个的明信片
大国工匠！这就是匠人精神
我在岚山区 日照市的一个区
可为什么在日本看到了，因为他们宣传得好，保存得好，这是我们值得学习的
这些都是中国色 而不是什么莫兰迪色
我又心动了
之前买了一本马未都的瓷之色
我心动了，看完视频马上去
江户紫。。。又被偷了
看不够啊 这么快就要结束了
我买了这样的两套笔，晨光的
琼琚
青青
必须买！
马上去买
我们的颜色有别人理解不到的韵味和文化积淀
已经买了两本
鹤唳华亭的道服感觉要比清平乐美
太美了，等书来哈哈哈
买了，来个链接
绝了
买了买了
废话多的人，就是什么都不干也干不了的人！就一张嘴没事就出来恶心人！不用理！
太浪漫了
bgm千本樱
不明觉厉
淡雅的颜色不是热烈但让人很舒服
青，取之于蓝而青于蓝
CAOQILAI
灭
现在一本书的广告都如此高大上
香炉紫烟
丁香紫
好看极了啊！
中国颜色是带渐变的
我给我妹妹买的衣服就是驼色
真的好看
此生最爱群青
藤黄yyds
好漂亮
买了这本书！
靖安司司丞！李必
ohhhh
一道残阳铺水中，半江瑟瑟半江红。
牛啊
买买买
太棒了！！
原来我喜欢故宫配色真的是有原因的！
曙红 花青 藤黄！！！
忽然不觉得霞字土了
呸 野猪皮
晨光有一个彩色中性笔系列的颜色名字就是用这些中国古典名字命名的 都超级好听 听着就特别想买
我有这本书！配色超级好用！！！
woc
你给我推荐书了，这就去买
晨光和中国传统色合作的那个笔有些没有百分百还原，难过死了
李泌！
好美
有个网站专门是中国色
我女朋友买个一本，我好慌
紫薄汉
古人好浪漫啊
名字高级
在申了在申了思密达doge
古代其实不是很干净的，可电视剧里好干净.....
李必！！！
原来日本才是真的爱国呀。
尴尬了我哥叫郭浩
泪目
苏哥哥!
买买买
赶紧买起
苏先生，苏哥哥，小殊，梅宗主，梅长苏，林殊
玄色是黑色吧
买了一年了
厉害了！
我爱中国
还不是因为倭国侵华战争掳掠我们的文物古籍，烧咂抢。不然有他们的份？
李必！
真美的颜色
入站必看啊
李必！
黛蓝！梅长苏！！！
苏哥哥！！
梅长苏！
JD原价三百多，学生党爆哭
在大同
中国的对各种颜色的命名。
从日本复原中国，啊哈哈哈
中国颜色无敌
李必
李必
我的小李必
这算是打广告吗
这些古典色的名字就很高级
远峰蓝！！！！！！！！！！！！！
这本书还是算了吧，满本扯书里的引文，色卡里一堆自己脑补的颜色
你怎么知道我暂停去下单了
苏哥哥！！
真的很美！！！
好看！
鬓云欲度香腮雪
爱了爱了
是否算偷 难道不应该反思自己为什么能让他们偷走么
下单去啦 赶紧的
哈哈哈哈玄色是鸽子那个站住
bgm是什么？
蓝色好好看
下单买书去了哈哈哈
背景这不是日本的云纹吗
梅长苏
哇，这个姐姐的眼睛好美。明明不是高饱和的颜色但是亮晶晶的
有些人看着看着就去了淘宝
彩
绝了，买了
真好看
纁
厉害
！！！
摸过实体书！
我有。我買了。
名字都好美啊 
值得
西西弗书店 看到过
古人的审美太绝了，永不过时！
BGM是虞兮叹！
我要淘宝链接
买了古色之美
苏哥哥！
BGM是什么啊
下单下单
千秋功业
叹我国大好河山美如画！一定要保护好她！！！
太好看了吧
海天一色暖
我去我去这里还能看到千玺弟弟！！
太美了太美了
我一直以为水龙吟是深蓝诶
哇，好漂亮
光听名字就很有韵味
在买了在买了
淘宝见
光速下单
永远不要质疑老祖宗的审美
牛啊，这是真匠人
前面的，什么我们没有发扬好，日本侵华时从我们这儿抢走了多少！！！
是广告我也认，得让更多人知道，用起来，才能传承
致敬
""
