真的好美
骗局？我觉得她是真的傻
查尔斯上辈子做了什么？
太难了吧，这婚姻生活
民众的王妃
好美，好飒
喜欢
这个明星是白宫按戴安娜要求请来的
对卡米拉也是真爱了
hh
戴安娜声音好好听啊
复仇女神
翻身奴隶把歌唱
哈哈哈哈哈
查尔斯当时就跟卡米拉有私情，但卡米拉已经结婚了
美
美的啊
好美啊
好喜欢这套裙子和照片
渣男出场了
这条裙子好有名
好美啊
这很经典
泡泡袖真的好好看
好美
仙女下凡来了吧
？？？
What ？？
？？？
这烟熏眼妆真好看，哈哈哈哈
查尔斯真的很渣！！！
渣男吧
时尚潮儿
好美
查尔斯真的把渣男做到了极致
自信美啊
好美
离婚后好飒
好美
天呀，这是天使么
知子莫若母
救命，王妃声音真的好好听
颜值真的好美
绝了这套裙子
在当时这件裙子非常可以了
我好喜欢这套裙子
睡美人啊
睡美人
就挺惨的
年纪轻轻要经历这些
笑容好美
好美好美
81年的审美也太好了吧
这颜值我爱了
好美好美啊
超美的
啊啊啊，好喜欢
是天使啊
唐顿庄园bgm
还别说，这王子和卡米拉长的还蛮像的
bgm我的爱
唐顿庄园
唉
这个捧花好梦幻！
好美啊，美人
查尔斯真的是，渣男
？？
好暖
可是我真的觉得这条裙子过于甜腻以至于老土…
还是复仇小黑裙最漂亮
懂了。不能结婚
是大臣的老婆？？？
战裙
别人的20岁
泡泡袖只合适小头
唐顿的bgm
天使啊
唐顿的bgm
声音好温柔
啊 唐顿BGM
啊啊啊啊
漂亮
想……好丑
也是可怜人
我第一反应也是拥挤
若有国丧，天下皆知哈哈哈哈哈
草
讲真女王是真的管不了了，能管早就管了
查尔斯本来不喜欢戴安娜 就是骗她结婚 所以说戴安娜 是真的惨
太牛了
好帅
女王也没什么具体办法啊
NB
吃人
也就那样
吹
天真
她也不好看
没事觉得高级
这条我超喜欢
当时我很小，只记得走都走不完的红毯 
救命，真的好美
我靠
哈哈哈哈哈哈
她确实是来参加葬礼的
我觉得她仪态不好看。。。。有种萎缩的感觉
前面“不被爱的是第三者”你是小三本三吧我靠
干得漂亮！好美啊
又是这个卡米拉
钮祜禄·戴安娜哈哈哈哈哈哈哈
哎老男人
为什么。。的原因，是病句
她真像童话里的公主，太有童话感了，不仅美而且气质纯真单纯
美！
那个瓜皮小三是真的不好看
女王真没用
后面小姐姐惊艳的眼神
好温柔啊啊啊啊
