太好了吧 
牛哇牛哇
nb
第一个投币的
感谢感谢
666
牛啊牛啊
这个功能太需要了！！！！！
牛啊牛啊
牛啊
牛啊牛啊
太矮了吧
爱
牛逼牛逼
牛啊
6666
白嫖失败
我要币何用，投
太强了这个
可以按期刊阅读么
牛啊牛啊
 牛啊太便捷了
牛逼啊
太牛逼了吧！
币拿走吧你
？？？？请问有英文版吗好想介绍给同事牛逼一把（县】
牛啊牛啊
牛逼
ohhhh)hhhhhhhhhhhhh
好！ 
爱了！！
！
牛啊
这会不会被知网搞啊，做得那么好
nb
这个可以！！
投币了2次！
nb
这个牛逼
收藏了
太强了
厉害
太牛逼了救命
好棒
大半夜 我自言自语 顶你个肺
支持支持
太好了
妈呀，太强了！！
牛逼牛逼
这个好
太强了！！！！
nb
牛逼
绝了啊哥们
太棒了兄弟。我们做machine learning的时候没赶上这个好东西！
直接三连好家伙
ohhhhh
采集这么多，刑吗
6666
有土木工程嘛？
好！
好！
Wa 
痛点功能
666
太强了
66666
填补空白了属于是
wow
6
up牛批
厉害
码了先，等我考上研再用
太强了
NB
牛啊
好啊好啊
抢知网饭碗
牛
币都给你了！
看起来跟sci界面差不多啊
辛苦了！！！
爱了爱了
卧槽
一键三连当股东
66666
牛逼
怎么界面像b乎
这个好！！
必须赞
NB
nb
太牛了！！！！
6666666
用的人越多文献就越多
牛！
好强啊
三连
谢谢大哥们！！！！
好耶计算机！
好！
牛
ohhhhh
我天
牛批！！！
要火，先插眼
!!!!!!!
刚好需要！
太好啦！
投币支持
sci            hub?
强
好耶！
牛逼
太爽了，22上岸之后就要用了
存了
粉了粉了！牛逼牛逼
一键三连
好耶
《您》
NB
牛，牛
好人一生平安！！
牛逼
三连了
您
竟然没有版权问题
太牛了
这必须一键三连
免费的么
免费的么
66666666
感觉很多文献都看不了啊
太可以了，哥们儿！[那兔_好滴]​
啥也不说了，感谢感谢
您！
白嫖大佬上线了
和我无瓜
66666
太厉害了
赞赞赞
反手就是一个大赞
