关上前十的大门
来了来了
这丝滑刷新
面板
比昂比昂面
好厉害
第一芜湖
所以某些计算机老师说的一个汉字占两个字节就是扯淡
那不是玉字旁?
长知识了
黑块吧。。。
biang！
卡其脱离太！
涨知识了
专业，太专业了
融
盲猜一个黑块
斜玉旁
所以那么多字体每个字体的透明度是多少？
卍？
强
？
玉哪有做做偏旁的时候
雅黑都20年了？爷青结！爷真青结
螺旋丸
髏磡龘艷鐵
啊Q竟在我身边
哇热乎的
估计千分之一的透明度
而且省油墨
花园明朝！
来了来了
65535好熟悉的数字
那个是提土旁
看到了丑了。
隐隐约约看出一个杠
可这是简体字吧 繁体字呢
怂
人均阿Q
大致结构一样
biang
危“汉字是韩国人发明的”危
能想象得到，其中的一句话需要做多少统计。
这个阴影看起来好像biang
牛呀
这个对比有意思
专业
王字做偏旁大部分就是代表美玉的意思嘛
擓
有斜玉旁的好吗
国强民安
租
666
好像稳字啊
应该是提土旁
丑字极其突出
国强民安
看起来像玉玺的“玺”字
呼呼呼
得到黑色方块
世界是韩国人的，韩国是中国生的（doge
OHHHHHHH
黑
那你想象错了，大多数的话都是早就已经有的结论，不需要自己再做
这个之前讲过了
像一个biang字
捷（
厉害
雅黑好看
怂
这是玉字旁
有点像走之旁？？
方正：你懂我意思吧？
这不是打码？
哇
不是玉字旁，是斜玉旁（doge）
Font Family
biang瞩目
方块字的框
更了更了更了
看出来了，是biang
我以为自己卡了
要不是有字幕我以为自己卡里
斜玉旁
、】
那月字旁岂不是肉字旁
黑方块
韩国人是不是又要震怒
日文果然很圆润啊
热乎
up主你太牛逼了。
那么英语有多少个单词呢↑
黑蛋
666
我觉得会是一个正方形
太强了吧！！！
我姓蔺，这个看起来像蔺
热
莲
莫名好爽(doge 
这期工程量巨大
对啊，它是马赛克~
扡
扡
思源宋体真的不戳
这个实验太有趣了，还有价值
biangbiang
德
看着像 biangbiang面的biang
分析能力惊人
佃
一团糟
弹幕呢
还是隶书最耐看
这个实验的作者是3type工作室曾祥东老师～
///////////
汉字也符合黄金比例耶
二维码
我平常在b站用的默认弹幕字体就是微软雅黑，没想到
江永！！ 永州！！！
正方形的黑块
就是二维码的诞生
㧟
好像繁体的面
tql
会看到一个大大的正方形黑疙瘩（doge）
莲
热乎的
up猪辛苦了
同等级的怪兽有60000个，要来了！！！！欧巴类！！！！
2296
神奇
有意思
佛
祖
扛
ohhhhhhh
两小时太热乎了 
地？
不敢相信居然对着一个黑方片讲了三分钟，我仍然津津有味
日文还是很好看的
地，怎么看怎么像地
徨
66666
怎么没人看
圆圈
冷知识
热
biang
学到了
烫烫烫烫烫
我一个不懂的人为什么要看这些东西啊，奇怪的知识增加了
看着好累的视频
纯黑的吗？
好有意思哈哈哈
牛逼了
一个黑点（确信）
来了！
痰
其实是叫斜玉旁啦
柜
65535，两个字节能容纳的最大二进制数量，每个汉字刚好能够对应一个二进制编码
一片乌漆麻黑
珏
确实有点像繁体
不管怎样都很 方 正
会看到一个黑块
biang
像一个壁虎趴在墙上
难道不是汉字好看日文才好看吗
牛逼
牛的
汉语言研究生论文？
我姓口 这个看起来像口
方块
思源家族yyds
3个小时，热乎（bushi）
感觉像个胸片
好像叫斜玉旁
茫然，讲的听不懂
太强了
我眯着眼看了半天，越看越像龍
就这一个乌黑的块块讲了七分钟
一坨黑也能分析出真的多 厉害厉害
把所有的笔画叠一起不就行了
确实都很方正哈哈哈哈
中国文化太强了
114514
这些就很圆润了
2的16次方，还有一个补码(
进
思源宋体是我看kindle常用字体
小
看起来像熊猫头表情包
偷国震怒
捷
薙
熊猫头
一个黑方块
很有意思
1个方块
天哪，根据这个可以好好练字
麵
宇宙国人民震怒
走神了。。。
草字头始终瞩目
苹果输入法你打完字去找部首 里面就是写的玉 但平时不必这么较真吧
籠靇擓擓
黑色方块。
《通用规范汉字表》一级字3500个 从“一”到“唁”的难度 中考考纲内
好家伙一个黑块整整讲了七分钟
擓
大黑块
绝了
会看到一个黑块
薤
《只   有》
这个动画做得很好看
就你戏多，根本没有弹幕说玉字旁！
好牛啊这个视频
我似乎看到一个“担”
HanaMin即花園明朝體，并没有HanaMinC~
彦文叫法比较正规
《康熙字典》收录共计47043个字
biang
黑色方块
满分毕业论文
热
井田制
趟
擅
好硬核
biangbiang面
区
口
西夏文字体猜想是 new Tangut Std
辶
黑的啊
特别喜欢思源这俩字体
捆
捆
看白色区看出了一个解子
死....
放肆！我大韩冥国万物起源！！！！
如果一个上下结构字非常深，整体就会变上下了
一个黑方块
电子云
走之底很明显
西夏文？
一个黑色方块
强
我怎么感觉在知乎看过这个？
4500人观看 533条弹幕 太真实了
这不是日文的
好家伙
走字底和之字底
汉仪苏泽立
浊点是日文中，浊音和半浊音的标注两点
仁
扭
啊~
神似熊猫头
仁 仁 仁 仁
奇怪的知识增加了
3500常用字
hahaha哈哈哈
←作动词时可以读gei
雍
WOW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
