静静加油！
三连！！！！！
好好听听了很多遍每次都有新的感受
三连走起！
三连三连！
111
突然让我想拿起很久没用过的吉他
阿桑本桑？
三连走起！
喜欢的朋友们给个三连吧
很好听
好汀
好听好听！
唱的很有感觉
太好听了
爷青回
这次一定
我这首歌听了四千多遍
我喜欢这首歌
我好像理解错了sorry
想起月如的付出，牺牲自己
小姐姐真牛
再一次三连
这应该是李逍遥 赵灵儿 林月如 酒剑仙 阿奴 唐钰小宝
一首入坑
下次一定
能给你同一个作品两次三连是我永远的荣幸！
当年的仙剑啊
兄弟们，一键三连，谢谢。
哭了
上午听，晚上没有了，看了直播，知道原因，特意补上三连
唱的像原唱一样好听
我真的爱上你了
好听好听
好听好听
好好听啊
好美噢
为什么你在发光
棒棒棒
简直就是原唱
月如
她好美！
好像原唱声音啊
吃到老玩到老
up有点像阿桑
长得像我一个同学，米丽儿是你吗？
我特么进来就三连！
重投你还是热门
十年之约，永世不忘
三连走起
给了给了 超爱这首的^_^
应该是林月如，李逍遥
棒啊
忧伤
好温柔啊！
这么多年过去了，每次听到这首歌，就会不由自主的难过，年少的感情即使放下了好久，可是身体还是会难过
我一度怀疑up是原唱
一键三连了
冲冲冲宝贝mua～
好听
有几个人还记得阿桑
好听
神仙？
分手了，她太累了
三个人的爱情就...
之前好像还是她
好听
好美的歌声，怀念
为了黄嬿璘，关注一波
百分之95的还原度
怀念阿桑，怀念赵灵儿
哇咔咔
有内味了
好家伙，还有合声
该死我管不住我的币
泰勒啊～好好听
果然 好的 吉他 真棒
王冰冰
好听！
此币献给阿桑
很怀念啊
送你上热门
赵灵儿林月如李逍遥
莫失莫忘
这神仙up我怎么才发现
爱了
好像原唱，最喜欢的一首歌，怀念阿桑
开口跪
喜欢林月如这样的女孩
泰勒
投币投币
喜欢
爷青回
莫名觉得长的好像林忆莲
想起了她
对不起，我们始终没有能走到一起
梦回仙剑
再来亿遍
开口跪
币给你就是了。
声音好听
感觉再也不会爱啦
好难过
好听！
up的吉他弹得很好
起鸡皮疙瘩了卧槽
哎，林月如啊
记得
版权问题？
开口跪
好汀
妈呀，阿桑复活
我的乖乖，还有和声
太好听
爱了爱了
谢谢你
谢谢
我这该死的无处安放的硬币，不要也罢
诠释的很到位。
太好听啦
完美
好像阿桑啊
对不起，明天过后我们就分手了
入粉，谢谢你的歌声。
好听
仙剑一林月如
神仙音质
三连给你了
好听
宝藏up
暗恋方文山，但是方文山有主了，就写了这首歌回绝。
我丢。。
有点像王冰冰
我恍惚了，阿桑好像回来了
关注了
弹得也好
锁妖塔
这首歌写给林月如的
推荐上一首，别忘了带上耳机
好美的声音
她唱歌还是那么好听。。。
啊啊啊i了
好温柔的声音
爱了爱了
这句歌词绝了……
三连
太好听了
唱的好温柔啊
好琴配好嗓音
出道吧！
厉害厉害
开口跪
好听诶
阿桑在世
知道这首歌的时候还是06年，时间过得真快
投币比点赞多
阿桑本人吗？？？？
爷青回
爷青回
好听舒服
这次一定
ohhhhhhhhh
点赞和投币一样系列
阿桑真可惜了 叶子 寂寞在唱歌我都好喜欢听
浮生有梦三千场
好听
李逍遥其实喜欢林月如的，但是他不能辜负现在的灵儿
三连了
明明是三个人的电影，我确始终不能有姓名
神仙啊
李逍遥
果断关注了
这词真好啊
不如叫，亿如
三连支持啦
up不留刘海的话气质一定很好
三连
听了想哭
英年早逝
好有味道 爱了
我也来个弹幕
爱了
DNA动了
想给10个币
这次一定
阿婆厉害了
uo主很像我前女友
这声音就是爱情的声音
我币没了
梦回仙一，泪水湿润了眼角
全程看手
感谢up主！
我要这币有何用
这次一定
麻了
爷青回
长得有林忆莲的感觉
给你的爱一直很安静
想哭
月如真的是，哎
月如真是意难平啊
阿七
我们很有夫妻相
好棒
开头用的什么软件
明明是三个人的电影 我却始终不能有姓名
不错啊
声线真有阿桑内味了
开口跪
有一次小说看到的
必须三连，这是永远的情怀
对于你这种人，我从来就不缺硬币
突然想起那个女孩
开口跪
好听
你肯定还是喜欢听着歌，只是我听到时只能回忆你
分手的理由有时候很动听
鸡皮疙瘩掉了一地
唱得好温柔，好好听
泪目
三连三连！！！
❤️
太棒了
感谢up主唱那么好听的歌
唱的好棒，爱了
好美的歌声
太太太好听了
太棒了
现在楼上在装修，听这首刚好
该死我管不住我的币
绝啦
气息太稳了吧！慢歌气息很难啊！
真的不是原唱吗？呜呜呜
林月如是小三吗？
悲伤的时候我安静了
很好听
已投币
+
老婆老婆老婆
好听加加一
什么APP
好听
福乐小哥？
原来缘分是用来说明，你突然不爱我这件事情
好好听
真的很好听，爱了
是。阿桑吗？
手好细呀
泰勒
再来亿遍
方文山永远嘀神
倒数第一打卡
陆欣悦~
原来缘分是用来说明 你不爱我这件事情
好听有内味
爱了爱了
月如可惜了
这个打光好绝～
这把琴声音好干净
好听
啊啊啊啊啊啊啊啊啊
好听
有点像冰冰。。。
听这首歌总有一股莫可名状的感觉
已三连
全是感情技巧拉满
真的开口跪啊
666
哇哇哇！
好听
好好听啊啊啊啊
出道了你就得开会员才能听了（滑稽）
已举报，用原唱骗网友233
真好听
开头见
爷青回
被小电视转发了，给我火
歌词好伤感
好有质感的声音
逍遥哥哥
灵儿
我想和你认识一下
忘不了赵灵儿
很累
一首入坑
好听
心间花既逝，万般皆故人！
再来一次
想念月如
灾后重建
不是写给林月如的。
可以
重投了，我再发一次弹幕吧！
哇哇哇，阿桑转世
哭了
太好听了！
重投一次硬币
听哭了
情怀
到位
好空灵
流弊
众所周知，三角形是最稳定的结构
前面分手的兄弟，我们抱团吧，心痛
方文山牛逼！！！
up主是不是在播放原唱
逍遥，灵儿，月如，晋元，阿奴，唐钰
逍遥哥哥，蟹蟹你
臭蛋
好听
别拿原唱糊弄我
