没人吗？太厉害了吧
最爱您的沙画
好强阿 
tql
没有弹幕？？？
太厉害了
哭了
牛逼
收下我的膝盖
这是个有灵魂的沙画家
哇哇哇
好厉害
经典镜头
火钳刘明
好像啊。锅炉爷爷。
留名
神仙吧！
握草烟头烫手了，看呆了
现在沙画都是彩色的好高级!
太完美了
怕是个神仙
6666
哇
厉害了
好看不火
火钳刘明
什么神仙沙画
厉害。
活！活！活起来啦！
火钳刘明
火钳刘明
厉害
3795
14
14小时前
太强了
沙画都是大神
火钳刘明
神仙！！
火钳刘明
太厉害了吧
我的妈呀
这幕太美
爱了
我爱了
哇
厉害厉害厉害
牛到不行
神仙
下面打喷嚏的是魔鬼吧，，，，
是真的太厉害了，请收下我的膝盖，大佬！！！
这个白龙好温柔
大神啊
跪了
我爱了，请收下我的膝盖
自古B站出人才
火钳刘明
厉害
啊啊啊啊啊啊白龙TAT
小千不开心
真的赞
摩拜一下
神仙
这也太厉害了吧
这也太厉害了趴
这是画的吧。彩色的沙画？
神仙右手
神仙
都是看的太入迷了
赈早见•琥珀主
跪着看
无话可说，太厉害了
好帅
n b
细节好棒
沙画
好神仙
厉害！
这里真的太还原了吧
神仙神仙
神仙
突然觉得白龙发际线有点高(ಥ_ಥ)
这每一幕我都舍不得擦
连透明的身子都这么还原!
哇!
活了活了
哇!
666
请收下我的膝盖
赈早见琥珀川
人生第一条弹幕献给作者
太厉害了
无脸男还没出场？
沙子混在一起不太好分呀？找个灰姑娘来干吧
用沙子都有这么强的表现力
厉害了！！
请收下我的膝盖
牛
神仙大佬
彩色的沙子？不是用一次各种颜色就混在一起了么？
会火的！
一次性沙子
我一直以为白龙是女的。。。。
强啊
火钳刘明
辛苦了！
神仙
妈妈沙画会动了
tql!
神仙吧
天哪，神仙
太厉害了
干得漂亮
火钳刘明
火钳刘明
妈呀太厉害了
太溜了吧
夭寿啦，次元壁炸裂啦
我跪了
经典
辛苦了
大佬跪了
所以白龙只是骗千寻以后会遇见
爱了爱了
瑟瑟发抖，不敢发弹幕
卧槽
开头见
w太帅了
火钳刘明
无脸男出来了
别以为我不知道千与千寻是用沙画做的（超级滑稽保命）
真的厉害，三连收藏了
哇
神仙！！
谢谢你UP主，也辛苦了
火钳刘明
妈问跪
彩沙也太6了吧
文化受限的我，只能说卧槽了
很还原啊
妈呀太强了吧！第一次看到彩色的沙画！
太牛了吧
什么神仙！
woc
这是什么神仙呐
厉害了  太强了吧
巨佬！！！
颜色混了怎么办，重新上色嘛?
握草。。神仙
火钳刘明
看哭了
好看
好强
火钳刘明
我还是喜欢无脸男一些
硬币给了，致敬实力派
币比赞多
妈呀
这是什么神仙
他居然忍心擦掉，是个狠人
好看不火系列
要这硬币有何用
不点赞，对不起良心。
大神
666666
火钳刘明
神仙！
看的我鸡皮疙瘩起来了！
神仙神仙
形抓的太准了
神仙
神仙！！！
玲姐姐喜欢
66666666
后来的一边去，这没地方让你跪了
我丢！
神仙
牛逼牛逼
收下我的膝盖
太厉害了吧
经典了
胖虎?
超级超级超级爱 神仙
太厉害了
666666
太厉害了吧！
up牛逼
这个透明的感觉超棒
神还原
火钳刘明
彩色的竟然
太棒了
你们快快投币，愣着干什么
我要杠一波，这要多少沙子啊
好厉害啊
一身鸡皮疙瘩
大神！！！太好看了！！
神仙！！！
啊
卧槽！牛逼！
神仙的手！！
太强了，真的太强了
你是神仙吧
火钳刘明
妈妈问我为什么跪着看视频。
神仙神仙
白龙
卧槽。，快看 神仙
以前我一直觉得白龙是女的
原来我真的是给人类充数的
右边银色战车镇魂曲
辛苦了
啊啊啊啊啊啊啊啊
求BGM名字啊啊
火钳刘明
我死了
太强了
什么神仙
跪了
一开始认为白龙是女的的等等我
神仙吧
三连了
妈呀！神仙画画
神仙   膜拜
我小时候也以为白龙是女生
火钳刘明
太强了
铃也是个好姑娘啊
迟早会火
哇哇哇哇哇
神仙下凡辛苦了
这技术也太好了吧妈呀
哇哇哇！！！
妈妈问我为什么跪着看视频
好厉害啊
颜色混了基本用不上了吧
神仙下凡
素质三连
强无敌啊
妈妈次元壁破了
神仙
彩色沙子浪费大
这些沙子画过一次就没用了，颜色都混起来了
惊了，太棒了
神仙up
膜拜大神！
火钳刘明
媽，快來看，這裡有神仙
厉害
牛批
琥珀川
锅炉爷爷简直了
快看，马良来了！！！
再看亿遍
彩沙画完一次会混一起变成棕色，可以当单色练习用
666
彩沙颜色混了久了后会变成一种颜色，没有上色一说呀
乌鸦坐飞机！
牛批
突然泪目了
常来凡间走走啊
辛苦了
神仙
膜拜巨佬
琥珀川！
火钳刘明
辛苦了
woc这色调太厉害了吧
神仙up
我也以为是女的
递茶
硬币给你
(⊙o⊙)
神仙啊
神仙up，真的辛苦up了，不过好感动！
跪了
[stick finger]
钢铁手指
致敬宫崎骏
神仙up主，粉了粉了
大佬收下我的膝盖
up主牛逼
大佬太强了
