第二耶
就一句话:漠叔nb！！
洛克王国bgm？
感觉好奇怪。。。
哈哈哈哈哈
全部投案自首了……彻底拉低了犯罪分子的幻象形象
叔NB!!!(破音)
前排 支持漠叔
点赞！！！
最后那个小伙子还是值得挽救的
哈哈哈哈哈
隔着马赛克看他笑
好棒啊
ARMY?
知错能改，善莫大焉
哈哈哈哈哈哈
五分钟
漠叔咋就这么nb
我们学校上课铃啊……
你这还犯法
广西口音！绝对是！我百色的！
法医
hhhhhhhhhhhhhhh
粉丝
这下面是什么？
是自首之后，出去才看的
太早了没弹幕
罪犯：你以为我想自首，还不是因为跑不掉
警察
哈哈哈
牛B啊 漠叔 
九分钟前
前面的，好巧，这是我们下课铃
无人吗
牛逼
这涨粉速度，好吓人
漠叔是法医
诛心
哈哈哈
哦哟
[滑稽]
完了…
小伙子，来b站吧红红火火恍恍惚惚
哈哈哈哈哈哈哈哈哈那你很强啊
真的硬核
23333
硬核
12分钟前
漠叔牛逼
连罪犯都是大漠叔的粉丝。。
是个高手
好好做人啦
哈哈哈
车厉害
哈哈哈哈哈哈哈哈哈
哈哈哈
飞行员，赶海，法医，警察，潜水员，漠叔的传奇人生还在继续
哈哈哈哈
好好做人
希望政府多一些漠叔这样的人
水滴眉
漠叔身份一直是个谜
切格瓦拉口音
自首不会被拷？？
哈哈哈哈
哈哈哈哈哈
18分钟前
牛逼
只能做这些才能维持得了生活这样？
看你们干啥，我好跑
现在看着也不像阎罗王啊哈哈。
哈哈哈哈哈哈
警察
打工是不可能打工的，这辈子都不可能打工的
前排留影
反悔。哈哈哈哈哈
91
声音怎么有点像鸡中霸王
hhhhhhh
哈哈哈哈哈哈哈哈
哈哈哈哈哈
哈哈哈哈
～
上课了
知己知彼才能百战百胜
好逗
哈哈哈哈哈
hhhhhhhhhhhhhhhhhhh
切格瓦拉
噗
好前
好欢乐啊
31分钟前
nb
13万粉了。
漠叔偷偷给自己点赞
哈哈哈
那个笑是做了错事带点不好意思的笑，我也会这样
漠叔你火了
涨粉好快啊，我来的时候才1万多
特警
冷静凳
tql
我是1万后
哈哈哈哈哈哈哈哈哈
铁粉降临
漠叔真的强
确实少
漠叔涨粉速度惊人
所以他到底是特警还是法医
温柔？
哈哈哈哈
阿米？
nb
上央视了 这个厉害了
刑侦特警
哈哈哈
02年的女孩？
哈哈哈哈哈哈哈哈哈
