噢噢噢噢
来啦来啦
来来来
来了
~
一分钟
一人承包
好耶！
来了
禁止好耶！    好耶！
热乎
热乎
三厨狂喜
好耶
一分钟
热乎
啊啊啊鸟的rap!好耶!
哦豁
好耶！
喊八嘎好平（bushi
来了
霸屏
起鸡皮疙瘩了
这里小天使不够平呀
来了来了
好耶！
憨憨体质
2分钟好耶
好耶
好耶
帅
热乎
来了
来了来了
好耶
三厨狂喜！！
好耶！
来了
好耶
太帅了！
好耶
心脏骤停
帅！
鸟味rap
奶味十足
ohhhhhhhhhh
红眼睛 害怕
两只小朋友奶酷奶酷的！
哇
一分钟！！
好耶
牛啊牛啊！！！！
啊啊！看到料了！
三分钟，还热乎
来了来了
承包空屏
三分钟
三分钟热乎
太棒了！是鸟憨联动！期待了好久啊！
好耶
五分钟
好耶
有点reol的意思了hhhhh
这个pv好耶！
好耶
来了来了
来了来了
好耶
4分钟，好诶！
出息了，认真听忘记抢楼了，太好听了吧
发个弹幕见证当下
心脏起搏
四分钟还热乎
suai
好听！
我好爱鸟的咬字，可爱！
奶酷奶酷的，好耶！
4分钟
少了一个g
好听绝了！
五分钟！！！
四分钟热乎的！
好耶
爱了爱了
3分钟，热乎！
唉呀!好听
2分钟
报道
憨憨体质
好听
好耶
妙啊
心脏骤停
憨憨帅到了
帅~！
来咯来咯
好帅
五分钟
这版本可以呀
心。。。心脏骤停？
憨憨体质
帅的！
鸟憨天下第一！！！
好耶
老婆！
五分钟
好酷
好耶
 Stop thinkin bout it
6分钟
 Stop thinkin bout it
好平（
鸟憨贴贴
来了来了
 Stop thinkin bout it
好
人呢？
憨憨！
弹幕呢
哇
7分钟，烫手
好耶
停止思考
前排看完
庸人自扰
太棒了
好耶
双厨狂喜
七分钟
奶味十足
啊啊啊啊啊过年了
好耶
这句好好听
来啦
好听
八分钟，烫手
!
好耶
太帅了
心脏骤停
是联动，好耶！
好耶！
8分钟
出息了！！！！
好耶
？？？？？？？lllllll？？ll？lll？？llll？lllll？l？llllllllll？llllllll？l？？
奶味十足
跪求网易云！！
好耶
热乎！
好挨八分钟
好耶
双厨狂喜！
我死了这段
八分钟，乐虎
PV好棒啊
见证当下
好耶!
热乎
好耶
好耶
好耶
我不行了鸟憨的歌声配起来太绝了契合度好高
爱了爱了
好听到裂开
好听！
173nb
8分钟
心脏骤停
来了来了
热乎
哦耶
好听！！！！！
10分钟 热乎的！
哦耶
好耶
11分钟，好烫！
鸟憨贴贴！
好听
上头
双厨狂喜
烫手
好耶
奶酷奶酷的
11分钟，热乎
憨憨体质
suai!
太棒了
这个好诶
我喊一句73nb！
好帅憨！！！
来了
可以吧片头也唱了吗
循环完毕，等人多再来循环！
心脏骤停
好听
好耶
憨哥哥！
开幕心肺骤停？
心脏骤停
好听
心脏骤停
好耶好耶
好耶
time flies
kksk
好耶！帅帅帅！
来了
热乎
12分钟!
ohhhhhhhhhh
time flies
time flies
牛蛙牛蛙
Stop thinkin bout it
鸟憨rua噗！
十三分钟！好耶！
kksk！！憨帅的！
前方高能
开头见！
爱了啊
欢迎回来
帅帅帅
yousa的英文咬字好好听，安利寻梦环游记翻唱
14
好听
前方高能
好耶，鸟憨又有新合唱啦
憨憨帅哦
鸟憨绝顶配合
14min
好听啊啊啊
前方高能
热乎
15min
心脏骤停
再来一遍
好听
冲鸭
鸟味十足
好耶
上网易云求求了
庸人自扰！
好耶
\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/
hanser！
小天使～
好听
\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/
\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/
\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/\鸟憨/
贴贴
16分钟！
好耶
好
好听！
好耶
好耶
开头见
好耶
这段泠鸢的声音好好听!
帅
好耶
斯哈～烫手～
好耶！！！
好听，期待好久了
针不戳，针不戳
心脏起搏
十八分钟
帅帅帅
心肺复苏
很好听
来啦
双厨狂喜
kksk
来了
好耶！！！
心脏骤停
好耶
stop thinkin bout it
stop thinkin bout it
stop thinkin bout it
憨憨体质
憨 帅爆了！
好好听啊啊啊啊啊
好！！！
好耶
hanser好帅！！！
帅啊
越听越上头
相机憨憨
好耶！
鸟味rua噗越听越上头
憨色好帅
卧槽！
三连了
好耶
开头见
skr
20分钟，热乎！
好耶
好听！
鸟憨贴贴！！！
心肺骤停
好耶
不是狗头差评
好耶
心脏起搏
双厨狂喜
吼吼吼吼，来咯
没有奶粉味了，爷青结
rua噗
欢迎回来！
和声杀我
三厨狂喜！！！
鸟憨！
好耶
好听
24分钟，好耶
真的心肺复苏
烫手烫手
哇喔好爽
三厨狂喜
心脏骤停
空降0:01
帅！
跪求网易云
被憨憨帅到
好耶
小天使帅帅
鸭儿给劲！
心脏起搏
憨憨鸟
帅
开头见
太帅了
suai ! 
好听
开头见！
好帅的配合
憨憨帅
好耶
不愧是鸟憨合唱！
28分钟
suai
心脏反复横跳
这英文声音真的绝了
这个节奏爱了♬ 
好耶
好耶
性冷淡鸟
烫嘴
好耶
奶味+鸟味rap，超suai的！
梦幻联动。
开头见
上头
好耶
29分钟还能吃。
鸟憨好帅！
好耶
都分不清两个人的声音了哈哈
