六
666
好好好
666
鸡你太美
为啥就五个弹幕
弹幕呢？
w
弹幕？
厉害
没有弹幕吗
？
弹幕没了啊
，
这里删掉了
kk
谢5432大哥
宝藏UP 币比赞多
哈哈哈哈哈哈
弹幕呢
弹幕
为什么弹幕没了
nb
之前看有弹幕啊？现在怎么都没了？
牛X
现在我就打
没
eee
哈哈 现在正在看局外人
翻译翻译
牛啊，太细了
弹幕被清走了
牛逼
弹幕好少啊
？为什么删啊，多精彩的背景解析
弹幕呢？
嘿
?
弹幕好少啊
太溜了
牛逼！
你给我带会
32分钟
棺  方  视  角
在呢
翻译翻译
冉阿让你好
每周必看不可能这么少弹幕
我悟了！
怎么又删了
弹幕没了。
啊？我一直以为都是
弹幕呢？
都在认真看
有，都被删了。
没有弹幕了
你这是放的黑胶？？？
我去，真没想到
哇哦，豁然开朗
怎么就分析了这么点
弹幕呢？
不可能啊
为什么呢
违规了呗
历害
要有自己的判断，解读，不一定都是对的
可我怎么看也都像一顶草帽
不赌
老三不是说晴雯子跑了然后逃跑出来
狼人杀
哈哈哈哈哈哈哈哈《局外人》上分
啊对对对
有点懂了
大师
翻译翻译
不赌
？
剪了吗
只要我不发弹幕就绝对不会输
翻译翻译
弹幕呢
。
2：叶
5：周
少了一段？
项羽亲刘邦啊
这播放量，这弹幕，不科学，细品，你细品
谢谢四哥！
谢谢五哥
我还是相信这个时候二哥应该是出城去探假麻子去了
就赌一个面包机！
++++++++++++++++++
今儿，不谈帽子的事
我看的太片面的了
正经人谁写日记啊，你说对吧，常申凯doge
弹幕没了
233
翻译翻译
牛逼
牛
听其言，观其行
少了法国那一段
阵营阵营阵营！！！！！
383万播放量，414条弹幕  ...
体面人
我是白嫖
牧马人
什么他喵的叫惊喜
你在干什么啊！切切切
这个就扯了，是不是基，大家都不知道？后面人都有笑的特写镜头明显都知道的
。
真牛逼
弹幕咋这么少
你猜我赌不赌
同志
靠自己 
看帽子条纹
怎么没声音了?
牛壁
时长感人
花姐即小将
这一段我好像没看过，我看的少了6分钟
""
没有你对我很重要
弹幕没了
6
1
嘿嘿嘿
牛
nb
弹幕没了
弹幕真的没了
花姐指的是谁？
果然
有人吗
花姐就是zi
林
有人吗
……
111
这一集怎么这么少弹幕
明白了
华尔街
？
这就更佩服那位来
郭旅长
弹幕呢
哇哇哇哇哇哇哇哇哇
花姐吗
华尔街   花旗
凌晨5点九个人看
弹幕呢？翻译翻译
可惜我只是小七当不了6爷
利益团队
了然
新县长夫人
1
太伤心喝多了。。。你一个手足兄弟，至爱亲朋的葬礼你喝多了放鸽子？反正我是不会的
这算重新编辑么。。
我靠真的细节啊
厉害
这个不合理啊，没有弹幕
花姐
花姐
二局？
你去当导演吧
666
竟然恐怖如斯
这句赞！
明白
谢谢二哥
小六子们，我是老六，你们都听明白了吗
这里好赞，up太细了
这部电影真的信息太密集了
老七：我是个红领巾
卧槽！
牛
bgm是什么交响乐？好听
花姐？
资本
弹幕弹幕弹幕
周？
花姐
喜欢up的解读，但不认可up过度解读，有些地方太过度了
花姐指的是权力的诱惑和贪 跟夫人一样
花大姐
资本
赞
鹰酱
自立门户
吃着火锅唱着歌的时候
lb
满嘴顺口溜，你要考研啊
说离谱的，那你解释一下为什么这里要说二哥没喝醉？
花姐
确实
我悟了
花姐指的是权利和资本吧
没有你对我最重要！
这波得扣666
汉青
66666666
nb
你要公平那你就是不公平记下来要考的
！
弹幕是不是被限制了
101
哈哈哈哈哈哈哈哈哈
所以说“太阳”照常升起，但太阳也“照常升起”
自行车
华尔街
死天上了
花姐
牛牛牛
Road bycle
我悟了
历史上的鸿门宴也未必是史记上那么幼稚
花姐（hua er jie）
""
。
我疯了
弹幕呢
权游yyds
牛逼
有人吗
nb
无间道呗
权游bgm！
混乱之中取胜
太牛了！！！
牛逼!!
nb
进度条可放心食用
牛逼
牛逼
太强了
牛逼
NB
过度解读
什么都是过度解读，啊，对对对。
牛逼
牛x
牛逼
牛
我觉得至少这一段对权利制衡的解读是对的
黄四郎看到花姐与老三勾搭在一起不杀花姐就是一个矛盾，这个解读可以看做这个矛盾的破解
妙啊
牛逼
牛逼
花姐是阿美吗？
听君一席话，如听一席话
好复杂哦
牛逼
他可是姜文啊
高中政治出来了
牛逼
牛波一
wc，一半都没到
牛逼、
牛逼
弹幕没了？
"完了,已经开始懵了"
嗯...所以眼线笔要用完了
WC
过度解读 过度解读
牛壁
听up念shuei，真的难受
？？？？？？？
牛逼
牛逼
震惊
我看不懂但我大为震撼
牛逼
牛壁
nb
我感觉我在上行测课
NB
好像巴顿将军开头
牛逼
NB
孟德斯鸠的三权分立学说
牛逼
完了，晕了
天要下雨，娘要嫁人
大呼卧槽
牛叉
牛逼，细节拉满
我去 姜文是不爱拍 这要拍出来 普通观众就嗨了!当然我觉得如果那样了反而不姜文了 也养活不了这么多up主了
眼线笔已断货
弹幕呢
集团里都有个女人，其实代表的是权力，只有张麻子忍住了诱惑
不信，我爱浦西
NB
币都给你了
双厨狂喜
牛逼
不明白
牛逼
牛逼
这里应该是（你们）三哥
赞同！！张麻子此时必须得到反叛者联盟的力量才能做到“没有黄四郎”
牛逼
卧槽！
niubi
牛逼
昆汀
牛逼
已经困了
牛逼
牛逼
101牛逼
牛逼个蛋
浦东？老子2000年去浦东时候，浦东才几座大楼？浦东更代表一种路线
牛逼
牛逼
有啥好困的
暂停，多动脑子想想
三国杀的内奸是吧
弹幕呢？？？
权游好评
是牛逼
你先别牛逼不牛逼。想想自己是不是唐僧
所以把他请回来了呀
1
全是废话
自己头脑简单看谁都像小孩子
毕竟姜文老婆，赢家应该是她
nb
章北海
up太强了
马原满分
""
弹幕呢，
没有筹码了
气突苏（雾
。。
注意bgm
笑：说清了，没事了
花姐
她不做小凤仙，她要做吕奉先
你现在在看吗
在
没有弹幕
牛逼！！！
钻石我的钻石
我突然知道为啥声音这么熟悉了！你是甄学元大夫！
美
可能全看进去了
弹幕被清了
头套
牛
弹幕呢
卧槽卧槽
葛大爷看着真可爱哈哈哈哈哈哈
是那两个宝石吧
制造空屏
华尔街无疑了
美
喏喏喏
一起看的12个小伙伴  你们好呀
BGM卧槽
666
看得太认真了没法发弹幕
哈哈哈哈哈哈哈哈哈
不信服 没人发弹幕
黄四郎永远不缺那两块宝石
旗帜性圈起来要考的
砖石
牛
跟过松坡将军
难怪当时那个花姐就让我心里那么不舒服，虽然说不出来
我这么多年白活了。。。
全是普通话，我愣是只停留在表面
++++
口若
宝石送人了
体面
喏
白票
哈哈哈哈哈哈
说得好！
钻石
喏
喏
全是谜语人，好累
""
妙
shei
爹发誓替你报仇
哎
花姐真美
句句不提人，句句不离人
太牛了
此后如竟没有炬火，我便是唯一的光
我就是腿脚不利落，跪不下去
凳子啊凳子
弹幕呢
我让你们把钱发给穷人，你们把钱发给女人，好台词
这里太精辟了
孙中山这我熟
看得我好心酸
唉
真的太难受了
唉
哎
章北海
弹幕呢，我可是有截图de
。。
跟雍正王朝的隆科多好像啊
花姐的语气已经有点带轻蔑了！
花姐隐喻的是谁
二哥：我可谢谢您嘞
哎
保护
太吵了
꒦ິ^꒦ິ
呜呜呜呜呜
你看我都穿上这身了
中华
都说了花姐是“同志” 不是人而是群体
老大还是对兄弟们有感情的 没有把他们铲除
不轻松 为了公平怎么可能轻松
改主yi
花儿姐
T T
华尔姐
开头送别和结尾送别是一个循环
真圆○
听此时的bgm
我冷汗直流啊
这不是大头操作吗
弹幕呢
理想主义者
不高椅，坐的都是精英美人啊
全都了然了，唉
他心软了
正解
六朝何事只成门户私计！
BGM真应景
花姐不是一个人
。。。。
“花姐”看到发钱给穷人就开心~也想这么干。（新一代有信仰的人）
孙
花姐是四川人吧
原片怎么不放字幕
牛B
+
花姐就是那些在gm时需要借助的力量
致敬坚定信仰的先辈，才有我们今天的好生活
哎，好落寞
""
雄关漫道真如铁 ，而今迈步从头越。
最后张麻子   应该也懂了。跟着走。
弹幕呢！！！！！
华盛顿 牛逼!!!!!!!!!!!!!!!!
你是这么多解说的 最靠谱的
三连了
心头一颤
看得太认真
兔子？
越挫越勇
牛啊
呜呜
哭了，现在理解了，理解了为什么最后还要来一场
太牛了
看懂了
评论的好。 另外一种解读
服气的！姜文牛逼
我想念他了
终于理解花姐为什么要去浦东了
不存在的
看哭了，真的
就是啊
你认真听不就行了，老是叫什么
最终，什么也没能改变
泪目哇
泪目
粉身碎骨，孑然一身，也要继续！
公者千古，私者一时
真的是鞠躬尽瘁，死而后已，历史书上的评价不够准确
看得人好难受啊
细节：老三见枪脸色黑了，挡着花姐
我是准备跌的粉碎的。
伟人。
牛壁！
他永远停留在了这次远征的路上……
太阳照常升起
权力
手指都没有放在扳机上 麻子没有杀意
好心疼他啊，也好想他
有的，星星之火还是有的
看到这真的呼之欲出了
我有弹幕截屏的
牛
哭死
挥手从兹去。 更那堪凄然相向， 苦情重诉。 眼角眉梢都似恨， 热泪欲零还住
此条视频原长32:17秒 已补录完毕
你我之辈，忍将夙愿，付与东流？
不存在的
不是什么都没有改变，发生过留下了痕迹和希望，就会再发生第二次
我看错你了，但记住有一天会有我的后来人用同样的姿势对着你
是尚不存在
残阳如血，英雄迟暮
终于明白这句话了
哭了  
有点泪目了
对外的食指没在扳机上，细
太牛逼了
申遗！
唏嘘。。
散了。。。
我自己体面
我也现在才懂这句话
申遗！
BGM是啥
我真是服，牛逼！
bgm英雄的黎明
牛逼
英雄的黎明
真的好难过
还没有到最终 没人比他更智慧 他能相信能期待 大家也请不要悲哀
最在意工农的人……
他引以为傲的两件大事之一失败了，但留下了火种……
看得想哭
理解了
up太厉害，保护
着电影太牛了
你们怎么办，只有天知道
""
