1，截图为证
刚刚
我明学答题80分
第一次前排
听我的
还有第二季
前排'？！
才发现没人！
还是又臭又硬的那颗
3分钟前
讲真我没怎么看，但那天热搜一个片段把我给暴躁了，黄晓明真的没脑子
3分钟前！
我不要你觉得我要我觉得好就听我的
三分钟前
？？？
明学满分咋还骄傲上了呢
！四分钟前
令人窒息
？？？
哈
过于真实
来看这个铁憨憨了
请收下我的膝盖
哈哈哈哈哈哈哈哈哈
一言堂啊
哈哈哈哈哈哈哈哈他好傻
六分钟前
6分钟前
哈哈哈哈哈哈哈哈
但是热度有了 目的达到了
六分钟
七分钟前
太好了，终于有up槽hxm了
大厨无语
我来了！！！
哈哈哈哈哈哈哈哈哈哈哈
他是憨批
晚了，八分钟前
哈哈哈哈哈哈哈哈哈
九分钟前
九分钟前
听我的，都听我的，全部做
来啦
第二季我真是一级一级追下来的
他是不是有什么疾病
我看不下去了，这怕是个傻子
（山东脏话）
终于有弹幕了
来啦！
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
主要是丑吧
心疼林大厨
终于看到了，给我骂si他！
啊啊啊，大爱哇妹
我觉得第一季赵薇就知道黄晓明是什么样的人 一直压着他 才没事
哇。没看过，但是真无脑啊
你是猪吗
好气人啊
中年杰克苏王子
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
还好第三集主厨走了
正确哈哈哈哈哈
不想听呕
他在推卸责任
就是
这个疑问过分真实了
我是在厨房干过的，要是hxm还是这种态度，会被骂，不改的话，全部后锅都怼他
哈哈
19
问题是和稀泥水平也不行嗷
我80分，是我输了
嚯 我70分
决定了为了hxm我要去看中餐厅太好笑了我的快乐源泉
我的天，我热搜都没点进去，看到这段简直了
你们不要闹了！就这样！都听我的！
靓仔疑惑
这里当初看节目我都要疯了
秦海璐都快哭了吧
大厨好想锤人
和稀泥我靠
林大厨一个人
我不要你觉得！我要我觉得！
23分钟前
王俊凯我爱了
哈哈哈哈没脑子
表白凯凯
我有考试，这个好好笑！！
买冰箱名场面
这个时候领导的决策力和领导力是至关重要的
黄晓明真的恶心
柠檬。。。哈哈
啊啊啊啊啊啊gaga
表白小白
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
我买一万份，麻烦准备
？？？
因为油腻
34分鐘前
就是那锅汤泼他身上让他清醒一下
上一季超级好看，这一季来个黄晓明，我真的，一点我都不想看，黄晓明真的让人感觉就是一个智障
可真特么是土豪？
王俊凯：？？？
嘻嘻表白bgm
蛤
你撑死算了，别来霍霍其他人了
34分钟前可以扔了
夫妻绝配
哈哈哈哈我想去看研究明学
说有剧本的，你们让他演这个剧你要花多少钱啊
第一季看过一两集也是hxm让我觉得emmmmm所以没看
你再买个大厨吧，林大厨我们不干了
不是节目组给了食材吗？
要你妈
真的憨批
哈哈哈哈哈哈哈哈
没脑子吗
你当做数学题呢现实生活中哪有这样
这真的………长了人脑子吗？
这样夸，做事都卖力很多
该骂
然后就开始做盒饭生意了
阔怕
黄晓明脑子有shit？
看着他就恶心
节目组和黄晓明脑子都有问题。
不要？？？？你是什么东西
不是你要讨论的？？
心疼大宝贝
听我的
4472个朋友你们好
我只看了第二季
憨批吗
我爱姜食堂
听你妈听
要你妈啊
我65
这种不会处理的店长我天
非战斗人员请撤离
一小時前
凯凯！
我80
真的欠骂
说的太对了
我不要你觉得我要我觉得
求生欲非常强烈
哈？
夫妻废片
都是按剧本来演，杠什么呢，较什么真啊
强词夺理
想把锅扣绿大暗头上
第二季没有hxm哈哈哈
听我的，听我的，都听我的！
窒息了
太对了
真的太气了，就这种人是怎么活到现在的？
哈哈哈哈哈哈哈哈哈哈哈哈
我也觉得
大厨听了想打人
买买买！冰箱也可以买！
靓仔疑惑
明学哈哈哈哈哈哈
我真的想打他，怎么办
哈哈哈哈哈哈哈
他像个傻子
我55
请赵薇来治他
杠精
都是剧本
一小时前
做你mua
我不要你觉得，我要我觉得
明场面
秦海璐不行
表白豆子啊
嗯？！
2333
哎真的这俩人和好的情节就很好……
小凯、紫妹快走吧
那个手真的想剁掉
在这个摊位他们换了好多东西，有点厚脸皮
。
大厨可怜的一逼
一看黄晓明就知道后面emmmm……果然
和我的领导一个德行，能力没有，什么都不会，什么都要听她的，除了添堵几乎没有给我们工作提供过帮助
一小时前
心疼秦总
你提意见可以，听不听是她的事，当然大部分不会听
哎呦，幸好我没看
静仔疑惑
我鳖！
嗯？!一脸懵
哈哈哈哈哈哈哈哈哈哈哈哈哈
俊凯在第三季里越来越得心应手了
哈哈哈哈哈哈哈哈哈哈哈哈哈
1h前！
一小时前
找了个憨憨
哈哈哈哈哈哈哈
？？？你是店长你nb
权利间需要制衡
一小时前
哈哈哈哈哈
 哇妹说的精准
作为店长真的失职
2小时前
哈哈哈哈晓明是最大的败笔
对对
想念赵薇
赵薇真好啊
闹～太～套～
刷出来了啥
2小时
你们不觉得黄晓明下巴
闹太套
豆子 表白朱一龙
听我的
唉
王俊凯你太棒了啊啊啊啊啊
现在是10.48，新一期开始了，我们猜明天明明会不会骂上热搜呢？
这里真的，人家有矛盾的两人自己好了莫名感动
二小时前
吃三份？！
哈哈哈哈哈哈哈哈
这俩品格好，容易相处
女鹅
明学的名场面
两个小时，还能吃！
你脏了
2小时前
你脏了哈哈哈哈哈哈哈哈
我60
我真的好心疼主厨啊
大厨真的可怜
2小时前，热热还能吃
有点心疼王俊凯2333
缓缓打出一个？
两小时前
靓仔在线疑惑
小凯好棒呀！
我的小凯啊
两小时前！！
资金这么少，还要用国宴标准选材
2小时前
???
他们这开啥餐厅啊，好混乱大厨都不知道要做几套
最喜欢第二季
哈哈，正想着咋没人吐槽他
那我吃一份，打包一百份
听我的
我不要你觉得，我要我觉得
被圈粉
哈哈哈哈哈哈哈明学
一脸nmb
赵薇快回来呀
这应该不是剧本
可怕
哪来的惊天憨批
一份都吃不完还三份
第二季我真的都有看，还蛮上头的
表白豆子，豆子色
表白女鹅！
听到这个真的火冒三丈，想砸手机
第二季真的很好
哈哈哈哈哈哈哈哈哈哈哈突然笑爆
对对对！会说话你就多说点！
大厨:我太难了！
我又来看黄晓明这个憨批了
节目组提供少量食材
太恶心了看见他就觉得油腻
秦海璐和林大厨就很正常磨合而已
我要打他
两小时前
就是没干过活吧，口出狂言
哈哈
说得太对了
他就是个憨憨
黄晓明真欠揍
两个小时前
3小时
没脑子的傻子
不但装好人还卖惨
因语言过激被请出视频
这里真的黄晓明很没脑子
对还一脸我真的好有领导能力的亚子
最喜欢第二季
就冲你这句话。点赞投币发弹幕，终于u
我的手机为啥不能开门啊我想打他，他算老几
真想打他！！！
绿大暗hhhhhhhh
心疼大厨+1
国宴大厨被hxm这样搞？？？？
哈哈哈哈哈靓仔疑惑
好气
靓仔在线疑惑
大厨没错我觉得
哈哈哈哈
我不要你觉得我要我觉得
三小时前
我不要你觉得 我要我觉得
这期有在洗
三小时前
我觉得这个好好商量一下
靓仔黑人问号
我先来，憨批
唉这个节目组也是
沙碧
之前觉得他还行中餐厅之后我就恶心了
要个你妈
脑子呢
死了老婆的苏大强
三小时前
听你妈
B王绿大暗
他完全是外行啊
本来对紫妹好期待，看到教主马上不想看
表白
靓仔疑惑
靓仔再次疑惑
赵薇你快回来吧，你太好了
三字太难了
那还要财务干嘛
给俊凯打call   俊凯好棒
每次他的镜头贼尴尬
23333
有点像班主任，妈耶
我猜会强制洗白
憨批
就是虚伪小人啊 明面上不得罪别人 背地里又表示支持你
今天开始夸他啦
第二季我超爱
差对比
我现在听到听我的就想吐。是真的吐
1j6ur.4
oh shit
???
给爷爬
接下来自黑 自我调侃 营造铁憨憨形象洗白
我能感受到up主的愤怒了哈哈哈
冰箱不够？买买买
秦海璐没错
第二季真的很好看
都听我的
卧槽了
秦海璐太难了
套餐不太划……对于消费者
没钱呀，我的天
秦海璐和大厨都没错，所以人家俩很快就没矛盾了
王俊凯太帅了55
