OH
1
好耶！
难得那么早
刚刚
欢乐颂里的应勤
好早
麻麻，我是第一吗？
还行吧
我好早！！！
2min！
达叔？
哇
烫嘴
果然，免费的最香（doge）
先留个赞，等弹幕多了再来
他是  lol职业选手_ 狼行
好耶！
好烫啊
好早好早！
黄轩？？
影片时长，79分钟
我好早
头一次这么早
达叔名字已经带框了……
承包空屏
九点发视频？
这男的之前演的什么电视剧啊，好熟悉
有几个镜头有点像黄轩，原来不是，演员有点印象
这也太早了
早！
好早
因为这男主长得像黄轩
小丑竟是我自己（doge）
男演员演技不错哎
取关了不好看
这个表情包是！大头公主？！妈耶！
啊啊啊
这个男主角是琅琊榜风起长林里面的
终于等到了
换上了经典皮肤
好早啊
可是唐牛才是食神！
哈哈哈不看白不看
九分钟！
女主角还挺好看的
卧槽就这一下就触动了
我懂了，先抑后扬
这个人好眼熟
第一次这么早
刚才是达叔？
才听出来是阿天配音
早！！
怎么有达叔？
莫名感动
装JOJO
有食神内味了
前面说像朗行的 别走！！
8000+
为啥突然想到功夫熊猫哈哈哈哈哈
欢乐颂，前边的
等等，刚刚那是达叔嘛
有着阿宝爸爸一样对面的执着！哈哈哈
？
哈哈哈哈
342岁闹得地府，闹天宫也就400岁不到，那么这个时候传统意义上的悟空还是个石头啊
这是仙剑奇侠传吗？
人人都是齐天大圣
哈哈哈哈
哈哈哈哈哈哈哈哈哈暴躁暴躁
对  琅琊榜风起长林里面的反派
11分！
有点感动
呜呜呜呜呜呜呜
唉，达叔走好
感动到了
9000+别躲了
达叔！！！
惊了
琅琊榜二
欢乐颂的应勤
家人们弹幕告诉我这个配音是小阿天吗
救命 要哭了
你们都起的这么早吗？
有点像黄轩。。。
这个人好像演过哪个电视剧的反派
9000
欢乐颂的应勤
欢乐颂
这不是风起长林里的小侯爷吗
欢乐颂里的应勤
第一次这么前
演技比颜值重要
欢乐颂
还可以
看哭了
我靠我好早
有点像任贤齐
不是hx吗(ﾟOﾟ)
我泪目了
看见达叔就泪目了
这段真好啊
不要钱吗？早说啊
啊啊啊啊啊啊啊啊小阿天啊啊啊啊啊啊
食神
省钱的观音
人人都是食神
立意上来了，格局有了
吴孟达先生不是去世了吗？
达叔！！！
琅琊榜之风起长林里面造反的那个
萧元启？
男主的演员好眼熟啊
协议三，保护铁驭
功夫熊猫家传面馆？
有点感动了
琅琊榜之风起长林中的莱阳王
菜刀门菜刀门菜刀门
16分钟
达。。。。叔。。。。
这个男主是欢乐颂里的应勤！
欢乐颂 琅琊榜2
跟丘莹莹(杨紫）恋爱的IT男
琅琊榜2的元启
变相安利真香了吗
有点可爱
这么早呀
有点意思
达叔啊
风起长林的反派
听路人口气我感觉是安利向哈哈
琅琊榜风起长林里的箫元启
这女的演技不太行
是欢乐颂的应勤诶
哈哈哈哈哈哈哈
升华主题了，这是！
重看亿遍 被鹿人说哭了 泪点低慎入
预言家：从哪说起呐？？唉，，，
我只记得男演员演过欢乐颂
致敬达叔
达叔？这部剧什么时候拍的
舔狗不得HOUSE
风起长林的萧元启
太烫了
杨天翔！
嘶……有内味了
谁都可以是食神
好早
莱阳侯
这是达叔参演的最后一部作品
带框破防；
承包空屏
呜呜呜呜呜有点感动了
呜呜达叔
这不是欢乐颂里面的铁憨憨
功夫熊猫直呼内行
达叔，呜呜呜
我哭了
天老师
功夫熊猫即视感
肯定是达叔生前拍的呀，拍电影又不是一两个月就完事了
狗命
琅琊榜2的王爷
女主好像年轻时的张柏芝
这个男演员真的演的很好，演啥是啥。
琅琊榜第二部的小王爷？
好早
达叔？
天翔，配音是杨天翔吗？
致敬达叔
             ↓就离谱
有点像黄轩
哈哈哈
达叔的身后作？
我看这个解说看哭了
好像还可以诶
达叔？！
演技还可以耶 有点想哭
泛式
这个男主是戏剧新生活里的那个
说实话这紫霞可以的，起码不是网红脸
天老师 听出来了
有小时候看电影的感觉了
如果这部电影真的不算烂的话 为了达叔我愿意去看
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
既然老鹿都说可以 那就看看吧
熊猫大侠和鸭鸭老爹
吕轻侯
哈哈哈哈哈哈哈哈哈哈哈哈
我有点想看了
达叔！！！
达叔早就走了
配音是小阿天
达叔
得先拔掉保险栓呀，铁汁
确实可以
女主有点陈慧琳的感觉
王牌特工：源起
24
下面的狗命是什么鬼东西！！
早上九点？比我上班还早？
眉姐姐？
鸭～鹿鹿早鸭
扫黑风暴的反1
前面的，演过欢乐颂
低配版黄轩那个人
欢乐颂杨紫的男朋友应勤，琅琊榜风起长林最后黑化的小侯爷
我只是个普通人
啊！这个姐姐是漂亮的诶！！
演过欢乐颂里小蚯蚓的男朋友
这不是应勤吗
男主演技很ok嘛
小阿天的声音
这不是莱阳侯吗老天哈哈哈哈
楼上是
白蛇觉得很淦
你就是看人家长的好看吧？
哈哈哈哈哈
达叔？
陈真可是留学生，居然少读书，哈哈哈
实在不行 去黑袍纠察队里请点灯人
欢乐颂
男演员很认真的
达叔呜呜呜~
菜刀门的我要笑死了
为啥感觉侧脸有点像黄轩
女主这边没接住戏
他演过乔欣那个什么古装剧，门外看人的那个，好吓人哈哈哈哈
哈哈哈哈哈哈哈
是不是孙红雷演的一个电视剧里的反派
这个名字好像缝合怪
这里应该说人是人甜蜜生的，猴是猴甜蜜生的
这个男主是孙兴吗？孙红雷演的那个剧中的
世上根本没有齐天大圣，或者人人都是齐天大圣，只要用心，人人都可以是齐天大圣
男主在戏剧新生活里做过客当过跑腿的吧
配音就是小阿天
七彩翔
看到 出来这剧组真的穷
应勤
9000+
听着确实有点感动到
我去，我看了这么半天都以为是黄轩
9000+
你是真墨迹！ 告辞
感动了
女主明显感情没到位，有点出戏
吼吼
有点好看啊
这姑娘好可爱，好有灵气
wocao
这是黄磊综艺《喜剧新生活》里面的谁来着？
！
达叔？
早上好
woc 管彤？？？
小阿天的声音！！！
哈哈哈哈哈哈哈哈哈哈
般若re三声
达叔遗作
小阿天的声音！！
半小时 早早早！！！
这个姐姐好漂亮
达叔
9000人一起来！！！嗨起来
小侯爷
想看了
欢乐颂里的应勤
我居然想哭了
哈哈哈哈哈哈这菩萨好省钱啊
当时都看哭了
好家伙功夫熊猫的感觉有了
这男演员好啊 快火
九点也太劳模了啊
我也觉得像黄轩
杨天翔配音
