hi
来的好早啊我
第一次这么早
宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩
呕吼
刘耀文刘耀文
第一次来这么早
我来的肯定不晚吧
世界第一初恋
我去
刘耀文宋亚轩
快乐了家人们
2000+了
一点开就看到啦～
我代表重庆欢迎 你
和怎么下都下不去的18楼
我好喜欢
等花絮
好拽我好爱
《臭小子 掰死我》
刘耀文刘耀文刘耀文
文文轩轩
人数飙升中。。
代表重庆欢迎你
这重庆话讲的太好听了
文哥帅啊
真帅啊 小子
哇 太好看了吧！
啊啊啊啊这里好带感！
轩好帅呀
刘文宋轩会是永远的好朋友
太帅啦
刘耀文刘耀文刘耀文刘耀文绝
n刷
啊啊啊啊文哥
嘿嘿
一起等雨停
宋亚轩太帅了啊啊啊啊
文哥帅到我了
严谨
永远在一起
我来承包空屏
我的印象是…你
 “你要是早点认识我 肯定比现在有意思多了” “多有意思啊” “你现在这个表情就挺有意思的” 
真不错！
好帅好帅救命
好突然 
消失了？
看得到太阳吗？
耶
我永远爱刘耀文的重庆话
代表重庆欢迎你
前方明场面
这重庆话我直接爱住
文哥文哥文哥
一起等雨停
宋亚轩哥哥爱你
好帅啊啊啊啊啊啊
耶
耶耶耶刘耀文！！！
耶？
一起等雨停
刘耀文你真的天生适合这种
直觉就是 此时此刻 我应该在这里
是心动啊糟糕眼神躲不掉！
一起等雨停
嘻嘻
代表重庆欢迎你
我这么靠前吗？一个弹幕都木有
弹幕呢
一起等雨停
耶～
一起长大的约定
轩哥好帅啊啊
“一起等雨停 一起并肩而行”
一起等雨停
刘耀文太帅了
刘文宋轩
5000+了
霸气护夫
代表重庆欢迎你
看电影了看电影了
亚轩啊啊啊啊啊啊啊
宋亚轩刘耀文
这边压力给到花絮
哇哦
“开往春天的地铁 开了一年零三个月 我还是没能弄清修在楼顶的路到底通往哪里 那些猝不及防的大雨 热烈地淋过整个夏天 唯一可以确定的是 在那条看不见镜头的长坡树下 有人总是等在那里”[爱心]
亚轩少年感十足啊
刘文宋轩
一起等雨停
我听到这个我都要哭了
刘耀文说重庆话真的超帅
《我》
代表重庆欢迎你
真的有好喜欢
宋亚轩
空瓶表白文轩
刘文霸气护夫
真的受不了了，怎么这么帅？
第一次这么早
好喜欢这段独白啊
亚
一起等雨停
结果下一秒你就去“管闲事”了哦doge
“小宝贝儿”
宋亚轩宋亚轩宋亚轩宋亚轩
两个小朋友要一直好好的
饮料打码了哈哈哈
文轩
每一帧的宋亚轩都是绝色
代表重庆欢迎你
黑暗中期待光线！！！
我天，救命
痞帅痞帅的文文
来看宋亚轩
帅到我了
表白文文轩轩
宋亚轩
呜呜呜碗盆
偶买噶这侧脸！
宋亚轩啊啊啊啊啊啊啊啊
火速来人给我安利这个帅弟弟
重庆话切回普通话太细节了吧！
宋亚轩刘耀文
刘文宋轩
刘文 宋轩
文轩
压腕，哈哈哈，好拽
这狗演我
啊 为森莫要给我特写
做哪？哈哈哈
代表重庆欢迎你
我们碗盆氛围感一直都很强
突然停上
因为刘耀文喜欢上了重庆话，谁可以教教我吗
哎呀呀   少管点闲事
风过海湾，永不停息，狼在海边奔跑，鱼在海里游泳，狼会一直陪着鱼的。“小宝贝”这是刘耀文对宋亚轩的称呼，只对他一个人．
有点帅气在身上
饮料上的码是后来打的吗？还是我没注意
刘耀文呜呜呜呜呜呜
一起等雨停
这句话太tm撩了啊啊啊啊！！！！
救命啊姐子们
我对这里的印象
会的
刘耀文么么么么么么么么么哒
耶呼
我们宋亚轩好帅呀
狼和雨见了面，就再也没分开过
有的
宋亚轩你太帅了！！
文文台词好自然
宋亚轩未来可期！
n刷一起等雨停
好了这辈子就你了文文和我结婚吧
好喜欢亚轩
宋亚轩宋亚轩宋亚轩宋亚轩
乖乖仔
这里，轩轩在找刘文的名字
怎么还不发完整版
哇塞，哇塞，哇塞，哇塞，哇塞
轩轩小尾巴
勇敢文文不怕困难
宋亚轩会一直是宋亚轩，你可以永远相信刘耀文
啊啊啊啊对视了
我以为他是梅尼耶
刘耀文刘耀文
再来亿遍
代表重庆欢迎你
真的会无限循环
文文轩轩
代表重庆欢迎你
代表重庆欢迎你
这个画质好棒
小意思，让他们之间的关系越来越好了
宋亚轩好棒啊
啊啊啊啊啊在b站也有了！
代表重庆欢迎你
小意思
耶
卧槽宋亚轩也太帅了
刘耀文宋亚轩世界第一初恋
