Bgm:Innocence
悬崖上的金鱼姬
手冢治虫的新宝岛！！！
魔鬼词典对成人的注释是一个愧对童年的堕落者
Richard Wagner
所以宫崎骏的女主都很坚强善良温柔
龙猫！经久不衰
最后亿次
啊啊啊啊
我永远爱他
一个掌握很大动画制作技术的人，技术理念都十分全面也高的人，就是这样，其他也无
我爸爸是青年时期就迷上了手冢治虫！然后在我很小的时候带我入坑动漫！
BGM一响眼泪就来了
鸡皮疙瘩
先三连再看
我的印象是他每年都说不再画，都是最后一部，但是回头就又出新番
东京奥运会开幕式哈哈哈，看了让人很不开心
东京奥运会
宫老爷年轻好帅
风之谷真的太好看辣
恭喜你发现了宝藏
来了
宇宙战舰压码头！
可可爱爱的小老头
V
《最后一部》
很阴间
东大妈yyds
然后就开始排核废水了
来了
手冢治虫，因为看了一部中国的动画片，而选择了这条道路
伟大的人的人生往往前半生都在沉淀
啊这
波妞！！！
太太 我喜欢你啊
哇1941年日本真的有好多人才出生，安藤忠雄也是1941年出生的
bgm离谱
woc鲁邦三世
第十一人芙络露
是真的有些恐怖了
我还以为是，久石让
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈救命
一坨人
啊啊啊
72岁的人在拼命，27岁的人在堕落
脸已经烫到不行了
gta
哈哈哈哈我好想笑
哈哈哈哈哈哈哈哈哈哈哈
手 冢 治 虫 ！
然后就成为了手冢治虫的头号超级大黑粉
爷爷好可爱
我生日
在宫崎骏面前展示一个用CG制作的抽畜的躯体这该有多不合时宜多不知天高地厚啊
子欲孝而亲不待
历史发生的事不可磨灭，但这不影响我尊重宫崎骏，尊重喜爱他的作品。他是一个领域的伟人。
梦开始的地方
十年一梦
上海美术制片厂。
太平洋战争爆发的那一年
哈哈哈哈哈哈哈哈哈哈哈哈哈哈对不起
pink
gta4是什么顶级云啊，这不是gatsa吗
熊猫家族呢，少年英雄柯南呢
哈哈哈哈 爷的童年
这bgm？？
mujuco
突然gta
风之谷yyds
对这个看着好不舒服
风之谷！
手冢治虫漫画的起点
千与千寻！
难怪宫崎老人以少女短发为主
知道这里 
哇这bgm接连而至
哇
致敬
宫崎骏无敌，牛比
很长寿了啦！
-
不能理解为什么要把一部治愈的动画和杀人案联系起来
阿基拉
鲁邦三世真是经典
柬山创出来挨打
这两个人太牛了
风之谷
圣安地列斯
手琢治虫 神人
Eva
好棒啊
现在的东映一言难尽
哈哈哈哈哈哈
萤火虫之墓吹爆
乃至现在还有
……
最爱风之谷
不是这个演示也太阴间了
看得我想哭是为什么 而且浑身颤栗
我同事都说我长得像年轻时的宫崎骏
宫崎骏希望有一天可以见到您
最好的娜乌西卡
起风了男主也因为工作没送上女主
宫崎骏电影里大部分母亲都是生病的
这不是三个人吗
后面那个人好像宽叔
注意：高畑勋作为动画导演其实不会画画
来了
风之谷yyds！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
确实很恶心，不合适宫崎骏的风格
这是什么丑东西
视频真的做的太好了！！
表白bgm！！哈尔的移动城堡
战争雷霆玩家dna动力
哈尔的移动城堡
宫崎骏yyds
吉卜力暴君
萤火虫之墓小时候看了一遍之后再也不敢重温
冥场面
天才的烦恼
确实是最后一部，其他都是工作室他徒弟监的
今敏yyds
这种解读是内心丑恶的人看美好也是丑恶的
三连！
来了
bgm 辉夜姬物语的耶
风之谷神作
不然后只能回家继承家产
风之谷！！
超级喜欢宫崎骏！!
宫崎骏见手冢治虫见贤思齐，启发了自我的动画
一个人
俺也最爱宫崎骏！！！！！！！
说的太好了
啊啊啊电影超脱
阿尔黛西亚
真的yyds
风之谷看过两遍，但没看懂
yysd
