学废了，但好像没有完全学废
妈耶
高空抛物 请跟我们走一趟
学费了
哪里没跟上
散了吧，要用道林纸的，，，
有一瞬间我以为它能飞回来
好想看看很多只飞机一起飞的感觉
不哈气，没灵魂
乱扔垃圾，拘留
日常扔垃圾
高空抛物，你完了
别忘了捡起来
去我收藏夹吃灰吧
高空抛物，三年
两者成就感是不一样的  一个走量 一个走质
啊这
为什么这歌听得我瘆得慌
也没飞多久
他怎么不听话，不回来
a4纸吗
宝友，这可不新丢啊
这还玩什么纸飞机
来一个prime版的！​
高空抛物
好难
只能学一点点
Zephyr不是鸟姐吗？（doge）
有这功夫我一箱a4都扔下去了
离谱
我就不信你还能飞回来
逐渐看不懂
我都是用200克双铜纸的
楼下的：你扔的纸都有几百张了
高空抛物
这TM叫翼尖小翼
还以为会自己飞回来hhh
花里胡哨
鞘翅
又不是跟你比快233
《简单》
BGM请问！！
这里我学废了
花里胡哨可以是褒义吧
学废了，收藏夹吃灰去吧qaq
谁敲我家窗户？？？？？？
这飞机折了舍不得飞。。。。
有点差
还是捏纸团砸头比较快，噗哈哈
上小学的时候我要是能叠出这么个玩意我就是班里的王
发生了神马
飞对面别人家就好玩了哈哈哈哈
撑出口袋那一步就不行了
串希的BGM
那你到底学废没
下次一定
好家伙，直接造一架飞机不好吗（doge）
白嫖失败
看懂了 当时好像又没懂
我感觉这个纸飞机配得上地勤了
我也想穿越回小学叠这个飞机
大制作
道林纸又不难买
我用0.5倍速学下来了
纸破了
我免费了
高空抛物
我学废了
F22确实是漂亮
道森纸行吗？
哈气，注入灵魂
这是一个没有灵魂的纸飞机
高空抛物违法犯罪
不哈气没有灵魂
这玩意儿要a4纸的，你小时候买不起
飞翼完成了
这么厉害，那就下次一定吧
白嫖失败
下次一定
下次一定
他好像真的想教会我们
懂了 但没完全懂
手说 眼睛你闭嘴 眼睛说我也没学会
家中只有牛皮纸的我。。。
我喜欢这个黄色哈哈哈
鸟姐(狗头)
看懂了，但没完全看懂
92克的a4可以吗
收藏比点赞多
看的我差点真以为我能学会
太空战机不需要考虑流体力学
学废了
陀螺没转起来，差评
废了废了废了
这次一定
下次一定
这样这样再那样，这不，好了
道木纸可以吗
这次一定
这次一定
下次一定
这次一定
哇
我99ga4
下次一定
好耶
要道林纸的，散了吧
白嫖失败
自从更新后，谁白没白嫖一目了然
白嫖
去收藏夹吃灰把
就这
懂了没懂老王雷了．
白嫖失败
下次一定
上次给了
这次一定
夹灰吧
鸟姐？
下次一定
收藏夹里面吃灰去吧
好难啊，走了走了
懂王直呼废了废了
下次一定
这次一定
这次一定
这次一定
算了，我还是买一个吧
下次一定
？
前面都整过来了 在这不会了
还不够麻烦的
卧槽
学废了
这次一定
下次一定
啊?
白嫖失败
下次一定
这段看不清怎么折叠
下次一定
这次一定
看完了，我觉得我学不会。。
刚折完就飞出去了？
下次一定
下次一定
这不是我童年的纸飞机
下次一定
这次一定
下次一定
仓鼠无处不爱
下次一定
发生甚么事了
轰-20模型泄漏了
能想出这折法，也是牛逼了
这次一定
这次一定
下次一定
白嫖失败
强的
这次一定
这次一定
白嫖失败
下次一定
下次一定
下次一定
哎 算了 小区地址给我 我直接去捡你扔下去的那只吧
这次一定
这次一定
这次一定
下次一定
下次也不一定
下次一定                      .
法外狂徒系列
下次一定
不可能飞不远
费劲
进我的收藏夹吃灰吧！
跟我上数学课似的
这次一定
下次一定
下次一定
下次一定
这次一定
好难
脑子:好简单，手:简单个锥子
下次一定
这次一定
神盾局特工里的Zephyr 和风 ！
这次一定
白嫖成功
这次一定
白嫖失败
这次一定
这次一定
这次一定
白嫖失败
突然看不懂！！！
这次一定
下次一定
这次一定
这次一定
白嫖成功
下次一定
下次一定
白嫖成功
买不起道林纸散了散了
飞机头没有哈气
下次一定
这次一定
这次一定
下次一定
下次一定
下次一定
下次一定
？？？发生了什么
下次一定
懂了，但完全没懂
眼睛也废了
我一定要学废！
飞之前 请哈口气
下次一定
100g？
下次一定
这次一定
下次一定
下次一定
下次一定
下次一定
下次一定
哈哈
下次一定
下次一定
？？？奢侈
尽量
这次一定
下次一定
这次一定
下次一定
下次一定
这次一定
我爸在夏威夷教过我
下次一定
爷住木里耶
我就想着面积怎么算
下次一定
这次一定
下次一定
这次一定
这次一定
下次一定
这次一定
造型科幻，晃的不行
zephyr等等我！和风yyds
这次一定
法学生告诉你们高空抛物要情节严重才构成刑事处罚 这情节显著轻微是不构成刑事处罚的
这次一定
爷煮牡蛎吔
这次一定惹
三连这次一定
高空抛物的是认真的吗
这次一定
这次一定
这次一定
这次一定
下次一定
这次一定
下次一定
下次一定
下次一定
这次一定
这次一定
这次一定
这次一定
这次一定
这次一定
踩点了
下次一定
这次一定
这次一定
下次一定
下次一定
这次一定
这次一定
这次一定
说花里胡哨的巨没素质
下次一定
下次一定
下次一定
这次一定
这次一定
这纸飞机太好看了
这次一定
下次一定
卧槽
到口袋这里就不会了
这次一定
最简单好使的设计是圆筒那个飞机
这次一定
这次一定
懂了 手残的我不该点进来的 
下次一定
这次一定
下次一定
好精致
下次一定
厕所里的砂纸可以嘛
发生肾么事了？
收藏
钢板行吗
机头感觉有点重
go229
Prime版的别跑
发生肾么事了
好漂亮啊
强迫飞行，没有纸权
你没有考虑纸有多痛吗？
鸟姐
学废了
鬼
鸟姐崛起了
鸟姐甲 好看的
我就关了个页面发生什么了？
听懂了，挺简单
笑死了空耳君
乱扔垃圾
我会的地方结束了
发生甚么事了
学废了
去我收藏夹吃灰
阿婆主企图教会我们
襟翼？
那晚，我在阳台抽烟，风抽一半我抽一半，我没和风计较，或许风也有烦恼，可转念一想，风凭什么抽我的烟，于是我开始抽风。[滑稽]​
高空抛物警告
这么复杂
这算啥
去我的收藏夹吃灰吧
纸飞机会砸死人的
我以前折的纸飞机会往上飞
下次一定
和风
乱扔垃圾，罚款500
下次一定
纸张问题不是我不会（doge）
前面的仓鼠停下
怎么哪里都是仓鼠啊啊啊啊啊
五代机
同步失败
挺简单的啊，可惜我没纸
高空抛物，抓了抓了
哇这步好难
好厉害
太漂亮了
算了，不折了
一箱a4的 你厉害，跟我走一趟吧 
捡到就值了
好麻烦，火箭飞机不香吗
乱扔腊鸡
很漂亮啊
道林纸30元100张 也不难买到 
高空抛物 有证据doge
发生甚么事了?
bgm差评
餐巾纸可以吗
对面女孩在床边写字，飞入窗户
哈哈哈哈
焦耳警告
接手机广告吧
我叠了半个小时然后从九楼飞下去就我看一个螺旋坠落
上次给了
这次一定
？
失去同步
一步回到解放前。。。
同步失败。。。
好漂亮的纸飞机
吹口气才能飞得远
看到这直接放弃
没有哈气莫得灵魂
完了，高空抛物
看废了
我以为会飞回来
万一戳到路人眼睛就是另一个故事了
哈哈哈
zepher 和风一号？
发生了什么事情
纸钱行吗
鸟姐
失去同步
吸油纸行吗
我学会这个可以称霸幼儿园
爸爸野猪
我没学会，币不会给你的
下次也不一定
这次一定
广告纸行吗
学一下，给孩子玩
废了
笑死，根本学不会
啥？鸟姐改版了？
哇
我以为它会飞回来
哟还道林纸 真专业
录这么快，怕我学废吗
看收藏数就知道了
乱堆辣鸡
下次一定
这么麻烦，扔了挺心疼
厕纸行吗
本来以为可以学会的。。
在这儿停顿！（到这里不会了）
我疯了
太难了
一看就会一试就废
突然想到动画《纸人》
逐渐超纲
纸飞机塑料袋还真不算高空抛物
火光如来宝生如来
普香如来金光如来
这次一定
典型眼睛看会了，手跟不上
空耳把我笑yue了
我就不一样，我眼睛也没会
高空抛物举报
我是免费
高空抛物
道符纸可以吗
去我收藏夹吃灰吧
有没有Prime版的（狗头）
儿时的玩物
鸟姐露出疑惑的眼神
高空抛物。
我肯定能学会，但也不一定
deli的纸可以吗
铁皮可以吗
上次给了
你想教会我？
你这纸飞机超1.8了，没收
漂亮
振金可以吗？
八大爷
钢板可以吗
怎么不飞回来，差评
高空抛物 证据确凿
收藏吃灰系列
？道林纸……
90
90p出鸟姐p
哈气附魔
哈。。。。
怎么我小时候就没这视频呢
100g！！
这次一定
高空抛物（手动狗头）
下次一定
魔法
？？？？？？？
我去
认得个高空抛物就乱用，真的没常识，自己查查看什么是高空抛物
人类的手有很大的差距～
学不会，所以下次一定dog
搁着整B2呢？？
失去同步
蝙蝠翼的那个折法才牛逼
100g道林纸就很奢侈
前面咋叠来着
？？？？？？？？？？？？？？？？？？？
啊？
哪里都有星际仓鼠
对！前面的我教过你
爷会了这就去和纸对线
不哈气？
没有灵魂
陈哲和鸭平要来了吗
卫生纸行吗
好贵气的纸飞机
我小时候管这个叫小燕子飞机
下次一定
我玩纸飞机只是图简单的快乐……
空耳笑飞
叫举报是不是rz？
Zephyr One！！！
张三警告
进去了，写了啥在上面
可能这就是人类的参差吧
这都是怎么想出来的
散了吧，卖纸的
下次一定
不哈气的纸飞机那是没得灵魂的
不哈气的纸飞机那是没得灵魂的
棺材板行吗？
帅
棺材板行吗
0.5倍回放
乱扔垃圾不文明啊
F35
厕纸行吗
困了
？？？
这是魔法
不会了不会了
发生啥事！我练功发自真心！
？？？
BGM: BABA YEUT
发生了什么
听歌
要带上手的皮屑马
没有纸怎么办
？？？
锁头
鸟姐？
下次一定
下面讲个案例 张三叠了一个纸飞机 从五十楼扔下去  算不算高空抛物
用铁皮做可以吗
和风的wow
不知道废了多少张纸
去我的收藏夹吃灰吧
？？？？？？？？？？？？？？？？？？？？？？？？
阻挡翼尖涡流
。。。没看到这段就拿去飞了。。。
去我的收藏夹里吃灰吧
你折出来的那10架能飞多久？啧
笑死哈哈哈哈哈哈
折好了，无限侧翻
浮生石行吗
告辞
平时大家接触的是70克的a4
这是先折出折痕，再往中间塞
手指可以吗
哈哈哈哈哈哈哈空耳有毒吧
高空抛物
手残的我流下了眼泪
去收藏夹吃灰吧
这一步我看了一下午没看会
脑子都不会了
啊？发生了什么？
眩晕
下次一定
120的都有
中间并不起来了。。。。
飞机没飞完可以放冰箱吗？
乱扔垃圾~高空抛物，罚款50！
?
高空抛物！违法行为
高空抛物，牢里待五年吧
这个绿化不行啊
学会了
纸烂了，撤退
优雅的飞行
上次已投
a4纸都拿出来了 看到这我又放回去了
这次一定
我配不上优雅的纸飞机，再见啦
下次一定
猪皮可以吗
这一步臣妾做不到啊
？
告辞
鸟姐飞机
等我折出来就给你三连
钻石块行吗？
突然玄幻起来
我的手他不听指挥呀
扒扒野猪，野猪不理爷
扒扒野猪，野猪不理爷
课本行吗
高空抛物
飞不回来差评
树叶行吗
好的再见
爸爸也吐！
滚去我的收藏夹里吃灰吧
下次一定
？？？
答题卡可以吗
答题纸可以吗？
看懂了但还完全看懂
折的不错，来我收藏夹吃灰吧
这啥纸？？？怎么不一样感觉！！！
费这功夫，我都折几十个折角纸飞机了
折的真好啊
我眼睛跟上了，手没跟上！
还是不会咋办？？？？
？
放弃放弃哈哈
现在tm折飞机还要空气力学吗
我行吗
又开始睡了
涂硝酸甘油的老石头人了哈哈哈哈
深海银母可以吗
道林纸很便宜的
演朱古力耶~
眼睛  我学会了 脑子 我也学会了  手  不我没学会！！！
滑翔翼
有没有跟着学到这里的  看到后面直接疑惑
拜拜了您内
这次一定
二向箔行吗
哈气加氮
散了吧，要手的
我小时候叠的一样飞得很优雅
，
牢底坐穿
这次一定
板砖可以吗
他真的想教会我们。
笑死了，各位再见，我就不应该尝试
低碳钢行吗
给我整不会了
捅仓鼠窝了
？？
张三抛了个纸飞机砸到李四，问张三要拘留多久
来了
刚开始的我居然幻想认真学会
算了睡觉
夹吃灰
脑子：好像学不会……手：终于当个人了哈脑子？
好难好难好难呀
我已出仓，感觉良好
吔猪布林吔
道林纸！扔出去了！
我折出来了(被打
我以为我能行（笑哭）
我恐高，晕了
明明是乱丢垃圾
没手行吗
下次一定
文海作业本可以吗
下次一定
？
光之子：感觉被冒犯到
钢板纸可以吗？
脑子:很简单   手:***???
建议用人民币折
作业可以吗
不要在，楼上放飞机
这么多仓鼠就离谱
叠的这么好，拿去飞了多可惜
去收藏夹吃灰吧，学废了
吓得我以为要回来
我居然学会了！
仓鼠盛行
告辞
这bgm改的啥
失去同步
白嫖成功
B52设计初稿完成✓
。85p收鸟姐直接拉
砖块可以吗？
果然哪里都有仓鼠
他居然真的想教会我们
眼学会了，手学费了
离谱
这次一定
离谱
前方使用魔法，麻瓜撤退
去我的收藏夹里吃灰吧
10p收鸟姐
？？？？？？
鹳形目隼科
来一片二向箔
二向箔行吗？
所以这里的比例是多少
