恐龙Dio
龙龙太可爱了呜呜呜
无鸡之谈
草
此时一位无敌人士路过
哈哈哈哈哈哈哈哈哈哈哈哈哈
好棒
火钳刘明
火钳刘明
卡兹停止了思考
爱之列车
哈哈哈哈哈哈哈哈哈哈哈
后方徐伦和茸茸
笑死 双厨狂喜
手指饼干草
校长哈哈哈哈哈哈哈草
这DIO也太可爱了吧
小多好可爱呜呜呜 千花也可爱 千花我老婆（失智）
普奇的眼睛好还原！！！
荒木老师！
这绯红之王帅啊！
三秒就是少在这里了吗！
跪求OP1跟千花舞
住口！你这是无稽之谈！
前方高能
有虎牙
豆浆～
惊现老妖
草(忍不住)
DIO!
便当里的小KQ好可爱！
双  厨  狂  喜
安 娜 苏
更新了≧3≦
火钳刘明
发现一闪而过的茸茸和徐伦
吾心吾行诚如明镜，所作所为均是正义
高技术力
太强了！
火钳刘明
爷关更
草
绯红之王帽子哈哈哈
一闪而过的绒绒和x徐伦
安娜苏---------
dio好可爱吉良好好看
草
右下角贝西
出现了，jo极生物荒木老妖（doge）
哈哈哈，托比欧的头发细节
bo ki~
无稽之谈
那是手指吗。。。。
草，角色反了吧
迪亚哥好可爱wuwuwu
追番键在哪里
热乎
已三连
故意抢饭吃的老板是屑
绯红之王的真正作用
吉良，吉良（幻听）
哈哈
吉良吉影——四宫辉夜
托比欧——藤原千花
里苏特——田沼翼
里苏特——田沼翼
卡兹——早坂爱
无稽之谈
无稽之谈
无稽之谈
吉吉爱你
右下角贝西
这是——[爱之列车]的幸运之壁垒！
有生之年
无稽之谈
手指饼干唉
？？？？？？？？？
大制作
可可爱爱的贝西！！！
茸总徐伦
留了一手
哈哈哈无稽之谈
先赞为敬
先赞为敬
哈哈
无敌
哈哈哈
bo ki
荒木，草
bo良ki影
豆浆~
D4C-Love Train
豆浆
dio小姐（bushi
哈哈哈哈哈哈哈哈
金属制品
？草
神父
托比欧也喜欢呱太？
墓志铭！
大制作
草，细节
惊现jo生物荒木
首页通知书
哈哈哈哈哈哈
天嗲哥好可爱
无敌的画风变不了
草
这这个饭盒已经被皇后杀手摸过了！
没荒木线，莫得灵魂
快，建鸡行事
究极生物合影
太强了
荒木，草
好家伙我卡了
无稽之谈
这个普奇不错
龙龙好靓
豆浆
？草
神父星星眼
荒木老师哈哈哈
黑色高级轿车
右下角贝西
动物之友
安娜苏:？？？
无  鸡  之  谈
里苏普罗是真的！（雾）
草
其他人竖大拇指还行，但吉良竖大拇指准没好事
双厨狂喜
骇人恶兽
草
《King Crimson》
前方高能，真的，前方核能。
可爱的托比欧又
吉良～吉良～
D4C 爱之列车
弥DIO子
草
为什么石上这么像长门
哈哈哈哈哈哈哈哈哈哈哈哈哈
第三の爆弾、バイザーダスト
dio这个笑有那味了
饭被吃了就绝望的屑
草
龙龙太可爱了
这个Dio我可以！！！！
直接一个赞
无稽之谈
可爱
豆浆~
啊这，吉良终究是抛弃了卡兹。
卡兹不是早坂爱吗？
dio小姐
D4C LOVE TRAIN
梅开二度
草
哈哈哈哈哈
DIO—伊井野弥子
可爱的托比欧
牛逼啊
荒木老妖hhh
dio我可以！！！！！！
鸡爪草
荒木
手指可还行
草
k豆浆～
埃及艳后
一个画风不一样的人进入了视野
awsl
草
666
有点东西
这张图好厉害呀！
粉色大猫猫也性转了
草
这个dio我可以
后面的画变了
烤鸡要没了
这个dio太棒了
草
我心我行澄如明镜，所行所为皆为正义
草
MD还有第二季
？？？？？
细节NB
平凡的上班族怎么可能去做豪华轿车，明显是故意反的
口住！你这是无稽之谈！？
「绯红之王」！
「绯红之王」!
cao
迪亚哥我可以！
好活！
草
【爱之列车】
好家伙
吉良吉影要长这样我跟他结婚
荒木老妖
