哇哦
来了
来了，热乎的
来了
来了
好 学 生
来了
来了来了
来了
突然高产
热乎的！！！
我来啦
来了！！
噫吁嚱
哈哈哈哈哈
来了！！！！！！
来了
我叫烤腰子
爷青回。 幻幻子终于更新了
好哥们后遗症
来了
来了
我好前
来了来了
太热乎了！！！！
但愿这个系列不要鸽
危乎高哉！
哈哈哈哈哈哈哈哈哈哈
yixuxi
噫吁嚱
我青结！马哥更新了
马哥！！！！
噫吁嚱哈哈哈哈
热的！
yixuxi
来了
好早！！！！！！
烤冷面可还行
想死你了！！！
来了！！！
一播放102弹幕，656评论？？？
内涵北神记大过
噫嘘嚱
来了
噫吁嚱，危乎高哉
热乎的！
来啦
热乎
热乎的！！
噫吁嚱
热乎的热乎的
第一吗
内涵北子哥记大过
哈哈哈哈哈哈
欢天喜地后遗症哈哈哈哈哈哈哈哈
90!
噫吁嚱
哈哈哈哈哈哈
早
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
噫吁嚱哈哈哈哈哈哈哈
来了
好啊
一刷一堆赞
这下是真的被好兄弟洗脑了
66666666
芜湖～起飞～
yoooo～
来了
《噫吁嚱》
阿这。。没弹幕？？
噫 吁 嚱
噫吁嚱！！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
相对论嘛
《冷酷的母亲》
嚯！
被欢天喜地好哥们支配的恐惧
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
承包空屏
噫嘘唏
一分钟！！
噗呲
噫吁嚱
嘿，我叫考地瓜
来了，你终于更新了
老量子力学了哈哈哈哈哈哈
承包空屏
哇，热乎的
热乎的
猩的名字出现了
好多第一个哦哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
东北人震惊
噫吁嚱！
有文化
正道的光
哈哈哈哈哈哈哈哈哈哈
呵呵呵
来啦！！！！！
遇事不决，量子力学
烤冷面，好吃！！！
哈哈哈哈哈哈哈
薛定谔的打人
ohhhhhhhhhh
老量子力学了
噫吁嚱
泰罗
不愧是你
哈哈哈哈哈哈哈哈
哈哈哈飞出去
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
噫吁嚱哈哈哈哈哈哈
起名鬼才
热乎啊啊啊啊啊
我叫马了顶大 连续23年 拿下battle king 的头衔
老量子力学了
《马正道》
来了
我好快
遇事不决量子力学
哦漏哦漏哦漏哦漏
ohhhhhhhhh来了
来了来了
危乎高哉
来了！！！！！！！！！！！
芜湖
哈哈哈哈哈哈哈哈哈哈
遇事不决量子力学
非常好！
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
来了
承包空屏
马正道
又来，量子力学
老量子力学了哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
量 子 力 学
泪目
泪目
正道的光！
咋就打飞了啊哈哈哈
可了不得
泪目
草哈哈哈哈哈哈哈哈哈哈
新鲜
来了来了小马
量子力学宣传带师某幻
正 道 的 光
哥们，某幻力学了解一下？
热乎的！
遇事不决，量子力学
？？？？？？？？？？？？？？
不 用 挣 太 多
整到的光
遇事不决量子力学
早早早
正道的光
笑死了
泪目
牛! I!
遇事不决 量子力学
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
好前！！！
来了来了
正 道 的 光
《量子力学》
老量子力学了
好热乎~
遇事不决量子力学
泪目
热乎
哈哈哈哈哈哈哈哈哈哈哈哈才艺展示
泪目了
正道的光！
遇事不慌，量子力学
来了
噫吁嚱
喷shi？
噫吁嚱
哈哈哈哈
ウルトラの父がいる？
泪目
哈哈哈哈哈哈哈哈哈哈哈
泪目
正道的光
正   道   的   光
这不就是过家家吗
热乎的！！
胖————子————————
哈哈哈哈哈哈
遇事不决 量子力学
吼吼
233
老量子力学了
《马 正 道》
噫吁嚱
哈哈哈哈
99年的事不能暴露啊
有你们这时间，你两都走了
《牢  记  基  础  知  识》
泪目。
马正道！
承包空屏！！！
来了来了
？？？弹幕消失了
只有两个人的团
正道的光！
泪目
正道的光
老天显灵了
灵 魂 画 手
正道的光
薛定谔的打你
不要男妈妈
老量子力学家了
牛
一人不饱何以饱天下，一人不乐何以乐天下
人 间 之 光 马 正 道
马正道
泪目
好兄弟
正道的光
《噫吁嚱》
2333333
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
正道的光
泪目
神TM弃泥从戎
让老蕾来配音会更牛
