来了！
哇
老师好
紧跟时事，普及知识！
1
老师好
热乎的
我来听课了！
我是第一
生活远比戏剧更荒诞
老师好
热乎的
老师好
1
首发
必须强制辩护啊…哎…
二十多岁进去，五十多岁出来。
老师好
迟到的正义并非正义
老师好
我来的真早
1
？？？？
与外界隔绝这么久，出来早已经不能适应外界生活了，希望国家不仅仅是对当事人给予经济上的赔偿，更应该帮助她回归社会
老师好
！！！
毅力惊人啊
来啦
来啦
老师好
nb
真可惜。。
烫烫烫
老师好
宁可错放，不可错判!
？？？？
离谱
老师好
唉
。。
热乎
泪目
老师好！
老师好
这个太过分了
就很奇怪
解锁新场景
我觉得还是拍的无聊电影电视剧更荒诞……
泪目
泪目
泪目……
老师好
唉╯﹏╰
不会是最后一个
老师好
罗老师
厚        大        法        考
泪目
哇，好毅力
黑暗啊
每周写一封申诉信让我想到了肖申克的救赎那个感觉，是真狠啊，这么长时间依旧不放弃
唉
不是人
弹幕呢
……看下去吧
......哭了....
那个时代是真的乱
唉，人生能有几个26年啊
泪目
老师好
热乎的
正义？真正的杀人犯呢？
怎么会这样？没有律师就判了死刑？？？
来早了？
太惨了吧
痛心
如果说迟来的正义是正义。但张玉环的正义呢？
太不容易了
。。
6
不要以旁观者的角度就看待问题，要以当事人的处境思考问题！
...
老师好
惨啊
没有弹幕？
没人吗
hai
6年
泪目
我记得罗老师在厚大的视频讲过一个这类似的案件
解锁新背景
泪目
太顽强了
支持老师
这就是刑法的正义吗？真够搞笑的
我是第一个？？
这也太惨了吧
我觉得迟来的正义真的挺无语的，这个人的青春被生生浪费了
这心痛
热乎的！！！
当年是不是还有个呼格案
肖申克救赎？
来了
老师好
26年啊
没有律师辩护还行 不走程序?
泪目
老师好
666
家？
那人到底谁杀的
，，，，
肖申克的救赎
申诉信有用了啊
心疼
视频12分钟，发布四分钟就来这感慨不公多少有点
老师好
现在已经是两个世界了，哎
没弹幕吗
我出生了
来了
空屏
没充足的证据怎么会判刑
终于来啦！！！
活着不易，愿诸君安好
老师好
惨
承包空屏
法援？
泪目
？？？？？？
。
做出错误裁决难道不应该负责任吗？
这TM就是刑事犯罪，强烈要求刑事犯罪拥有无限追溯期
不安分的小手
哭了
良法不得实行啊
学习
真不是人
套娃？
太过分了
