两个乔姑娘好可爱
银枪赵云和锦马超也太配惹
吴王散花啦
孙姑娘好英姿飒爽
哈哈哈哈
丞相好可爱…草帽是一定要送的(⌒▽⌒)
我猜权儿是故意的哼哼
吴王散花洲呜呜呜
貂蝉姐姐太好看了呜呜
气鼓鼓
承包季汉的大家!!
好多小帽！！
吴王饭撒！（bushi
瞒 放开那个孩子 那是别人家的儿子
卡姿兰大眼备备
小权太可爱了！！！
美得心颤
想哭，这些画面真的是太美好了
权儿美！
啊啊啊啊啊
谢谢太太 我被三国伤到破烂的心被彻底弥合了治愈了！
鱼水真美好qwq
权儿美
公子呀世间已覆满苔霜
袁曹竹马我永远的爱
阿瞒坏小孩
好家伙，袁术那么可爱
这是唯一的中老年人吗2333↓
太牛了太可爱了
准吴王撒花
太甜了太好了www
我的天哪，云妹我爱你
亮哥！！！
承包这个香香！
老三国元直的眉心痣
太可爱了吧
他们会相遇的，他们永远年少，风流千古
尚香好可爱
散花！
呜呜亮亮好可爱啊
三爷一副臭小子的样子
呜呜呜呜呜呜呜呜长大后意难平
呜呜呜呜，长大后真的太意难平！！！！
坚爹
天哪！让人泪目
子龙的草帽为什么是维多利亚画风hhhhhh
英雄曹刘 生子仲谋
恋与大嘟嘟
阿蒙好可爱呜呜头上还有小鸟
年龄差无误哈哈哈哈哈
每人一顶呜呜呜呜皇叔太可爱了
是文台！！！好少年呜呜呜
清秀又能打的文台老爹！！
小自来卷权儿呜呜
子明衣服破破烂烂的哈哈哈哈
你币有了
你币有了
安啦你瑜哥哥不会笑你的
《夏侯渊和张郃在看大门》
膝裤！
爱了爱了
公瑾桃花眼还有泪痣太可了
啊啊啊啊啊是心动
画得好棒！！！
公瑾公瑾呜呜呜
维多利亚画风哈哈哈哈哈哈哈哈哈哈哈
汉昭烈帝！
想想大魏吴王
啊啊啊好可爱
伯约！
师祭酒快跑
结小帽一顶
智可破诸葛，勇能敌赵云。
护国麒麟儿，天水姜伯约
鱼水君臣啊啊啊
太温暖了这一幕呜呜呜
云云真的好少年好可爱啊啊啊啊啊啊
啊啊啊甜姜出来绷不住了QAQ
我的妈精髓哈哈哈
太可爱了！！！
猎 爹 人
呜呜真好啊！
公孙瓒这里配个刘虞会更好
奉先大人！！！！
火钳刘明
太太我爱你！！！
啊哈哈哈哈哈哈哈哈
啊！
飞飞过于可爱了
美绝美绝
这个瞒我好可
啊呜备备太可爱了！！
玄亮！！
吴王散花洲呜呜呜呜呜
关公帅气
生子当如孙仲谋哈哈哈哈
草哈哈哈
神仙太太！！！
飞飞好可爱
呜呜呜呜
三爷哈哈哈哈
甜姜呜呜呜
神作....
我直接
dei～
哈哈哈哈哈
只剩他了……只有他了……只他了
啊啊啊啊啊啊亮亮
姐姐太美了
大小乔！！！！！
周瑜发量好大啊
他笑了
火钳刘明
再来亿遍
吴王散花洲
来啦
靠好可爱
云妹！云妹！
太好看了，支持
袁曹竹马wwww！
呜呜呜呜坚爹有姓名了，明明也是很年轻的啊
江东纵火团天下第一
真好啊老孙家
刘关张好评！！
哈哈哈哈哈哈哈哈哈可可爱爱的
啊啊四大都督
呜呜呜呜吴王散花洲！
阿瞒
惇惇！！！！
备备：今年年终奖就是草帽了
233333
可可爱爱
阿瞒！！！
我永远爱季汉！！！
冢中枯骨？
再来亿遍
师徒组，好耶
啊啊啊啊这个亮亮
周瑜好美
穿上草鞋 飞一般的感觉
甘凌szd！！！
鱼水kdl
妈耶 太美好了
鱼水君臣万古无！！
呜呜呜呜泪目 太美好了
香香！！！
竹马太好了www
我董太师不配年少嘛！！！！！
公瑾太好看了！！！
徐庶
农家乐
王允：人在家中坐……你怎么惦记貂蝉？（狗头
awsl
策哥好帅！
呜呜呜呜少帝
智谋组呜呜呜呜呜呜呜呜！！！！！
地图梗
子敬！
郭半仙
呜呜呜呜权宝妈妈爱你
阿瞒阿！
甘凌甘凌呜呜呜呜呜
曹操
如鱼得水啊啊啊啊
大宝备真好看！
元直啊啊啊啊啊啊
啊啊啊啊，这个刘备好好看！
亮亮的草帽是主公亲手戴上的！！
甜姜
爱了
三联有了
！！！首页了
公瑾啊啊啊啊
奉孝奉孝奉孝奉孝奉孝
家乡是飞飞的封地，有种历史的沧桑感与少年的鲜活
历史的沧桑与少年的鲜活
仁表妹好配合呀
俺也一样！
孙策！！！！温文尔雅少年郎啊
荀彧好好看！！！！！
孔明好幼啊啊啊啊啊
骷髅王袁公路
合法
横槊赋诗少年版
啊啊啊啊啊啊啊亮亮还可爱
云妹笑的好开心啊！
梦中情瞒
伯约！！等到你了！
谢谢太太下凡
！！这个徐庶美得勾走我的魂！
曹袁太可爱了吧
洛阳竹马真好
曹老板好帅
权鹅好乖
！一定是神仙吧啊啊啊啊啊啊！！！！！
哈哈哈哈哈这不是弹错了是弦断了
飞飞要长大胡子
火钳刘明！！！
世界名画哈哈哈哈哈
本初！！！！！！
徐庶也喜欢
赵云好靓呀
啊啊啊啊啊曹吉祥！曹阿瞒！呜呜呜呜
都督啊啊啊啊啊！！！！
叉出去！
文若啊
呜呜太可爱了！
三主队
江东F4
过于好看了！
我一看就知道你是谁
曹老板！！
二爷天下第一
火钳刘明
瓒瓒！
桃园三人组！
啊啊啊啊小亮亮！！！
啊备备啊！
赞！！！
陈宫戏志才呢
周瑜大人！
小皮孩儿阿瞒真的好可爱！！！
玄亮太甜了！
备备备备！！！！
元直呜呜呜呜
啊啊啊啊啊啊啊啊好可爱！！
冢中枯骨你咋了
抱走孟德！！
生子当如孙仲谋
呜呜本初美女
41
袁公子买单
坏坏的小孩哈哈
麻德亮亮太可爱了呜呜呜呜呜呜呜呜
貂蝉
年纪轻轻就没了一只眼
哈哈哈
恭喜发现宝藏
阿瞒真好看
神仙
伯约
bgm是啥
小吕布绝了
宝藏！！！！
文若啊啊啊啊啊啊我爱你
有灵气的der~
孔明在哪
啊啊啊啊啊啊啊啊啊玄亮
粉色弹幕快跟上！
曹仁！！！！
曹老板抢媳妇
伯约！
皇叔！
大汉大将军，起与韩信，终于姜维
老板我可太稀罕你了
太美~
我直接嗨老婆
呜呜呜呜最后是刀子
！！！！！！
哈哈哈哈哈哈哈
二哥的胡子呢
